Year,Series,Severity,Value
2016,Prevalence of anaemia in women of reproductive age,Severe,0.3
2017,Prevalence of anaemia in women of reproductive age,Severe,0.3
2018,Prevalence of anaemia in women of reproductive age,Severe,0.3
2019,Prevalence of anaemia in women of reproductive age,Severe,0.3
2000,Prevalence of anaemia in women of reproductive age,Moderate,2.3
2001,Prevalence of anaemia in women of reproductive age,Moderate,2.2
2002,Prevalence of anaemia in women of reproductive age,Moderate,2.1
2003,Prevalence of anaemia in women of reproductive age,Moderate,2.1
2004,Prevalence of anaemia in women of reproductive age,Moderate,2.0
2005,Prevalence of anaemia in women of reproductive age,Moderate,2.0
2006,Prevalence of anaemia in women of reproductive age,Moderate,2.0
2007,Prevalence of anaemia in women of reproductive age,Moderate,2.0
2008,Prevalence of anaemia in women of reproductive age,Moderate,2.0
2009,Prevalence of anaemia in women of reproductive age,Moderate,2.0
2010,Prevalence of anaemia in women of reproductive age,Moderate,2.0
2011,Prevalence of anaemia in women of reproductive age,Moderate,2.0
2012,Prevalence of anaemia in women of reproductive age,Moderate,2.0
2013,Prevalence of anaemia in women of reproductive age,Moderate,2.0
2014,Prevalence of anaemia in women of reproductive age,Moderate,2.1
2015,Prevalence of anaemia in women of reproductive age,Moderate,2.1
2016,Prevalence of anaemia in women of reproductive age,Moderate,2.2
2017,Prevalence of anaemia in women of reproductive age,Moderate,2.3
2018,Prevalence of anaemia in women of reproductive age,Moderate,2.4
2019,Prevalence of anaemia in women of reproductive age,Moderate,2.6
2000,Prevalence of anaemia in women of reproductive age,Mild,6.6
2001,Prevalence of anaemia in women of reproductive age,Mild,6.5
2002,Prevalence of anaemia in women of reproductive age,Mild,6.4
2003,Prevalence of anaemia in women of reproductive age,Mild,6.4
2004,Prevalence of anaemia in women of reproductive age,Mild,6.4
2005,Prevalence of anaemia in women of reproductive age,Mild,6.4
2006,Prevalence of anaemia in women of reproductive age,Mild,6.4
2007,Prevalence of anaemia in women of reproductive age,Mild,6.4
2008,Prevalence of anaemia in women of reproductive age,Mild,6.4
2009,Prevalence of anaemia in women of reproductive age,Mild,6.4
2010,Prevalence of anaemia in women of reproductive age,Mild,6.5
2011,Prevalence of anaemia in women of reproductive age,Mild,6.5
2012,Prevalence of anaemia in women of reproductive age,Mild,6.6
2013,Prevalence of anaemia in women of reproductive age,Mild,6.7
2014,Prevalence of anaemia in women of reproductive age,Mild,6.8
2015,Prevalence of anaemia in women of reproductive age,Mild,6.9
2016,Prevalence of anaemia in women of reproductive age,Mild,7.0
2017,Prevalence of anaemia in women of reproductive age,Mild,7.1
2018,Prevalence of anaemia in women of reproductive age,Mild,7.3
2019,Prevalence of anaemia in women of reproductive age,Mild,7.5
