Year,Géographie,Type de science,GeoCode,Value
2016,Saskatchewan,Sciences totales,47,0.93
2016,Saskatchewan,Sciences naturelles et génie,,0.83
2016,Saskatchewan,"Sciences sociales, humaines et les arts",,0.1
2016,Alberta,Sciences totales,48,1.07
2016,Alberta,Sciences naturelles et génie,,0.98
2016,Alberta,"Sciences sociales, humaines et les arts",,0.09
2016,Colombie-Britannique,Sciences totales,59,1.59
2016,Colombie-Britannique,Sciences naturelles et génie,,1.43
2016,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.16
2016,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2016,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2016,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2017,Canada,Sciences naturelles et génie,,1.51
2017,Canada,"Sciences sociales, humaines et les arts",,0.18
2017,Terre-Neuve-et-Labrador,Sciences totales,10,1.24
2017,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,1.04
2017,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.21
2017,Île-du-Prince-Édouard,Sciences totales,11,1.25
2017,Île-du-Prince-Édouard,Sciences naturelles et génie,,1.08
2017,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.19
2017,Nouvelle-Écosse,Sciences totales,12,1.55
2017,Nouvelle-Écosse,Sciences naturelles et génie,,1.26
2017,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.29
2017,Nouveau-Brunswick,Sciences totales,13,0.91
2017,Nouveau-Brunswick,Sciences naturelles et génie,,0.72
2017,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.2
2017,Québec,Sciences totales,24,2.26
2017,Québec,Sciences naturelles et génie,,2.04
2017,Québec,"Sciences sociales, humaines et les arts",,0.22
2017,Ontario,Sciences totales,35,1.93
2017,Ontario,Sciences naturelles et génie,,1.73
2017,Ontario,"Sciences sociales, humaines et les arts",,0.2
2017,Manitoba,Sciences totales,46,1.21
2017,Manitoba,Sciences naturelles et génie,,1.04
2017,Manitoba,"Sciences sociales, humaines et les arts",,0.17
2017,Saskatchewan,Sciences totales,47,0.83
2017,Saskatchewan,Sciences naturelles et génie,,0.74
2017,Saskatchewan,"Sciences sociales, humaines et les arts",,0.09
2017,Alberta,Sciences totales,48,1.0
2017,Alberta,Sciences naturelles et génie,,0.91
2017,Alberta,"Sciences sociales, humaines et les arts",,0.09
2017,Colombie-Britannique,Sciences totales,59,1.49
2017,Colombie-Britannique,Sciences naturelles et génie,,1.34
2017,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.16
2017,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2017,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2017,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2018,Canada,Sciences naturelles et génie,,1.56
2018,Canada,"Sciences sociales, humaines et les arts",,0.18
2018,Terre-Neuve-et-Labrador,Sciences totales,10,1.53
2018,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,1.3
2018,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.23
2018,Île-du-Prince-Édouard,Sciences totales,11,1.22
2018,Île-du-Prince-Édouard,Sciences naturelles et génie,,1.03
2018,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.19
2018,Nouvelle-Écosse,Sciences totales,12,1.46
2018,Nouvelle-Écosse,Sciences naturelles et génie,,1.19
2018,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.28
2018,Nouveau-Brunswick,Sciences totales,13,0.98
2018,Nouveau-Brunswick,Sciences naturelles et génie,,0.78
2018,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.2
2018,Québec,Sciences totales,24,2.26
2018,Québec,Sciences naturelles et génie,,2.04
2018,Québec,"Sciences sociales, humaines et les arts",,0.22
2018,Ontario,Sciences totales,35,1.99
2018,Ontario,Sciences naturelles et génie,,1.79
2018,Ontario,"Sciences sociales, humaines et les arts",,0.19
2018,Manitoba,Sciences totales,46,1.12
2018,Manitoba,Sciences naturelles et génie,,0.96
2018,Manitoba,"Sciences sociales, humaines et les arts",,0.17
2018,Saskatchewan,Sciences totales,47,0.89
2018,Saskatchewan,Sciences naturelles et génie,,0.79
2018,Saskatchewan,"Sciences sociales, humaines et les arts",,0.1
2018,Alberta,Sciences totales,48,1.05
2018,Alberta,Sciences naturelles et génie,,0.97
2018,Alberta,"Sciences sociales, humaines et les arts",,0.09
2018,Colombie-Britannique,Sciences totales,59,1.6
2018,Colombie-Britannique,Sciences naturelles et génie,,1.44
2018,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.16
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2018,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2019,Canada,Sciences naturelles et génie,,1.57
2019,Canada,"Sciences sociales, humaines et les arts",,0.18
2019,Terre-Neuve-et-Labrador,Sciences totales,10,1.61
2019,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,1.42
2019,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.19
2019,Île-du-Prince-Édouard,Sciences totales,11,1.13
2019,Île-du-Prince-Édouard,Sciences naturelles et génie,,0.95
2019,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.17
2019,Nouvelle-Écosse,Sciences totales,12,1.55
2019,Nouvelle-Écosse,Sciences naturelles et génie,,1.27
2019,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.28
2019,Nouveau-Brunswick,Sciences totales,13,0.98
2019,Nouveau-Brunswick,Sciences naturelles et génie,,0.78
2019,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.2
2019,Québec,Sciences totales,24,2.2
2019,Québec,Sciences naturelles et génie,,1.98
2019,Québec,"Sciences sociales, humaines et les arts",,0.22
2019,Ontario,Sciences totales,35,2.05
2019,Ontario,Sciences naturelles et génie,,1.84
2019,Ontario,"Sciences sociales, humaines et les arts",,0.2
2019,Manitoba,Sciences totales,46,1.18
2019,Manitoba,Sciences naturelles et génie,,0.99
2019,Manitoba,"Sciences sociales, humaines et les arts",,0.18
2019,Saskatchewan,Sciences totales,47,0.94
2019,Saskatchewan,Sciences naturelles et génie,,0.84
2019,Saskatchewan,"Sciences sociales, humaines et les arts",,0.11
2019,Alberta,Sciences totales,48,1.09
2019,Alberta,Sciences naturelles et génie,,1.0
2019,Alberta,"Sciences sociales, humaines et les arts",,0.09
2019,Colombie-Britannique,Sciences totales,59,1.61
2019,Colombie-Britannique,Sciences naturelles et génie,,1.44
2019,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.17
2019,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2019,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2019,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2020,Canada,Sciences naturelles et génie,,1.7
2020,Canada,"Sciences sociales, humaines et les arts",,0.2
2020,Terre-Neuve-et-Labrador,Sciences totales,10,1.71
2020,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,1.52
2020,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.19
2020,Île-du-Prince-Édouard,Sciences totales,11,1.09
2020,Île-du-Prince-Édouard,Sciences naturelles et génie,,0.9
2020,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.19
2020,Nouvelle-Écosse,Sciences totales,12,1.49
2020,Nouvelle-Écosse,Sciences naturelles et génie,,1.18
2020,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.3
2020,Nouveau-Brunswick,Sciences totales,13,0.96
2020,Nouveau-Brunswick,Sciences naturelles et génie,,0.76
2020,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.21
2020,Québec,Sciences totales,24,2.32
2020,Québec,Sciences naturelles et génie,,2.09
2020,Québec,"Sciences sociales, humaines et les arts",,0.23
2020,Ontario,Sciences totales,35,2.22
2020,Ontario,Sciences naturelles et génie,,2.01
2020,Ontario,"Sciences sociales, humaines et les arts",,0.22
2020,Manitoba,Sciences totales,46,1.13
2020,Manitoba,Sciences naturelles et génie,,0.94
2020,Manitoba,"Sciences sociales, humaines et les arts",,0.19
2020,Saskatchewan,Sciences totales,47,1.03
2020,Saskatchewan,Sciences naturelles et génie,,0.9
2020,Saskatchewan,"Sciences sociales, humaines et les arts",,0.12
2020,Alberta,Sciences totales,48,1.22
2020,Alberta,Sciences naturelles et génie,,1.1
2020,Alberta,"Sciences sociales, humaines et les arts",,0.11
2020,Colombie-Britannique,Sciences totales,59,1.69
2020,Colombie-Britannique,Sciences naturelles et génie,,1.51
2020,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.18
2020,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2020,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2020,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2021,Canada,Sciences naturelles et génie,,1.52
2021,Canada,"Sciences sociales, humaines et les arts",,0.18
