Year,Geography,Occupation,Value
2017,British Columbia,"Middle management occupations in trades, transportation, production and utilities",17.3
2018,Canada,Legislative and senior management occupations,32.9
2018,Canada,Specialized middle management occupations,48.1
2018,Canada,Middle management occupations in retail and wholesale trade and customer services,38.1
2018,Canada,"Middle management occupations in trades, transportation, production and utilities",18.3
2018,Newfoundland and Labrador,Management occupations,44.8
2018,Newfoundland and Labrador,Legislative and senior management occupations,
2018,Newfoundland and Labrador,Specialized middle management occupations,54.5
2018,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services,51.0
2018,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities",17.6
2018,Prince Edward Island,Management occupations,35.5
2018,Prince Edward Island,Legislative and senior management occupations,
2018,Prince Edward Island,Specialized middle management occupations,53.3
2018,Prince Edward Island,Middle management occupations in retail and wholesale trade and customer services,47.6
2018,Prince Edward Island,"Middle management occupations in trades, transportation, production and utilities",16.0
2018,Nova Scotia,Management occupations,40.6
2018,Nova Scotia,Legislative and senior management occupations,
2018,Nova Scotia,Specialized middle management occupations,57.1
2018,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services,45.5
2018,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities",15.2
2018,New Brunswick,Management occupations,35.0
2018,New Brunswick,Legislative and senior management occupations,
2018,New Brunswick,Specialized middle management occupations,49.3
2018,New Brunswick,Middle management occupations in retail and wholesale trade and customer services,38.0
2018,New Brunswick,"Middle management occupations in trades, transportation, production and utilities",13.2
2018,Quebec,Management occupations,35.7
2018,Quebec,Legislative and senior management occupations,39.2
2018,Quebec,Specialized middle management occupations,51.2
2018,Quebec,Middle management occupations in retail and wholesale trade and customer services,35.5
2018,Quebec,"Middle management occupations in trades, transportation, production and utilities",19.4
2018,Ontario,Management occupations,35.6
2018,Ontario,Legislative and senior management occupations,32.6
2018,Ontario,Specialized middle management occupations,47.3
2018,Ontario,Middle management occupations in retail and wholesale trade and customer services,38.0
2018,Ontario,"Middle management occupations in trades, transportation, production and utilities",16.4
2018,Manitoba,Management occupations,31.6
2018,Manitoba,Legislative and senior management occupations,
2018,Manitoba,Specialized middle management occupations,51.4
2018,Manitoba,Middle management occupations in retail and wholesale trade and customer services,40.8
2018,Manitoba,"Middle management occupations in trades, transportation, production and utilities",16.3
2018,Saskatchewan,Management occupations,31.1
2018,Saskatchewan,Legislative and senior management occupations,
2018,Saskatchewan,Specialized middle management occupations,56.5
2018,Saskatchewan,Middle management occupations in retail and wholesale trade and customer services,40.9
2018,Saskatchewan,"Middle management occupations in trades, transportation, production and utilities",19.8
2018,Alberta,Management occupations,32.1
2018,Alberta,Legislative and senior management occupations,37.0
2018,Alberta,Specialized middle management occupations,40.8
2018,Alberta,Middle management occupations in retail and wholesale trade and customer services,39.4
2018,Alberta,"Middle management occupations in trades, transportation, production and utilities",21.9
2018,British Columbia,Management occupations,33.5
2018,British Columbia,Legislative and senior management occupations,
2018,British Columbia,Specialized middle management occupations,46.7
2018,British Columbia,Middle management occupations in retail and wholesale trade and customer services,38.1
2018,British Columbia,"Middle management occupations in trades, transportation, production and utilities",18.0
2019,Canada,Legislative and senior management occupations,32.2
2019,Canada,Specialized middle management occupations,51.4
2019,Canada,Middle management occupations in retail and wholesale trade and customer services,38.8
2019,Canada,"Middle management occupations in trades, transportation, production and utilities",16.2
2019,Newfoundland and Labrador,Management occupations,34.8
2019,Newfoundland and Labrador,Legislative and senior management occupations,
2019,Newfoundland and Labrador,Specialized middle management occupations,50.0
2019,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services,40.8
2019,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities",
2019,Prince Edward Island,Management occupations,36.8
2019,Prince Edward Island,Legislative and senior management occupations,
2019,Prince Edward Island,Specialized middle management occupations,46.2
2019,Prince Edward Island,Middle management occupations in retail and wholesale trade and customer services,50.0
2019,Prince Edward Island,"Middle management occupations in trades, transportation, production and utilities",21.7
2019,Nova Scotia,Management occupations,39.9
2019,Nova Scotia,Legislative and senior management occupations,
2019,Nova Scotia,Specialized middle management occupations,57.3
2019,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services,42.9
2019,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities",17.4
2019,New Brunswick,Management occupations,37.6
2019,New Brunswick,Legislative and senior management occupations,
2019,New Brunswick,Specialized middle management occupations,54.5
2019,New Brunswick,Middle management occupations in retail and wholesale trade and customer services,41.1
2019,New Brunswick,"Middle management occupations in trades, transportation, production and utilities",16.9
2019,Quebec,Management occupations,35.8
2019,Quebec,Legislative and senior management occupations,45.9
2019,Quebec,Specialized middle management occupations,49.7
2019,Quebec,Middle management occupations in retail and wholesale trade and customer services,38.9
2019,Quebec,"Middle management occupations in trades, transportation, production and utilities",16.1
2019,Ontario,Management occupations,36.2
2019,Ontario,Legislative and senior management occupations,28.9
2019,Ontario,Specialized middle management occupations,52.1
2019,Ontario,Middle management occupations in retail and wholesale trade and customer services,38.3
2019,Ontario,"Middle management occupations in trades, transportation, production and utilities",14.9
2019,Manitoba,Management occupations,29.8
2019,Manitoba,Legislative and senior management occupations,
2019,Manitoba,Specialized middle management occupations,47.9
2019,Manitoba,Middle management occupations in retail and wholesale trade and customer services,42.9
2019,Manitoba,"Middle management occupations in trades, transportation, production and utilities",14.8
2019,Saskatchewan,Management occupations,29.5
2019,Saskatchewan,Legislative and senior management occupations,53.8
2019,Saskatchewan,Specialized middle management occupations,51.1
2019,Saskatchewan,Middle management occupations in retail and wholesale trade and customer services,37.1
2019,Saskatchewan,"Middle management occupations in trades, transportation, production and utilities",18.9
2019,Alberta,Management occupations,32.7
2019,Alberta,Legislative and senior management occupations,28.4
2019,Alberta,Specialized middle management occupations,53.7
2019,Alberta,Middle management occupations in retail and wholesale trade and customer services,37.3
2019,Alberta,"Middle management occupations in trades, transportation, production and utilities",17.2
2019,British Columbia,Management occupations,35.5
2019,British Columbia,Legislative and senior management occupations,25.0
2019,British Columbia,Specialized middle management occupations,49.4
2019,British Columbia,Middle management occupations in retail and wholesale trade and customer services,39.7
2019,British Columbia,"Middle management occupations in trades, transportation, production and utilities",17.4
2020,Canada,Legislative and senior management occupations,28.9
2020,Canada,Specialized middle management occupations,50.0
2020,Canada,Middle management occupations in retail and wholesale trade and customer services,39.3
2020,Canada,"Middle management occupations in trades, transportation, production and utilities",17.5
2020,Newfoundland and Labrador,Management occupations,38.5
2020,Newfoundland and Labrador,Legislative and senior management occupations,
2020,Newfoundland and Labrador,Specialized middle management occupations,56.8
2020,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services,41.3
2020,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities",13.5
2020,Prince Edward Island,Management occupations,36.5
2020,Prince Edward Island,Legislative and senior management occupations,
2020,Prince Edward Island,Specialized middle management occupations,60.0
2020,Prince Edward Island,Middle management occupations in retail and wholesale trade and customer services,50.0
2020,Prince Edward Island,"Middle management occupations in trades, transportation, production and utilities",14.8
2020,Nova Scotia,Management occupations,39.4
2020,Nova Scotia,Legislative and senior management occupations,40.0
2020,Nova Scotia,Specialized middle management occupations,54.1
2020,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services,47.0
2020,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities",16.5
2020,New Brunswick,Management occupations,32.8
2020,New Brunswick,Legislative and senior management occupations,
2020,New Brunswick,Specialized middle management occupations,51.9
2020,New Brunswick,Middle management occupations in retail and wholesale trade and customer services,35.2
2020,New Brunswick,"Middle management occupations in trades, transportation, production and utilities",10.1
2020,Quebec,Management occupations,36.2
2020,Quebec,Legislative and senior management occupations,42.0
2020,Quebec,Specialized middle management occupations,52.1
2020,Quebec,Middle management occupations in retail and wholesale trade and customer services,34.8
2020,Quebec,"Middle management occupations in trades, transportation, production and utilities",17.6
2020,Ontario,Management occupations,36.3
2020,Ontario,Legislative and senior management occupations,22.9
2020,Ontario,Specialized middle management occupations,48.5
2020,Ontario,Middle management occupations in retail and wholesale trade and customer services,40.0
2020,Ontario,"Middle management occupations in trades, transportation, production and utilities",16.2
2020,Manitoba,Management occupations,30.4
2020,Manitoba,Legislative and senior management occupations,37.5
2020,Manitoba,Specialized middle management occupations,48.4
2020,Manitoba,Middle management occupations in retail and wholesale trade and customer services,39.2
2020,Manitoba,"Middle management occupations in trades, transportation, production and utilities",17.2
2020,Saskatchewan,Management occupations,32.3
2020,Saskatchewan,Legislative and senior management occupations,46.7
2020,Saskatchewan,Specialized middle management occupations,55.4
2020,Saskatchewan,Middle management occupations in retail and wholesale trade and customer services,40.9
2020,Saskatchewan,"Middle management occupations in trades, transportation, production and utilities",19.1
2020,Alberta,Management occupations,33.0
2020,Alberta,Legislative and senior management occupations,
2020,Alberta,Specialized middle management occupations,49.1
2020,Alberta,Middle management occupations in retail and wholesale trade and customer services,37.0
2020,Alberta,"Middle management occupations in trades, transportation, production and utilities",20.5
2020,British Columbia,Management occupations,38.2
2020,British Columbia,Legislative and senior management occupations,34.4
2020,British Columbia,Specialized middle management occupations,50.0
2020,British Columbia,Middle management occupations in retail and wholesale trade and customer services,43.1
2020,British Columbia,"Middle management occupations in trades, transportation, production and utilities",17.8
2021,Canada,Legislative and senior management occupations,29.9
2021,Canada,Specialized middle management occupations,49.3
2021,Canada,Middle management occupations in retail and wholesale trade and customer services,40.3
2021,Canada,"Middle management occupations in trades, transportation, production and utilities",17.1
2021,Newfoundland and Labrador,Management occupations,37.4
2021,Newfoundland and Labrador,Legislative and senior management occupations,
2021,Newfoundland and Labrador,Specialized middle management occupations,47.3
2021,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services,40.4
2021,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities",
2021,Prince Edward Island,Management occupations,36.9
2021,Prince Edward Island,Legislative and senior management occupations,
2021,Prince Edward Island,Specialized middle management occupations,50.0
2021,Prince Edward Island,Middle management occupations in retail and wholesale trade and customer services,47.8
2021,Prince Edward Island,"Middle management occupations in trades, transportation, production and utilities",16.7
2021,Nova Scotia,Management occupations,45.6
2021,Nova Scotia,Legislative and senior management occupations,
2021,Nova Scotia,Specialized middle management occupations,55.0
2021,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services,53.5
2021,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities",23.5
2021,New Brunswick,Management occupations,35.1
2021,New Brunswick,Legislative and senior management occupations,
2021,New Brunswick,Specialized middle management occupations,50.0
2021,New Brunswick,Middle management occupations in retail and wholesale trade and customer services,37.9
2021,New Brunswick,"Middle management occupations in trades, transportation, production and utilities",11.4
2021,Quebec,Management occupations,35.6
2021,Quebec,Legislative and senior management occupations,34.6
2021,Quebec,Specialized middle management occupations,52.5
2021,Quebec,Middle management occupations in retail and wholesale trade and customer services,35.2
2021,Quebec,"Middle management occupations in trades, transportation, production and utilities",16.9
2021,Ontario,Management occupations,36.8
2021,Ontario,Legislative and senior management occupations,28.1
2021,Ontario,Specialized middle management occupations,48.5
2021,Ontario,Middle management occupations in retail and wholesale trade and customer services,40.5
2021,Ontario,"Middle management occupations in trades, transportation, production and utilities",17.8
2021,Manitoba,Management occupations,33.1
2021,Manitoba,Legislative and senior management occupations,
2021,Manitoba,Specialized middle management occupations,51.7
2021,Manitoba,Middle management occupations in retail and wholesale trade and customer services,40.5
2021,Manitoba,"Middle management occupations in trades, transportation, production and utilities",19.8
2021,Saskatchewan,Management occupations,29.8
2021,Saskatchewan,Legislative and senior management occupations,
2021,Saskatchewan,Specialized middle management occupations,48.8
2021,Saskatchewan,Middle management occupations in retail and wholesale trade and customer services,37.9
2021,Saskatchewan,"Middle management occupations in trades, transportation, production and utilities",18.5
2021,Alberta,Management occupations,34.2
2021,Alberta,Legislative and senior management occupations,42.6
2021,Alberta,Specialized middle management occupations,50.5
2021,Alberta,Middle management occupations in retail and wholesale trade and customer services,42.0
2021,Alberta,"Middle management occupations in trades, transportation, production and utilities",15.9
2021,British Columbia,Management occupations,34.5
2021,British Columbia,Legislative and senior management occupations,21.2
2021,British Columbia,Specialized middle management occupations,44.4
2021,British Columbia,Middle management occupations in retail and wholesale trade and customer services,43.7
2021,British Columbia,"Middle management occupations in trades, transportation, production and utilities",15.7
2022,Canada,Legislative and senior management occupations,31.4
2022,Canada,Specialized middle management occupations,47.8
2022,Canada,Middle management occupations in retail and wholesale trade and customer services,39.9
2022,Canada,"Middle management occupations in trades, transportation, production and utilities",16.8
2022,Newfoundland and Labrador,Management occupations,39.9
2022,Newfoundland and Labrador,Legislative and senior management occupations,
2022,Newfoundland and Labrador,Specialized middle management occupations,39.7
2022,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services,55.1
2022,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities",18.2
2022,Prince Edward Island,Management occupations,32.0
2022,Prince Edward Island,Legislative and senior management occupations,
2022,Prince Edward Island,Specialized middle management occupations,45.8
2022,Prince Edward Island,Middle management occupations in retail and wholesale trade and customer services,47.4
2022,Prince Edward Island,"Middle management occupations in trades, transportation, production and utilities",9.7
2022,Nova Scotia,Management occupations,36.8
2022,Nova Scotia,Legislative and senior management occupations,
2022,Nova Scotia,Specialized middle management occupations,51.1
2022,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services,43.9
2022,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities",10.8
2022,New Brunswick,Management occupations,40.9
2022,New Brunswick,Legislative and senior management occupations,
2022,New Brunswick,Specialized middle management occupations,56.6
2022,New Brunswick,Middle management occupations in retail and wholesale trade and customer services,45.6
2022,New Brunswick,"Middle management occupations in trades, transportation, production and utilities",13.9
2022,Quebec,Management occupations,34.6
2022,Quebec,Legislative and senior management occupations,30.9
2022,Quebec,Specialized middle management occupations,48.9
2022,Quebec,Middle management occupations in retail and wholesale trade and customer services,35.0
2022,Quebec,"Middle management occupations in trades, transportation, production and utilities",17.1
2022,Ontario,Management occupations,35.9
2022,Ontario,Legislative and senior management occupations,37.3
2022,Ontario,Specialized middle management occupations,47.4
2022,Ontario,Middle management occupations in retail and wholesale trade and customer services,39.9
2022,Ontario,"Middle management occupations in trades, transportation, production and utilities",14.5
2022,Manitoba,Management occupations,32.3
2022,Manitoba,Legislative and senior management occupations,41.2
2022,Manitoba,Specialized middle management occupations,47.7
2022,Manitoba,Middle management occupations in retail and wholesale trade and customer services,38.4
2022,Manitoba,"Middle management occupations in trades, transportation, production and utilities",16.7
2022,Saskatchewan,Management occupations,31.5
2022,Saskatchewan,Legislative and senior management occupations,50.0
2022,Saskatchewan,Specialized middle management occupations,49.1
2022,Saskatchewan,Middle management occupations in retail and wholesale trade and customer services,41.3
2022,Saskatchewan,"Middle management occupations in trades, transportation, production and utilities",16.0
2022,Alberta,Management occupations,35.4
2022,Alberta,Legislative and senior management occupations,
2022,Alberta,Specialized middle management occupations,49.7
2022,Alberta,Middle management occupations in retail and wholesale trade and customer services,42.4
2022,Alberta,"Middle management occupations in trades, transportation, production and utilities",20.8
2022,British Columbia,Management occupations,35.4
2022,British Columbia,Legislative and senior management occupations,
2022,British Columbia,Specialized middle management occupations,45.0
2022,British Columbia,Middle management occupations in retail and wholesale trade and customer services,41.7
2022,British Columbia,"Middle management occupations in trades, transportation, production and utilities",19.5
2023,Canada,Legislative and senior management occupations,30.1
2023,Canada,Specialized middle management occupations,47.9
2023,Canada,Middle management occupations in retail and wholesale trade and customer services,37.8
2023,Canada,"Middle management occupations in trades, transportation, production and utilities",17.7
2023,Newfoundland and Labrador,Management occupations,39.1
2023,Newfoundland and Labrador,Legislative and senior management occupations,
2023,Newfoundland and Labrador,Specialized middle management occupations,50.0
2023,Newfoundland and Labrador,Middle management occupations in retail and wholesale trade and customer services,47.3
2023,Newfoundland and Labrador,"Middle management occupations in trades, transportation, production and utilities",14.6
2023,Prince Edward Island,Management occupations,33.3
2023,Prince Edward Island,Legislative and senior management occupations,
2023,Prince Edward Island,Specialized middle management occupations,52.0
2023,Prince Edward Island,Middle management occupations in retail and wholesale trade and customer services,44.0
2023,Prince Edward Island,"Middle management occupations in trades, transportation, production and utilities",6.9
2023,Nova Scotia,Management occupations,39.4
2023,Nova Scotia,Legislative and senior management occupations,
2023,Nova Scotia,Specialized middle management occupations,52.2
2023,Nova Scotia,Middle management occupations in retail and wholesale trade and customer services,45.8
2023,Nova Scotia,"Middle management occupations in trades, transportation, production and utilities",14.0
2023,New Brunswick,Management occupations,39.7
2023,New Brunswick,Legislative and senior management occupations,
2023,New Brunswick,Specialized middle management occupations,56.6
2023,New Brunswick,Middle management occupations in retail and wholesale trade and customer services,37.9
2023,New Brunswick,"Middle management occupations in trades, transportation, production and utilities",17.8
2023,Quebec,Management occupations,35.7
2023,Quebec,Legislative and senior management occupations,50.0
2023,Quebec,Specialized middle management occupations,48.8
2023,Quebec,Middle management occupations in retail and wholesale trade and customer services,34.6
2023,Quebec,"Middle management occupations in trades, transportation, production and utilities",18.8
2023,Ontario,Management occupations,35.4
2023,Ontario,Legislative and senior management occupations,24.1
2023,Ontario,Specialized middle management occupations,46.9
2023,Ontario,Middle management occupations in retail and wholesale trade and customer services,36.8
2023,Ontario,"Middle management occupations in trades, transportation, production and utilities",18.5
2023,Manitoba,Management occupations,33.5
2023,Manitoba,Legislative and senior management occupations,35.7
2023,Manitoba,Specialized middle management occupations,45.0
2023,Manitoba,Middle management occupations in retail and wholesale trade and customer services,43.5
2023,Manitoba,"Middle management occupations in trades, transportation, production and utilities",11.8
2023,Saskatchewan,Management occupations,32.8
2023,Saskatchewan,Legislative and senior management occupations,41.2
2023,Saskatchewan,Specialized middle management occupations,52.0
2023,Saskatchewan,Middle management occupations in retail and wholesale trade and customer services,40.7
2023,Saskatchewan,"Middle management occupations in trades, transportation, production and utilities",15.8
2023,Alberta,Management occupations,34.4
2023,Alberta,Legislative and senior management occupations,34.7
2023,Alberta,Specialized middle management occupations,48.0
2023,Alberta,Middle management occupations in retail and wholesale trade and customer services,42.6
2023,Alberta,"Middle management occupations in trades, transportation, production and utilities",16.6
2023,British Columbia,Management occupations,34.9
2023,British Columbia,Legislative and senior management occupations,29.7
2023,British Columbia,Specialized middle management occupations,47.8
2023,British Columbia,Middle management occupations in retail and wholesale trade and customer services,37.7
2023,British Columbia,"Middle management occupations in trades, transportation, production and utilities",17.8
