Year,Economic activity,Units,Value
2010,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),179.25
2011,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),189.35
2012,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),195.42
2013,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),201.83
2014,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),207.0
2015,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),215.39
2016,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),223.52
2017,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),230.25
2018,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),236.25
2019,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),242.39
2020,Services (ISIC4 G to T),United States dollars per cubic meter (USD/m3),228.8
2007,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),0.0
2008,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),15.0
2009,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),-13.04347826
2010,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),-55.0
2011,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),16.66666667
2012,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),4.761904762
2013,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),18.18181818
2014,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),-3.846153846
2015,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),48.0
2016,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),-13.51351351
2017,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),-9.375
2018,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),-10.34482759
2019,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),3.846153846
2020,Agriculture (ISIC4 A01 A0210 A0322),Percent change in water-use efficiency over time (%),-11.11111111
2001,Industries,Percent change in water-use efficiency over time (%),-2.819738167
2002,Industries,Percent change in water-use efficiency over time (%),-1.243523316
2003,Industries,Percent change in water-use efficiency over time (%),2.098635887
2004,Industries,Percent change in water-use efficiency over time (%),4.830421377
2005,Industries,Percent change in water-use efficiency over time (%),5.68627451
2006,Industries,Percent change in water-use efficiency over time (%),0.927643785
2007,Industries,Percent change in water-use efficiency over time (%),0.551470588
2008,Industries,Percent change in water-use efficiency over time (%),6.76416819
2009,Industries,Percent change in water-use efficiency over time (%),-15.66780822
2010,Industries,Percent change in water-use efficiency over time (%),11.37055838
2011,Industries,Percent change in water-use efficiency over time (%),8.751139471
2012,Industries,Percent change in water-use efficiency over time (%),1.760268231
2013,Industries,Percent change in water-use efficiency over time (%),4.283360791
2014,Industries,Percent change in water-use efficiency over time (%),7.424960506
2015,Industries,Percent change in water-use efficiency over time (%),-8.823529412
2016,Industries,Percent change in water-use efficiency over time (%),-4.193548387
2017,Industries,Percent change in water-use efficiency over time (%),7.323232323
2018,Industries,Percent change in water-use efficiency over time (%),5.098039216
2019,Industries,Percent change in water-use efficiency over time (%),-1.194029851
2020,Industries,Percent change in water-use efficiency over time (%),-4.229607251
2007,Total (Overall),Percent change in water-use efficiency over time (%),2.022546419
2008,Total (Overall),Percent change in water-use efficiency over time (%),4.517387065
2009,Total (Overall),Percent change in water-use efficiency over time (%),0.093283582
2010,Total (Overall),Percent change in water-use efficiency over time (%),-1.273687481
2011,Total (Overall),Percent change in water-use efficiency over time (%),6.167400881
2012,Total (Overall),Percent change in water-use efficiency over time (%),4.445761707
2013,Total (Overall),Percent change in water-use efficiency over time (%),5.249716232
2014,Total (Overall),Percent change in water-use efficiency over time (%),6.066325155
2015,Total (Overall),Percent change in water-use efficiency over time (%),2.92323335
2016,Total (Overall),Percent change in water-use efficiency over time (%),-0.716226229
2017,Total (Overall),Percent change in water-use efficiency over time (%),1.368159204
2018,Total (Overall),Percent change in water-use efficiency over time (%),3.042944785
2019,Total (Overall),Percent change in water-use efficiency over time (%),1.547987616
2020,Total (Overall),Percent change in water-use efficiency over time (%),-5.300187617
2001,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),2.754473235
2002,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),2.861271676
2003,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),0.864006743
2004,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),1.163033637
2005,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),1.74170453
2006,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),2.652412207
2007,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),1.839035001
2008,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),3.605177994
2009,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),6.584619229
2010,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),5.064181467
2011,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),5.634588563
2012,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),3.205703723
2013,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),3.280114625
2014,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),2.56156171
2015,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),4.053140097
2016,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),3.774548493
2017,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),3.010916249
2018,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),2.605863192
2019,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),2.598941799
2020,Services (ISIC4 G to T),Percent change in water-use efficiency over time (%),-5.606666942
