Year,Géographie,Occupation,Value
2016,Terre-Neuve-et-Labrador,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",23.3
2016,Île-du-Prince-Édouard,Gestion,33.9
2016,Île-du-Prince-Édouard,Cadres supérieures,
2016,Île-du-Prince-Édouard,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,53.3
2016,Île-du-Prince-Édouard,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",47.4
2016,Île-du-Prince-Édouard,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",12.5
2016,Nouvelle-Écosse,Gestion,40.7
2016,Nouvelle-Écosse,Cadres supérieures,45.5
2016,Nouvelle-Écosse,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,53.9
2016,Nouvelle-Écosse,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",45.1
2016,Nouvelle-Écosse,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",15.5
2016,Nouveau-Brunswick,Gestion,38.5
2016,Nouveau-Brunswick,Cadres supérieures,
2016,Nouveau-Brunswick,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,54.7
2016,Nouveau-Brunswick,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.1
2016,Nouveau-Brunswick,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",18.1
2016,Québec,Gestion,35.5
2016,Québec,Cadres supérieures,40.2
2016,Québec,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,46.7
2016,Québec,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.6
2016,Québec,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.6
2016,Ontario,Gestion,35.1
2016,Ontario,Cadres supérieures,35.7
2016,Ontario,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,46.0
2016,Ontario,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.7
2016,Ontario,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",15.8
2016,Manitoba,Gestion,30.0
2016,Manitoba,Cadres supérieures,
2016,Manitoba,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,48.9
2016,Manitoba,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",36.5
2016,Manitoba,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",15.9
2016,Saskatchewan,Gestion,31.0
2016,Saskatchewan,Cadres supérieures,50.0
2016,Saskatchewan,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,53.5
2016,Saskatchewan,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",43.0
2016,Saskatchewan,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",19.6
2016,Alberta,Gestion,32.2
2016,Alberta,Cadres supérieures,38.6
2016,Alberta,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,43.9
2016,Alberta,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",42.3
2016,Alberta,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.3
2016,Colombie-Britannique,Gestion,34.8
2016,Colombie-Britannique,Cadres supérieures,32.8
2016,Colombie-Britannique,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,47.4
2016,Colombie-Britannique,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.0
2016,Colombie-Britannique,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",18.2
2017,Canada,Cadres supérieures,28.6
2017,Canada,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,47.4
2017,Canada,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.5
2017,Canada,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.6
2017,Terre-Neuve-et-Labrador,Gestion,39.3
2017,Terre-Neuve-et-Labrador,Cadres supérieures,
2017,Terre-Neuve-et-Labrador,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,47.9
2017,Terre-Neuve-et-Labrador,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",48.4
2017,Terre-Neuve-et-Labrador,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.0
2017,Île-du-Prince-Édouard,Gestion,37.9
2017,Île-du-Prince-Édouard,Cadres supérieures,
2017,Île-du-Prince-Édouard,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,50.0
2017,Île-du-Prince-Édouard,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",50.0
2017,Île-du-Prince-Édouard,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",13.0
2017,Nouvelle-Écosse,Gestion,37.3
2017,Nouvelle-Écosse,Cadres supérieures,
2017,Nouvelle-Écosse,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,57.5
2017,Nouvelle-Écosse,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",35.8
2017,Nouvelle-Écosse,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",12.6
2017,Nouveau-Brunswick,Gestion,35.0
2017,Nouveau-Brunswick,Cadres supérieures,
2017,Nouveau-Brunswick,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,46.0
2017,Nouveau-Brunswick,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.8
2017,Nouveau-Brunswick,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",12.0
2017,Québec,Gestion,32.6
2017,Québec,Cadres supérieures,36.4
2017,Québec,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,41.4
2017,Québec,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",36.5
2017,Québec,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",18.0
2017,Ontario,Gestion,35.7
2017,Ontario,Cadres supérieures,25.2
2017,Ontario,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,47.9
2017,Ontario,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.0
2017,Ontario,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.6
2017,Manitoba,Gestion,29.6
2017,Manitoba,Cadres supérieures,
2017,Manitoba,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,43.2
2017,Manitoba,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",39.6
2017,Manitoba,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.0
2017,Saskatchewan,Gestion,31.5
2017,Saskatchewan,Cadres supérieures,55.0
2017,Saskatchewan,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,56.1
2017,Saskatchewan,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",39.2
2017,Saskatchewan,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",19.5
2017,Alberta,Gestion,32.1
2017,Alberta,Cadres supérieures,
2017,Alberta,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,47.0
2017,Alberta,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",37.6
2017,Alberta,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",18.2
2017,Colombie-Britannique,Gestion,36.8
2017,Colombie-Britannique,Cadres supérieures,
2017,Colombie-Britannique,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,55.4
2017,Colombie-Britannique,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.8
2017,Colombie-Britannique,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.0
2018,Canada,Cadres supérieures,32.0
2018,Canada,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,48.3
2018,Canada,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.3
2018,Canada,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",18.0
2018,Terre-Neuve-et-Labrador,Gestion,45.1
2018,Terre-Neuve-et-Labrador,Cadres supérieures,
2018,Terre-Neuve-et-Labrador,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,55.6
2018,Terre-Neuve-et-Labrador,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",53.4
2018,Terre-Neuve-et-Labrador,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",14.7
2018,Île-du-Prince-Édouard,Gestion,35.4
2018,Île-du-Prince-Édouard,Cadres supérieures,
2018,Île-du-Prince-Édouard,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,53.3
2018,Île-du-Prince-Édouard,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",45.5
2018,Île-du-Prince-Édouard,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",14.3
2018,Nouvelle-Écosse,Gestion,39.9
2018,Nouvelle-Écosse,Cadres supérieures,
2018,Nouvelle-Écosse,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,55.9
2018,Nouvelle-Écosse,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",46.1
2018,Nouvelle-Écosse,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.5
2018,Nouveau-Brunswick,Gestion,35.4
2018,Nouveau-Brunswick,Cadres supérieures,
2018,Nouveau-Brunswick,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,49.3
2018,Nouveau-Brunswick,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.0
2018,Nouveau-Brunswick,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",14.9
2018,Québec,Gestion,36.1
2018,Québec,Cadres supérieures,36.8
2018,Québec,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,52.0
2018,Québec,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",36.0
2018,Québec,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",19.5
2018,Ontario,Gestion,35.5
2018,Ontario,Cadres supérieures,31.5
2018,Ontario,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,47.6
2018,Ontario,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",37.4
2018,Ontario,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.2
2018,Manitoba,Gestion,31.6
2018,Manitoba,Cadres supérieures,
2018,Manitoba,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,50.7
2018,Manitoba,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.3
2018,Manitoba,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.0
2018,Saskatchewan,Gestion,31.3
2018,Saskatchewan,Cadres supérieures,
2018,Saskatchewan,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,56.3
2018,Saskatchewan,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.3
2018,Saskatchewan,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",19.5
2018,Alberta,Gestion,32.1
2018,Alberta,Cadres supérieures,40.9
2018,Alberta,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,40.8
2018,Alberta,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.7
2018,Alberta,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",20.5
2018,Colombie-Britannique,Gestion,33.8
2018,Colombie-Britannique,Cadres supérieures,
2018,Colombie-Britannique,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,46.9
2018,Colombie-Britannique,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.7
2018,Colombie-Britannique,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.7
2019,Canada,Cadres supérieures,31.6
2019,Canada,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,51.3
2019,Canada,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",39.2
2019,Canada,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.0
2019,Terre-Neuve-et-Labrador,Gestion,36.0
2019,Terre-Neuve-et-Labrador,Cadres supérieures,
2019,Terre-Neuve-et-Labrador,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,50.0
2019,Terre-Neuve-et-Labrador,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.2
2019,Terre-Neuve-et-Labrador,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",
2019,Île-du-Prince-Édouard,Gestion,35.0
2019,Île-du-Prince-Édouard,Cadres supérieures,
2019,Île-du-Prince-Édouard,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,46.2
2019,Île-du-Prince-Édouard,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",50.0
2019,Île-du-Prince-Édouard,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",23.1
2019,Nouvelle-Écosse,Gestion,39.2
2019,Nouvelle-Écosse,Cadres supérieures,
2019,Nouvelle-Écosse,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,56.1
2019,Nouvelle-Écosse,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",42.5
2019,Nouvelle-Écosse,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.5
2019,Nouveau-Brunswick,Gestion,38.0
2019,Nouveau-Brunswick,Cadres supérieures,
2019,Nouveau-Brunswick,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,53.2
2019,Nouveau-Brunswick,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.7
2019,Nouveau-Brunswick,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.9
2019,Québec,Gestion,35.8
2019,Québec,Cadres supérieures,45.4
2019,Québec,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,49.3
2019,Québec,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.6
2019,Québec,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.8
2019,Ontario,Gestion,36.2
2019,Ontario,Cadres supérieures,28.8
2019,Ontario,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,52.3
2019,Ontario,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.9
2019,Ontario,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",14.5
2019,Manitoba,Gestion,30.4
2019,Manitoba,Cadres supérieures,
2019,Manitoba,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,47.3
2019,Manitoba,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",43.6
2019,Manitoba,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",14.7
2019,Saskatchewan,Gestion,29.4
2019,Saskatchewan,Cadres supérieures,50.0
2019,Saskatchewan,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,51.1
2019,Saskatchewan,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",36.8
2019,Saskatchewan,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",18.7
2019,Alberta,Gestion,32.4
2019,Alberta,Cadres supérieures,28.0
2019,Alberta,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,52.7
2019,Alberta,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",37.6
2019,Alberta,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.1
2019,Colombie-Britannique,Gestion,35.6
2019,Colombie-Britannique,Cadres supérieures,
2019,Colombie-Britannique,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,49.8
2019,Colombie-Britannique,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.3
2019,Colombie-Britannique,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.9
2020,Canada,Cadres supérieures,28.6
2020,Canada,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,49.3
2020,Canada,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",39.6
2020,Canada,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.6
2020,Terre-Neuve-et-Labrador,Gestion,38.5
2020,Terre-Neuve-et-Labrador,Cadres supérieures,
2020,Terre-Neuve-et-Labrador,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,54.5
2020,Terre-Neuve-et-Labrador,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",43.1
2020,Terre-Neuve-et-Labrador,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",
2020,Île-du-Prince-Édouard,Gestion,37.7
2020,Île-du-Prince-Édouard,Cadres supérieures,
2020,Île-du-Prince-Édouard,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,62.5
2020,Île-du-Prince-Édouard,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",54.5
2020,Île-du-Prince-Édouard,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.7
2020,Nouvelle-Écosse,Gestion,40.3
2020,Nouvelle-Écosse,Cadres supérieures,42.9
2020,Nouvelle-Écosse,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,54.0
2020,Nouvelle-Écosse,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",46.8
2020,Nouvelle-Écosse,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.6
2020,Nouveau-Brunswick,Gestion,34.1
2020,Nouveau-Brunswick,Cadres supérieures,
2020,Nouveau-Brunswick,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,51.8
2020,Nouveau-Brunswick,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",36.4
2020,Nouveau-Brunswick,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",10.5
2020,Québec,Gestion,36.2
2020,Québec,Cadres supérieures,42.7
2020,Québec,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,51.5
2020,Québec,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",35.1
2020,Québec,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.4
2020,Ontario,Gestion,36.1
2020,Ontario,Cadres supérieures,22.4
2020,Ontario,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,47.4
2020,Ontario,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.4
2020,Ontario,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.5
2020,Manitoba,Gestion,30.6
2020,Manitoba,Cadres supérieures,46.7
2020,Manitoba,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,47.3
2020,Manitoba,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.2
2020,Manitoba,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.4
2020,Saskatchewan,Gestion,32.7
2020,Saskatchewan,Cadres supérieures,50.0
2020,Saskatchewan,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,54.9
2020,Saskatchewan,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.0
2020,Saskatchewan,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",19.5
2020,Alberta,Gestion,33.2
2020,Alberta,Cadres supérieures,
2020,Alberta,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,49.1
2020,Alberta,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",36.4
2020,Alberta,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",20.2
2020,Colombie-Britannique,Gestion,38.6
2020,Colombie-Britannique,Cadres supérieures,32.2
2020,Colombie-Britannique,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,50.4
2020,Colombie-Britannique,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",43.4
2020,Colombie-Britannique,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",18.7
2021,Canada,Cadres supérieures,30.9
2021,Canada,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,49.1
2021,Canada,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.0
2021,Canada,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.0
2021,Terre-Neuve-et-Labrador,Gestion,36.2
2021,Terre-Neuve-et-Labrador,Cadres supérieures,
2021,Terre-Neuve-et-Labrador,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,45.5
2021,Terre-Neuve-et-Labrador,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",37.3
2021,Terre-Neuve-et-Labrador,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",
2021,Île-du-Prince-Édouard,Gestion,35.3
2021,Île-du-Prince-Édouard,Cadres supérieures,
2021,Île-du-Prince-Édouard,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,50.0
2021,Île-du-Prince-Édouard,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",45.8
2021,Île-du-Prince-Édouard,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.0
2021,Nouvelle-Écosse,Gestion,45.7
2021,Nouvelle-Écosse,Cadres supérieures,
2021,Nouvelle-Écosse,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,55.9
2021,Nouvelle-Écosse,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",52.8
2021,Nouvelle-Écosse,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",22.0
2021,Nouveau-Brunswick,Gestion,35.2
2021,Nouveau-Brunswick,Cadres supérieures,
2021,Nouveau-Brunswick,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,52.1
2021,Nouveau-Brunswick,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",36.5
2021,Nouveau-Brunswick,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",11.0
2021,Québec,Gestion,35.9
2021,Québec,Cadres supérieures,34.7
2021,Québec,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,51.6
2021,Québec,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",36.1
2021,Québec,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.4
2021,Ontario,Gestion,36.5
2021,Ontario,Cadres supérieures,29.0
2021,Ontario,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,48.6
2021,Ontario,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",39.5
2021,Ontario,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.8
2021,Manitoba,Gestion,32.9
2021,Manitoba,Cadres supérieures,27.8
2021,Manitoba,Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées,50.6
