Year,Géographie,Catégorie d'utilisation des sols,Qualité de l'eau,Value
2016-2018,Great Lakes and St. Lawrence River,Agriculture,Excellente,0
2016-2018,Great Lakes and St. Lawrence River,Agriculture,Bonne,5
2016-2018,Great Lakes and St. Lawrence River,Agriculture,Satisfaisante,7
2016-2018,Great Lakes and St. Lawrence River,Foresterie,Excellente,0
2016-2018,Great Lakes and St. Lawrence River,Foresterie,Bonne,2
2016-2018,Great Lakes and St. Lawrence River,Foresterie,Satisfaisante,0
2016-2018,Great Lakes and St. Lawrence River,Exploitation minière,Excellente,0
2016-2018,Great Lakes and St. Lawrence River,Exploitation minière,Bonne,5
2016-2018,Great Lakes and St. Lawrence River,Exploitation minière,Satisfaisante,3
2016-2018,Great Lakes and St. Lawrence River,Peuplé,Excellente,0
2016-2018,Great Lakes and St. Lawrence River,Peuplé,Bonne,0
2016-2018,Great Lakes and St. Lawrence River,Peuplé,Satisfaisante,2
2016-2018,Great Lakes and St. Lawrence River,Pressions mixtes,Excellente,0
2016-2018,Great Lakes and St. Lawrence River,Pressions mixtes,Bonne,10
2016-2018,Great Lakes and St. Lawrence River,Pressions mixtes,Satisfaisante,31
2016-2018,Great Lakes and St. Lawrence River,Non aménagés,Excellente,0
2016-2018,Great Lakes and St. Lawrence River,Non aménagés,Bonne,7
2016-2018,Great Lakes and St. Lawrence River,Non aménagés,Satisfaisante,2
2016-2018,Baie d'Hudson,Agriculture,Excellente,0
2016-2018,Baie d'Hudson,Agriculture,Bonne,11
2016-2018,Baie d'Hudson,Agriculture,Satisfaisante,22
2016-2018,Baie d'Hudson,Foresterie,Excellente,0
2016-2018,Baie d'Hudson,Foresterie,Bonne,0
2016-2018,Baie d'Hudson,Foresterie,Satisfaisante,0
2016-2018,Baie d'Hudson,Exploitation minière,Excellente,0
2016-2018,Baie d'Hudson,Exploitation minière,Bonne,0
2016-2018,Baie d'Hudson,Exploitation minière,Satisfaisante,0
2016-2018,Baie d'Hudson,Peuplé,Excellente,0
2016-2018,Baie d'Hudson,Peuplé,Bonne,0
2016-2018,Baie d'Hudson,Peuplé,Satisfaisante,0
2016-2018,Baie d'Hudson,Pressions mixtes,Excellente,7
2016-2018,Baie d'Hudson,Pressions mixtes,Bonne,20
2016-2018,Baie d'Hudson,Pressions mixtes,Satisfaisante,18
2016-2018,Baie d'Hudson,Non aménagés,Excellente,4
2016-2018,Baie d'Hudson,Non aménagés,Bonne,0
2016-2018,Baie d'Hudson,Non aménagés,Satisfaisante,0
2016-2018,Fleuve Mackenzie,Agriculture,Excellente,0
2016-2018,Fleuve Mackenzie,Agriculture,Bonne,0
2016-2018,Fleuve Mackenzie,Agriculture,Satisfaisante,0
2016-2018,Fleuve Mackenzie,Foresterie,Excellente,0
2016-2018,Fleuve Mackenzie,Foresterie,Bonne,0
2016-2018,Fleuve Mackenzie,Foresterie,Satisfaisante,0
2016-2018,Fleuve Mackenzie,Exploitation minière,Excellente,0
2016-2018,Fleuve Mackenzie,Exploitation minière,Bonne,10
2016-2018,Fleuve Mackenzie,Exploitation minière,Satisfaisante,10
2016-2018,Fleuve Mackenzie,Peuplé,Excellente,0
2016-2018,Fleuve Mackenzie,Peuplé,Bonne,0
2016-2018,Fleuve Mackenzie,Peuplé,Satisfaisante,0
2016-2018,Fleuve Mackenzie,Pressions mixtes,Excellente,5
2016-2018,Fleuve Mackenzie,Pressions mixtes,Bonne,10
2016-2018,Fleuve Mackenzie,Pressions mixtes,Satisfaisante,25
2016-2018,Fleuve Mackenzie,Non aménagés,Excellente,10
2016-2018,Fleuve Mackenzie,Non aménagés,Bonne,15
2016-2018,Fleuve Mackenzie,Non aménagés,Satisfaisante,15
2016-2018,Océan Pacifique,Agriculture,Excellente,0
2016-2018,Océan Pacifique,Agriculture,Bonne,0
2016-2018,Océan Pacifique,Agriculture,Satisfaisante,0
2016-2018,Océan Pacifique,Foresterie,Excellente,0
2016-2018,Océan Pacifique,Foresterie,Bonne,8
2016-2018,Océan Pacifique,Foresterie,Satisfaisante,0
2016-2018,Océan Pacifique,Exploitation minière,Excellente,0
2016-2018,Océan Pacifique,Exploitation minière,Bonne,8
2016-2018,Océan Pacifique,Exploitation minière,Satisfaisante,4
2016-2018,Océan Pacifique,Peuplé,Excellente,0
2016-2018,Océan Pacifique,Peuplé,Bonne,0
2016-2018,Océan Pacifique,Peuplé,Satisfaisante,0
2016-2018,Océan Pacifique,Pressions mixtes,Excellente,0
2016-2018,Océan Pacifique,Pressions mixtes,Bonne,8
2016-2018,Océan Pacifique,Pressions mixtes,Satisfaisante,36
2016-2018,Océan Pacifique,Non aménagés,Excellente,8
2016-2018,Océan Pacifique,Non aménagés,Bonne,4
2016-2018,Océan Pacifique,Non aménagés,Satisfaisante,0
2017-2019,Canada,Agriculture,Excellente,0
2017-2019,Canada,Agriculture,Bonne,9
2017-2019,Canada,Agriculture,Satisfaisante,8
2017-2019,Canada,Foresterie,Excellente,1
2017-2019,Canada,Foresterie,Bonne,5
2017-2019,Canada,Foresterie,Satisfaisante,3
2017-2019,Canada,Exploitation minière,Excellente,0
2017-2019,Canada,Exploitation minière,Bonne,2
2017-2019,Canada,Exploitation minière,Satisfaisante,2
2017-2019,Canada,Peuplé,Excellente,0
2017-2019,Canada,Peuplé,Bonne,0
2017-2019,Canada,Peuplé,Satisfaisante,1
2017-2019,Canada,Pressions mixtes,Excellente,2
2017-2019,Canada,Pressions mixtes,Bonne,10
2017-2019,Canada,Pressions mixtes,Satisfaisante,25
2017-2019,Canada,Non aménagés,Excellente,2
2017-2019,Canada,Non aménagés,Bonne,8
2017-2019,Canada,Non aménagés,Satisfaisante,3
2017-2019,Canada,Total,Excellente,6
2017-2019,Canada,Total,Bonne,35
2017-2019,Canada,Total,Satisfaisante,42
2017-2019,Océan Atlantique,Total,Excellente,4
2017-2019,Great Lakes and St. Lawrence River,Total,Excellente,0
2017-2019,Baie d'Hudson,Total,Excellente,14
2017-2019,Fleuve Mackenzie,Total,Excellente,10
2017-2019,Océan Pacifique,Total,Excellente,8
2017-2019,Océan Atlantique,Total,Bonne,51
2017-2019,Great Lakes and St. Lawrence River,Total,Bonne,28
2017-2019,Baie d'Hudson,Total,Bonne,36
2017-2019,Fleuve Mackenzie,Total,Bonne,30
2017-2019,Océan Pacifique,Total,Bonne,29
2017-2019,Océan Atlantique,Total,Satisfaisante,33
2017-2019,Great Lakes and St. Lawrence River,Total,Satisfaisante,45
2017-2019,Baie d'Hudson,Total,Satisfaisante,43
2017-2019,Fleuve Mackenzie,Total,Satisfaisante,50
2017-2019,Océan Pacifique,Total,Satisfaisante,33
2017-2019,Océan Atlantique,Agriculture,Excellente,0
2017-2019,Océan Atlantique,Agriculture,Bonne,9
2017-2019,Océan Atlantique,Agriculture,Satisfaisante,0
2017-2019,Océan Atlantique,Foresterie,Excellente,4
2017-2019,Océan Atlantique,Foresterie,Bonne,13
2017-2019,Océan Atlantique,Foresterie,Satisfaisante,13
2017-2019,Océan Atlantique,Exploitation minière,Excellente,0
2017-2019,Océan Atlantique,Exploitation minière,Bonne,2
2017-2019,Océan Atlantique,Exploitation minière,Satisfaisante,2
2017-2019,Océan Atlantique,Peuplé,Excellente,0
2017-2019,Océan Atlantique,Peuplé,Bonne,0
2017-2019,Océan Atlantique,Peuplé,Satisfaisante,0
2017-2019,Océan Atlantique,Pressions mixtes,Excellente,0
2017-2019,Océan Atlantique,Pressions mixtes,Bonne,7
2017-2019,Océan Atlantique,Pressions mixtes,Satisfaisante,7
2017-2019,Océan Atlantique,Non aménagés,Excellente,0
2017-2019,Océan Atlantique,Non aménagés,Bonne,20
2017-2019,Océan Atlantique,Non aménagés,Satisfaisante,11
2017-2019,Great Lakes and St. Lawrence River,Agriculture,Excellente,0
2017-2019,Great Lakes and St. Lawrence River,Agriculture,Bonne,7
2017-2019,Great Lakes and St. Lawrence River,Agriculture,Satisfaisante,5
2017-2019,Great Lakes and St. Lawrence River,Foresterie,Excellente,0
2017-2019,Great Lakes and St. Lawrence River,Foresterie,Bonne,2
2017-2019,Great Lakes and St. Lawrence River,Foresterie,Satisfaisante,0
2017-2019,Great Lakes and St. Lawrence River,Exploitation minière,Excellente,0
2017-2019,Great Lakes and St. Lawrence River,Exploitation minière,Bonne,3
2017-2019,Great Lakes and St. Lawrence River,Exploitation minière,Satisfaisante,3
2017-2019,Great Lakes and St. Lawrence River,Peuplé,Excellente,0
2017-2019,Great Lakes and St. Lawrence River,Peuplé,Bonne,0
2017-2019,Great Lakes and St. Lawrence River,Peuplé,Satisfaisante,2
2017-2019,Great Lakes and St. Lawrence River,Pressions mixtes,Excellente,0
2017-2019,Great Lakes and St. Lawrence River,Pressions mixtes,Bonne,9
2017-2019,Great Lakes and St. Lawrence River,Pressions mixtes,Satisfaisante,33
2017-2019,Great Lakes and St. Lawrence River,Non aménagés,Excellente,0
2017-2019,Great Lakes and St. Lawrence River,Non aménagés,Bonne,7
2017-2019,Great Lakes and St. Lawrence River,Non aménagés,Satisfaisante,2
2017-2019,Baie d'Hudson,Agriculture,Excellente,0
2017-2019,Baie d'Hudson,Agriculture,Bonne,18
2017-2019,Baie d'Hudson,Agriculture,Satisfaisante,23
2017-2019,Baie d'Hudson,Foresterie,Excellente,0
2017-2019,Baie d'Hudson,Foresterie,Bonne,0
2017-2019,Baie d'Hudson,Foresterie,Satisfaisante,0
2017-2019,Baie d'Hudson,Exploitation minière,Excellente,0
2017-2019,Baie d'Hudson,Exploitation minière,Bonne,0
2017-2019,Baie d'Hudson,Exploitation minière,Satisfaisante,0
2017-2019,Baie d'Hudson,Peuplé,Excellente,0
2017-2019,Baie d'Hudson,Peuplé,Bonne,0
2017-2019,Baie d'Hudson,Peuplé,Satisfaisante,0
2017-2019,Baie d'Hudson,Pressions mixtes,Excellente,9
2017-2019,Baie d'Hudson,Pressions mixtes,Bonne,18
2017-2019,Baie d'Hudson,Pressions mixtes,Satisfaisante,20
2017-2019,Baie d'Hudson,Non aménagés,Excellente,5
2017-2019,Baie d'Hudson,Non aménagés,Bonne,0
2017-2019,Baie d'Hudson,Non aménagés,Satisfaisante,0
2017-2019,Fleuve Mackenzie,Agriculture,Excellente,0
2017-2019,Fleuve Mackenzie,Agriculture,Bonne,0
2017-2019,Fleuve Mackenzie,Agriculture,Satisfaisante,0
2017-2019,Fleuve Mackenzie,Foresterie,Excellente,0
2017-2019,Fleuve Mackenzie,Foresterie,Bonne,0
2017-2019,Fleuve Mackenzie,Foresterie,Satisfaisante,0
2017-2019,Fleuve Mackenzie,Exploitation minière,Excellente,0
2017-2019,Fleuve Mackenzie,Exploitation minière,Bonne,10
2017-2019,Fleuve Mackenzie,Exploitation minière,Satisfaisante,10
2017-2019,Fleuve Mackenzie,Peuplé,Excellente,0
2017-2019,Fleuve Mackenzie,Peuplé,Bonne,0
2017-2019,Fleuve Mackenzie,Peuplé,Satisfaisante,0
2017-2019,Fleuve Mackenzie,Pressions mixtes,Excellente,5
2017-2019,Fleuve Mackenzie,Pressions mixtes,Bonne,5
2017-2019,Fleuve Mackenzie,Pressions mixtes,Satisfaisante,30
2017-2019,Fleuve Mackenzie,Non aménagés,Excellente,5
2017-2019,Fleuve Mackenzie,Non aménagés,Bonne,15
2017-2019,Fleuve Mackenzie,Non aménagés,Satisfaisante,10
2017-2019,Océan Pacifique,Agriculture,Excellente,0
2017-2019,Océan Pacifique,Agriculture,Bonne,0
2017-2019,Océan Pacifique,Agriculture,Satisfaisante,0
2017-2019,Océan Pacifique,Foresterie,Excellente,0
2017-2019,Océan Pacifique,Foresterie,Bonne,8
2017-2019,Océan Pacifique,Foresterie,Satisfaisante,0
2017-2019,Océan Pacifique,Exploitation minière,Excellente,0
2017-2019,Océan Pacifique,Exploitation minière,Bonne,8
2017-2019,Océan Pacifique,Exploitation minière,Satisfaisante,0
2017-2019,Océan Pacifique,Peuplé,Excellente,0
2017-2019,Océan Pacifique,Peuplé,Bonne,0
2017-2019,Océan Pacifique,Peuplé,Satisfaisante,0
2017-2019,Océan Pacifique,Mixed Pressures,Excellente,0
2017-2019,Océan Pacifique,Mixed Pressures,Bonne,8
2017-2019,Océan Pacifique,Mixed Pressures,Satisfaisante,33
2017-2019,Océan Pacifique,Non aménagés,Excellente,8
2017-2019,Océan Pacifique,Non aménagés,Bonne,4
2017-2019,Océan Pacifique,Non aménagés,Satisfaisante,0
2016-2018,Océan Atlantique,Agriculture,Total,9
2016-2018,Océan Atlantique,Foresterie,Total,29
2016-2018,Océan Atlantique,Exploitation minière,Total,4
2016-2018,Océan Atlantique,Pressions mixtes,Total,13
2016-2018,Océan Atlantique,Peuplé,Total,0
2016-2018,Océan Atlantique,Total,Total,86
2016-2018,Océan Atlantique,Non aménagés,Total,31
2016-2018,Canada,Agriculture,Total,15
2016-2018,Canada,Foresterie,Total,9
2016-2018,Canada,Exploitation minière,Total,4
2016-2018,Canada,Pressions mixtes,Total,38
2016-2018,Canada,Peuplé,Total,1
2016-2018,,,,80
2016-2018,Canada,Non aménagés,Total,13
2016-2018,Great Lakes and St. Lawrence River,Agriculture,Total,12
2016-2018,Great Lakes and St. Lawrence River,Foresterie,Total,2
2016-2018,Great Lakes and St. Lawrence River,Exploitation minière,Total,8
2016-2018,Great Lakes and St. Lawrence River,Pressions mixtes,Total,41
2016-2018,Great Lakes and St. Lawrence River,Peuplé,Total,2
2016-2018,Great Lakes and St. Lawrence River,Total,Total,74
2016-2018,Great Lakes and St. Lawrence River,Non aménagés,Total,9
2016-2018,Baie d'Hudson,Agriculture,Total,33
2016-2018,Baie d'Hudson,Foresterie,Total,0
2016-2018,Baie d'Hudson,Exploitation minière,Total,0
2016-2018,Baie d'Hudson,Pressions mixtes,Total,45
2016-2018,Baie d'Hudson,Peuplé,Total,0
2016-2018,Baie d'Hudson,Total,Total,82
2016-2018,Baie d'Hudson,Non aménagés,Total,4
2016-2018,Fleuve Mackenzie,Agriculture,Total,0
2016-2018,Fleuve Mackenzie,Foresterie,Total,0
2016-2018,Fleuve Mackenzie,Exploitation minière,Total,20
2016-2018,Fleuve Mackenzie,Pressions mixtes,Total,40
2016-2018,Fleuve Mackenzie,Peuplé,Total,0
2016-2018,Fleuve Mackenzie,Total,Total,100
2016-2018,Fleuve Mackenzie,Non aménagés,Total,40
2016-2018,Océan Pacifique,Agriculture,Total,0
2016-2018,Océan Pacifique,Foresterie,Total,8
2016-2018,Océan Pacifique,Exploitation minière,Total,12
2016-2018,Océan Pacifique,Pressions mixtes,Total,44
2016-2018,Océan Pacifique,Peuplé,Total,0
2016-2018,Océan Pacifique,Total,Total,76
2016-2018,Océan Pacifique,Non aménagés,Total,12
2017-2019,Océan Atlantique,Agriculture,Total,9
2017-2019,Océan Atlantique,Foresterie,Total,30
2017-2019,Océan Atlantique,Exploitation minière,Total,4
2017-2019,Océan Atlantique,Pressions mixtes,Total,14
2017-2019,Océan Atlantique,Peuplé,Total,0
2017-2019,Océan Atlantique,Total,Total,88
2017-2019,Océan Atlantique,Non aménagés,Total,31
2017-2019,Canada,Agriculture,Total,17
2017-2019,Canada,Foresterie,Total,9
2017-2019,Canada,Exploitation minière,Total,4
2017-2019,Canada,Pressions mixtes,Total,37
2017-2019,Canada,Peuplé,Total,1
2017-2019,,,,83
2017-2019,Canada,Non aménagés,Total,13
2017-2019,Great Lakes and St. Lawrence River,Agriculture,Total,12
2017-2019,Great Lakes and St. Lawrence River,Foresterie,Total,2
2017-2019,Great Lakes and St. Lawrence River,Exploitation minière,Total,6
2017-2019,Great Lakes and St. Lawrence River,Pressions mixtes,Total,42
2017-2019,Great Lakes and St. Lawrence River,Peuplé,Total,2
2017-2019,Great Lakes and St. Lawrence River,Total,Total,73
2017-2019,Great Lakes and St. Lawrence River,Non aménagés,Total,9
2017-2019,Baie d'Hudson,Agriculture,Total,41
2017-2019,Baie d'Hudson,Foresterie,Total,0
2017-2019,Baie d'Hudson,Exploitation minière,Total,0
2017-2019,Baie d'Hudson,Pressions mixtes,Total,47
2017-2019,Baie d'Hudson,Peuplé,Total,0
2017-2019,Baie d'Hudson,Total,Total,93
2017-2019,Baie d'Hudson,Non aménagés,Total,5
2017-2019,Fleuve Mackenzie,Agriculture,Total,0
2017-2019,Fleuve Mackenzie,Foresterie,Total,0
2017-2019,Fleuve Mackenzie,Exploitation minière,Total,20
2017-2019,Fleuve Mackenzie,Pressions mixtes,Total,40
2017-2019,Fleuve Mackenzie,Peuplé,Total,0
2017-2019,Fleuve Mackenzie,Total,Total,90
2017-2019,Fleuve Mackenzie,Non aménagés,Total,30
2017-2019,Océan Pacifique,Agriculture,Total,0
2017-2019,Océan Pacifique,Foresterie,Total,8
2017-2019,Océan Pacifique,Exploitation minière,Total,8
2017-2019,Océan Pacifique,Mixed Pressures,Total,41
2017-2019,Océan Pacifique,Peuplé,Total,0
2017-2019,Océan Pacifique,Total,Total,70
2017-2019,Océan Pacifique,Non aménagés,Total,12
2018-2020,Canada,Agriculture,Excellente,1
2018-2020,Canada,Agriculture,Bonne,8
2018-2020,Canada,Agriculture,Satisfaisante,7
2018-2020,Canada,Foresterie,Excellente,2
2018-2020,Canada,Foresterie,Bonne,4
2018-2020,Canada,Foresterie,Satisfaisante,3
2018-2020,Canada,Exploitation minière,Excellente,0
2018-2020,Canada,Exploitation minière,Bonne,2
2018-2020,Canada,Exploitation minière,Satisfaisante,2
2018-2020,Canada,Peuplé,Excellente,0
2018-2020,Canada,Peuplé,Bonne,0
2018-2020,Canada,Peuplé,Satisfaisante,1
2018-2020,Canada,Pressions mixtes,Excellente,3
2018-2020,Canada,Pressions mixtes,Bonne,13
2018-2020,Canada,Pressions mixtes,Satisfaisante,22
2018-2020,Canada,Non aménagés,Excellente,3
2018-2020,Canada,Non aménagés,Bonne,9
2018-2020,Canada,Non aménagés,Satisfaisante,2
2018-2020,Canada,Total,Excellente,10
2018-2020,Canada,Total,Bonne,35
2018-2020,Canada,Total,Satisfaisante,38
2018-2020,Canada,Agriculture,Total,16
2018-2020,Canada,Foresterie,Total,9
2018-2020,Canada,Exploitation minière,Total,4
2018-2020,Canada,Pressions mixtes,Total,38
2018-2020,Canada,Peuplé,Total,1
2018-2020,,,,83
2018-2020,Canada,Non aménagés,Total,14
2018-2020,Océan Atlantique,Total,Excellente,9
2018-2020,Great Lakes and St. Lawrence River,Total,Excellente,5
2018-2020,Baie d'Hudson,Total,Excellente,16
2018-2020,Fleuve Mackenzie,Total,Excellente,18
2018-2020,Océan Pacifique,Total,Excellente,14
2018-2020,Océan Atlantique,Total,Bonne,53
2018-2020,Great Lakes and St. Lawrence River,Total,Bonne,26
2018-2020,Baie d'Hudson,Total,Bonne,36
2018-2020,Fleuve Mackenzie,Total,Bonne,41
2018-2020,Océan Pacifique,Total,Bonne,29
2018-2020,Océan Atlantique,Total,Satisfaisante,27
2018-2020,Great Lakes and St. Lawrence River,Total,Satisfaisante,40
2018-2020,Baie d'Hudson,Total,Satisfaisante,41
2018-2020,Fleuve Mackenzie,Total,Satisfaisante,41
2018-2020,Océan Pacifique,Total,Satisfaisante,43
2018-2020,Océan Atlantique,Total,Total,89
2018-2020,Great Lakes and St. Lawrence River,Total,Total,71
2018-2020,Baie d'Hudson,Total,Total,93
2018-2020,Fleuve Mackenzie,Total,Total,100
2018-2020,Océan Pacifique,Total,Total,86
2018-2020,Océan Atlantique,Agriculture,Excellente,0
2018-2020,Océan Atlantique,Agriculture,Bonne,9
2018-2020,Océan Atlantique,Agriculture,Satisfaisante,0
2018-2020,Océan Atlantique,Foresterie,Excellente,7
2018-2020,Océan Atlantique,Foresterie,Bonne,11
2018-2020,Océan Atlantique,Foresterie,Satisfaisante,13
2018-2020,Océan Atlantique,Exploitation minière,Excellente,0
2018-2020,Océan Atlantique,Exploitation minière,Bonne,2
2018-2020,Océan Atlantique,Exploitation minière,Satisfaisante,2
2018-2020,Océan Atlantique,Peuplé,Excellente,0
2018-2020,Océan Atlantique,Peuplé,Bonne,0
2018-2020,Océan Atlantique,Peuplé,Satisfaisante,0
2018-2020,Océan Atlantique,Pressions mixtes,Excellente,0
2018-2020,Océan Atlantique,Pressions mixtes,Bonne,7
2018-2020,Océan Atlantique,Pressions mixtes,Satisfaisante,7
2018-2020,Océan Atlantique,Non aménagés,Excellente,2
2018-2020,Océan Atlantique,Non aménagés,Bonne,24
2018-2020,Océan Atlantique,Non aménagés,Satisfaisante,4
2018-2020,Océan Atlantique,Total,Excellente,9
2018-2020,Océan Atlantique,Total,Bonne,53
2018-2020,Océan Atlantique,Total,Satisfaisante,27
2018-2020,Great Lakes and St. Lawrence River,Agriculture,Excellente,3
2018-2020,Great Lakes and St. Lawrence River,Agriculture,Bonne,3
2018-2020,Great Lakes and St. Lawrence River,Agriculture,Satisfaisante,5
2018-2020,Great Lakes and St. Lawrence River,Foresterie,Excellente,0
2018-2020,Great Lakes and St. Lawrence River,Foresterie,Bonne,2
2018-2020,Great Lakes and St. Lawrence River,Foresterie,Satisfaisante,0
2018-2020,Great Lakes and St. Lawrence River,Exploitation minière,Excellente,0
2018-2020,Great Lakes and St. Lawrence River,Exploitation minière,Bonne,3
2018-2020,Great Lakes and St. Lawrence River,Exploitation minière,Satisfaisante,3
2018-2020,Great Lakes and St. Lawrence River,Peuplé,Excellente,0
2018-2020,Great Lakes and St. Lawrence River,Peuplé,Bonne,0
2018-2020,Great Lakes and St. Lawrence River,Peuplé,Satisfaisante,2
2018-2020,Great Lakes and St. Lawrence River,Pressions mixtes,Excellente,0
2018-2020,Great Lakes and St. Lawrence River,Pressions mixtes,Bonne,12
2018-2020,Great Lakes and St. Lawrence River,Pressions mixtes,Satisfaisante,28
2018-2020,Great Lakes and St. Lawrence River,Non aménagés,Excellente,2
2018-2020,Great Lakes and St. Lawrence River,Non aménagés,Bonne,5
2018-2020,Great Lakes and St. Lawrence River,Non aménagés,Satisfaisante,2
2018-2020,Great Lakes and St. Lawrence River,Total,Excellente,5
2018-2020,Great Lakes and St. Lawrence River,Total,Bonne,26
2018-2020,Great Lakes and St. Lawrence River,Total,Satisfaisante,40
2018-2020,Baie d'Hudson,Agriculture,Excellente,0
2018-2020,Baie d'Hudson,Agriculture,Bonne,18
2018-2020,Baie d'Hudson,Agriculture,Satisfaisante,23
2018-2020,Baie d'Hudson,Foresterie,Excellente,0
2018-2020,Baie d'Hudson,Foresterie,Bonne,0
2018-2020,Baie d'Hudson,Foresterie,Satisfaisante,0
2018-2020,Baie d'Hudson,Exploitation minière,Excellente,0
2018-2020,Baie d'Hudson,Exploitation minière,Bonne,0
2018-2020,Baie d'Hudson,Exploitation minière,Satisfaisante,0
2018-2020,Baie d'Hudson,Peuplé,Excellente,0
2018-2020,Baie d'Hudson,Peuplé,Bonne,0
2018-2020,Baie d'Hudson,Peuplé,Satisfaisante,0
2018-2020,Baie d'Hudson,Pressions mixtes,Excellente,11
2018-2020,Baie d'Hudson,Pressions mixtes,Bonne,18
2018-2020,Baie d'Hudson,Pressions mixtes,Satisfaisante,18
2018-2020,Baie d'Hudson,Non aménagés,Excellente,5
2018-2020,Baie d'Hudson,Non aménagés,Bonne,0
2018-2020,Baie d'Hudson,Non aménagés,Satisfaisante,0
2018-2020,Baie d'Hudson,Total,Excellente,16
2018-2020,Baie d'Hudson,Total,Bonne,36
2018-2020,Baie d'Hudson,Total,Satisfaisante,41
2018-2020,Fleuve Mackenzie,Agriculture,Excellente,0
2018-2020,Fleuve Mackenzie,Agriculture,Bonne,0
2018-2020,Fleuve Mackenzie,Agriculture,Satisfaisante,0
2018-2020,Fleuve Mackenzie,Foresterie,Excellente,0
2018-2020,Fleuve Mackenzie,Foresterie,Bonne,0
2018-2020,Fleuve Mackenzie,Foresterie,Satisfaisante,0
2018-2020,Fleuve Mackenzie,Exploitation minière,Excellente,6
2018-2020,Fleuve Mackenzie,Exploitation minière,Bonne,6
2018-2020,Fleuve Mackenzie,Exploitation minière,Satisfaisante,6
2018-2020,Fleuve Mackenzie,Peuplé,Excellente,0
2018-2020,Fleuve Mackenzie,Peuplé,Bonne,0
2018-2020,Fleuve Mackenzie,Peuplé,Satisfaisante,0
2018-2020,Fleuve Mackenzie,Pressions mixtes,Excellente,6
2018-2020,Fleuve Mackenzie,Pressions mixtes,Bonne,12
2018-2020,Fleuve Mackenzie,Pressions mixtes,Satisfaisante,29
2018-2020,Fleuve Mackenzie,Non aménagés,Excellente,6
2018-2020,Fleuve Mackenzie,Non aménagés,Bonne,24
2018-2020,Fleuve Mackenzie,Non aménagés,Satisfaisante,6
2018-2020,Fleuve Mackenzie,Total,Excellente,18
2018-2020,Fleuve Mackenzie,Total,Bonne,41
2018-2020,Fleuve Mackenzie,Total,Satisfaisante,41
2018-2020,Océan Pacifique,Agriculture,Excellente,0
2018-2020,Océan Pacifique,Agriculture,Bonne,0
