Year,Units,Indice de parité,Géographie,GeoCode,Value
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre les sexes,Nouveau-Brunswick,13,1.0
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre les sexes,Québec,24,1.01
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre les sexes,Ontario,35,0.99
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre les sexes,Manitoba,46,0.96
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre les sexes,Saskatchewan,47,0.97
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre les sexes,Alberta,48,0.98
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre les sexes,Colombie-Britannique,59,0.98
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,"Indice de statut économique, social et culturel (SESC)",Canada,,0.8
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,"Indice de statut économique, social et culturel (SESC)",Terre-Neuve-et-Labrador,10,0.78
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,"Indice de statut économique, social et culturel (SESC)",Île-du-Prince-Édouard,11,0.91
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,"Indice de statut économique, social et culturel (SESC)",Nouvelle-Écosse,12,0.79
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,"Indice de statut économique, social et culturel (SESC)",Nouveau-Brunswick,13,0.79
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,"Indice de statut économique, social et culturel (SESC)",Québec,24,0.85
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,"Indice de statut économique, social et culturel (SESC)",Ontario,35,0.8
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,"Indice de statut économique, social et culturel (SESC)",Manitoba,46,0.8
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,"Indice de statut économique, social et culturel (SESC)",Saskatchewan,47,0.78
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,"Indice de statut économique, social et culturel (SESC)",Alberta,48,0.86
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,"Indice de statut économique, social et culturel (SESC)",Colombie-Britannique,59,0.87
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre millieu urban et rural (IPM),Canada,,0.9
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre millieu urban et rural (IPM),Terre-Neuve-et-Labrador,10,0.92
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre millieu urban et rural (IPM),Île-du-Prince-Édouard,11,
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre millieu urban et rural (IPM),Nouvelle-Écosse,12,0.95
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre millieu urban et rural (IPM),Nouveau-Brunswick,13,0.94
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre millieu urban et rural (IPM),Québec,24,0.81
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre millieu urban et rural (IPM),Ontario,35,0.93
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre millieu urban et rural (IPM),Manitoba,46,0.92
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre millieu urban et rural (IPM),Saskatchewan,47,0.99
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre millieu urban et rural (IPM),Alberta,48,1.04
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en mathématiques,Indice de parité entre millieu urban et rural (IPM),Colombie-Britannique,59,0.76
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre les sexes,Canada,,1.1
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre les sexes,Terre-Neuve-et-Labrador,10,1.07
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre les sexes,Île-du-Prince-Édouard,11,1.12
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre les sexes,Nouvelle-Écosse,12,1.08
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre les sexes,Nouveau-Brunswick,13,1.09
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre les sexes,Québec,24,1.06
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre les sexes,Ontario,35,1.08
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre les sexes,Manitoba,46,1.07
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre les sexes,Saskatchewan,47,1.09
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre les sexes,Alberta,48,1.04
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre les sexes,Colombie-Britannique,59,1.07
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,"Indice de statut économique, social et culturel (SESC)",Canada,,0.9
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,"Indice de statut économique, social et culturel (SESC)",Terre-Neuve-et-Labrador,10,0.87
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,"Indice de statut économique, social et culturel (SESC)",Île-du-Prince-Édouard,11,0.95
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,"Indice de statut économique, social et culturel (SESC)",Nouvelle-Écosse,12,0.87
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,"Indice de statut économique, social et culturel (SESC)",Nouveau-Brunswick,13,0.86
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,"Indice de statut économique, social et culturel (SESC)",Québec,24,0.85
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,"Indice de statut économique, social et culturel (SESC)",Ontario,35,0.85
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,"Indice de statut économique, social et culturel (SESC)",Manitoba,46,0.83
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,"Indice de statut économique, social et culturel (SESC)",Saskatchewan,47,0.84
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,"Indice de statut économique, social et culturel (SESC)",Alberta,48,0.9
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,"Indice de statut économique, social et culturel (SESC)",Colombie-Britannique,59,0.91
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre millieu urban et rural (IPM),Canada,,0.9
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre millieu urban et rural (IPM),Terre-Neuve-et-Labrador,10,0.95
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre millieu urban et rural (IPM),Île-du-Prince-Édouard,11,
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre millieu urban et rural (IPM),Nouvelle-Écosse,12,0.95
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre millieu urban et rural (IPM),Nouveau-Brunswick,13,0.95
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre millieu urban et rural (IPM),Québec,24,0.77
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre millieu urban et rural (IPM),Ontario,35,0.95
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre millieu urban et rural (IPM),Manitoba,46,0.96
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre millieu urban et rural (IPM),Saskatchewan,47,0.97
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre millieu urban et rural (IPM),Alberta,48,1.01
2015,La proportion des jeunes de 15 ans atteignant au moins un niveau minimum de compétence (PISA niveau 2) en lecture,Indice de parité entre millieu urban et rural (IPM),Colombie-Britannique,59,0.86
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Canada,,0.9
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Terre-Neuve-et-Labrador,10,0.95
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Île-du-Prince-Édouard,11,1.01
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Nouvelle-Écosse,12,0.92
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Nouveau-Brunswick,13,0.92
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Québec,24,0.93
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Ontario,35,0.91
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Manitoba,46,1.0
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Saskatchewan,47,0.95
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Alberta,48,0.9
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Colombie-Britannique,59,0.91
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Yukon,60,1.08
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Territoires du Nord-Ouest,61,0.92
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité entre les sexes,Nunavut,62,0.83
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Canada,,0.8
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Terre-Neuve-et-Labrador,10,0.69
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Île-du-Prince-Édouard,11,0.89
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Nouvelle-Écosse,12,0.8
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Nouveau-Brunswick,13,0.78
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Québec,24,0.82
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Ontario,35,0.83
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Manitoba,46,0.81
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Saskatchewan,47,0.8
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Alberta,48,0.86
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Colombie-Britannique,59,0.85
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Yukon,60,0.73
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Territoires du Nord-Ouest,61,0.62
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA score de 226) en compétences en numératie fonctionnelle,Indice de parité du niveau de formation des parents,Nunavut,62,0.43
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Canada,,1.0
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Terre-Neuve-et-Labrador,10,1.05
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Île-du-Prince-Édouard,11,1.07
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Nouvelle-Écosse,12,1.01
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Nouveau-Brunswick,13,1.01
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Québec,24,0.99
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Ontario,35,0.98
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Manitoba,46,1.05
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Saskatchewan,47,1.03
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Alberta,48,0.99
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Colombie-Britannique,59,0.99
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Yukon,60,1.12
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Territoires du Nord-Ouest,61,1.04
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité entre les sexes,Nunavut,62,0.91
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Canada,,0.9
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Terre-Neuve-et-Labrador,10,0.8
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Île-du-Prince-Édouard,11,0.93
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Nouvelle-Écosse,12,0.88
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Nouveau-Brunswick,13,0.84
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Québec,24,0.85
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Ontario,35,0.88
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Manitoba,46,0.87
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Saskatchewan,47,0.86
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Alberta,48,0.9
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Colombie-Britannique,59,0.88
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Yukon,60,0.83
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Territoires du Nord-Ouest,61,0.71
2012,La proportion des adultes (25 à 64 ans) atteignant au moins un niveau fixe de compétence (PEICA un score 226) en compétences en littératie,Indice de parité du niveau de formation des parents,Nunavut,62,0.55
