Year,Geography,Level of government,Type of heritage,Value
2015,Quebec,Consolidated provincial-territorial and local governments,Cultural services,0.00013
2015,Quebec,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1e-05
2015,Quebec,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9e-05
2015,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,5e-05
2015,Ontario,Consolidated provincial-territorial and local governments,Cultural services,9e-05
2015,Ontario,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,5e-05
2015,Ontario,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2015,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3e-05
2015,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,0.00011
2015,Manitoba,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,2e-05
2015,Manitoba,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Saskatchewan,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",7e-05
2015,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00011
2015,Alberta,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2015,Alberta,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1e-05
2015,Alberta,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",8e-05
2015,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2015,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,7e-05
2015,British Columbia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.00013
2015,British Columbia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0001
2015,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00141
2015,Yukon,Consolidated provincial-territorial and local governments,Cultural services,0.00037
2015,Yukon,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Yukon,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00032
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,0.00023
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,2e-05
2015,Northwest Territories,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00027
2015,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00016
2015,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,0.00058
2015,Nunavut,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Nunavut,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00036
2016,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,5e-05
2016,Canada,Consolidated Canadian general government,Cultural services,0.00016
2016,Canada,Consolidated Canadian general government,Broadcasting and publishing services,9e-05
2016,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",5e-05
2016,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,4e-05
2016,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2016,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4e-05
2016,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,8e-05
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4e-05
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,9e-05
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2016,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2016,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,0.00011
2016,Nova Scotia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Nova Scotia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9e-05
2016,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2016,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,8e-05
2016,New Brunswick,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,New Brunswick,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",2e-05
2016,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2016,Quebec,Consolidated provincial-territorial and local governments,Cultural services,0.00013
2016,Quebec,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1e-05
2016,Quebec,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",8e-05
2016,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,5e-05
2016,Ontario,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2016,Ontario,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,5e-05
2016,Ontario,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2016,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3e-05
2016,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,0.00011
2016,Manitoba,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,2e-05
2016,Manitoba,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2016,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2016,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2016,Saskatchewan,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Saskatchewan,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6e-05
2016,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,8e-05
2016,Alberta,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2016,Alberta,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1e-05
2016,Alberta,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",7e-05
2016,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2016,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,7e-05
2016,British Columbia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0001
2016,British Columbia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0001
2016,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00109
2016,Yukon,Consolidated provincial-territorial and local governments,Cultural services,0.00049
2016,Yukon,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Yukon,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2016,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00029
2016,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,0.00022
2016,Northwest Territories,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,2e-05
2016,Northwest Territories,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00027
2016,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00016
2016,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,0.00057
2016,Nunavut,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2016,Nunavut,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00041
2017,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,5e-05
2017,Canada,Consolidated Canadian general government,Cultural services,0.00017
2017,Canada,Consolidated Canadian general government,Broadcasting and publishing services,0.0001
2017,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",5e-05
2017,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,4e-05
2017,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.00011
2017,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4e-05
2017,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,9e-05
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4e-05
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,9e-05
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2017,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2017,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2017,Nova Scotia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Nova Scotia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0001
2017,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2017,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,8e-05
2017,New Brunswick,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,New Brunswick,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0
2017,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2017,Quebec,Consolidated provincial-territorial and local governments,Cultural services,0.00014
2017,Quebec,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1e-05
2017,Quebec,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",8e-05
2017,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,6e-05
2017,Ontario,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2017,Ontario,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,6e-05
2017,Ontario,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2017,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3e-05
2017,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,0.00012
2017,Manitoba,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1e-05
2017,Manitoba,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2017,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2017,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2017,Saskatchewan,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Saskatchewan,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6e-05
2017,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,7e-05
2017,Alberta,Consolidated provincial-territorial and local governments,Cultural services,0.00012
2017,Alberta,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1e-05
2017,Alberta,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",7e-05
2017,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2017,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,7e-05
2017,British Columbia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.00014
2017,British Columbia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",9e-05
2017,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00086
2017,Yukon,Consolidated provincial-territorial and local governments,Cultural services,0.00038
2017,Yukon,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Yukon,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2017,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00029
2017,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,0.0002
2017,Northwest Territories,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4e-05
2017,Northwest Territories,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00029
2017,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00016
2017,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,0.00067
2017,Nunavut,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2017,Nunavut,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00048
2018,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,5e-05
2018,Canada,Consolidated Canadian general government,Cultural services,0.00017
2018,Canada,Consolidated Canadian general government,Broadcasting and publishing services,0.00011
2018,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",5e-05
2018,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,4e-05
2018,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.00011
2018,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,5e-05
2018,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,9e-05
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4e-05
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,9e-05
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2018,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,4e-05
2018,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,6e-05
2018,Nova Scotia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Nova Scotia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00011
2018,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2018,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,8e-05
2018,New Brunswick,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,New Brunswick,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2018,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2018,Quebec,Consolidated provincial-territorial and local governments,Cultural services,0.00015
2018,Quebec,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1e-05
2018,Quebec,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",8e-05
2018,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,6e-05
2018,Ontario,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2018,Ontario,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,5e-05
2018,Ontario,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2018,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3e-05
2018,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,0.00012
2018,Manitoba,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1e-05
2018,Manitoba,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2018,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2018,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,0.00012
2018,Saskatchewan,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Saskatchewan,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4e-05
2018,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,7e-05
2018,Alberta,Consolidated provincial-territorial and local governments,Cultural services,0.00012
2018,Alberta,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1e-05
2018,Alberta,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6e-05
2018,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2018,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,6e-05
2018,British Columbia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.00019
2018,British Columbia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0001
2018,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00049
2018,Yukon,Consolidated provincial-territorial and local governments,Cultural services,0.00039
2018,Yukon,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Yukon,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2018,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00031
2018,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,0.00022
2018,Northwest Territories,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4e-05
2018,Northwest Territories,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00031
2018,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00016
2018,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,0.00071
2018,Nunavut,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2018,Nunavut,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00047
2019,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,6e-05
2019,Canada,Consolidated Canadian general government,Cultural services,0.00018
2019,Canada,Consolidated Canadian general government,Broadcasting and publishing services,0.0001
2019,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",5e-05
2019,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,4e-05
2019,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.00011
2019,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,5e-05
2019,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,7e-05
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4e-05
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,7e-05
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2019,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3e-05
2019,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,3e-05
2019,Nova Scotia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,Nova Scotia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00011
2019,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2019,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,8e-05
2019,New Brunswick,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,New Brunswick,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2019,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2019,Quebec,Consolidated provincial-territorial and local governments,Cultural services,0.00016
2019,Quebec,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1e-05
2019,Quebec,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",8e-05
2019,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,6e-05
2019,Ontario,Consolidated provincial-territorial and local governments,Cultural services,0.0001
2019,Ontario,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,6e-05
2019,Ontario,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2019,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3e-05
2019,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,0.00016
2019,Manitoba,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4e-05
2019,Manitoba,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1e-05
2019,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2e-05
2019,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,0.00014
2019,Saskatchewan,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,Saskatchewan,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2019,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00011
2019,Alberta,Consolidated provincial-territorial and local governments,Cultural services,0.00011
2019,Alberta,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,Alberta,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",7e-05
2019,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2019,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,7e-05
2019,British Columbia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.00016
2019,British Columbia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.0001
2019,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.0007
2019,Yukon,Consolidated provincial-territorial and local governments,Cultural services,0.00041
2019,Yukon,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,Yukon,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2019,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00038
2019,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,0.00022
2019,Northwest Territories,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4e-05
2019,Northwest Territories,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00033
2019,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,0.00018
2019,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,0.00062
2019,Nunavut,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2019,Nunavut,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",0.00052
2020,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,5e-05
2020,Canada,Consolidated Canadian general government,Cultural services,0.00019
2020,Canada,Consolidated Canadian general government,Broadcasting and publishing services,0.00011
2020,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",6e-05
2020,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,3e-05
2020,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.00012
2020,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,5e-05
2020,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5e-05
2020,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2020,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,8e-05
2020,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2020,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4e-05
2020,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1e-05
2020,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,6e-05
2020,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
