Year,Units,Geography,GeoCode,Value
2019,Per capita,Manitoba,46,5.90529755013672
2019,Per capita,Saskatchewan,47,4.71672925485233
2019,Per capita,Alberta,48,6.7985371486938
2019,Per capita,British Columbia,59,4.18351824096588
2019,Per capita,Yukon,60,0.482979546443596
2019,Per capita,Northwest Territories,61,0.312780119813623
2019,Per capita,Nunavut,62,0.395677860696517
2020,Per capita,,,6.21045828568223
2020,Per capita,Newfoundland and Labrador,10,2.93244769918617
2020,Per capita,Prince Edward Island,11,5.83533058491677
2020,Per capita,Nova Scotia,12,2.94108023807899
2020,Per capita,New Brunswick,13,5.41224987100828
2020,Per capita,Quebec,24,7.2571233688894
2020,Per capita,Ontario,35,7.0105715582932
2020,Per capita,Manitoba,46,5.74593300325824
2020,Per capita,Saskatchewan,47,4.26879072557823
2020,Per capita,Alberta,48,5.85921603592923
2020,Per capita,British Columbia,59,4.28291948687759
2020,Per capita,Yukon,60,0.532315062969902
2020,Per capita,Northwest Territories,61,
2020,Per capita,Nunavut,62,
2021,Per capita,,,7.69151074210355
2021,Per capita,Newfoundland and Labrador,10,3.88367226948883
2021,Per capita,Prince Edward Island,11,5.7505371514585
2021,Per capita,Nova Scotia,12,3.48017741598621
2021,Per capita,New Brunswick,13,7.05665373647201
2021,Per capita,Quebec,24,8.78438063618773
2021,Per capita,Ontario,35,8.49679940053711
2021,Per capita,Manitoba,46,6.30503908464136
2021,Per capita,Saskatchewan,47,6.1983422669453
2021,Per capita,Alberta,48,7.86182620039322
2021,Per capita,British Columbia,59,5.67325845988123
2021,Per capita,Yukon,60,0.747537572254335
2021,Per capita,Northwest Territories,61,0.44246331995526
2021,Per capita,Nunavut,62,0.594696683538566
