Year,Geography,Type of provider,Value
2019,Alberta,Pharmacy technicians,37.0
2019,Alberta,Physician assistants,1.0
2019,Alberta,Physicians,256.8
2019,Alberta,Physiotherapists,70.7
2019,Alberta,Psychologists,90.0
2019,Alberta,Psychotherapists/counselling therapists,
2019,Alberta,Psychotherapists/counselling therapists,0.0
2019,Alberta,Registered nurses,823.1
2019,Alberta,Registered psychiatric nurses,30.9
2019,Alberta,Regulated nurses,1222.7
2019,Alberta,Respiratory therapists,43.4
2019,Alberta,Social workers,174.6
2019,Alberta,Specialists,128.5
2019,Alberta,Speech language pathologists,34.5
2019,Alberta,Speech language pathologists,34.5
2020,Alberta,Audiologists,4.5
2020,Alberta,Chiropractors,26.2
2020,Alberta,Dental assistants,145.2
2020,Alberta,Dental hygienists,75.3
2020,Alberta,Dentists,
2020,Alberta,Dentists,0.0
2020,Alberta,Dietitians,30.6
2020,Alberta,Environmental public health professionals,8.2
2020,Alberta,Family medicine,124.3
2020,Alberta,Genetic counsellors,0.7
2020,Alberta,Health information management professionals,16.9
2020,Alberta,Licensed practical nurses,359.8
2020,Alberta,Medical laboratory technologists,56.1
2020,Alberta,Medical physicists,1.1
2020,Alberta,Medical radiation technologists,54.2
2020,Alberta,Midwives,3.3
2020,Alberta,Nurse practitioners,13.6
2020,Alberta,Occupational therapists,51.9
2020,Alberta,Opticians,
2020,Alberta,Opticians,0.0
2020,Alberta,Optometrists,19.1
2020,Alberta,Paramedics,201.0
2020,Alberta,Pharmacists,126.1
2020,Alberta,Pharmacy technicians,38.5
2020,Alberta,Physician assistants,1.0
2020,Alberta,Physicians,253.3
2020,Alberta,Physiotherapists,72.4
2020,Alberta,Psychologists,93.7
2020,Alberta,Psychotherapists/counselling therapists,
2020,Alberta,Psychotherapists/counselling therapists,0.0
2020,Alberta,Registered nurses,823.4
2020,Alberta,Registered psychiatric nurses,31.0
2020,Alberta,Regulated nurses,1227.7
2020,Alberta,Respiratory therapists,43.2
2020,Alberta,Social workers,174.3
2020,Alberta,Specialists,129.0
2020,Alberta,Speech language pathologists,34.0
2021,Alberta,Audiologists,4.6
2021,Alberta,Chiropractors,26.4
2021,Alberta,Dental assistants,147.0
2021,Alberta,Dental hygienists,76.6
2021,Alberta,Dentists,65.2
2021,Alberta,Dietitians,31.4
2021,Alberta,Dietitians,31.4
2021,Alberta,Environmental public health professionals,8.6
2021,Alberta,Family medicine,122.1
2021,Alberta,Genetic counsellors,0.6
2021,Alberta,Health information management professionals,13.4
2021,Alberta,Licensed practical nurses,371.3
2021,Alberta,Medical laboratory technologists,56.4
2021,Alberta,Medical physicists,1.0
2021,Alberta,Medical radiation technologists,54.3
2021,Alberta,Midwives,3.3
2021,Alberta,Nurse practitioners,14.2
2021,Alberta,Occupational therapists,51.8
2021,Alberta,Opticians,5.8
2021,Alberta,Optometrists,19.4
2021,Alberta,Paramedics,197.9
2021,Alberta,Pharmacists,130.9
2021,Alberta,Pharmacy technicians,40.0
2021,Alberta,Physician assistants,1.2
2021,Alberta,Physicians,249.5
2021,Alberta,Physiotherapists,74.1
2021,Alberta,Psychologists,97.9
2021,Alberta,Psychotherapists/counselling therapists,
2021,Alberta,Psychotherapists/counselling therapists,0.0
2021,Alberta,Registered nurses,816.8
2021,Alberta,Registered psychiatric nurses,30.7
2021,Alberta,Regulated nurses,1233.1
2021,Alberta,Respiratory therapists,43.5
2021,Alberta,Social workers,180.7
2021,Alberta,Specialists,127.4
2021,Alberta,Speech language pathologists,33.6
2015,British Columbia,Audiologists,5.8
2015,British Columbia,Chiropractors,23.5
2015,British Columbia,Dental assistants,124.3
2015,British Columbia,Dental hygienists,77.3
2015,British Columbia,Dentists,68.3
2015,British Columbia,Dietitians,25.7
2015,British Columbia,Environmental public health professionals,3.9
2015,British Columbia,Family medicine,122.5
2015,British Columbia,Genetic counsellors,1.1
2015,British Columbia,Health information management professionals,
2015,British Columbia,Health information management professionals,0.0
2015,British Columbia,Licensed practical nurses,243.3
2015,British Columbia,Medical laboratory technologists,45.8
2015,British Columbia,Medical physicists,1.2
2015,British Columbia,Medical radiation technologists,40.4
2015,British Columbia,Midwives,5.2
2015,British Columbia,Nurse practitioners,6.6
2015,British Columbia,Occupational therapists,44.2
2015,British Columbia,Opticians,
2015,British Columbia,Opticians,0.0
2015,British Columbia,Optometrists,15.1
2015,British Columbia,Paramedics,
2015,British Columbia,Paramedics,0.0
2015,British Columbia,Pharmacists,108.8
2015,British Columbia,Pharmacy technicians,27.4
2015,British Columbia,Physician assistants,0.4
2015,British Columbia,Physicians,228.6
2015,British Columbia,Physiotherapists,71.3
2015,British Columbia,Psychologists,25.0
2015,British Columbia,Registered nurses,741.1
2015,British Columbia,Registered psychiatric nurses,54.1
2015,British Columbia,Regulated nurses,1045.0
2015,British Columbia,Respiratory therapists,19.9
2015,British Columbia,Social workers,87.3
2015,British Columbia,Specialists,106.0
2015,British Columbia,Speech language pathologists,23.2
2015,British Columbia,Speech language pathologists,23.2
2016,British Columbia,Audiologists,5.6
2016,British Columbia,Chiropractors,23.2
2016,British Columbia,Chiropractors,23.2
2016,British Columbia,Dental assistants,123.8
2016,British Columbia,Dental hygienists,78.4
2016,British Columbia,Dentists,69.5
2016,British Columbia,Dietitians,27.0
2016,British Columbia,Environmental public health professionals,3.9
2016,British Columbia,Family medicine,127.4
2016,British Columbia,Genetic counsellors,1.1
2016,British Columbia,Health information management professionals,9.5
2016,British Columbia,Licensed practical nurses,242.3
2016,British Columbia,Medical laboratory technologists,43.5
2016,British Columbia,Medical physicists,1.3
2016,British Columbia,Medical radiation technologists,39.0
2016,British Columbia,Midwives,5.6
2016,British Columbia,Nurse practitioners,7.9
2016,British Columbia,Occupational therapists,45.5
2016,British Columbia,Opticians,25.4
2016,British Columbia,Optometrists,15.3
2016,British Columbia,Paramedics,96.5
2016,British Columbia,Pharmacists,106.8
2016,British Columbia,Pharmacy technicians,28.8
2016,British Columbia,Pharmacy technicians,28.8
2016,British Columbia,Physician assistants,0.4
2016,British Columbia,Physicians,237.6
2016,British Columbia,Physiotherapists,72.8
2016,British Columbia,Psychologists,25.3
2016,British Columbia,Registered nurses,751.3
2016,British Columbia,Registered psychiatric nurses,55.0
2016,British Columbia,Regulated nurses,1056.5
2016,British Columbia,Respiratory therapists,20.6
2016,British Columbia,Social workers,84.3
2016,British Columbia,Specialists,110.3
2016,British Columbia,Speech language pathologists,23.9
2017,British Columbia,Audiologists,5.6
2017,British Columbia,Chiropractors,24.2
2017,British Columbia,Dental assistants,123.8
2017,British Columbia,Dental hygienists,76.0
2017,British Columbia,Dentists,68.4
2017,British Columbia,Dietitians,27.3
2017,British Columbia,Environmental public health professionals,4.6
2017,British Columbia,Family medicine,129.3
2017,British Columbia,Genetic counsellors,1.1
2017,British Columbia,Health information management professionals,9.5
2017,British Columbia,Licensed practical nurses,243.1
2017,British Columbia,Medical laboratory technologists,38.7
2017,British Columbia,Medical physicists,1.4
2017,British Columbia,Medical radiation technologists,42.7
2017,British Columbia,Midwives,6.0
2017,British Columbia,Nurse practitioners,8.5
2017,British Columbia,Occupational therapists,46.8
2017,British Columbia,Opticians,8.5
2017,British Columbia,Optometrists,15.9
2017,British Columbia,Paramedics,95.4
2017,British Columbia,Pharmacists,112.2
2017,British Columbia,Pharmacy technicians,30.3
2017,British Columbia,Physician assistants,0.5
2017,British Columbia,Physicians,239.4
2017,British Columbia,Physiotherapists,74.9
2017,British Columbia,Psychologists,25.0
2017,British Columbia,Psychotherapists/counselling therapists,
2017,British Columbia,Psychotherapists/counselling therapists,0.0
2017,British Columbia,Registered nurses,757.8
2017,British Columbia,Registered psychiatric nurses,55.2
2017,British Columbia,Regulated nurses,1064.5
2017,British Columbia,Respiratory therapists,
2017,British Columbia,Respiratory therapists,0.0
2017,British Columbia,Social workers,85.7
2017,British Columbia,Specialists,110.2
2017,British Columbia,Speech language pathologists,24.5
2017,British Columbia,Speech language pathologists,24.5
2018,British Columbia,Audiologists,6.0
2018,British Columbia,Chiropractors,24.8
2018,British Columbia,Dental assistants,122.5
2018,British Columbia,Dental hygienists,69.6
2018,British Columbia,Dentists,71.7
2018,British Columbia,Dietitians,25.7
2018,British Columbia,Environmental public health professionals,4.2
2018,British Columbia,Family medicine,134.1
2018,British Columbia,Genetic counsellors,1.2
2018,British Columbia,Health information management professionals,
2018,British Columbia,Health information management professionals,0.0
2018,British Columbia,Licensed practical nurses,242.5
2018,British Columbia,Medical laboratory technologists,37.3
2018,British Columbia,Medical physicists,1.4
2018,British Columbia,Medical radiation technologists,42.5
2018,British Columbia,Midwives,5.7
2018,British Columbia,Nurse practitioners,9.3
2018,British Columbia,Occupational therapists,47.6
2018,British Columbia,Opticians,
2018,British Columbia,Opticians,0.0
2018,British Columbia,Optometrists,16.1
2018,British Columbia,Paramedics,97.6
2018,British Columbia,Pharmacists,113.3
2018,British Columbia,Pharmacy technicians,31.3
2018,British Columbia,Pharmacy technicians,31.3
2018,British Columbia,Physician assistants,0.4
2018,British Columbia,Physicians,250.5
2018,British Columbia,Physiotherapists,76.3
2018,British Columbia,Psychologists,24.9
2018,British Columbia,Psychotherapists/counselling therapists,
2018,British Columbia,Psychotherapists/counselling therapists,0.0
2018,British Columbia,Registered nurses,750.3
2018,British Columbia,Registered psychiatric nurses,55.6
2018,British Columbia,Regulated nurses,1057.7
2018,British Columbia,Respiratory therapists,
2018,British Columbia,Respiratory therapists,0.0
2018,British Columbia,Social workers,87.0
2018,British Columbia,Specialists,116.4
2018,British Columbia,Speech language pathologists,26.0
2018,British Columbia,Speech language pathologists,26.0
2019,British Columbia,Audiologists,6.1
2019,British Columbia,Chiropractors,26.0
2019,British Columbia,Dental assistants,120.7
2019,British Columbia,Dental hygienists,81.9
2019,British Columbia,Dentists,70.7
2019,British Columbia,Dietitians,27.5
2019,British Columbia,Environmental public health professionals,3.7
2019,British Columbia,Family medicine,131.3
2019,British Columbia,Genetic counsellors,1.3
2019,British Columbia,Health information management professionals,9.7
2019,British Columbia,Licensed practical nurses,242.4
2019,British Columbia,Medical laboratory technologists,33.9
2019,British Columbia,Medical laboratory technologists,33.9
2019,British Columbia,Medical physicists,1.4
2019,British Columbia,Medical radiation technologists,40.6
2019,British Columbia,Midwives,6.0
2019,British Columbia,Nurse practitioners,10.1
2019,British Columbia,Occupational therapists,48.9
2019,British Columbia,Opticians,11.8
2019,British Columbia,Optometrists,16.7
2019,British Columbia,Paramedics,96.5
2019,British Columbia,Pharmacists,112.6
2019,British Columbia,Pharmacy technicians,32.3
2019,British Columbia,Physician assistants,0.4
2019,British Columbia,Physicians,250.4
2019,British Columbia,Physiotherapists,76.8
2019,British Columbia,Psychologists,24.6
2019,British Columbia,Psychologists,24.6
2019,British Columbia,Psychotherapists/counselling therapists,
2019,British Columbia,Psychotherapists/counselling therapists,0.0
2019,British Columbia,Registered nurses,746.7
2019,British Columbia,Registered psychiatric nurses,55.5
2019,British Columbia,Regulated nurses,1054.7
2019,British Columbia,Respiratory therapists,19.2
2019,British Columbia,Social workers,
2019,British Columbia,Social workers,0.0
2019,British Columbia,Specialists,119.1
2019,British Columbia,Speech language pathologists,26.9
2019,British Columbia,Speech language pathologists,26.9
2020,British Columbia,Audiologists,6.1
2020,British Columbia,Chiropractors,26.3
2020,British Columbia,Dental assistants,119.3
2020,British Columbia,Dental hygienists,76.5
2020,British Columbia,Dentists,
2020,British Columbia,Dentists,0.0
2020,British Columbia,Dietitians,28.5
2020,British Columbia,Dietitians,28.5
2020,British Columbia,Environmental public health professionals,4.3
2020,British Columbia,Family medicine,133.4
2020,British Columbia,Genetic counsellors,1.4
2020,British Columbia,Health information management professionals,9.4
2020,British Columbia,Licensed practical nurses,247.5
2020,British Columbia,Medical laboratory technologists,33.1
2020,British Columbia,Medical physicists,1.5
2020,British Columbia,Medical radiation technologists,40.5
2020,British Columbia,Medical radiation technologists,40.5
2020,British Columbia,Midwives,6.2
2020,British Columbia,Nurse practitioners,10.5
2020,British Columbia,Occupational therapists,49.1
2020,British Columbia,Opticians,
2020,British Columbia,Opticians,0.0
2020,British Columbia,Optometrists,17.0
2020,British Columbia,Paramedics,100.5
2020,British Columbia,Pharmacists,114.5
2020,British Columbia,Pharmacy technicians,32.7
2020,British Columbia,Physician assistants,0.4
2020,British Columbia,Physicians,253.4
2020,British Columbia,Physiotherapists,79.5
2020,British Columbia,Psychologists,24.4
2020,British Columbia,Psychologists,24.4
2020,British Columbia,Psychotherapists/counselling therapists,
2020,British Columbia,Psychotherapists/counselling therapists,0.0
2020,British Columbia,Registered nurses,753.3
2020,British Columbia,Registered psychiatric nurses,56.3
2020,British Columbia,Regulated nurses,1067.7
2020,British Columbia,Respiratory therapists,19.0
2020,British Columbia,Social workers,99.6
2020,British Columbia,Specialists,120.0
2020,British Columbia,Speech language pathologists,27.6
2021,British Columbia,Audiologists,6.0
2021,British Columbia,Chiropractors,26.7
2021,British Columbia,Chiropractors,26.7
2021,British Columbia,Dental assistants,118.7
2021,British Columbia,Dental hygienists,79.0
2021,British Columbia,Dentists,
2021,British Columbia,Dentists,0.0
2021,British Columbia,Dietitians,28.9
2021,British Columbia,Environmental public health professionals,4.7
2021,British Columbia,Family medicine,136.5
2021,British Columbia,Genetic counsellors,1.1
2021,British Columbia,Health information management professionals,7.7
2021,British Columbia,Health information management professionals,7.7
2021,British Columbia,Licensed practical nurses,257.1
2021,British Columbia,Medical laboratory technologists,32.1
2021,British Columbia,Medical physicists,1.2
2021,British Columbia,Medical radiation technologists,35.2
2021,British Columbia,Midwives,6.7
2021,British Columbia,Nurse practitioners,12.4
2021,British Columbia,Occupational therapists,52.5
2021,British Columbia,Opticians,9.1
2021,British Columbia,Optometrists,18.1
2021,British Columbia,Paramedics,99.1
2021,British Columbia,Pharmacists,123.1
2021,British Columbia,Pharmacy technicians,33.0
2021,British Columbia,Physician assistants,0.6
2021,British Columbia,Physicians,259.6
2021,British Columbia,Physiotherapists,84.1
2021,British Columbia,Psychologists,25.0
2021,British Columbia,Psychotherapists/counselling therapists,
2021,British Columbia,Psychotherapists/counselling therapists,0.0
2021,British Columbia,Registered nurses,773.6
2021,British Columbia,Registered psychiatric nurses,59.1
2021,British Columbia,Regulated nurses,1102.3
2021,British Columbia,Respiratory therapists,17.3
2021,British Columbia,Social workers,
2021,British Columbia,Social workers,0.0
2021,British Columbia,Specialists,123.1
2021,British Columbia,Speech language pathologists,28.0
2021,British Columbia,Speech language pathologists,28.0
2015,Canada,Audiologists,5.06
2015,Canada,Chiropractors,23.66
2015,Canada,Dental assistants,53.46
2015,Canada,Dental hygienists,80.0
2015,Canada,Dentists,63.05
2015,Canada,Dietitians,31.58
2015,Canada,Environmental public health professionals,4.55
2015,Canada,Family medicine,116.38
2015,Canada,Genetic counsellors,0.88
2015,Canada,Health information management professionals,0.0
2015,Canada,Licensed practical nurses,317.81
2015,Canada,Medical laboratory technologists,58.12
2015,Canada,Medical physicists,1.31
2015,Canada,Medical radiation technologists,54.31
2015,Canada,Midwives,3.49
2015,Canada,Nurse practitioners,12.07
2015,Canada,Occupational therapists,46.36
2015,Canada,Opticians,5.46
2015,Canada,Optometrists,16.58
2015,Canada,Paramedics,77.77
2015,Canada,Pharmacists,109.97
2015,Canada,Pharmacy technicians,18.49
2015,Canada,Physician assistants,1.21
2015,Canada,Physicians,230.23
2015,Canada,Physiotherapists,60.99
2015,Canada,Psychologists,37.93
2015,Canada,Registered nurses,815.93
2015,Canada,Registered psychiatric nurses,16.16
2015,Canada,Regulated nurses,1161.4
2015,Canada,Respiratory therapists,30.73
2015,Canada,Social workers,135.82
2015,Canada,Specialists,113.85
2015,Canada,Speech language pathologists,25.06
2016,Canada,Audiologists,5.19
2016,Canada,Chiropractors,23.99
2016,Canada,Dental assistants,57.52
2016,Canada,Dental hygienists,80.86
2016,Canada,Dentists,64.01
2016,Canada,Dietitians,32.27
2016,Canada,Environmental public health professionals,4.68
2016,Canada,Family medicine,117.76
2016,Canada,Genetic counsellors,0.88
2016,Canada,Health information management professionals,12.68
2016,Canada,Licensed practical nurses,322.87
2016,Canada,Medical laboratory technologists,53.4
2016,Canada,Medical physicists,1.28
2016,Canada,Medical radiation technologists,57.36
2016,Canada,Midwives,3.87
2016,Canada,Nurse practitioners,13.27
2016,Canada,Occupational therapists,47.17
2016,Canada,Opticians,22.33
2016,Canada,Optometrists,16.89
2016,Canada,Paramedics,88.07
2016,Canada,Pharmacists,113.23
2016,Canada,Pharmacy technicians,20.32
2016,Canada,Physician assistants,1.49
2016,Canada,Physicians,232.8
2016,Canada,Physiotherapists,62.01
2016,Canada,Psychologists,50.53
2016,Canada,Registered nurses,811.1
2016,Canada,Registered psychiatric nurses,16.24
2016,Canada,Regulated nurses,1162.88
2016,Canada,Respiratory therapists,32.0
2016,Canada,Social workers,144.79
2016,Canada,Specialists,115.04
2016,Canada,Speech language pathologists,25.94
2017,Canada,Audiologists,5.27
2017,Canada,Chiropractors,24.27
2017,Canada,Dental assistants,63.93
2017,Canada,Dental hygienists,80.87
2017,Canada,Dentists,64.4
2017,Canada,Dietitians,32.64
2017,Canada,Environmental public health professionals,4.76
2017,Canada,Family medicine,120.94
2017,Canada,Genetic counsellors,0.8
2017,Canada,Health information management professionals,13.03
2017,Canada,Licensed practical nurses,325.84
2017,Canada,Medical laboratory technologists,55.75
2017,Canada,Medical physicists,1.35
2017,Canada,Medical radiation technologists,58.03
2017,Canada,Midwives,4.18
2017,Canada,Nurse practitioners,14.28
2017,Canada,Occupational therapists,48.37
2017,Canada,Opticians,15.54
2017,Canada,Optometrists,17.02
2017,Canada,Paramedics,92.63
2017,Canada,Pharmacists,114.51
2017,Canada,Pharmacy technicians,22.4
2017,Canada,Pharmacy technicians,22.4
2017,Canada,Physician assistants,0.39
2017,Canada,Physicians,237.12
2017,Canada,Physiotherapists,62.9
2017,Canada,Psychologists,50.6
2017,Canada,Registered nurses,806.6
2017,Canada,Registered psychiatric nurses,16.25
2017,Canada,Regulated nurses,1162.32
2017,Canada,Respiratory therapists,29.79
2017,Canada,Social workers,141.92
2017,Canada,Specialists,116.18
2017,Canada,Speech language pathologists,26.71
2018,Canada,Audiologists,5.42
2018,Canada,Chiropractors,24.69
2018,Canada,Dental assistants,45.52
2018,Canada,Dental hygienists,78.93
2018,Canada,Dentists,66.73
2018,Canada,Dietitians,32.84
2018,Canada,Dietitians,32.84
2018,Canada,Environmental public health professionals,4.78
2018,Canada,Family medicine,122.76
2018,Canada,Genetic counsellors,0.9
2018,Canada,Health information management professionals,1.44
2018,Canada,Licensed practical nurses,331.18
2018,Canada,Medical laboratory technologists,54.44
2018,Canada,Medical physicists,1.41
2018,Canada,Medical radiation technologists,67.55
2018,Canada,Midwives,4.18
2018,Canada,Nurse practitioners,15.24
2018,Canada,Occupational therapists,49.26
2018,Canada,Opticians,0.0
2018,Canada,Optometrists,17.16
2018,Canada,Paramedics,93.93
2018,Canada,Pharmacists,115.7
2018,Canada,Pharmacy technicians,23.92
2018,Canada,Physician assistants,1.8
2018,Canada,Physicians,242.62
2018,Canada,Physiotherapists,66.55
2018,Canada,Psychologists,50.71
2018,Canada,Registered nurses,800.46
2018,Canada,Registered psychiatric nurses,16.27
2018,Canada,Regulated nurses,1162.5
2018,Canada,Respiratory therapists,29.08
2018,Canada,Social workers,145.47
2018,Canada,Specialists,119.86
2018,Canada,Speech language pathologists,27.71
2019,Canada,Audiologists,5.56
2019,Canada,Chiropractors,25.09
2019,Canada,Dental assistants,52.89
2019,Canada,Dental hygienists,81.54
2019,Canada,Dentists,52.5
2019,Canada,Dietitians,24.59
2019,Canada,Dietitians,24.59
2019,Canada,Environmental public health professionals,4.71
2019,Canada,Family medicine,124.48
2019,Canada,Genetic counsellors,0.95
2019,Canada,Health information management professionals,11.94
2019,Canada,Licensed practical nurses,342.96
2019,Canada,Medical laboratory technologists,54.1
2019,Canada,Medical physicists,1.37
2019,Canada,Medical radiation technologists,68.64
2019,Canada,Midwives,4.32
2019,Canada,Nurse practitioners,16.5
2019,Canada,Occupational therapists,51.02
2019,Canada,Opticians,9.73
2019,Canada,Optometrists,17.83
2019,Canada,Paramedics,95.48
2019,Canada,Pharmacists,118.04
2019,Canada,Pharmacy technicians,25.81
2019,Canada,Physician assistants,2.13
2019,Canada,Physicians,246.57
2019,Canada,Physiotherapists,68.25
2019,Canada,Psychologists,51.55
2019,Canada,Registered nurses,809.35
2019,Canada,Registered psychiatric nurses,16.33
2019,Canada,Regulated nurses,1184.45
2019,Canada,Respiratory therapists,33.17
2019,Canada,Social workers,142.54
2019,Canada,Specialists,122.08
2019,Canada,Speech language pathologists,27.82
2021,Canada,Audiologists,5.8
2021,Canada,Chiropractors,25.3
2021,Canada,Chiropractors,25.3
2021,Canada,Dental assistants,78.9
2021,Canada,Dental hygienists,81.5
2021,Canada,Dentists,61.2
2021,Canada,Dietitians,33.4
2021,Canada,Environmental public health professionals,4.7
2021,Canada,Family medicine,123.8
2021,Canada,Genetic counsellors,0.9
2021,Canada,Health information management professionals,11.8
2021,Canada,Licensed practical nurses,347.4
2021,Canada,Medical laboratory technologists,51.4
2021,Canada,Medical physicists,1.0
2021,Canada,Medical radiation technologists,67.3
2021,Canada,Midwives,4.7
