Year,Geography,Land use category,Water quality category,Value
2016-2018,Hudson Bay,Mixed pressures,Good,20
2016-2018,Hudson Bay,Undeveloped,Excellent,4
2016-2018,Hudson Bay,Undeveloped,Good,0
2016-2018,Mackenzie River,Agriculture,Excellent,0
2016-2018,Mackenzie River,Agriculture,Good,0
2016-2018,Mackenzie River,Forestry,Excellent,0
2016-2018,Mackenzie River,Forestry,Good,0
2016-2018,Mackenzie River,Mining,Excellent,0
2016-2018,Mackenzie River,Mining,Good,10
2016-2018,Mackenzie River,Populated,Excellent,0
2016-2018,Mackenzie River,Populated,Good,0
2016-2018,Mackenzie River,Mixed pressures,Excellent,5
2016-2018,Mackenzie River,Mixed pressures,Good,10
2016-2018,Mackenzie River,Undeveloped,Excellent,10
2016-2018,Mackenzie River,Undeveloped,Good,15
2016-2018,Pacific Ocean,Agriculture,Excellent,0
2016-2018,Pacific Ocean,Agriculture,Good,0
2016-2018,Pacific Ocean,Forestry,Excellent,0
2016-2018,Pacific Ocean,Forestry,Good,8
2016-2018,Pacific Ocean,Mining,Excellent,0
2016-2018,Pacific Ocean,Mining,Good,8
2016-2018,Pacific Ocean,Populated,Excellent,0
2016-2018,Pacific Ocean,Populated,Good,0
2016-2018,Pacific Ocean,Mixed pressures,Excellent,0
2016-2018,Pacific Ocean,Mixed pressures,Good,8
2016-2018,Pacific Ocean,Undeveloped,Excellent,8
2016-2018,Pacific Ocean,Undeveloped,Good,4
2017-2019,Canada,Agriculture,Excellent,0
2017-2019,Canada,Agriculture,Good,9
2017-2019,Canada,Forestry,Excellent,1
2017-2019,Canada,Forestry,Good,5
2017-2019,Canada,Mining,Excellent,0
2017-2019,Canada,Mining,Good,2
2017-2019,Canada,Populated,Excellent,0
2017-2019,Canada,Populated,Good,0
2017-2019,Canada,Mixed pressures,Excellent,2
2017-2019,Canada,Mixed pressures,Good,10
2017-2019,Canada,Undeveloped,Excellent,2
2017-2019,Canada,Undeveloped,Good,8
2017-2019,Canada,Total,Excellent,6
2017-2019,Canada,Total,Good,35
2017-2019,Atlantic Ocean,Total,Excellent,4
2017-2019,Great Lakes and St. Lawrence River,Total,Excellent,0
2017-2019,Hudson Bay,Total,Excellent,14
2017-2019,Mackenzie River,Total,Excellent,10
2017-2019,Pacific Ocean,Total,Excellent,8
2017-2019,Atlantic Ocean,Total,Good,51
2017-2019,Great Lakes and St. Lawrence River,Total,Good,28
2017-2019,Hudson Bay,Total,Good,36
2017-2019,Mackenzie River,Total,Good,30
2017-2019,Pacific Ocean,Total,Good,29
2017-2019,Atlantic Ocean,Agriculture,Excellent,0
2017-2019,Atlantic Ocean,Agriculture,Good,9
2017-2019,Atlantic Ocean,Forestry,Excellent,4
2017-2019,Atlantic Ocean,Forestry,Good,13
2017-2019,Atlantic Ocean,Mining,Excellent,0
2017-2019,Atlantic Ocean,Mining,Good,2
2017-2019,Atlantic Ocean,Populated,Excellent,0
2017-2019,Atlantic Ocean,Populated,Good,0
2017-2019,Atlantic Ocean,Mixed pressures,Excellent,0
2017-2019,Atlantic Ocean,Mixed pressures,Good,7
2017-2019,Atlantic Ocean,Undeveloped,Excellent,0
2017-2019,Atlantic Ocean,Undeveloped,Good,20
2017-2019,Great Lakes and St. Lawrence River,Agriculture,Excellent,0
2017-2019,Great Lakes and St. Lawrence River,Agriculture,Good,7
2017-2019,Great Lakes and St. Lawrence River,Forestry,Excellent,0
2017-2019,Great Lakes and St. Lawrence River,Forestry,Good,2
2017-2019,Great Lakes and St. Lawrence River,Mining,Excellent,0
2017-2019,Great Lakes and St. Lawrence River,Mining,Good,3
2017-2019,Great Lakes and St. Lawrence River,Populated,Excellent,0
2017-2019,Great Lakes and St. Lawrence River,Populated,Good,0
2017-2019,Great Lakes and St. Lawrence River,Mixed pressures,Excellent,0
2017-2019,Great Lakes and St. Lawrence River,Mixed pressures,Good,9
2017-2019,Great Lakes and St. Lawrence River,Undeveloped,Excellent,0
2017-2019,Great Lakes and St. Lawrence River,Undeveloped,Good,7
2017-2019,Hudson Bay,Agriculture,Excellent,0
2017-2019,Hudson Bay,Agriculture,Good,18
2017-2019,Hudson Bay,Forestry,Excellent,0
2017-2019,Hudson Bay,Forestry,Good,0
2017-2019,Hudson Bay,Mining,Excellent,0
2017-2019,Hudson Bay,Mining,Good,0
2017-2019,Hudson Bay,Populated,Excellent,0
2017-2019,Hudson Bay,Populated,Good,0
2017-2019,Hudson Bay,Mixed pressures,Excellent,9
2017-2019,Hudson Bay,Mixed pressures,Good,18
2017-2019,Hudson Bay,Undeveloped,Excellent,5
2017-2019,Hudson Bay,Undeveloped,Good,0
2017-2019,Mackenzie River,Agriculture,Excellent,0
2017-2019,Mackenzie River,Agriculture,Good,0
2017-2019,Mackenzie River,Forestry,Excellent,0
2017-2019,Mackenzie River,Forestry,Good,0
2017-2019,Mackenzie River,Mining,Excellent,0
2017-2019,Mackenzie River,Mining,Good,10
2017-2019,Mackenzie River,Populated,Excellent,0
2017-2019,Mackenzie River,Populated,Good,0
2017-2019,Mackenzie River,Mixed pressures,Excellent,5
2017-2019,Mackenzie River,Mixed pressures,Good,5
2017-2019,Mackenzie River,Undeveloped,Excellent,5
2017-2019,Mackenzie River,Undeveloped,Good,15
2017-2019,Pacific Ocean,Agriculture,Excellent,0
2017-2019,Pacific Ocean,Agriculture,Good,0
2017-2019,Pacific Ocean,Forestry,Excellent,0
2017-2019,Pacific Ocean,Forestry,Good,8
2017-2019,Pacific Ocean,Mining,Excellent,0
2017-2019,Pacific Ocean,Mining,Good,8
2017-2019,Pacific Ocean,Populated,Excellent,0
2017-2019,Pacific Ocean,Populated,Good,0
2017-2019,Pacific Ocean,Mixed Pressures,Excellent,0
2017-2019,Pacific Ocean,Mixed Pressures,Good,8
2017-2019,Pacific Ocean,Undeveloped,Excellent,8
2017-2019,Pacific Ocean,Undeveloped,Good,4
2016-2018,Atlantic Ocean,Agriculture,Total,9
2016-2018,Atlantic Ocean,Forestry,Total,29
2016-2018,Atlantic Ocean,Mining,Total,4
2016-2018,Atlantic Ocean,Mixed pressures,Total,13
2016-2018,Atlantic Ocean,Populated,Total,0
2016-2018,Atlantic Ocean,Total,Total,86
2016-2018,Atlantic Ocean,Undeveloped,Total,31
2016-2018,Canada,Agriculture,Total,15
2016-2018,Canada,Forestry,Total,9
2016-2018,Canada,Mining,Total,4
2016-2018,Canada,Mixed pressures,Total,38
2016-2018,Canada,Populated,Total,1
2016-2018,,,,80
2016-2018,Canada,Undeveloped,Total,13
2016-2018,Great Lakes and St. Lawrence River,Agriculture,Total,12
2016-2018,Great Lakes and St. Lawrence River,Forestry,Total,2
2016-2018,Great Lakes and St. Lawrence River,Mining,Total,8
2016-2018,Great Lakes and St. Lawrence River,Mixed pressures,Total,41
2016-2018,Great Lakes and St. Lawrence River,Populated,Total,2
2016-2018,Great Lakes and St. Lawrence River,Total,Total,74
2016-2018,Great Lakes and St. Lawrence River,Undeveloped,Total,9
2016-2018,Hudson Bay,Agriculture,Total,33
2016-2018,Hudson Bay,Forestry,Total,0
2016-2018,Hudson Bay,Mining,Total,0
2016-2018,Hudson Bay,Mixed pressures,Total,45
2016-2018,Hudson Bay,Populated,Total,0
2016-2018,Hudson Bay,Total,Total,82
2016-2018,Hudson Bay,Undeveloped,Total,4
2016-2018,Mackenzie River,Agriculture,Total,0
2016-2018,Mackenzie River,Forestry,Total,0
2016-2018,Mackenzie River,Mining,Total,20
2016-2018,Mackenzie River,Mixed pressures,Total,40
2016-2018,Mackenzie River,Populated,Total,0
2016-2018,Mackenzie River,Total,Total,100
2016-2018,Mackenzie River,Undeveloped,Total,40
2016-2018,Pacific Ocean,Agriculture,Total,0
2016-2018,Pacific Ocean,Forestry,Total,8
2016-2018,Pacific Ocean,Mining,Total,12
2016-2018,Pacific Ocean,Mixed pressures,Total,44
2016-2018,Pacific Ocean,Populated,Total,0
2016-2018,Pacific Ocean,Total,Total,76
2016-2018,Pacific Ocean,Undeveloped,Total,12
2017-2019,Atlantic Ocean,Agriculture,Total,9
2017-2019,Atlantic Ocean,Forestry,Total,30
2017-2019,Atlantic Ocean,Mining,Total,4
2017-2019,Atlantic Ocean,Mixed pressures,Total,14
2017-2019,Atlantic Ocean,Populated,Total,0
2017-2019,Atlantic Ocean,Total,Total,88
2017-2019,Atlantic Ocean,Undeveloped,Total,31
2017-2019,Canada,Agriculture,Total,17
2017-2019,Canada,Forestry,Total,9
2017-2019,Canada,Mining,Total,4
2017-2019,Canada,Mixed pressures,Total,37
2017-2019,Canada,Populated,Total,1
2017-2019,,,,83
2017-2019,Canada,Undeveloped,Total,13
2017-2019,Great Lakes and St. Lawrence River,Agriculture,Total,12
2017-2019,Great Lakes and St. Lawrence River,Forestry,Total,2
2017-2019,Great Lakes and St. Lawrence River,Mining,Total,6
2017-2019,Great Lakes and St. Lawrence River,Mixed pressures,Total,42
2017-2019,Great Lakes and St. Lawrence River,Populated,Total,2
2017-2019,Great Lakes and St. Lawrence River,Total,Total,73
2017-2019,Great Lakes and St. Lawrence River,Undeveloped,Total,9
2017-2019,Hudson Bay,Agriculture,Total,41
2017-2019,Hudson Bay,Forestry,Total,0
2017-2019,Hudson Bay,Mining,Total,0
2017-2019,Hudson Bay,Mixed pressures,Total,47
2017-2019,Hudson Bay,Populated,Total,0
2017-2019,Hudson Bay,Total,Total,93
2017-2019,Hudson Bay,Undeveloped,Total,5
2017-2019,Mackenzie River,Agriculture,Total,0
2017-2019,Mackenzie River,Forestry,Total,0
2017-2019,Mackenzie River,Mining,Total,20
2017-2019,Mackenzie River,Mixed pressures,Total,40
2017-2019,Mackenzie River,Populated,Total,0
2017-2019,Mackenzie River,Total,Total,90
2017-2019,Mackenzie River,Undeveloped,Total,30
2017-2019,Pacific Ocean,Agriculture,Total,0
2017-2019,Pacific Ocean,Forestry,Total,8
2017-2019,Pacific Ocean,Mining,Total,8
2017-2019,Pacific Ocean,Mixed Pressures,Total,41
2017-2019,Pacific Ocean,Populated,Total,0
2017-2019,Pacific Ocean,Total,Total,70
2017-2019,Pacific Ocean,Undeveloped,Total,12
2018-2020,Canada,Agriculture,Excellent,1
2018-2020,Canada,Agriculture,Good,8
2018-2020,Canada,Forestry,Excellent,2
2018-2020,Canada,Forestry,Good,4
2018-2020,Canada,Mining,Excellent,0
2018-2020,Canada,Mining,Good,2
2018-2020,Canada,Populated,Excellent,0
2018-2020,Canada,Populated,Good,0
2018-2020,Canada,Mixed pressures,Excellent,3
2018-2020,Canada,Mixed pressures,Good,13
2018-2020,Canada,Undeveloped,Excellent,3
2018-2020,Canada,Undeveloped,Good,9
2018-2020,Canada,Total,Excellent,10
2018-2020,Canada,Total,Good,35
2018-2020,Canada,Agriculture,Total,16
2018-2020,Canada,Forestry,Total,9
2018-2020,Canada,Mining,Total,4
2018-2020,Canada,Mixed pressures,Total,38
2018-2020,Canada,Populated,Total,1
2018-2020,,,,83
2018-2020,Canada,Undeveloped,Total,14
2018-2020,Atlantic Ocean,Total,Excellent,9
2018-2020,Great Lakes and St. Lawrence River,Total,Excellent,5
2018-2020,Hudson Bay,Total,Excellent,16
2018-2020,Mackenzie River,Total,Excellent,18
2018-2020,Pacific Ocean,Total,Excellent,14
2018-2020,Atlantic Ocean,Total,Good,53
2018-2020,Great Lakes and St. Lawrence River,Total,Good,26
2018-2020,Hudson Bay,Total,Good,36
2018-2020,Mackenzie River,Total,Good,41
2018-2020,Pacific Ocean,Total,Good,29
2018-2020,Atlantic Ocean,Total,Total,89
2018-2020,Great Lakes and St. Lawrence River,Total,Total,71
2018-2020,Hudson Bay,Total,Total,93
2018-2020,Mackenzie River,Total,Total,100
2018-2020,Pacific Ocean,Total,Total,86
2018-2020,Atlantic Ocean,Agriculture,Excellent,0
2018-2020,Atlantic Ocean,Agriculture,Good,9
2018-2020,Atlantic Ocean,Forestry,Excellent,7
2018-2020,Atlantic Ocean,Forestry,Good,11
2018-2020,Atlantic Ocean,Mining,Excellent,0
2018-2020,Atlantic Ocean,Mining,Good,2
2018-2020,Atlantic Ocean,Populated,Excellent,0
2018-2020,Atlantic Ocean,Populated,Good,0
2018-2020,Atlantic Ocean,Mixed pressures,Excellent,0
2018-2020,Atlantic Ocean,Mixed pressures,Good,7
2018-2020,Atlantic Ocean,Undeveloped,Excellent,2
2018-2020,Atlantic Ocean,Undeveloped,Good,24
2018-2020,Atlantic Ocean,Total,Excellent,9
2018-2020,Atlantic Ocean,Total,Good,53
2018-2020,Great Lakes and St. Lawrence River,Agriculture,Excellent,3
2018-2020,Great Lakes and St. Lawrence River,Agriculture,Good,3
2018-2020,Great Lakes and St. Lawrence River,Forestry,Excellent,0
2018-2020,Great Lakes and St. Lawrence River,Forestry,Good,2
2018-2020,Great Lakes and St. Lawrence River,Mining,Excellent,0
2018-2020,Great Lakes and St. Lawrence River,Mining,Good,3
2018-2020,Great Lakes and St. Lawrence River,Populated,Excellent,0
2018-2020,Great Lakes and St. Lawrence River,Populated,Good,0
2018-2020,Great Lakes and St. Lawrence River,Mixed pressures,Excellent,0
2018-2020,Great Lakes and St. Lawrence River,Mixed pressures,Good,12
2018-2020,Great Lakes and St. Lawrence River,Undeveloped,Excellent,2
2018-2020,Great Lakes and St. Lawrence River,Undeveloped,Good,5
2018-2020,Great Lakes and St. Lawrence River,Total,Excellent,5
2018-2020,Great Lakes and St. Lawrence River,Total,Good,26
2018-2020,Hudson Bay,Agriculture,Excellent,0
2018-2020,Hudson Bay,Agriculture,Good,18
2018-2020,Hudson Bay,Forestry,Excellent,0
2018-2020,Hudson Bay,Forestry,Good,0
2018-2020,Hudson Bay,Mining,Excellent,0
2018-2020,Hudson Bay,Mining,Good,0
2018-2020,Hudson Bay,Populated,Excellent,0
2018-2020,Hudson Bay,Populated,Good,0
2018-2020,Hudson Bay,Mixed pressures,Excellent,11
2018-2020,Hudson Bay,Mixed pressures,Good,18
2018-2020,Hudson Bay,Undeveloped,Excellent,5
2018-2020,Hudson Bay,Undeveloped,Good,0
2018-2020,Hudson Bay,Total,Excellent,16
2018-2020,Hudson Bay,Total,Good,36
2018-2020,Mackenzie River,Agriculture,Excellent,0
2018-2020,Mackenzie River,Agriculture,Good,0
2018-2020,Mackenzie River,Forestry,Excellent,0
2018-2020,Mackenzie River,Forestry,Good,0
2018-2020,Mackenzie River,Mining,Excellent,6
2018-2020,Mackenzie River,Mining,Good,6
2018-2020,Mackenzie River,Populated,Excellent,0
2018-2020,Mackenzie River,Populated,Good,0
2018-2020,Mackenzie River,Mixed pressures,Excellent,6
2018-2020,Mackenzie River,Mixed pressures,Good,12
2018-2020,Mackenzie River,Undeveloped,Excellent,6
2018-2020,Mackenzie River,Undeveloped,Good,24
2018-2020,Mackenzie River,Total,Excellent,18
2018-2020,Mackenzie River,Total,Good,41
2018-2020,Pacific Ocean,Agriculture,Excellent,0
2018-2020,Pacific Ocean,Agriculture,Good,0
2018-2020,Pacific Ocean,Forestry,Excellent,5
2018-2020,Pacific Ocean,Forestry,Good,5
2018-2020,Pacific Ocean,Mining,Excellent,0
2018-2020,Pacific Ocean,Mining,Good,0
2018-2020,Pacific Ocean,Populated,Excellent,0
2018-2020,Pacific Ocean,Populated,Good,0
2018-2020,Pacific Ocean,Mixed Pressures,Excellent,0
2018-2020,Pacific Ocean,Mixed Pressures,Good,19
2018-2020,Pacific Ocean,Undeveloped,Excellent,10
2018-2020,Pacific Ocean,Undeveloped,Good,5
2018-2020,Pacific Ocean,Total,Excellent,14
2018-2020,Pacific Ocean,Total,Good,29
2018-2020,Atlantic Ocean,Agriculture,Total,9
2018-2020,Atlantic Ocean,Forestry,Total,31
2018-2020,Atlantic Ocean,Mining,Total,4
2018-2020,Atlantic Ocean,Mixed pressures,Total,14
2018-2020,Atlantic Ocean,Populated,Total,0
2018-2020,Atlantic Ocean,Undeveloped,Total,30
2018-2020,Great Lakes and St. Lawrence River,Agriculture,Total,11
2018-2020,Great Lakes and St. Lawrence River,Forestry,Total,2
2018-2020,Great Lakes and St. Lawrence River,Mining,Total,6
2018-2020,Great Lakes and St. Lawrence River,Mixed pressures,Total,40
2018-2020,Great Lakes and St. Lawrence River,Populated,Total,2
2018-2020,Great Lakes and St. Lawrence River,Undeveloped,Total,9
2018-2020,Hudson Bay,Agriculture,Total,41
2018-2020,Hudson Bay,Forestry,Total,0
2018-2020,Hudson Bay,Mining,Total,0
2018-2020,Hudson Bay,Mixed pressures,Total,47
2018-2020,Hudson Bay,Populated,Total,0
2018-2020,Hudson Bay,Undeveloped,Total,5
2018-2020,Mackenzie River,Agriculture,Total,0
2018-2020,Mackenzie River,Forestry,Total,0
2018-2020,Mackenzie River,Mining,Total,18
2018-2020,Mackenzie River,Mixed pressures,Total,47
2018-2020,Mackenzie River,Populated,Total,0
2018-2020,Mackenzie River,Undeveloped,Total,36
2018-2020,Pacific Ocean,Agriculture,Total,0
2018-2020,Pacific Ocean,Forestry,Total,10
2018-2020,Pacific Ocean,Mining,Total,5
2018-2020,Pacific Ocean,Mixed Pressures,Total,57
2018-2020,Pacific Ocean,Populated,Total,0
2018-2020,Pacific Ocean,Undeveloped,Total,15
