Year,Geography,Sex,Value
2017,Saskatchewan,Females,8.2
2017,Alberta,Both sexes,15.2
2017,Alberta,Males,23.6
2017,Alberta,Females,6.6
2017,British Columbia,Both sexes,10.4
2017,British Columbia,Males,15.9
2017,British Columbia,Females,5.0
2017,Yukon,Both sexes,
2017,Yukon,Males,
2017,Yukon,Females,
2017,Northwest Territories,Both sexes,15.6
2017,Northwest Territories,Males,30.3
2017,Northwest Territories,Females,0.0
2017,Nunavut,Both sexes,53.3
2017,Nunavut,Males,88.0
2017,Nunavut,Females,16.5
2018,Canada,Males,18.7
2018,Canada,Females,6.0
2018,Newfoundland and Labrador,Both sexes,13.7
2018,Newfoundland and Labrador,Males,23.1
2018,Newfoundland and Labrador,Females,4.5
2018,Prince Edward Island,Both sexes,4.6
2018,Prince Edward Island,Males,8.0
2018,Prince Edward Island,Females,1.3
2018,Nova Scotia,Both sexes,12.8
2018,Nova Scotia,Males,20.9
2018,Nova Scotia,Females,5.1
2018,New Brunswick,Both sexes,14.8
2018,New Brunswick,Males,24.4
2018,New Brunswick,Females,5.4
2018,Quebec,Both sexes,13.0
2018,Quebec,Males,19.7
2018,Quebec,Females,6.4
2018,Ontario,Both sexes,10.8
2018,Ontario,Males,16.4
2018,Ontario,Females,5.3
2018,Manitoba,Both sexes,14.2
2018,Manitoba,Males,20.7
2018,Manitoba,Females,7.7
2018,Saskatchewan,Both sexes,19.9
2018,Saskatchewan,Males,29.9
2018,Saskatchewan,Females,9.7
2018,Alberta,Both sexes,14.4
2018,Alberta,Males,21.3
2018,Alberta,Females,7.5
2018,British Columbia,Both sexes,10.4
2018,British Columbia,Males,15.5
2018,British Columbia,Females,5.5
2018,Yukon,Both sexes,
2018,Yukon,Males,
2018,Yukon,Females,
2018,Northwest Territories,Both sexes,26.7
2018,Northwest Territories,Males,38.8
2018,Northwest Territories,Females,13.8
2018,Nunavut,Both sexes,62.9
2018,Nunavut,Males,112.3
2018,Nunavut,Females,10.8
2019,Canada,Males,18.4
2019,Canada,Females,5.8
2019,Newfoundland and Labrador,Both sexes,11.5
2019,Newfoundland and Labrador,Males,17.0
2019,Newfoundland and Labrador,Females,6.0
2019,Prince Edward Island,Both sexes,11.4
2019,Prince Edward Island,Males,19.3
2019,Prince Edward Island,Females,3.8
2019,Nova Scotia,Both sexes,12.9
2019,Nova Scotia,Males,21.3
2019,Nova Scotia,Females,4.8
2019,New Brunswick,Both sexes,10.2
2019,New Brunswick,Males,15.1
2019,New Brunswick,Females,5.3
2019,Quebec,Both sexes,13.3
2019,Quebec,Males,20.6
2019,Quebec,Females,6.0
2019,Ontario,Both sexes,10.5
2019,Ontario,Males,15.9
2019,Ontario,Females,5.2
2019,Manitoba,Both sexes,15.7
2019,Manitoba,Males,23.1
2019,Manitoba,Females,8.3
2019,Saskatchewan,Both sexes,16.0
2019,Saskatchewan,Males,25.4
2019,Saskatchewan,Females,6.5
2019,Alberta,Both sexes,13.7
2019,Alberta,Males,20.7
2019,Alberta,Females,6.6
2019,British Columbia,Both sexes,10.8
2019,British Columbia,Males,16.4
2019,British Columbia,Females,5.2
2019,Yukon,Both sexes,
2019,Yukon,Males,
2019,Yukon,Females,
2019,Northwest Territories,Both sexes,17.8
2019,Northwest Territories,Males,17.3
2019,Northwest Territories,Females,18.3
2019,Nunavut,Both sexes,88.1
2019,Nunavut,Males,126.2
2019,Nunavut,Females,47.9
2020,Canada,Males,15.2
2020,Canada,Females,5.0
2020,Newfoundland and Labrador,Both sexes,11.1
2020,Newfoundland and Labrador,Males,17.9
2020,Newfoundland and Labrador,Females,4.6
2020,Prince Edward Island,Both sexes,3.7
2020,Prince Edward Island,Males,6.3
2020,Prince Edward Island,Females,1.2
2020,Nova Scotia,Both sexes,11.0
2020,Nova Scotia,Males,18.3
2020,Nova Scotia,Females,4.0
2020,New Brunswick,Both sexes,11.7
2020,New Brunswick,Males,19.9
2020,New Brunswick,Females,3.8
2020,Quebec,Both sexes,10.6
2020,Quebec,Males,16.1
2020,Quebec,Females,5.2
2020,Ontario,Both sexes,8.9
2020,Ontario,Males,13.2
2020,Ontario,Females,4.7
2020,Manitoba,Both sexes,12.9
2020,Manitoba,Males,18.7
2020,Manitoba,Females,7.1
2020,Saskatchewan,Both sexes,15.6
2020,Saskatchewan,Males,23.4
2020,Saskatchewan,Females,7.7
2020,Alberta,Both sexes,13.3
2020,Alberta,Males,20.2
2020,Alberta,Females,6.4
2020,British Columbia,Both sexes,7.0
2020,British Columbia,Males,10.3
2020,British Columbia,Females,3.8
2020,Yukon,Both sexes,
2020,Yukon,Males,
2020,Yukon,Females,
2020,Northwest Territories,Both sexes,8.8
2020,Northwest Territories,Males,17.2
2020,Northwest Territories,Females,0.0
2020,Nunavut,Both sexes,76.6
2020,Nunavut,Males,110.0
2020,Nunavut,Females,41.7
