Year,Geography,Age group,Type of institution attended,GeoCode,Value
2015/2016,Newfoundland and Labrador,15 to 19 years,Total participation rate,10,84.0
2015/2016,Newfoundland and Labrador,15 to 19 years,Elementary/High School,10,60.0
2015/2016,Newfoundland and Labrador,15 to 19 years,College,10,9.0
2015/2016,Newfoundland and Labrador,15 to 19 years,University,10,16.0
2015/2016,Newfoundland and Labrador,20 to 24 years,Total participation rate,10,35.0
2015/2016,Newfoundland and Labrador,20 to 24 years,Elementary/High School,10,
2015/2016,Newfoundland and Labrador,20 to 24 years,College,10,11.0
2015/2016,Newfoundland and Labrador,20 to 24 years,University,10,23.0
2015/2016,Newfoundland and Labrador,25 to 29 years,Total participation rate,10,12.0
2015/2016,Newfoundland and Labrador,25 to 29 years,Elementary/High School,10,
2015/2016,Newfoundland and Labrador,25 to 29 years,College,10,3.0
2015/2016,Newfoundland and Labrador,25 to 29 years,University,10,8.0
2015/2016,Prince Edward Island,15 to 19 years,Total participation rate,11,83.0
2015/2016,Prince Edward Island,15 to 19 years,Elementary/High School,11,61.0
2015/2016,Prince Edward Island,15 to 19 years,College,11,7.0
2015/2016,Prince Edward Island,15 to 19 years,University,11,15.0
2015/2016,Prince Edward Island,20 to 24 years,Total participation rate,11,30.0
2015/2016,Prince Edward Island,20 to 24 years,Elementary/High School,11,
2015/2016,Prince Edward Island,20 to 24 years,College,11,7.0
2015/2016,Prince Edward Island,20 to 24 years,University,11,23.0
2015/2016,Prince Edward Island,25 to 29 years,Total participation rate,11,10.0
2015/2016,Prince Edward Island,25 to 29 years,Elementary/High School,11,
2015/2016,Prince Edward Island,25 to 29 years,College,11,4.0
2015/2016,Prince Edward Island,25 to 29 years,University,11,6.0
2015/2016,Nova Scotia,15 to 19 years,Total participation rate,12,82.0
2015/2016,Nova Scotia,15 to 19 years,Elementary/High School,12,62.0
2015/2016,Nova Scotia,15 to 19 years,College,12,6.0
2015/2016,Nova Scotia,15 to 19 years,University,12,14.0
2015/2016,Nova Scotia,20 to 24 years,Total participation rate,12,34.0
2015/2016,Nova Scotia,20 to 24 years,Elementary/High School,12,
2015/2016,Nova Scotia,20 to 24 years,College,12,9.0
2015/2016,Nova Scotia,20 to 24 years,University,12,25.0
2015/2016,Nova Scotia,25 to 29 years,Total participation rate,12,11.0
2015/2016,Nova Scotia,25 to 29 years,Elementary/High School,12,
2015/2016,Nova Scotia,25 to 29 years,College,12,3.0
2015/2016,Nova Scotia,25 to 29 years,University,12,9.0
2015/2016,New Brunswick,15 to 19 years,Total participation rate,13,82.0
2015/2016,New Brunswick,15 to 19 years,Elementary/High School,13,62.0
2015/2016,New Brunswick,15 to 19 years,College,13,7.0
2015/2016,New Brunswick,15 to 19 years,University,13,13.0
2015/2016,New Brunswick,20 to 24 years,Total participation rate,13,35.0
2015/2016,New Brunswick,20 to 24 years,Elementary/High School,13,
2015/2016,New Brunswick,20 to 24 years,College,13,8.0
2015/2016,New Brunswick,20 to 24 years,University,13,26.0
2015/2016,New Brunswick,25 to 29 years,Total participation rate,13,7.0
2015/2016,New Brunswick,25 to 29 years,Elementary/High School,13,
2015/2016,New Brunswick,25 to 29 years,College,13,2.0
2015/2016,New Brunswick,25 to 29 years,University,13,5.0
2015/2016,Quebec,15 to 19 years,Total participation rate,24,81.0
2015/2016,Quebec,15 to 19 years,Elementary/High School,24,51.0
2015/2016,Quebec,15 to 19 years,College,24,27.0
2015/2016,Quebec,15 to 19 years,University,24,3.0
2015/2016,Quebec,20 to 24 years,Total participation rate,24,46.0
2015/2016,Quebec,20 to 24 years,Elementary/High School,24,4.0
2015/2016,Quebec,20 to 24 years,College,24,12.0
2015/2016,Quebec,20 to 24 years,University,24,30.0
2015/2016,Quebec,25 to 29 years,Total participation rate,24,16.0
2015/2016,Quebec,25 to 29 years,Elementary/High School,24,2.0
2015/2016,Quebec,25 to 29 years,College,24,3.0
2015/2016,Quebec,25 to 29 years,University,24,12.0
2015/2016,Ontario,15 to 19 years,Total participation rate,35,87.0
2015/2016,Ontario,15 to 19 years,Elementary/High School,35,62.0
2015/2016,Ontario,15 to 19 years,College,35,9.0
2015/2016,Ontario,15 to 19 years,University,35,16.0
2015/2016,Ontario,20 to 24 years,Total participation rate,35,43.0
2015/2016,Ontario,20 to 24 years,Elementary/High School,35,1.0
2015/2016,Ontario,20 to 24 years,College,35,14.0
2015/2016,Ontario,20 to 24 years,University,35,28.0
2015/2016,Ontario,25 to 29 years,Total participation rate,35,12.0
2015/2016,Ontario,25 to 29 years,Elementary/High School,35,0.0
2015/2016,Ontario,25 to 29 years,College,35,5.0
2015/2016,Ontario,25 to 29 years,University,35,6.0
2015/2016,Manitoba,15 to 19 years,Total participation rate,46,78.0
2015/2016,Manitoba,15 to 19 years,Elementary/High School,46,62.0
2015/2016,Manitoba,15 to 19 years,College,46,4.0
2015/2016,Manitoba,15 to 19 years,University,46,12.0
2015/2016,Manitoba,20 to 24 years,Total participation rate,46,34.0
2015/2016,Manitoba,20 to 24 years,Elementary/High School,46,2.0
2015/2016,Manitoba,20 to 24 years,College,46,7.0
2015/2016,Manitoba,20 to 24 years,University,46,25.0
2015/2016,Manitoba,25 to 29 years,Total participation rate,46,12.0
2015/2016,Manitoba,25 to 29 years,Elementary/High School,46,
2015/2016,Manitoba,25 to 29 years,College,46,3.0
2015/2016,Manitoba,25 to 29 years,University,46,8.0
2015/2016,Saskatchewan,15 to 19 years,Total participation rate,47,78.0
2015/2016,Saskatchewan,15 to 19 years,Elementary/High School,47,62.0
2015/2016,Saskatchewan,15 to 19 years,College,47,5.0
2015/2016,Saskatchewan,15 to 19 years,University,47,11.0
2015/2016,Saskatchewan,20 to 24 years,Total participation rate,47,30.0
2015/2016,Saskatchewan,20 to 24 years,Elementary/High School,47,2.0
2015/2016,Saskatchewan,20 to 24 years,College,47,7.0
2015/2016,Saskatchewan,20 to 24 years,University,47,22.0
2015/2016,Saskatchewan,25 to 29 years,Total participation rate,47,10.0
2015/2016,Saskatchewan,25 to 29 years,Elementary/High School,47,
2015/2016,Saskatchewan,25 to 29 years,College,47,2.0
2015/2016,Saskatchewan,25 to 29 years,University,47,7.0
2015/2016,Alberta,15 to 19 years,Total participation rate,48,80.0
2015/2016,Alberta,15 to 19 years,Elementary/High School,48,65.0
2015/2016,Alberta,15 to 19 years,College,48,5.0
2015/2016,Alberta,15 to 19 years,University,48,10.0
2015/2016,Alberta,20 to 24 years,Total participation rate,48,30.0
2015/2016,Alberta,20 to 24 years,Elementary/High School,48,1.0
2015/2016,Alberta,20 to 24 years,College,48,8.0
2015/2016,Alberta,20 to 24 years,University,48,21.0
2015/2016,Alberta,25 to 29 years,Total participation rate,48,8.0
2015/2016,Alberta,25 to 29 years,Elementary/High School,48,
2015/2016,Alberta,25 to 29 years,College,48,3.0
2015/2016,Alberta,25 to 29 years,University,48,6.0
2015/2016,British Columbia,15 to 19 years,Total participation rate,59,80.0
2015/2016,British Columbia,15 to 19 years,Elementary/High School,59,60.0
2015/2016,British Columbia,15 to 19 years,College,59,7.0
2015/2016,British Columbia,15 to 19 years,University,59,14.0
2015/2016,British Columbia,20 to 24 years,Total participation rate,59,37.0
2015/2016,British Columbia,20 to 24 years,Elementary/High School,59,1.0
2015/2016,British Columbia,20 to 24 years,College,59,11.0
2015/2016,British Columbia,20 to 24 years,University,59,26.0
2015/2016,British Columbia,25 to 29 years,Total participation rate,59,11.0
2015/2016,British Columbia,25 to 29 years,Elementary/High School,59,
2015/2016,British Columbia,25 to 29 years,College,59,3.0
2015/2016,British Columbia,25 to 29 years,University,59,7.0
2015/2016,Yukon,15 to 19 years,Total participation rate,60,82.0
2015/2016,Yukon,15 to 19 years,Elementary/High School,60,59.0
2015/2016,Yukon,15 to 19 years,College,60,12.0
2015/2016,Yukon,15 to 19 years,University,60,11.0
2015/2016,Yukon,20 to 24 years,Total participation rate,60,26.0
2015/2016,Yukon,20 to 24 years,Elementary/High School,60,
2015/2016,Yukon,20 to 24 years,College,60,12.0
2015/2016,Yukon,20 to 24 years,University,60,13.0
2015/2016,Yukon,25 to 29 years,Total participation rate,60,
2015/2016,Yukon,25 to 29 years,Elementary/High School,60,
2015/2016,Yukon,25 to 29 years,College,60,
2015/2016,Yukon,25 to 29 years,University,60,
2015/2016,Northwest Territories,15 to 19 years,Total participation rate,61,77.0
2015/2016,Northwest Territories,15 to 19 years,Elementary/High School,61,65.0
2015/2016,Northwest Territories,15 to 19 years,College,61,
2015/2016,Northwest Territories,15 to 19 years,University,61,
2015/2016,Northwest Territories,20 to 24 years,Total participation rate,61,19.0
2015/2016,Northwest Territories,20 to 24 years,Elementary/High School,61,
2015/2016,Northwest Territories,20 to 24 years,College,61,
2015/2016,Northwest Territories,20 to 24 years,University,61,14.0
2015/2016,Northwest Territories,25 to 29 years,Total participation rate,61,
2015/2016,Northwest Territories,25 to 29 years,Elementary/High School,61,
2015/2016,Northwest Territories,25 to 29 years,College,61,
2015/2016,Northwest Territories,25 to 29 years,University,61,
2015/2016,Nunavut,15 to 19 years,Total participation rate,62,68.0
2015/2016,Nunavut,15 to 19 years,Elementary/High School,62,65.0
2015/2016,Nunavut,15 to 19 years,College,62,
2015/2016,Nunavut,15 to 19 years,University,62,
2015/2016,Nunavut,20 to 24 years,Total participation rate,62,10.0
2015/2016,Nunavut,20 to 24 years,Elementary/High School,62,
2015/2016,Nunavut,20 to 24 years,College,62,
2015/2016,Nunavut,20 to 24 years,University,62,
2015/2016,Nunavut,25 to 29 years,Total participation rate,62,
2015/2016,Nunavut,25 to 29 years,Elementary/High School,62,
2015/2016,Nunavut,25 to 29 years,College,62,
2015/2016,Nunavut,25 to 29 years,University,62,
2016/2017,Canada,15 to 19 years,Total participation rate,,85.0
2016/2017,Canada,15 to 19 years,Elementary/High School,,59.0
2016/2017,Canada,15 to 19 years,College,,13.0
2016/2017,Canada,15 to 19 years,University,,13.0
2016/2017,Canada,20 to 24 years,Total participation rate,,41.0
2016/2017,Canada,20 to 24 years,Elementary/High School,,2.0
2016/2017,Canada,20 to 24 years,College,,12.0
2016/2017,Canada,20 to 24 years,University,,28.0
2016/2017,Canada,25 to 29 years,Total participation rate,,12.0
2016/2017,Canada,25 to 29 years,Elementary/High School,,0.0
2016/2017,Canada,25 to 29 years,College,,4.0
2016/2017,Canada,25 to 29 years,University,,8.0
2016/2017,Newfoundland and Labrador,15 to 19 years,Total participation rate,10,84.0
2016/2017,Newfoundland and Labrador,15 to 19 years,Elementary/High School,10,61.0
2016/2017,Newfoundland and Labrador,15 to 19 years,College,10,8.0
2016/2017,Newfoundland and Labrador,15 to 19 years,University,10,15.0
2016/2017,Newfoundland and Labrador,20 to 24 years,Total participation rate,10,35.0
2016/2017,Newfoundland and Labrador,20 to 24 years,Elementary/High School,10,
2016/2017,Newfoundland and Labrador,20 to 24 years,College,10,12.0
2016/2017,Newfoundland and Labrador,20 to 24 years,University,10,23.0
2016/2017,Newfoundland and Labrador,25 to 29 years,Total participation rate,10,11.0
2016/2017,Newfoundland and Labrador,25 to 29 years,Elementary/High School,10,
2016/2017,Newfoundland and Labrador,25 to 29 years,College,10,4.0
2016/2017,Newfoundland and Labrador,25 to 29 years,University,10,7.0
2016/2017,Prince Edward Island,15 to 19 years,Total participation rate,11,83.0
2016/2017,Prince Edward Island,15 to 19 years,Elementary/High School,11,62.0
2016/2017,Prince Edward Island,15 to 19 years,College,11,7.0
2016/2017,Prince Edward Island,15 to 19 years,University,11,14.0
2016/2017,Prince Edward Island,20 to 24 years,Total participation rate,11,37.0
2016/2017,Prince Edward Island,20 to 24 years,Elementary/High School,11,
2016/2017,Prince Edward Island,20 to 24 years,College,11,9.0
2016/2017,Prince Edward Island,20 to 24 years,University,11,28.0
2016/2017,Prince Edward Island,25 to 29 years,Total participation rate,11,9.0
2016/2017,Prince Edward Island,25 to 29 years,Elementary/High School,11,
2016/2017,Prince Edward Island,25 to 29 years,College,11,4.0
2016/2017,Prince Edward Island,25 to 29 years,University,11,5.0
2016/2017,Nova Scotia,15 to 19 years,Total participation rate,12,85.0
2016/2017,Nova Scotia,15 to 19 years,Elementary/High School,12,62.0
2016/2017,Nova Scotia,15 to 19 years,College,12,6.0
2016/2017,Nova Scotia,15 to 19 years,University,12,17.0
2016/2017,Nova Scotia,20 to 24 years,Total participation rate,12,37.0
2016/2017,Nova Scotia,20 to 24 years,Elementary/High School,12,1.0
2016/2017,Nova Scotia,20 to 24 years,College,12,8.0
2016/2017,Nova Scotia,20 to 24 years,University,12,28.0
2016/2017,Nova Scotia,25 to 29 years,Total participation rate,12,11.0
2016/2017,Nova Scotia,25 to 29 years,Elementary/High School,12,
2016/2017,Nova Scotia,25 to 29 years,College,12,3.0
2016/2017,Nova Scotia,25 to 29 years,University,12,8.0
2016/2017,New Brunswick,15 to 19 years,Total participation rate,13,83.0
2016/2017,New Brunswick,15 to 19 years,Elementary/High School,13,62.0
2016/2017,New Brunswick,15 to 19 years,College,13,7.0
2016/2017,New Brunswick,15 to 19 years,University,13,13.0
2016/2017,New Brunswick,20 to 24 years,Total participation rate,13,30.0
2016/2017,New Brunswick,20 to 24 years,Elementary/High School,13,
2016/2017,New Brunswick,20 to 24 years,College,13,8.0
2016/2017,New Brunswick,20 to 24 years,University,13,22.0
2016/2017,New Brunswick,25 to 29 years,Total participation rate,13,8.0
2016/2017,New Brunswick,25 to 29 years,Elementary/High School,13,
2016/2017,New Brunswick,25 to 29 years,College,13,3.0
2016/2017,New Brunswick,25 to 29 years,University,13,5.0
2016/2017,Quebec,15 to 19 years,Total participation rate,24,85.0
2016/2017,Quebec,15 to 19 years,Elementary/High School,24,48.0
2016/2017,Quebec,15 to 19 years,College,24,33.0
2016/2017,Quebec,15 to 19 years,University,24,4.0
2016/2017,Quebec,20 to 24 years,Total participation rate,24,48.0
2016/2017,Quebec,20 to 24 years,Elementary/High School,24,3.0
2016/2017,Quebec,20 to 24 years,College,24,14.0
2016/2017,Quebec,20 to 24 years,University,24,31.0
2016/2017,Quebec,25 to 29 years,Total participation rate,24,15.0
2016/2017,Quebec,25 to 29 years,Elementary/High School,24,1.0
2016/2017,Quebec,25 to 29 years,College,24,3.0
2016/2017,Quebec,25 to 29 years,University,24,11.0
2016/2017,Ontario,15 to 19 years,Total participation rate,35,88.0
2016/2017,Ontario,15 to 19 years,Elementary/High School,35,62.0
2016/2017,Ontario,15 to 19 years,College,35,9.0
2016/2017,Ontario,15 to 19 years,University,35,17.0
2016/2017,Ontario,20 to 24 years,Total participation rate,35,43.0
2016/2017,Ontario,20 to 24 years,Elementary/High School,35,1.0
2016/2017,Ontario,20 to 24 years,College,35,13.0
2016/2017,Ontario,20 to 24 years,University,35,28.0
2016/2017,Ontario,25 to 29 years,Total participation rate,35,12.0
2016/2017,Ontario,25 to 29 years,Elementary/High School,35,0.0
2016/2017,Ontario,25 to 29 years,College,35,4.0
2016/2017,Ontario,25 to 29 years,University,35,7.0
2016/2017,Manitoba,15 to 19 years,Total participation rate,46,79.0
2016/2017,Manitoba,15 to 19 years,Elementary/High School,46,61.0
2016/2017,Manitoba,15 to 19 years,College,46,4.0
2016/2017,Manitoba,15 to 19 years,University,46,14.0
2016/2017,Manitoba,20 to 24 years,Total participation rate,46,33.0
2016/2017,Manitoba,20 to 24 years,Elementary/High School,46,1.0
2016/2017,Manitoba,20 to 24 years,College,46,5.0
2016/2017,Manitoba,20 to 24 years,University,46,26.0
2016/2017,Manitoba,25 to 29 years,Total participation rate,46,12.0
2016/2017,Manitoba,25 to 29 years,Elementary/High School,46,
2016/2017,Manitoba,25 to 29 years,College,46,4.0
2016/2017,Manitoba,25 to 29 years,University,46,8.0
2016/2017,Saskatchewan,15 to 19 years,Total participation rate,47,78.0
2016/2017,Saskatchewan,15 to 19 years,Elementary/High School,47,64.0
2016/2017,Saskatchewan,15 to 19 years,College,47,4.0
2016/2017,Saskatchewan,15 to 19 years,University,47,10.0
2016/2017,Saskatchewan,20 to 24 years,Total participation rate,47,30.0
2016/2017,Saskatchewan,20 to 24 years,Elementary/High School,47,2.0
2016/2017,Saskatchewan,20 to 24 years,College,47,6.0
2016/2017,Saskatchewan,20 to 24 years,University,47,23.0
2016/2017,Saskatchewan,25 to 29 years,Total participation rate,47,9.0
2016/2017,Saskatchewan,25 to 29 years,Elementary/High School,47,
2016/2017,Saskatchewan,25 to 29 years,College,47,2.0
2016/2017,Saskatchewan,25 to 29 years,University,47,6.0
2016/2017,Alberta,15 to 19 years,Total participation rate,48,80.0
2016/2017,Alberta,15 to 19 years,Elementary/High School,48,63.0
2016/2017,Alberta,15 to 19 years,College,48,5.0
2016/2017,Alberta,15 to 19 years,University,48,13.0
2016/2017,Alberta,20 to 24 years,Total participation rate,48,31.0
2016/2017,Alberta,20 to 24 years,Elementary/High School,48,1.0
