Year,Géographie,Marital status,Groupe d'âge,Value
2001,Saskatchewan,Marié ou vivant en union libre,15 à 19 ans,3.73
2001,Saskatchewan,Marié ou vivant en union libre,20 à 24 ans,30.51
2001,Saskatchewan,Marié,15 à 19 ans,0.56
2001,Saskatchewan,Marié,20 à 24 ans,14.36
2001,Saskatchewan,Vivant en union libre,15 à 19 ans,3.15
2001,Saskatchewan,Vivant en union libre,20 à 24 ans,16.14
2001,Yukon,Marié ou vivant en union libre,15 à 19 ans,4.04
2001,Yukon,Marié ou vivant en union libre,20 à 24 ans,29.7
2001,Yukon,Marié,15 à 19 ans,0.45
2001,Yukon,Marié,20 à 24 ans,9.09
2001,Yukon,Vivant en union libre,15 à 19 ans,3.59
2001,Yukon,Vivant en union libre,20 à 24 ans,21.21
2006,Alberta,Marié ou vivant en union libre,15 à 19 ans,4.32
2006,Alberta,Marié ou vivant en union libre,20 à 24 ans,29.89
2006,Alberta,Marié,15 à 19 ans,0.93
2006,Alberta,Marié,20 à 24 ans,12.28
2006,Alberta,Vivant en union libre,15 à 19 ans,3.38
2006,Alberta,Vivant en union libre,20 à 24 ans,17.61
2006,Colombie-Britannique,Marié ou vivant en union libre,15 à 19 ans,2.79
2006,Colombie-Britannique,Marié ou vivant en union libre,20 à 24 ans,22.26
2006,Colombie-Britannique,Marié,15 à 19 ans,0.71
2006,Colombie-Britannique,Marié,20 à 24 ans,9.15
2006,Colombie-Britannique,Vivant en union libre,15 à 19 ans,2.08
2006,Colombie-Britannique,Vivant en union libre,20 à 24 ans,13.1
2006,Canada,Marié ou vivant en union libre,15 à 19 ans,2.91
2006,Canada,Marié ou vivant en union libre,20 à 24 ans,23.56
2006,Canada,Marié,15 à 19 ans,0.71
2006,Canada,Marié,20 à 24 ans,8.24
2006,Canada,Vivant en union libre,15 à 19 ans,2.2
2006,Canada,Vivant en union libre,20 à 24 ans,15.32
2006,Manitoba,Marié ou vivant en union libre,15 à 19 ans,3.37
2006,Manitoba,Marié ou vivant en union libre,20 à 24 ans,25.18
2006,Manitoba,Marié,15 à 19 ans,0.86
2006,Manitoba,Marié,20 à 24 ans,11.65
2006,Manitoba,Vivant en union libre,15 à 19 ans,2.52
2006,Manitoba,Vivant en union libre,20 à 24 ans,13.55
2006,Nouveau-Brunswick,Marié ou vivant en union libre,15 à 19 ans,3.12
2006,Nouveau-Brunswick,Marié ou vivant en union libre,20 à 24 ans,26.55
2006,Nouveau-Brunswick,Marié,15 à 19 ans,0.49
2006,Nouveau-Brunswick,Marié,20 à 24 ans,7.21
2006,Nouveau-Brunswick,Vivant en union libre,15 à 19 ans,2.6
2006,Nouveau-Brunswick,Vivant en union libre,20 à 24 ans,19.33
2006,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,15 à 19 ans,1.94
2006,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,20 à 24 ans,16.87
2006,Terre-Neuve-et-Labrador,Marié,15 à 19 ans,0.42
2006,Terre-Neuve-et-Labrador,Marié,20 à 24 ans,4.63
2006,Terre-Neuve-et-Labrador,Vivant en union libre,15 à 19 ans,1.49
2006,Terre-Neuve-et-Labrador,Vivant en union libre,20 à 24 ans,12.24
2006,Territoires du Nord-Ouest,Marié ou vivant en union libre,15 à 19 ans,5.68
2006,Territoires du Nord-Ouest,Marié ou vivant en union libre,20 à 24 ans,33.55
2006,Territoires du Nord-Ouest,Marié,15 à 19 ans,0.85
2006,Territoires du Nord-Ouest,Marié,20 à 24 ans,4.61
2006,Territoires du Nord-Ouest,Vivant en union libre,15 à 19 ans,4.55
2006,Territoires du Nord-Ouest,Vivant en union libre,20 à 24 ans,28.95
2006,Nouvelle-Écosse,Marié ou vivant en union libre,15 à 19 ans,2.45
2006,Nouvelle-Écosse,Marié ou vivant en union libre,20 à 24 ans,21.33
2006,Nouvelle-Écosse,Marié,15 à 19 ans,0.45
2006,Nouvelle-Écosse,Marié,20 à 24 ans,5.36
2006,Nouvelle-Écosse,Vivant en union libre,15 à 19 ans,1.98
2006,Nouvelle-Écosse,Vivant en union libre,20 à 24 ans,15.98
2006,Nunavut,Marié ou vivant en union libre,15 à 19 ans,11.55
2006,Nunavut,Marié ou vivant en union libre,20 à 24 ans,42.8
2006,Nunavut,Marié,15 à 19 ans,0.33
2006,Nunavut,Marié,20 à 24 ans,5.76
2006,Nunavut,Vivant en union libre,15 à 19 ans,10.89
2006,Nunavut,Vivant en union libre,20 à 24 ans,37.04
2006,Ontario,Marié ou vivant en union libre,15 à 19 ans,2.1
2006,Ontario,Marié ou vivant en union libre,20 à 24 ans,18.79
2006,Ontario,Marié,15 à 19 ans,0.76
2006,Ontario,Marié,20 à 24 ans,8.72
2006,Ontario,Vivant en union libre,15 à 19 ans,1.35
2006,Ontario,Vivant en union libre,20 à 24 ans,10.07
2006,Île-du-Prince-Édouard,Marié ou vivant en union libre,15 à 19 ans,2.13
2006,Île-du-Prince-Édouard,Marié ou vivant en union libre,20 à 24 ans,20.57
2006,Île-du-Prince-Édouard,Marié,15 à 19 ans,0.51
2006,Île-du-Prince-Édouard,Marié,20 à 24 ans,7.16
2006,Île-du-Prince-Édouard,Vivant en union libre,15 à 19 ans,1.62
2006,Île-du-Prince-Édouard,Vivant en union libre,20 à 24 ans,13.41
2006,Québec,Marié ou vivant en union libre,15 à 19 ans,3.49
2006,Québec,Marié ou vivant en union libre,20 à 24 ans,28.45
2006,Québec,Marié,15 à 19 ans,0.6
2006,Québec,Marié,20 à 24 ans,4.62
2006,Québec,Vivant en union libre,15 à 19 ans,2.89
2006,Québec,Vivant en union libre,20 à 24 ans,23.83
2006,Saskatchewan,Marié ou vivant en union libre,15 à 19 ans,3.96
2006,Saskatchewan,Marié ou vivant en union libre,20 à 24 ans,28.17
2006,Saskatchewan,Marié,15 à 19 ans,0.52
2006,Saskatchewan,Marié,20 à 24 ans,10.75
2006,Saskatchewan,Vivant en union libre,15 à 19 ans,3.44
2006,Saskatchewan,Vivant en union libre,20 à 24 ans,17.42
2006,Yukon,Marié ou vivant en union libre,15 à 19 ans,5.24
2006,Yukon,Marié ou vivant en union libre,20 à 24 ans,25.41
2006,Yukon,Marié,15 à 19 ans,0.48
2006,Yukon,Marié,20 à 24 ans,4.86
2006,Yukon,Vivant en union libre,15 à 19 ans,4.76
2006,Yukon,Vivant en union libre,20 à 24 ans,21.08
2011,Alberta,Marié ou vivant en union libre,15 à 19 ans,3.09
2011,Alberta,Marié ou vivant en union libre,20 à 24 ans,27.99
2011,Alberta,Marié,15 à 19 ans,0.49
2011,Alberta,Marié,20 à 24 ans,10.6
2011,Alberta,Vivant en union libre,15 à 19 ans,2.6
2011,Alberta,Vivant en union libre,20 à 24 ans,17.39
2011,Colombie-Britannique,Marié ou vivant en union libre,15 à 19 ans,2.08
2011,Colombie-Britannique,Marié ou vivant en union libre,20 à 24 ans,19.96
2011,Colombie-Britannique,Marié,15 à 19 ans,0.31
2011,Colombie-Britannique,Marié,20 à 24 ans,7.19
2011,Colombie-Britannique,Vivant en union libre,15 à 19 ans,1.77
2011,Colombie-Britannique,Vivant en union libre,20 à 24 ans,12.77
2011,Canada,Marié ou vivant en union libre,15 à 19 ans,2.22
2011,Canada,Marié ou vivant en union libre,20 à 24 ans,21.44
2011,Canada,Marié,15 à 19 ans,0.32
2011,Canada,Marié,20 à 24 ans,6.66
2011,Canada,Vivant en union libre,15 à 19 ans,1.9
2011,Canada,Vivant en union libre,20 à 24 ans,14.78
2011,Manitoba,Marié ou vivant en union libre,15 à 19 ans,2.75
2011,Manitoba,Marié ou vivant en union libre,20 à 24 ans,24.04
2011,Manitoba,Marié,15 à 19 ans,0.57
2011,Manitoba,Marié,20 à 24 ans,9.89
2011,Manitoba,Vivant en union libre,15 à 19 ans,2.18
2011,Manitoba,Vivant en union libre,20 à 24 ans,14.15
2011,Nouveau-Brunswick,Marié ou vivant en union libre,15 à 19 ans,3.03
2011,Nouveau-Brunswick,Marié ou vivant en union libre,20 à 24 ans,25.97
2011,Nouveau-Brunswick,Marié,15 à 19 ans,0.22
2011,Nouveau-Brunswick,Marié,20 à 24 ans,6.2
2011,Nouveau-Brunswick,Vivant en union libre,15 à 19 ans,2.81
2011,Nouveau-Brunswick,Vivant en union libre,20 à 24 ans,19.79
2011,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,15 à 19 ans,2.05
2011,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,20 à 24 ans,19.0
2011,Terre-Neuve-et-Labrador,Marié,15 à 19 ans,0.1
2011,Terre-Neuve-et-Labrador,Marié,20 à 24 ans,3.61
2011,Terre-Neuve-et-Labrador,Vivant en union libre,15 à 19 ans,1.94
2011,Terre-Neuve-et-Labrador,Vivant en union libre,20 à 24 ans,15.39
2011,Territoires du Nord-Ouest,Marié ou vivant en union libre,15 à 19 ans,4.0
2011,Territoires du Nord-Ouest,Marié ou vivant en union libre,20 à 24 ans,30.91
2011,Territoires du Nord-Ouest,Marié,15 à 19 ans,0.31
2011,Territoires du Nord-Ouest,Marié,20 à 24 ans,5.15
2011,Territoires du Nord-Ouest,Vivant en union libre,15 à 19 ans,3.69
2011,Territoires du Nord-Ouest,Vivant en union libre,20 à 24 ans,26.06
2011,Nouvelle-Écosse,Marié ou vivant en union libre,15 à 19 ans,2.15
2011,Nouvelle-Écosse,Marié ou vivant en union libre,20 à 24 ans,20.59
2011,Nouvelle-Écosse,Marié,15 à 19 ans,0.21
2011,Nouvelle-Écosse,Marié,20 à 24 ans,4.57
2011,Nouvelle-Écosse,Vivant en union libre,15 à 19 ans,1.93
2011,Nouvelle-Écosse,Vivant en union libre,20 à 24 ans,16.04
2011,Nunavut,Marié ou vivant en union libre,15 à 19 ans,9.52
2011,Nunavut,Marié ou vivant en union libre,20 à 24 ans,43.42
2011,Nunavut,Marié,15 à 19 ans,0.68
2011,Nunavut,Marié,20 à 24 ans,5.69
2011,Nunavut,Vivant en union libre,15 à 19 ans,9.18
2011,Nunavut,Vivant en union libre,20 à 24 ans,38.08
2011,Ontario,Marié ou vivant en union libre,15 à 19 ans,1.41
2011,Ontario,Marié ou vivant en union libre,20 à 24 ans,16.14
2011,Ontario,Marié,15 à 19 ans,0.29
2011,Ontario,Marié,20 à 24 ans,6.52
2011,Ontario,Vivant en union libre,15 à 19 ans,1.11
2011,Ontario,Vivant en union libre,20 à 24 ans,9.62
2011,Île-du-Prince-Édouard,Marié ou vivant en union libre,15 à 19 ans,2.01
2011,Île-du-Prince-Édouard,Marié ou vivant en union libre,20 à 24 ans,19.14
2011,Île-du-Prince-Édouard,Marié,15 à 19 ans,0.11
2011,Île-du-Prince-Édouard,Marié,20 à 24 ans,5.41
2011,Île-du-Prince-Édouard,Vivant en union libre,15 à 19 ans,1.91
2011,Île-du-Prince-Édouard,Vivant en union libre,20 à 24 ans,13.74
2011,Québec,Marié ou vivant en union libre,15 à 19 ans,2.93
2011,Québec,Marié ou vivant en union libre,20 à 24 ans,26.39
2011,Québec,Marié,15 à 19 ans,0.28
2011,Québec,Marié,20 à 24 ans,4.1
2011,Québec,Vivant en union libre,15 à 19 ans,2.65
2011,Québec,Vivant en union libre,20 à 24 ans,22.28
2011,Saskatchewan,Marié ou vivant en union libre,15 à 19 ans,3.28
2011,Saskatchewan,Marié ou vivant en union libre,20 à 24 ans,27.4
2011,Saskatchewan,Marié,15 à 19 ans,0.33
2011,Saskatchewan,Marié,20 à 24 ans,9.44
2011,Saskatchewan,Vivant en union libre,15 à 19 ans,2.97
2011,Saskatchewan,Vivant en union libre,20 à 24 ans,17.97
2011,Yukon,Marié ou vivant en union libre,15 à 19 ans,3.74
2011,Yukon,Marié ou vivant en union libre,20 à 24 ans,27.23
2011,Yukon,Marié,15 à 19 ans,0.47
2011,Yukon,Marié,20 à 24 ans,5.16
2011,Yukon,Vivant en union libre,15 à 19 ans,3.27
2011,Yukon,Vivant en union libre,20 à 24 ans,22.07
2016,Alberta,Marié ou vivant en union libre,15 à 19 ans,2.11
2016,Alberta,Marié ou vivant en union libre,20 à 24 ans,25.09
2016,Alberta,Marié,15 à 19 ans,0.33
2016,Alberta,Marié,20 à 24 ans,8.72
2016,Alberta,Vivant en union libre,15 à 19 ans,1.78
2016,Alberta,Vivant en union libre,20 à 24 ans,16.36
2016,Colombie-Britannique,Marié ou vivant en union libre,15 à 19 ans,1.57
2016,Colombie-Britannique,Marié ou vivant en union libre,20 à 24 ans,17.72
2016,Colombie-Britannique,Marié,15 à 19 ans,0.18
2016,Colombie-Britannique,Marié,20 à 24 ans,5.09
2016,Colombie-Britannique,Vivant en union libre,15 à 19 ans,1.39
2016,Colombie-Britannique,Vivant en union libre,20 à 24 ans,12.63
2016,Canada,Marié ou vivant en union libre,15 à 19 ans,1.66
2016,Canada,Marié ou vivant en union libre,20 à 24 ans,18.78
2016,Canada,Marié,15 à 19 ans,0.19
2016,Canada,Marié,20 à 24 ans,5.03
2016,Canada,Vivant en union libre,15 à 19 ans,1.47
2016,Canada,Vivant en union libre,20 à 24 ans,13.75
2016,Manitoba,Marié ou vivant en union libre,15 à 19 ans,2.06
2016,Manitoba,Marié ou vivant en union libre,20 à 24 ans,21.96
2016,Manitoba,Marié,15 à 19 ans,0.29
2016,Manitoba,Marié,20 à 24 ans,8.23
2016,Manitoba,Vivant en union libre,15 à 19 ans,1.75
2016,Manitoba,Vivant en union libre,20 à 24 ans,13.74
2016,Nouveau-Brunswick,Marié ou vivant en union libre,15 à 19 ans,2.59
2016,Nouveau-Brunswick,Marié ou vivant en union libre,20 à 24 ans,24.85
2016,Nouveau-Brunswick,Marié,15 à 19 ans,0.13
2016,Nouveau-Brunswick,Marié,20 à 24 ans,4.51
2016,Nouveau-Brunswick,Vivant en union libre,15 à 19 ans,2.46
2016,Nouveau-Brunswick,Vivant en union libre,20 à 24 ans,20.36
2016,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,15 à 19 ans,1.85
2016,Terre-Neuve-et-Labrador,Marié ou vivant en union libre,20 à 24 ans,19.77
2016,Terre-Neuve-et-Labrador,Marié,15 à 19 ans,0.08
2016,Terre-Neuve-et-Labrador,Marié,20 à 24 ans,2.9
2016,Terre-Neuve-et-Labrador,Vivant en union libre,15 à 19 ans,1.73
2016,Terre-Neuve-et-Labrador,Vivant en union libre,20 à 24 ans,16.87
2016,Territoires du Nord-Ouest,Marié ou vivant en union libre,15 à 19 ans,2.68
2016,Territoires du Nord-Ouest,Marié ou vivant en union libre,20 à 24 ans,26.92
2016,Territoires du Nord-Ouest,Marié,15 à 19 ans,0.0
2016,Territoires du Nord-Ouest,Marié,20 à 24 ans,3.5
2016,Territoires du Nord-Ouest,Vivant en union libre,15 à 19 ans,2.68
2016,Territoires du Nord-Ouest,Vivant en union libre,20 à 24 ans,23.43
2016,Nouvelle-Écosse,Marié ou vivant en union libre,15 à 19 ans,1.92
2016,Nouvelle-Écosse,Marié ou vivant en union libre,20 à 24 ans,19.42
2016,Nouvelle-Écosse,Marié,15 à 19 ans,0.1
2016,Nouvelle-Écosse,Marié,20 à 24 ans,3.34
2016,Nouvelle-Écosse,Vivant en union libre,15 à 19 ans,1.78
2016,Nouvelle-Écosse,Vivant en union libre,20 à 24 ans,16.08
2016,Nunavut,Marié ou vivant en union libre,15 à 19 ans,11.04
2016,Nunavut,Marié ou vivant en union libre,20 à 24 ans,41.72
2016,Nunavut,Marié,15 à 19 ans,0.0
2016,Nunavut,Marié,20 à 24 ans,3.31
2016,Nunavut,Vivant en union libre,15 à 19 ans,11.04
2016,Nunavut,Vivant en union libre,20 à 24 ans,38.74
2016,Ontario,Marié ou vivant en union libre,15 à 19 ans,1.07
2016,Ontario,Marié ou vivant en union libre,20 à 24 ans,13.76
2016,Ontario,Marié,15 à 19 ans,0.18
2016,Ontario,Marié,20 à 24 ans,4.66
2016,Ontario,Vivant en union libre,15 à 19 ans,0.89
2016,Ontario,Vivant en union libre,20 à 24 ans,9.1
2016,Île-du-Prince-Édouard,Marié ou vivant en union libre,15 à 19 ans,1.78
2016,Île-du-Prince-Édouard,Marié ou vivant en union libre,20 à 24 ans,19.03
2016,Île-du-Prince-Édouard,Marié,15 à 19 ans,0.36
2016,Île-du-Prince-Édouard,Marié,20 à 24 ans,4.02
2016,Île-du-Prince-Édouard,Vivant en union libre,15 à 19 ans,1.43
2016,Île-du-Prince-Édouard,Vivant en union libre,20 à 24 ans,14.89
2016,Québec,Marié ou vivant en union libre,15 à 19 ans,2.14
2016,Québec,Marié ou vivant en union libre,20 à 24 ans,22.62
2016,Québec,Marié,15 à 19 ans,0.14
2016,Québec,Marié,20 à 24 ans,3.24
2016,Québec,Vivant en union libre,15 à 19 ans,2.0
2016,Québec,Vivant en union libre,20 à 24 ans,19.38
2016,Saskatchewan,Marié ou vivant en union libre,15 à 19 ans,2.73
2016,Saskatchewan,Marié ou vivant en union libre,20 à 24 ans,25.7
2016,Saskatchewan,Marié,15 à 19 ans,0.21
2016,Saskatchewan,Marié,20 à 24 ans,7.56
2016,Saskatchewan,Vivant en union libre,15 à 19 ans,2.5
2016,Saskatchewan,Vivant en union libre,20 à 24 ans,18.14
2016,Yukon,Marié ou vivant en union libre,15 à 19 ans,2.15
2016,Yukon,Marié ou vivant en union libre,20 à 24 ans,25.27
2016,Yukon,Marié,15 à 19 ans,0.54
2016,Yukon,Marié,20 à 24 ans,4.84
2016,Yukon,Vivant en union libre,15 à 19 ans,1.61
2016,Yukon,Vivant en union libre,20 à 24 ans,20.43
2021,Alberta,Marié ou vivant en union libre,15 à 19 ans,1.51
2021,Alberta,Marié ou vivant en union libre,20 à 24 ans,20.31
2021,Alberta,Marié,15 à 19 ans,0.25
2021,Alberta,Marié,20 à 24 ans,6.8
