Year,Geography,Level of government,Type of heritage,GeoCode,Value
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,10,96.51742
2018,Northwest Territories,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,61,538.88989
2018,Nova Scotia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,12,97.70579
2018,Nunavut,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,62,861.12416
2018,Ontario,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,35,155.30393
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,11,105.0841
2018,Quebec,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,24,156.43349
2018,Saskatchewan,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,47,138.38317
2018,Yukon,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,60,891.02294
2019,Alberta,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,48,229.60125
2019,British Columbia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,59,75.13174
2019,Canada,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,,156.51875
2019,Manitoba,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,46,182.47736
2019,New Brunswick,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,13,105.48157
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,10,83.38972
2019,Northwest Territories,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,61,607.53341
2019,Nova Scotia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,12,59.43847
2019,Nunavut,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,62,798.16679
2019,Ontario,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,35,159.32958
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,11,83.44459
2019,Quebec,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,24,170.33695
2019,Saskatchewan,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,47,157.18638
2019,Yukon,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,60,1116.85726
2020,Alberta,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,48,111.40115
2020,British Columbia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,59,74.57351
2020,Canada,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,,154.88328
2020,Manitoba,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,46,204.32828
2020,New Brunswick,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,13,100.83836
2020,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,10,85.40779
2020,Northwest Territories,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,61,584.21715
2020,Nova Scotia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,12,82.89795
2020,Nunavut,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,62,785.22759
2020,Ontario,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,35,144.62995
2020,Prince Edward Island,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,11,75.3802
2020,Quebec,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,24,244.99786
2020,Saskatchewan,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,47,151.6208
2020,Yukon,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,60,1120.16779
2021,Alberta,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,48,104.02725
2021,British Columbia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,59,85.33166
2021,Canada,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,,155.85829
2021,Manitoba,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,46,162.36519
2021,New Brunswick,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,13,88.51773
2021,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,10,94.86658
2021,Northwest Territories,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,61,650.53052
2021,Nova Scotia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,12,116.01067
2021,Nunavut,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,62,723.44459
2021,Ontario,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,35,156.17328
2021,Prince Edward Island,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,11,74.01331
2021,Quebec,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,24,225.26779
2021,Saskatchewan,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,47,184.97728
2021,Yukon,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,60,1280.23091
2022,Alberta,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,48,105.3007
2022,British Columbia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,59,91.66803
2022,Canada,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,,155.29395
2022,Manitoba,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,46,171.92476
2022,New Brunswick,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,13,88.93632
2022,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,10,95.93986
2022,Northwest Territories,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,61,648.98736
2022,Nova Scotia,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,12,110.19606
2022,Nunavut,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,62,741.01519
2022,Ontario,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,35,154.70446
2022,Prince Edward Island,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,11,71.77549
2022,Quebec,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,24,221.28218
2022,Saskatchewan,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,47,182.44737
2022,Yukon,Consolidated provincial-territorial and local governments,Total cultural and natural heritage,60,1275.48115
2015,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,,52.51439
2015,Canada,Consolidated Canadian general government,Cultural services,,149.70103
2015,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,,40.4991
2015,Canada,Consolidated provincial-territorial and local governments,Cultural services,,100.96767
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,10,17.03423
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,10,88.95652
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,11,13.82782
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,11,89.8808
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,12,28.80249
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,12,118.41023
2015,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,13,28.97688
2015,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,13,81.66211
2015,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,24,6.48259
2015,Quebec,Consolidated provincial-territorial and local governments,Cultural services,24,127.08325
2015,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,35,53.8321
2015,Ontario,Consolidated provincial-territorial and local governments,Cultural services,35,93.22144
2015,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,46,25.51024
2015,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,46,114.40958
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,47,16.93088
2015,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,47,98.02087
2015,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,48,105.05652
2015,Alberta,Consolidated provincial-territorial and local governments,Cultural services,48,103.85174
2015,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,59,6.92481
2015,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,59,67.35954
2015,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,60,1406.99249
2015,Yukon,Consolidated provincial-territorial and local governments,Cultural services,60,371.65839
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,61,316.40563
2015,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,61,226.00402
2015,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,62,164.42861
2015,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,62,575.50014
2016,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,,45.19423
2016,Canada,Consolidated Canadian general government,Cultural services,,160.03521
2016,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,,36.7757
2016,Canada,Consolidated provincial-territorial and local governments,Cultural services,,103.45934
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,10,15.10614
2016,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,10,83.08377
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,11,13.61554
2016,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,11,88.501
2016,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,12,23.33019
2016,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,12,111.34865
2016,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,13,14.41069
2016,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,13,78.60379
2016,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,24,6.32216
2016,Quebec,Consolidated provincial-territorial and local governments,Cultural services,24,134.58908
2016,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,35,54.62473
2016,Ontario,Consolidated provincial-territorial and local governments,Cultural services,35,95.05279
2016,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,46,26.63339
2016,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,46,114.90404
2016,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,47,14.97143
2016,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,47,103.91934
2016,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,48,78.18036
2016,Alberta,Consolidated provincial-territorial and local governments,Cultural services,48,103.92268
2016,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,59,6.78835
2016,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,59,68.91205
2016,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,60,1089.52243
2016,Yukon,Consolidated provincial-territorial and local governments,Cultural services,60,492.87919
2016,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,61,291.32305
2016,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,61,224.09466
2016,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,62,162.25425
2016,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,62,567.88988
2017,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,,50.56769
2017,Canada,Consolidated Canadian general government,Cultural services,,172.17094
2017,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,,41.20938
2017,Canada,Consolidated provincial-territorial and local governments,Cultural services,,107.81206
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,10,13.21398
2017,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,10,92.49786
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,11,13.35648
2017,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,11,86.81715
2017,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,12,22.05514
2017,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,12,97.67276
2017,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,13,23.47733
2017,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,13,83.47496
2017,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,24,16.88205
2017,Quebec,Consolidated provincial-territorial and local governments,Cultural services,24,140.12101
2017,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,35,61.22812
2017,Ontario,Consolidated provincial-territorial and local governments,Cultural services,35,99.51345
2017,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,46,25.47324
2017,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,46,119.12486
2017,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,47,17.432
2017,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,47,103.72043
2017,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,48,70.09164
2017,Alberta,Consolidated provincial-territorial and local governments,Cultural services,48,115.4034
2017,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,59,10.53868
2017,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,59,69.31212
2017,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,60,860.04098
2017,Yukon,Consolidated provincial-territorial and local governments,Cultural services,60,379.42984
2017,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,61,291.1143
2017,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,61,201.54067
2017,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,62,159.33716
2017,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,62,663.90482
2018,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,,45.74805
2018,Canada,Consolidated Canadian general government,Cultural services,,170.31437
2018,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,,36.60383
2018,Canada,Consolidated provincial-territorial and local governments,Cultural services,,108.89438
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,10,11.35499
2018,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,10,85.16243
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,11,13.13551
2018,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,11,91.94859
2018,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,12,37.41924
2018,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,12,60.28655
2018,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,13,24.65941
2018,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,13,84.36113
2018,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,24,6.55781
2018,Quebec,Consolidated provincial-territorial and local governments,Cultural services,24,149.87568
2018,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,35,55.97922
2018,Ontario,Consolidated provincial-territorial and local governments,Cultural services,35,99.32472
2018,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,46,25.13516
2018,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,46,120.5009
2018,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,47,19.02769
2018,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,47,119.35548
2018,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,48,68.72362
2018,Alberta,Consolidated provincial-territorial and local governments,Cultural services,48,119.50922
2018,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,59,9.16156
2018,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,59,61.54178
2018,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,60,495.01275
2018,Yukon,Consolidated provincial-territorial and local governments,Cultural services,60,396.0102
2018,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,61,314.35243
2018,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,61,224.53745
2018,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,62,156.56803
2018,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,62,704.55613
2019,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,,58.53504
2019,Canada,Consolidated Canadian general government,Cultural services,,178.02413
2019,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,,44.28673
2019,Canada,Consolidated provincial-territorial and local governments,Cultural services,,112.23203
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,10,13.26655
2019,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,10,70.12317
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,11,12.83763
2019,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,11,70.60696
2019,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,12,30.74404
2019,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,12,28.69443
2019,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,13,23.15449
2019,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,13,82.32708
2019,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,24,12.49531
2019,Quebec,Consolidated provincial-territorial and local governments,Cultural services,24,157.84164
2019,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,35,57.98169
2019,Ontario,Consolidated provincial-territorial and local governments,Cultural services,35,101.34789
2019,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,46,25.54683
2019,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,46,156.93053
2019,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,47,19.75567
2019,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,47,137.43072
2019,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,48,114.57102
2019,Alberta,Consolidated provincial-territorial and local governments,Cultural services,48,115.03023
2019,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,59,9.00016
2019,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,59,66.13159
2019,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,60,704.10566
2019,Yukon,Consolidated provincial-territorial and local governments,Cultural services,60,412.7516
2019,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,61,382.52104
2019,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,61,225.01238
2019,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,62,180.23121
2019,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,62,617.93558
2020,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,,49.88346
2020,Canada,Consolidated Canadian general government,Cultural services,,187.06954
2020,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,,33.08033
2020,Canada,Consolidated provincial-territorial and local governments,Cultural services,,121.80294
2020,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,10,13.28566
2020,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,10,72.12214
2020,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,11,12.56337
2020,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,11,62.81683
2020,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,12,35.38327
2020,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,12,47.51468
2020,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,13,20.42296
2020,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,13,80.4154
2020,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,24,19.17883
2020,Quebec,Consolidated provincial-territorial and local governments,Cultural services,24,225.81903
2020,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,35,54.26163
2020,Ontario,Consolidated provincial-territorial and local governments,Cultural services,35,90.36832
2020,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,46,47.82151
2020,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,46,156.50677
2020,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,47,18.84552
2020,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,47,132.77528
2020,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,48,7.26036
2020,Alberta,Consolidated provincial-territorial and local governments,Cultural services,48,104.14079
2020,British Columbia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,59,11.20535
2020,British Columbia,Consolidated provincial-territorial and local governments,Cultural services,59,63.36816
2020,Yukon,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,60,762.66743
2020,Yukon,Consolidated provincial-territorial and local governments,Cultural services,60,357.50036
2020,Northwest Territories,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,61,359.51825
2020,Northwest Territories,Consolidated provincial-territorial and local governments,Cultural services,61,224.6989
2020,Nunavut,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,62,151.97953
2020,Nunavut,Consolidated provincial-territorial and local governments,Cultural services,62,633.24806
2021,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,,53.84433
2021,Canada,Consolidated Canadian general government,Cultural services,,193.35843
2021,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,,34.41435
2021,Canada,Consolidated provincial-territorial and local governments,Cultural services,,121.44395
2021,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,10,17.07598
2021,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,10,77.7906
2021,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,11,12.33555
2021,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,11,61.67776
2021,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,12,42.00386
2021,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,12,74.00681
2021,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,13,20.23262
2021,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,13,68.28511
2021,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,24,19.01535
2021,Quebec,Consolidated provincial-territorial and local governments,Cultural services,24,206.25244
2021,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,35,57.67227
2021,Ontario,Consolidated provincial-territorial and local governments,Cultural services,35,98.50101
2021,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,46,25.14505
2021,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,46,137.22014
2021,Saskatchewan,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,47,21.40941
2021,Saskatchewan,Consolidated provincial-territorial and local governments,Cultural services,47,163.56787
2021,Alberta,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,48,8.34926
2021,Alberta,Consolidated provincial-territorial and local governments,Cultural services,48,95.67799
