Year,Géographie,Sexe,Groupe d'âge,GeoCode,Value
2015,Terre-Neuve-et-Labrador,Les deux sexes,25 ans et plus,10,12.6
2015,Terre-Neuve-et-Labrador,Les deux sexes,25 à 44 ans,10,10.6
2015,Terre-Neuve-et-Labrador,Les deux sexes,45 à 64 ans,10,14.2
2015,Terre-Neuve-et-Labrador,Les deux sexes,45 ans et plus,10,14.2
2015,Terre-Neuve-et-Labrador,Les deux sexes,25 à 54 ans,10,11.3
2015,Terre-Neuve-et-Labrador,Les deux sexes,55 ans et plus,10,16.5
2015,Terre-Neuve-et-Labrador,Les deux sexes,15 à 64 ans,10,13.1
2015,Terre-Neuve-et-Labrador,Les deux sexes,15 à 19 ans,10,19.1
2015,Terre-Neuve-et-Labrador,Les deux sexes,20 à 24 ans,10,15.1
2015,Terre-Neuve-et-Labrador,Les deux sexes,25 à 29 ans,10,11.0
2015,Terre-Neuve-et-Labrador,Les deux sexes,30 à 34 ans,10,10.6
2015,Terre-Neuve-et-Labrador,Les deux sexes,35 à 39 ans,10,10.0
2015,Terre-Neuve-et-Labrador,Les deux sexes,40 à 44 ans,10,11.0
2015,Terre-Neuve-et-Labrador,Les deux sexes,45 à 49 ans,10,11.5
2015,Terre-Neuve-et-Labrador,Les deux sexes,50 à 54 ans,10,13.2
2015,Terre-Neuve-et-Labrador,Les deux sexes,55 à 59 ans,10,15.1
2015,Terre-Neuve-et-Labrador,Les deux sexes,60 à 64 ans,10,19.2
2015,Terre-Neuve-et-Labrador,Les deux sexes,65 ans et plus,10,14.6
2015,Terre-Neuve-et-Labrador,Les deux sexes,65 à 69 ans,10,17.1
2015,Terre-Neuve-et-Labrador,Les deux sexes,70 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Hommes,15 ans et plus,10,15.6
2015,Terre-Neuve-et-Labrador,Hommes,15 à 24 ans,10,20.5
2015,Terre-Neuve-et-Labrador,Hommes,25 ans et plus,10,14.8
2015,Terre-Neuve-et-Labrador,Hommes,25 à 44 ans,10,12.1
2015,Terre-Neuve-et-Labrador,Hommes,45 à 64 ans,10,16.8
2015,Terre-Neuve-et-Labrador,Hommes,45 ans et plus,10,17.0
2015,Terre-Neuve-et-Labrador,Hommes,25 à 54 ans,10,13.3
2015,Terre-Neuve-et-Labrador,Hommes,55 ans et plus,10,18.8
2015,Terre-Neuve-et-Labrador,Hommes,15 à 64 ans,10,15.5
2015,Terre-Neuve-et-Labrador,Hommes,15 à 19 ans,10,23.9
2015,Terre-Neuve-et-Labrador,Hommes,20 à 24 ans,10,18.7
2015,Terre-Neuve-et-Labrador,Hommes,25 à 29 ans,10,12.0
2015,Terre-Neuve-et-Labrador,Hommes,30 à 34 ans,10,12.2
2015,Terre-Neuve-et-Labrador,Hommes,35 à 39 ans,10,11.6
2015,Terre-Neuve-et-Labrador,Hommes,40 à 44 ans,10,12.9
2015,Terre-Neuve-et-Labrador,Hommes,45 à 49 ans,10,14.6
2015,Terre-Neuve-et-Labrador,Hommes,50 à 54 ans,10,16.0
2015,Terre-Neuve-et-Labrador,Hommes,55 à 59 ans,10,17.7
2015,Terre-Neuve-et-Labrador,Hommes,60 à 64 ans,10,21.2
2015,Terre-Neuve-et-Labrador,Hommes,65 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Hommes,65 à 69 ans,10,
2015,Terre-Neuve-et-Labrador,Hommes,70 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Femmes,15 ans et plus,10,10.4
2015,Terre-Neuve-et-Labrador,Femmes,15 à 24 ans,10,12.6
2015,Terre-Neuve-et-Labrador,Femmes,25 ans et plus,10,10.1
2015,Terre-Neuve-et-Labrador,Femmes,25 à 44 ans,10,9.2
2015,Terre-Neuve-et-Labrador,Femmes,45 à 64 ans,10,11.1
2015,Terre-Neuve-et-Labrador,Femmes,45 ans et plus,10,11.0
2015,Terre-Neuve-et-Labrador,Femmes,25 à 54 ans,10,9.2
2015,Terre-Neuve-et-Labrador,Femmes,55 ans et plus,10,12.9
2015,Terre-Neuve-et-Labrador,Femmes,15 à 64 ans,10,10.5
2015,Terre-Neuve-et-Labrador,Femmes,15 à 19 ans,10,14.9
2015,Terre-Neuve-et-Labrador,Femmes,20 à 24 ans,10,11.2
2015,Terre-Neuve-et-Labrador,Femmes,25 à 29 ans,10,9.9
2015,Terre-Neuve-et-Labrador,Femmes,30 à 34 ans,10,8.8
2015,Terre-Neuve-et-Labrador,Femmes,35 à 39 ans,10,8.0
2015,Terre-Neuve-et-Labrador,Femmes,40 à 44 ans,10,9.8
2015,Terre-Neuve-et-Labrador,Femmes,45 à 49 ans,10,8.1
2015,Terre-Neuve-et-Labrador,Femmes,50 à 54 ans,10,10.3
2015,Terre-Neuve-et-Labrador,Femmes,55 à 59 ans,10,11.9
2015,Terre-Neuve-et-Labrador,Femmes,60 à 64 ans,10,16.7
2015,Terre-Neuve-et-Labrador,Femmes,65 ans et plus,10,
2015,Terre-Neuve-et-Labrador,Femmes,65 à 69 ans,10,
2015,Terre-Neuve-et-Labrador,Femmes,70 ans et plus,10,
2015,Île-du-Prince-Édouard,Les deux sexes,15 ans et plus,11,10.6
2015,Île-du-Prince-Édouard,Les deux sexes,15 à 24 ans,11,15.4
2015,Île-du-Prince-Édouard,Les deux sexes,25 ans et plus,11,9.7
2015,Île-du-Prince-Édouard,Les deux sexes,25 à 44 ans,11,9.6
2015,Île-du-Prince-Édouard,Les deux sexes,45 à 64 ans,11,9.6
2015,Île-du-Prince-Édouard,Les deux sexes,45 ans et plus,11,9.8
2015,Île-du-Prince-Édouard,Les deux sexes,25 à 54 ans,11,9.1
2015,Île-du-Prince-Édouard,Les deux sexes,55 ans et plus,11,11.3
2015,Île-du-Prince-Édouard,Les deux sexes,15 à 64 ans,11,10.5
2015,Île-du-Prince-Édouard,Les deux sexes,15 à 19 ans,11,19.6
2015,Île-du-Prince-Édouard,Les deux sexes,20 à 24 ans,11,12.3
2015,Île-du-Prince-Édouard,Les deux sexes,25 à 29 ans,11,11.3
2015,Île-du-Prince-Édouard,Les deux sexes,30 à 34 ans,11,9.7
2015,Île-du-Prince-Édouard,Les deux sexes,35 à 39 ans,11,9.6
2015,Île-du-Prince-Édouard,Les deux sexes,40 à 44 ans,11,8.1
2015,Île-du-Prince-Édouard,Les deux sexes,45 à 49 ans,11,8.1
2015,Île-du-Prince-Édouard,Les deux sexes,50 à 54 ans,11,8.3
2015,Île-du-Prince-Édouard,Les deux sexes,55 à 59 ans,11,10.1
2015,Île-du-Prince-Édouard,Les deux sexes,60 à 64 ans,11,13.6
2015,Île-du-Prince-Édouard,Les deux sexes,65 ans et plus,11,10.6
2015,Île-du-Prince-Édouard,Les deux sexes,65 à 69 ans,11,12.9
2015,Île-du-Prince-Édouard,Les deux sexes,70 ans et plus,11,
2015,Île-du-Prince-Édouard,Hommes,15 ans et plus,11,12.0
2015,Île-du-Prince-Édouard,Hommes,15 à 24 ans,11,20.3
2015,Île-du-Prince-Édouard,Hommes,25 ans et plus,11,10.5
2015,Île-du-Prince-Édouard,Hommes,25 à 44 ans,11,11.3
2015,Île-du-Prince-Édouard,Hommes,45 à 64 ans,11,9.9
2015,Île-du-Prince-Édouard,Hommes,45 ans et plus,11,9.9
2015,Île-du-Prince-Édouard,Hommes,25 à 54 ans,11,9.7
2015,Île-du-Prince-Édouard,Hommes,55 ans et plus,11,11.3
2015,Île-du-Prince-Édouard,Hommes,15 à 64 ans,11,11.9
2015,Île-du-Prince-Édouard,Hommes,15 à 19 ans,11,23.1
2015,Île-du-Prince-Édouard,Hommes,20 à 24 ans,11,18.4
2015,Île-du-Prince-Édouard,Hommes,25 à 29 ans,11,10.8
2015,Île-du-Prince-Édouard,Hommes,30 à 34 ans,11,10.8
2015,Île-du-Prince-Édouard,Hommes,35 à 39 ans,11,13.9
2015,Île-du-Prince-Édouard,Hommes,40 à 44 ans,11,9.8
2015,Île-du-Prince-Édouard,Hommes,45 à 49 ans,11,6.8
2015,Île-du-Prince-Édouard,Hommes,50 à 54 ans,11,7.7
2015,Île-du-Prince-Édouard,Hommes,55 à 59 ans,11,9.1
2015,Île-du-Prince-Édouard,Hommes,60 à 64 ans,11,15.6
2015,Île-du-Prince-Édouard,Hommes,65 ans et plus,11,
2015,Île-du-Prince-Édouard,Hommes,65 à 69 ans,11,
2015,Île-du-Prince-Édouard,Hommes,70 ans et plus,11,
2015,Île-du-Prince-Édouard,Femmes,15 ans et plus,11,9.0
2015,Île-du-Prince-Édouard,Femmes,15 à 24 ans,11,10.2
2015,Île-du-Prince-Édouard,Femmes,25 ans et plus,11,8.8
2015,Île-du-Prince-Édouard,Femmes,25 à 44 ans,11,8.6
2015,Île-du-Prince-Édouard,Femmes,45 à 64 ans,11,9.4
2015,Île-du-Prince-Édouard,Femmes,45 ans et plus,11,9.6
2015,Île-du-Prince-Édouard,Femmes,25 à 54 ans,11,8.0
2015,Île-du-Prince-Édouard,Femmes,55 ans et plus,11,11.2
2015,Île-du-Prince-Édouard,Femmes,15 à 64 ans,11,9.2
2015,Île-du-Prince-Édouard,Femmes,15 à 19 ans,11,12.0
2015,Île-du-Prince-Édouard,Femmes,20 à 24 ans,11,5.9
2015,Île-du-Prince-Édouard,Femmes,25 à 29 ans,11,11.4
2015,Île-du-Prince-Édouard,Femmes,30 à 34 ans,11,8.3
2015,Île-du-Prince-Édouard,Femmes,35 à 39 ans,11,5.4
2015,Île-du-Prince-Édouard,Femmes,40 à 44 ans,11,6.7
2015,Île-du-Prince-Édouard,Femmes,45 à 49 ans,11,7.1
2015,Île-du-Prince-Édouard,Femmes,50 à 54 ans,11,8.9
2015,Île-du-Prince-Édouard,Femmes,55 à 59 ans,11,10.9
2015,Île-du-Prince-Édouard,Femmes,60 à 64 ans,11,11.1
2015,Île-du-Prince-Édouard,Femmes,65 ans et plus,11,
2015,Île-du-Prince-Édouard,Femmes,65 à 69 ans,11,
2015,Île-du-Prince-Édouard,Femmes,70 ans et plus,11,
2015,Nouvelle-Écosse,Les deux sexes,15 ans et plus,12,8.8
2015,Nouvelle-Écosse,Les deux sexes,15 à 24 ans,12,15.1
2015,Nouvelle-Écosse,Les deux sexes,25 ans et plus,12,7.7
2015,Nouvelle-Écosse,Les deux sexes,25 à 44 ans,12,7.2
2015,Nouvelle-Écosse,Les deux sexes,45 à 64 ans,12,8.3
2015,Nouvelle-Écosse,Les deux sexes,45 ans et plus,12,8.2
2015,Nouvelle-Écosse,Les deux sexes,25 à 54 ans,12,7.4
2015,Nouvelle-Écosse,Les deux sexes,55 ans et plus,12,8.6
2015,Nouvelle-Écosse,Les deux sexes,15 à 64 ans,12,8.9
2015,Nouvelle-Écosse,Les deux sexes,15 à 19 ans,12,20.7
2015,Nouvelle-Écosse,Les deux sexes,20 à 24 ans,12,11.9
2015,Nouvelle-Écosse,Les deux sexes,25 à 29 ans,12,8.8
2015,Nouvelle-Écosse,Les deux sexes,30 à 34 ans,12,6.7
2015,Nouvelle-Écosse,Les deux sexes,35 à 39 ans,12,7.6
2015,Nouvelle-Écosse,Les deux sexes,40 à 44 ans,12,5.9
2015,Nouvelle-Écosse,Les deux sexes,45 à 49 ans,12,7.5
2015,Nouvelle-Écosse,Les deux sexes,50 à 54 ans,12,8.0
2015,Nouvelle-Écosse,Les deux sexes,55 à 59 ans,12,8.2
2015,Nouvelle-Écosse,Les deux sexes,60 à 64 ans,12,10.2
2015,Nouvelle-Écosse,Les deux sexes,65 ans et plus,12,6.4
2015,Nouvelle-Écosse,Les deux sexes,65 à 69 ans,12,8.4
2015,Nouvelle-Écosse,Les deux sexes,70 ans et plus,12,
2015,Nouvelle-Écosse,Hommes,15 ans et plus,12,10.4
2015,Nouvelle-Écosse,Hommes,15 à 24 ans,12,17.8
2015,Nouvelle-Écosse,Hommes,25 ans et plus,12,9.1
2015,Nouvelle-Écosse,Hommes,25 à 44 ans,12,8.7
2015,Nouvelle-Écosse,Hommes,45 à 64 ans,12,9.6
2015,Nouvelle-Écosse,Hommes,45 ans et plus,12,9.5
2015,Nouvelle-Écosse,Hommes,25 à 54 ans,12,8.7
2015,Nouvelle-Écosse,Hommes,55 ans et plus,12,10.2
2015,Nouvelle-Écosse,Hommes,15 à 64 ans,12,10.6
2015,Nouvelle-Écosse,Hommes,15 à 19 ans,12,26.1
2015,Nouvelle-Écosse,Hommes,20 à 24 ans,12,13.2
2015,Nouvelle-Écosse,Hommes,25 à 29 ans,12,12.1
2015,Nouvelle-Écosse,Hommes,30 à 34 ans,12,8.9
2015,Nouvelle-Écosse,Hommes,35 à 39 ans,12,8.1
2015,Nouvelle-Écosse,Hommes,40 à 44 ans,12,5.8
2015,Nouvelle-Écosse,Hommes,45 à 49 ans,12,8.8
2015,Nouvelle-Écosse,Hommes,50 à 54 ans,12,8.6
2015,Nouvelle-Écosse,Hommes,55 à 59 ans,12,10.4
2015,Nouvelle-Écosse,Hommes,60 à 64 ans,12,11.6
2015,Nouvelle-Écosse,Hommes,65 ans et plus,12,
2015,Nouvelle-Écosse,Hommes,65 à 69 ans,12,
2015,Nouvelle-Écosse,Hommes,70 ans et plus,12,
2015,Nouvelle-Écosse,Femmes,15 ans et plus,12,7.2
2015,Nouvelle-Écosse,Femmes,15 à 24 ans,12,12.4
2015,Nouvelle-Écosse,Femmes,25 ans et plus,12,6.2
2015,Nouvelle-Écosse,Femmes,25 à 44 ans,12,5.6
2015,Nouvelle-Écosse,Femmes,45 à 64 ans,12,7.0
2015,Nouvelle-Écosse,Femmes,45 ans et plus,12,6.7
2015,Nouvelle-Écosse,Femmes,25 à 54 ans,12,6.1
2015,Nouvelle-Écosse,Femmes,55 ans et plus,12,6.6
2015,Nouvelle-Écosse,Femmes,15 à 64 ans,12,7.2
2015,Nouvelle-Écosse,Femmes,15 à 19 ans,12,15.5
2015,Nouvelle-Écosse,Femmes,20 à 24 ans,12,10.4
2015,Nouvelle-Écosse,Femmes,25 à 29 ans,12,5.3
2015,Nouvelle-Écosse,Femmes,30 à 34 ans,12,4.4
2015,Nouvelle-Écosse,Femmes,35 à 39 ans,12,7.1
2015,Nouvelle-Écosse,Femmes,40 à 44 ans,12,6.0
2015,Nouvelle-Écosse,Femmes,45 à 49 ans,12,6.3
2015,Nouvelle-Écosse,Femmes,50 à 54 ans,12,7.4
2015,Nouvelle-Écosse,Femmes,55 à 59 ans,12,6.3
2015,Nouvelle-Écosse,Femmes,60 à 64 ans,12,8.6
2015,Nouvelle-Écosse,Femmes,65 ans et plus,12,
2015,Nouvelle-Écosse,Femmes,65 à 69 ans,12,
2015,Nouvelle-Écosse,Femmes,70 ans et plus,12,
2015,Nouveau-Brunswick,Les deux sexes,15 ans et plus,13,10.0
2015,Nouveau-Brunswick,Les deux sexes,15 à 24 ans,13,16.9
2015,Nouveau-Brunswick,Les deux sexes,25 ans et plus,13,8.9
2015,Nouveau-Brunswick,Les deux sexes,25 à 44 ans,13,8.2
2015,Nouveau-Brunswick,Les deux sexes,45 à 64 ans,13,9.7
2015,Nouveau-Brunswick,Les deux sexes,45 ans et plus,13,9.5
2015,Nouveau-Brunswick,Les deux sexes,25 à 54 ans,13,8.4
2015,Nouveau-Brunswick,Les deux sexes,55 ans et plus,13,10.4
2015,Nouveau-Brunswick,Les deux sexes,15 à 64 ans,13,10.2
2015,Nouveau-Brunswick,Les deux sexes,15 à 19 ans,13,18.5
2015,Nouveau-Brunswick,Les deux sexes,20 à 24 ans,13,16.0
2015,Nouveau-Brunswick,Les deux sexes,25 à 29 ans,13,10.6
2015,Nouveau-Brunswick,Les deux sexes,30 à 34 ans,13,8.7
2015,Nouveau-Brunswick,Les deux sexes,35 à 39 ans,13,7.0
2015,Nouveau-Brunswick,Les deux sexes,40 à 44 ans,13,6.9
2015,Nouveau-Brunswick,Les deux sexes,45 à 49 ans,13,8.0
2015,Nouveau-Brunswick,Les deux sexes,50 à 54 ans,13,9.3
2015,Nouveau-Brunswick,Les deux sexes,55 à 59 ans,13,9.8
2015,Nouveau-Brunswick,Les deux sexes,60 à 64 ans,13,13.2
2015,Nouveau-Brunswick,Les deux sexes,65 ans et plus,13,7.2
2015,Nouveau-Brunswick,Les deux sexes,65 à 69 ans,13,9.6
2015,Nouveau-Brunswick,Les deux sexes,70 ans et plus,13,
2015,Nouveau-Brunswick,Hommes,15 ans et plus,13,12.6
2015,Nouveau-Brunswick,Hommes,15 à 24 ans,13,21.9
2015,Nouveau-Brunswick,Hommes,25 ans et plus,13,11.1
2015,Nouveau-Brunswick,Hommes,25 à 44 ans,13,10.3
2015,Nouveau-Brunswick,Hommes,45 à 64 ans,13,12.1
2015,Nouveau-Brunswick,Hommes,45 ans et plus,13,11.8
2015,Nouveau-Brunswick,Hommes,25 à 54 ans,13,10.5
2015,Nouveau-Brunswick,Hommes,55 ans et plus,13,12.7
2015,Nouveau-Brunswick,Hommes,15 à 64 ans,13,12.8
2015,Nouveau-Brunswick,Hommes,15 à 19 ans,13,22.6
2015,Nouveau-Brunswick,Hommes,20 à 24 ans,13,21.5
2015,Nouveau-Brunswick,Hommes,25 à 29 ans,13,14.0
2015,Nouveau-Brunswick,Hommes,30 à 34 ans,13,10.7
2015,Nouveau-Brunswick,Hommes,35 à 39 ans,13,9.0
2015,Nouveau-Brunswick,Hommes,40 à 44 ans,13,7.8
2015,Nouveau-Brunswick,Hommes,45 à 49 ans,13,9.4
2015,Nouveau-Brunswick,Hommes,50 à 54 ans,13,12.1
2015,Nouveau-Brunswick,Hommes,55 à 59 ans,13,12.2
2015,Nouveau-Brunswick,Hommes,60 à 64 ans,13,15.6
2015,Nouveau-Brunswick,Hommes,65 ans et plus,13,
2015,Nouveau-Brunswick,Hommes,65 à 69 ans,13,
2015,Nouveau-Brunswick,Hommes,70 ans et plus,13,
2015,Nouveau-Brunswick,Femmes,15 ans et plus,13,7.2
2015,Nouveau-Brunswick,Femmes,15 à 24 ans,13,11.9
2015,Nouveau-Brunswick,Femmes,25 ans et plus,13,6.5
2015,Nouveau-Brunswick,Femmes,25 à 44 ans,13,6.1
2015,Nouveau-Brunswick,Femmes,45 à 64 ans,13,7.2
2015,Nouveau-Brunswick,Femmes,45 ans et plus,13,6.9
2015,Nouveau-Brunswick,Femmes,25 à 54 ans,13,6.2
2015,Nouveau-Brunswick,Femmes,55 ans et plus,13,7.5
2015,Nouveau-Brunswick,Femmes,15 à 64 ans,13,7.3
2015,Nouveau-Brunswick,Femmes,15 à 19 ans,13,14.3
2015,Nouveau-Brunswick,Femmes,20 à 24 ans,13,9.7
2015,Nouveau-Brunswick,Femmes,25 à 29 ans,13,6.9
2015,Nouveau-Brunswick,Femmes,30 à 34 ans,13,6.0
2015,Nouveau-Brunswick,Femmes,35 à 39 ans,13,4.9
2015,Nouveau-Brunswick,Femmes,40 à 44 ans,13,6.1
2015,Nouveau-Brunswick,Femmes,45 à 49 ans,13,6.7
2015,Nouveau-Brunswick,Femmes,50 à 54 ans,13,6.5
2015,Nouveau-Brunswick,Femmes,55 à 59 ans,13,7.1
2015,Nouveau-Brunswick,Femmes,60 à 64 ans,13,9.6
2015,Nouveau-Brunswick,Femmes,65 ans et plus,13,
2015,Nouveau-Brunswick,Femmes,65 à 69 ans,13,
2015,Nouveau-Brunswick,Femmes,70 ans et plus,13,
2015,Québec,Les deux sexes,15 ans et plus,24,7.7
2015,Québec,Les deux sexes,15 à 24 ans,24,12.1
2015,Québec,Les deux sexes,25 ans et plus,24,6.9
2015,Québec,Les deux sexes,25 à 44 ans,24,7.2
2015,Québec,Les deux sexes,45 à 64 ans,24,6.6
2015,Québec,Les deux sexes,45 ans et plus,24,6.6
2015,Québec,Les deux sexes,25 à 54 ans,24,6.7
2015,Québec,Les deux sexes,55 ans et plus,24,7.5
2015,Québec,Les deux sexes,15 à 64 ans,24,7.7
2015,Québec,Les deux sexes,15 à 19 ans,24,17.5
2015,Québec,Les deux sexes,20 à 24 ans,24,9.1
2015,Québec,Les deux sexes,25 à 29 ans,24,8.6
2015,Québec,Les deux sexes,30 à 34 ans,24,6.9
2015,Québec,Les deux sexes,35 à 39 ans,24,6.4
2015,Québec,Les deux sexes,40 à 44 ans,24,7.0
2015,Québec,Les deux sexes,45 à 49 ans,24,5.6
2015,Québec,Les deux sexes,50 à 54 ans,24,6.1
2015,Québec,Les deux sexes,55 à 59 ans,24,7.6
2015,Québec,Les deux sexes,60 à 64 ans,24,8.0
2015,Québec,Les deux sexes,65 ans et plus,24,6.4
2015,Québec,Les deux sexes,65 à 69 ans,24,7.2
2015,Québec,Les deux sexes,70 ans et plus,24,4.9
2015,Québec,Hommes,15 ans et plus,24,8.5
2015,Québec,Hommes,15 à 24 ans,24,14.5
2015,Québec,Hommes,25 ans et plus,24,7.5
2015,Québec,Hommes,25 à 44 ans,24,7.5
2015,Québec,Hommes,45 à 64 ans,24,7.6
2015,Québec,Hommes,45 ans et plus,24,7.5
2015,Québec,Hommes,25 à 54 ans,24,7.3
2015,Québec,Hommes,55 ans et plus,24,8.1
2015,Québec,Hommes,15 à 64 ans,24,8.6
2015,Québec,Hommes,15 à 19 ans,24,19.8
2015,Québec,Hommes,20 à 24 ans,24,11.5
2015,Québec,Hommes,25 à 29 ans,24,8.7
2015,Québec,Hommes,30 à 34 ans,24,7.4
2015,Québec,Hommes,35 à 39 ans,24,6.8
2015,Québec,Hommes,40 à 44 ans,24,7.5
2015,Québec,Hommes,45 à 49 ans,24,6.3
2015,Québec,Hommes,50 à 54 ans,24,7.3
2015,Québec,Hommes,55 à 59 ans,24,7.8
2015,Québec,Hommes,60 à 64 ans,24,9.5
2015,Québec,Hommes,65 ans et plus,24,6.7
2015,Québec,Hommes,65 à 69 ans,24,7.7
2015,Québec,Hommes,70 ans et plus,24,
2015,Québec,Femmes,15 ans et plus,24,6.8
2015,Québec,Femmes,15 à 24 ans,24,9.8
2015,Québec,Femmes,25 ans et plus,24,6.2
2015,Québec,Femmes,25 à 44 ans,24,6.8
2015,Québec,Femmes,45 à 64 ans,24,5.6
2015,Québec,Femmes,45 ans et plus,24,5.6
2015,Québec,Femmes,25 à 54 ans,24,6.1
2015,Québec,Femmes,55 ans et plus,24,6.8
2015,Québec,Femmes,15 à 64 ans,24,6.8
2015,Québec,Femmes,15 à 19 ans,24,15.3
2015,Québec,Femmes,20 à 24 ans,24,6.6
2015,Québec,Femmes,25 à 29 ans,24,8.5
2015,Québec,Femmes,30 à 34 ans,24,6.4
2015,Québec,Femmes,35 à 39 ans,24,5.9
2015,Québec,Femmes,40 à 44 ans,24,6.5
2015,Québec,Femmes,45 à 49 ans,24,4.8
2015,Québec,Femmes,50 à 54 ans,24,4.8
2015,Québec,Femmes,55 à 59 ans,24,7.3
2015,Québec,Femmes,60 à 64 ans,24,6.1
2015,Québec,Femmes,65 ans et plus,24,5.9
2015,Québec,Femmes,65 à 69 ans,24,6.4
2015,Québec,Femmes,70 ans et plus,24,
2015,Ontario,Les deux sexes,15 ans et plus,35,6.8
2015,Ontario,Les deux sexes,15 à 24 ans,35,14.3
2015,Ontario,Les deux sexes,25 ans et plus,35,5.4
2015,Ontario,Les deux sexes,25 à 44 ans,35,6.0
2015,Ontario,Les deux sexes,45 à 64 ans,35,5.0
2015,Ontario,Les deux sexes,45 ans et plus,35,4.9
2015,Ontario,Les deux sexes,25 à 54 ans,35,5.6
2015,Ontario,Les deux sexes,55 ans et plus,35,5.0
2015,Ontario,Les deux sexes,15 à 64 ans,35,6.9
2015,Ontario,Les deux sexes,15 à 19 ans,35,19.5
2015,Ontario,Les deux sexes,20 à 24 ans,35,11.4
2015,Ontario,Les deux sexes,25 à 29 ans,35,7.9
2015,Ontario,Les deux sexes,30 à 34 ans,35,5.8
2015,Ontario,Les deux sexes,35 à 39 ans,35,5.6
2015,Ontario,Les deux sexes,40 à 44 ans,35,4.9
2015,Ontario,Les deux sexes,45 à 49 ans,35,4.4
2015,Ontario,Les deux sexes,50 à 54 ans,35,5.1
