Year,Géographie,GeoCode,Sexe,Groupe d'âge,Compétences,Niveau de compétence,Value
2012,Canada,,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,45.6
2012,Canada,,Femmes,16 à 24 ans,Arithmétique,2 ou moins,57.0
2012,Canada,,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,39.6
2012,Canada,,Femmes,25 à 34 ans,Arithmétique,2 ou moins,51.2
2012,Canada,,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,42.7
2012,Canada,,Femmes,35 à 44 ans,Arithmétique,2 ou moins,55.0
2012,Canada,,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,55.2
2012,Canada,,Femmes,45 à 54 ans,Arithmétique,2 ou moins,64.3
2012,Canada,,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,62.1
2012,Canada,,Femmes,55 à 65 ans,Arithmétique,2 ou moins,73.1
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,Groupe d'âge totale,Alphabétisme,2 ou moins,56.8
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,Groupe d'âge totale,Arithmétique,2 ou moins,65.5
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,48.5
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,54.6
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,42.5
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,51.9
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,48.1
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,56.7
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,61.4
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,71.4
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,73.4
2012,Terre-Neuve-et-Labrador,10,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,82.1
2012,Terre-Neuve-et-Labrador,10,Hommes,Groupe d'âge totale,Alphabétisme,2 ou moins,57.3
2012,Terre-Neuve-et-Labrador,10,Hommes,Groupe d'âge totale,Arithmétique,2 ou moins,62.2
2012,Terre-Neuve-et-Labrador,10,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,50.8
2012,Terre-Neuve-et-Labrador,10,Hommes,16 à 24 ans,Arithmétique,2 ou moins,53.3
2012,Terre-Neuve-et-Labrador,10,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,40.6
2012,Terre-Neuve-et-Labrador,10,Hommes,25 à 34 ans,Arithmétique,2 ou moins,46.1
2012,Terre-Neuve-et-Labrador,10,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,51.4
2012,Terre-Neuve-et-Labrador,10,Hommes,35 à 44 ans,Arithmétique,2 ou moins,54.5
2012,Terre-Neuve-et-Labrador,10,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,61.4
2012,Terre-Neuve-et-Labrador,10,Hommes,45 à 54 ans,Arithmétique,2 ou moins,68.9
2012,Terre-Neuve-et-Labrador,10,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,72.4
2012,Terre-Neuve-et-Labrador,10,Hommes,55 à 65 ans,Arithmétique,2 ou moins,77.4
2012,Terre-Neuve-et-Labrador,10,Femmes,Groupe d'âge totale,Alphabétisme,2 ou moins,56.4
2012,Terre-Neuve-et-Labrador,10,Femmes,Groupe d'âge totale,Arithmétique,2 ou moins,68.7
2012,Terre-Neuve-et-Labrador,10,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,46.1
2012,Terre-Neuve-et-Labrador,10,Femmes,16 à 24 ans,Arithmétique,2 ou moins,56.0
2012,Terre-Neuve-et-Labrador,10,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,44.3
2012,Terre-Neuve-et-Labrador,10,Femmes,25 à 34 ans,Arithmétique,2 ou moins,57.5
2012,Terre-Neuve-et-Labrador,10,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,45.1
2012,Terre-Neuve-et-Labrador,10,Femmes,35 à 44 ans,Arithmétique,2 ou moins,58.6
2012,Terre-Neuve-et-Labrador,10,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,61.3
2012,Terre-Neuve-et-Labrador,10,Femmes,45 à 54 ans,Arithmétique,2 ou moins,73.7
2012,Terre-Neuve-et-Labrador,10,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,74.4
2012,Terre-Neuve-et-Labrador,10,Femmes,55 à 65 ans,Arithmétique,2 ou moins,86.7
2012,Île-du-Prince-Édouard,11,Les deux sexes,Groupe d'âge totale,Alphabétisme,2 ou moins,45.3
2012,Île-du-Prince-Édouard,11,Les deux sexes,Groupe d'âge totale,Arithmétique,2 ou moins,55.8
2012,Île-du-Prince-Édouard,11,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,44.1
2012,Île-du-Prince-Édouard,11,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,54.3
2012,Île-du-Prince-Édouard,11,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,32.3
2012,Île-du-Prince-Édouard,11,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,45.5
2012,Île-du-Prince-Édouard,11,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,37.6
2012,Île-du-Prince-Édouard,11,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,50.3
2012,Île-du-Prince-Édouard,11,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,51.2
2012,Île-du-Prince-Édouard,11,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,61.0
2012,Île-du-Prince-Édouard,11,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,55.2
2012,Île-du-Prince-Édouard,11,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,62.9
2012,Île-du-Prince-Édouard,11,Hommes,Groupe d'âge totale,Alphabétisme,2 ou moins,47.6
2012,Île-du-Prince-Édouard,11,Hommes,Groupe d'âge totale,Arithmétique,2 ou moins,54.1
2012,Île-du-Prince-Édouard,11,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,43.6
2012,Île-du-Prince-Édouard,11,Hommes,16 à 24 ans,Arithmétique,2 ou moins,52.1
2012,Île-du-Prince-Édouard,11,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,32.6
2012,Île-du-Prince-Édouard,11,Hommes,25 à 34 ans,Arithmétique,2 ou moins,39.9
2012,Île-du-Prince-Édouard,11,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,40.9
2012,Île-du-Prince-Édouard,11,Hommes,35 à 44 ans,Arithmétique,2 ou moins,48.9
2012,Île-du-Prince-Édouard,11,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,58.8
2012,Île-du-Prince-Édouard,11,Hommes,45 à 54 ans,Arithmétique,2 ou moins,61.6
2012,Île-du-Prince-Édouard,11,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,54.4
2012,Île-du-Prince-Édouard,11,Hommes,55 à 65 ans,Arithmétique,2 ou moins,61.4
2012,Île-du-Prince-Édouard,11,Femmes,Groupe d'âge totale,Alphabétisme,2 ou moins,43.1
2012,Île-du-Prince-Édouard,11,Femmes,Groupe d'âge totale,Arithmétique,2 ou moins,57.4
2012,Île-du-Prince-Édouard,11,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,44.5
2012,Île-du-Prince-Édouard,11,Femmes,16 à 24 ans,Arithmétique,2 ou moins,56.5
2012,Île-du-Prince-Édouard,11,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,32.1
2012,Île-du-Prince-Édouard,11,Femmes,25 à 34 ans,Arithmétique,2 ou moins,50.5
2012,Île-du-Prince-Édouard,11,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,34.4
2012,Île-du-Prince-Édouard,11,Femmes,35 à 44 ans,Arithmétique,2 ou moins,51.7
2012,Île-du-Prince-Édouard,11,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,43.7
2012,Île-du-Prince-Édouard,11,Femmes,45 à 54 ans,Arithmétique,2 ou moins,60.3
2012,Île-du-Prince-Édouard,11,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,56.0
2012,Île-du-Prince-Édouard,11,Femmes,55 à 65 ans,Arithmétique,2 ou moins,64.4
2012,Nouvelle-Écosse,12,Les deux sexes,Groupe d'âge totale,Alphabétisme,2 ou moins,50.3
2012,Nouvelle-Écosse,12,Les deux sexes,Groupe d'âge totale,Arithmétique,2 ou moins,58.2
2012,Nouvelle-Écosse,12,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,54.4
2012,Nouvelle-Écosse,12,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,61.3
2012,Nouvelle-Écosse,12,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,37.7
2012,Nouvelle-Écosse,12,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,47.3
2012,Nouvelle-Écosse,12,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,41.4
2012,Nouvelle-Écosse,12,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,49.8
2012,Nouvelle-Écosse,12,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,52.5
2012,Nouvelle-Écosse,12,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,61.1
2012,Nouvelle-Écosse,12,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,61.2
2012,Nouvelle-Écosse,12,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,67.6
2012,Nouvelle-Écosse,12,Hommes,Groupe d'âge totale,Alphabétisme,2 ou moins,49.3
2012,Nouvelle-Écosse,12,Hommes,Groupe d'âge totale,Arithmétique,2 ou moins,52.0
2012,Nouvelle-Écosse,12,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,51.2
2012,Nouvelle-Écosse,12,Hommes,16 à 24 ans,Arithmétique,2 ou moins,54.8
2012,Nouvelle-Écosse,12,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,32.7
2012,Nouvelle-Écosse,12,Hommes,25 à 34 ans,Arithmétique,2 ou moins,35.4
2012,Nouvelle-Écosse,12,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,42.5
2012,Nouvelle-Écosse,12,Hommes,35 à 44 ans,Arithmétique,2 ou moins,45.0
2012,Nouvelle-Écosse,12,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,55.3
2012,Nouvelle-Écosse,12,Hommes,45 à 54 ans,Arithmétique,2 ou moins,59.0
2012,Nouvelle-Écosse,12,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,58.7
2012,Nouvelle-Écosse,12,Hommes,55 à 65 ans,Arithmétique,2 ou moins,59.8
2012,Nouvelle-Écosse,12,Femmes,Groupe d'âge totale,Alphabétisme,2 ou moins,51.2
2012,Nouvelle-Écosse,12,Femmes,Groupe d'âge totale,Arithmétique,2 ou moins,64.1
2012,Nouvelle-Écosse,12,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,57.5
2012,Nouvelle-Écosse,12,Femmes,16 à 24 ans,Arithmétique,2 ou moins,67.6
2012,Nouvelle-Écosse,12,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,42.2
2012,Nouvelle-Écosse,12,Femmes,25 à 34 ans,Arithmétique,2 ou moins,57.9
2012,Nouvelle-Écosse,12,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,40.4
2012,Nouvelle-Écosse,12,Femmes,35 à 44 ans,Arithmétique,2 ou moins,54.2
2012,Nouvelle-Écosse,12,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,49.8
2012,Nouvelle-Écosse,12,Femmes,45 à 54 ans,Arithmétique,2 ou moins,63.1
2012,Nouvelle-Écosse,12,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,63.5
2012,Nouvelle-Écosse,12,Femmes,55 à 65 ans,Arithmétique,2 ou moins,75.1
2012,Nouveau-Brunswick,13,Les deux sexes,Groupe d'âge totale,Alphabétisme,2 ou moins,53.5
2012,Nouveau-Brunswick,13,Les deux sexes,Groupe d'âge totale,Arithmétique,2 ou moins,63.1
2012,Nouveau-Brunswick,13,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,59.4
2012,Nouveau-Brunswick,13,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,67.9
2012,Nouveau-Brunswick,13,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,38.2
2012,Nouveau-Brunswick,13,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,50.8
2012,Nouveau-Brunswick,13,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,43.1
2012,Nouveau-Brunswick,13,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,55.7
2012,Nouveau-Brunswick,13,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,57.5
2012,Nouveau-Brunswick,13,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,64.1
2012,Nouveau-Brunswick,13,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,64.4
2012,Nouveau-Brunswick,13,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,73.2
2012,Nouveau-Brunswick,13,Hommes,Groupe d'âge totale,Alphabétisme,2 ou moins,53.8
2012,Nouveau-Brunswick,13,Hommes,Groupe d'âge totale,Arithmétique,2 ou moins,58.1
2012,Nouveau-Brunswick,13,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,62.5
2012,Nouveau-Brunswick,13,Hommes,16 à 24 ans,Arithmétique,2 ou moins,67.7
2012,Nouveau-Brunswick,13,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,34.4
2012,Nouveau-Brunswick,13,Hommes,25 à 34 ans,Arithmétique,2 ou moins,40.2
2012,Nouveau-Brunswick,13,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,42.4
2012,Nouveau-Brunswick,13,Hommes,35 à 44 ans,Arithmétique,2 ou moins,48.4
2012,Nouveau-Brunswick,13,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,62.5
2012,Nouveau-Brunswick,13,Hommes,45 à 54 ans,Arithmétique,2 ou moins,64.0
2012,Nouveau-Brunswick,13,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,62.0
2012,Nouveau-Brunswick,13,Hommes,55 à 65 ans,Arithmétique,2 ou moins,65.9
2012,Nouveau-Brunswick,13,Femmes,Groupe d'âge totale,Alphabétisme,2 ou moins,53.1
2012,Nouveau-Brunswick,13,Femmes,Groupe d'âge totale,Arithmétique,2 ou moins,67.9
2012,Nouveau-Brunswick,13,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,56.1
2012,Nouveau-Brunswick,13,Femmes,16 à 24 ans,Arithmétique,2 ou moins,68.1
2012,Nouveau-Brunswick,13,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,41.7
2012,Nouveau-Brunswick,13,Femmes,25 à 34 ans,Arithmétique,2 ou moins,60.8
2012,Nouveau-Brunswick,13,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,43.9
2012,Nouveau-Brunswick,13,Femmes,35 à 44 ans,Arithmétique,2 ou moins,62.9
2012,Nouveau-Brunswick,13,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,52.7
2012,Nouveau-Brunswick,13,Femmes,45 à 54 ans,Arithmétique,2 ou moins,64.1
2012,Nouveau-Brunswick,13,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,66.8
2012,Nouveau-Brunswick,13,Femmes,55 à 65 ans,Arithmétique,2 ou moins,80.1
2012,Québec,24,Les deux sexes,Groupe d'âge totale,Alphabétisme,2 ou moins,53.2
2012,Québec,24,Les deux sexes,Groupe d'âge totale,Arithmétique,2 ou moins,56.1
2012,Québec,24,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,48.7
2012,Québec,24,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,50.0
2012,Québec,24,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,39.7
2012,Québec,24,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,43.5
2012,Québec,24,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,44.7
2012,Québec,24,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,49.3
2012,Québec,24,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,59.9
2012,Québec,24,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,61.7
2012,Québec,24,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,69.3
2012,Québec,24,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,72.2
2012,Québec,24,Hommes,Groupe d'âge totale,Alphabétisme,2 ou moins,52.3
2012,Québec,24,Hommes,Groupe d'âge totale,Arithmétique,2 ou moins,51.4
2012,Québec,24,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,52.3
2012,Québec,24,Hommes,16 à 24 ans,Arithmétique,2 ou moins,50.5
2012,Québec,24,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,40.5
2012,Québec,24,Hommes,25 à 34 ans,Arithmétique,2 ou moins,40.0
2012,Québec,24,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,43.2
2012,Québec,24,Hommes,35 à 44 ans,Arithmétique,2 ou moins,44.3
2012,Québec,24,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,57.2
2012,Québec,24,Hommes,45 à 54 ans,Arithmétique,2 ou moins,54.9
2012,Québec,24,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,66.4
2012,Québec,24,Hommes,55 à 65 ans,Arithmétique,2 ou moins,65.5
2012,Québec,24,Femmes,Groupe d'âge totale,Alphabétisme,2 ou moins,54.1
2012,Québec,24,Femmes,Groupe d'âge totale,Arithmétique,2 ou moins,60.9
2012,Québec,24,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,44.9
2012,Québec,24,Femmes,16 à 24 ans,Arithmétique,2 ou moins,49.5
2012,Québec,24,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,38.7
2012,Québec,24,Femmes,25 à 34 ans,Arithmétique,2 ou moins,47.1
2012,Québec,24,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,46.1
2012,Québec,24,Femmes,35 à 44 ans,Arithmétique,2 ou moins,54.5
2012,Québec,24,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,62.7
2012,Québec,24,Femmes,45 à 54 ans,Arithmétique,2 ou moins,68.7
2012,Québec,24,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,72.0
2012,Québec,24,Femmes,55 à 65 ans,Arithmétique,2 ou moins,78.7
2012,Ontario,35,Les deux sexes,Groupe d'âge totale,Alphabétisme,2 ou moins,46.8
2012,Ontario,35,Les deux sexes,Groupe d'âge totale,Arithmétique,2 ou moins,53.8
2012,Ontario,35,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,44.2
2012,Ontario,35,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,53.3
2012,Ontario,35,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,41.1
2012,Ontario,35,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,48.2
2012,Ontario,35,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,41.7
2012,Ontario,35,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,48.7
2012,Ontario,35,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,49.9
2012,Ontario,35,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,54.5
2012,Ontario,35,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,56.5
2012,Ontario,35,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,64.5
2012,Ontario,35,Hommes,Groupe d'âge totale,Alphabétisme,2 ou moins,45.7
2012,Ontario,35,Hommes,Groupe d'âge totale,Arithmétique,2 ou moins,47.1
2012,Ontario,35,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,43.9
2012,Ontario,35,Hommes,16 à 24 ans,Arithmétique,2 ou moins,47.5
2012,Ontario,35,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,40.3
2012,Ontario,35,Hommes,25 à 34 ans,Arithmétique,2 ou moins,42.7
2012,Ontario,35,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,40.0
2012,Ontario,35,Hommes,35 à 44 ans,Arithmétique,2 ou moins,39.9
2012,Ontario,35,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,47.9
2012,Ontario,35,Hommes,45 à 54 ans,Arithmétique,2 ou moins,47.4
2012,Ontario,35,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,56.0
2012,Ontario,35,Hommes,55 à 65 ans,Arithmétique,2 ou moins,57.9
2012,Ontario,35,Femmes,Groupe d'âge totale,Alphabétisme,2 ou moins,47.9
2012,Ontario,35,Femmes,Groupe d'âge totale,Arithmétique,2 ou moins,60.5
2012,Ontario,35,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,44.5
2012,Ontario,35,Femmes,16 à 24 ans,Arithmétique,2 ou moins,59.2
2012,Ontario,35,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,41.8
2012,Ontario,35,Femmes,25 à 34 ans,Arithmétique,2 ou moins,53.5
2012,Ontario,35,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,43.3
2012,Ontario,35,Femmes,35 à 44 ans,Arithmétique,2 ou moins,57.2
2012,Ontario,35,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,52.0
2012,Ontario,35,Femmes,45 à 54 ans,Arithmétique,2 ou moins,61.8
2012,Ontario,35,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,57.0
2012,Ontario,35,Femmes,55 à 65 ans,Arithmétique,2 ou moins,70.8
2012,Manitoba,46,Les deux sexes,Groupe d'âge totale,Alphabétisme,2 ou moins,48.3
2012,Manitoba,46,Les deux sexes,Groupe d'âge totale,Arithmétique,2 ou moins,54.8
2012,Manitoba,46,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,49.5
2012,Manitoba,46,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,55.1
2012,Manitoba,46,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,40.6
2012,Manitoba,46,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,48.0
2012,Manitoba,46,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,45.0
2012,Manitoba,46,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,49.7
2012,Manitoba,46,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,50.7
2012,Manitoba,46,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,55.7
2012,Manitoba,46,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,55.3
2012,Manitoba,46,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,65.0
2012,Manitoba,46,Hommes,Groupe d'âge totale,Alphabétisme,2 ou moins,50.5
2012,Manitoba,46,Hommes,Groupe d'âge totale,Arithmétique,2 ou moins,52.0
2012,Manitoba,46,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,50.9
2012,Manitoba,46,Hommes,16 à 24 ans,Arithmétique,2 ou moins,51.3
2012,Manitoba,46,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,48.8
2012,Manitoba,46,Hommes,25 à 34 ans,Arithmétique,2 ou moins,46.5
2012,Manitoba,46,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,44.9
2012,Manitoba,46,Hommes,35 à 44 ans,Arithmétique,2 ou moins,46.0
2012,Manitoba,46,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,54.1
2012,Manitoba,46,Hommes,45 à 54 ans,Arithmétique,2 ou moins,55.5
2012,Manitoba,46,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,53.1
2012,Manitoba,46,Hommes,55 à 65 ans,Arithmétique,2 ou moins,60.2
2012,Manitoba,46,Femmes,Groupe d'âge totale,Alphabétisme,2 ou moins,46.1
2012,Manitoba,46,Femmes,Groupe d'âge totale,Arithmétique,2 ou moins,57.5
2012,Manitoba,46,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,48.1
2012,Manitoba,46,Femmes,16 à 24 ans,Arithmétique,2 ou moins,59.1
2012,Manitoba,46,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,32.3
2012,Manitoba,46,Femmes,25 à 34 ans,Arithmétique,2 ou moins,49.4
2012,Manitoba,46,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,45.1
2012,Manitoba,46,Femmes,35 à 44 ans,Arithmétique,2 ou moins,53.4
2012,Manitoba,46,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,47.4
2012,Manitoba,46,Femmes,45 à 54 ans,Arithmétique,2 ou moins,55.8
2012,Manitoba,46,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,57.5
2012,Manitoba,46,Femmes,55 à 65 ans,Arithmétique,2 ou moins,69.7
2012,Saskatchewan,47,Les deux sexes,Groupe d'âge totale,Alphabétisme,2 ou moins,49.9
2012,Saskatchewan,47,Les deux sexes,Groupe d'âge totale,Arithmétique,2 ou moins,56.5
