Year,Series,Basic services,Units,Sex,Geography,GeoCode,Value
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,Percentage,,British Columbia,59,95.0
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,Percentage,,Yukon,60,88.2
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,Percentage,,Northwest Territories,61,91.8
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,Percentage,,Nunavut,62,82.2
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,Alberta,48,76.4
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,British Columbia,59,75.9
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,,,75.1
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,Manitoba,46,82.7
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,New Brunswick,13,51.1
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,Newfoundland and Labrador,10,54.5
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,Northwest Territories,61,87.9
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,Nova Scotia,12,58.3
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,Ontario,24,73.8
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,Prince Edward Island,11,40.8
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,Quebec,24,79.2
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,Saskatchewan,47,79.7
2021,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,Percentage,,Yukon,60,75.5
2015,Access to basic education,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage,Total,,,92.0
2019,Access to basic education,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage,Total,,,92.0
2019,Access to basic education,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage,Male,,,94.0
2019,Access to basic education,Proportion of children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage,Female,,,91.0
2016,Access to basic education,Proportion of children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage,Total,,,95.6
2016,Access to basic education,Proportion of children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage,Male,,,95.3
2016,Access to basic education,Proportion of children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage,Female,,,96.3
2018,Access to basic education,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Percentage,Total,,,86.3
2018,Access to basic education,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Percentage,Female,,,90.4
2018,Access to basic education,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in reading,Percentage,Male,,,82.1
2018,Access to basic education,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Percentage,Total,,,83.7
2018,Access to basic education,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Percentage,Female,,,83.9
2018,Access to basic education,Proportion of children and young people at the end of lower secondary achieving at least a minimum proficiency level in mathematics,Percentage,Male,,,83.6
2016,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),Percentage,,,,99.5
2017,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),Percentage,,,,99.5
2018,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),Percentage,,,,99.5
2019,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),Percentage,,,,99.5
2020,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),Percentage,,,,99.5
2021,Access to basic information services,Proportion of population covered by Evolved High-Speed Packet Access (HSPA+),Percentage,,,,99.5
2016,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),Percentage,,,,98.6
2017,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),Percentage,,,,99.1
2018,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),Percentage,,,,99.3
2019,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),Percentage,,,,99.5
2020,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),Percentage,,,,99.5
2021,Access to basic information services,Proportion of population covered by Long-Term Evolution (LTE),Percentage,,,,99.4
2016,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),Percentage,,,,83.4
2017,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),Percentage,,,,92.4
2018,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),Percentage,,,,94.9
2019,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),Percentage,,,,95.9
2020,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),Percentage,,,,97.5
2021,Access to basic information services,Proportion of population covered by Long-Term Evolution - A (LTE-A),Percentage,,,,97.8
2016,Access to basic information services,Proportion of population covered by 5G,Percentage,,,,0.0
2017,Access to basic information services,Proportion of population covered by 5G,Percentage,,,,0.0
2018,Access to basic information services,Proportion of population covered by 5G,Percentage,,,,0.0
2019,Access to basic information services,Proportion of population covered by 5G,Percentage,,,,0.0
2020,Access to basic information services,Proportion of population covered by 5G,Percentage,,,,53.3
2021,Access to basic information services,Proportion of population covered by 5G,Percentage,,,,87.8
