Year,Sex,Age Group,Tobacco Product,Value
2020,Male,45+ years-old,Little cigars or cigarillos,2.2
2019,Both sexes,45+ years-old,Vaping,1.6
2019,Male,45+ years-old,Vaping,1.9
2019,Female,45+ years-old,Vaping,1.3
2020,Both sexes,45+ years-old,Vaping,2.0
2020,Male,45+ years-old,Vaping,2.1
2020,Female,45+ years-old,Vaping,1.8
2015,Female,All age groups,Any tobacco product,11.6
2015,Male,All age groups,Any tobacco product,19.5
2017,Female,All age groups,Any tobacco product,14.4
2017,Male,All age groups,Any tobacco product,21.2
2019,Male,All age groups,Any tobacco product,15.9
2019,Female,All age groups,Any tobacco product,12.0
2020,Male,All age groups,Any tobacco product,14.8
2020,Female,All age groups,Any tobacco product,9.5
2019,Both sexes,All age groups,Chewing tobacco,0.4
2019,Male,All age groups,Chewing tobacco,0.7
2020,Both sexes,All age groups,Chewing tobacco,0.5
2020,Male,All age groups,Chewing tobacco,1.0
2015,Both sexes,All age groups,Cigarettes,13.2
2015,Female,All age groups,Cigarettes,10.6
2015,Male,All age groups,Cigarettes,15.8
2017,Both sexes,All age groups,Cigarettes,15.3
2017,Female,All age groups,Cigarettes,13.6
2017,Male,All age groups,Cigarettes,17.0
2019,Both sexes,All age groups,Cigarettes,11.9
2019,Male,All age groups,Cigarettes,12.6
2019,Female,All age groups,Cigarettes,11.0
2020,Both sexes,All age groups,Cigarettes,10.3
2020,Male,All age groups,Cigarettes,12.1
2020,Female,All age groups,Cigarettes,8.6
2015,Both sexes,All age groups,Cigars,1.2
2015,Male,All age groups,Cigars,2.2
2017,Both sexes,All age groups,Cigars,0.8
2017,Female,All age groups,Cigars,0.1
2017,Male,All age groups,Cigars,1.5
2019,Both sexes,All age groups,Cigars,1.4
2019,Male,All age groups,Cigars,2.4
2020,Both sexes,All age groups,Cigars,1.2
2020,Male,All age groups,Cigars,1.9
2015,Both sexes,All age groups,E-cigarettes,3.2
2015,Female,All age groups,E-cigarettes,2.8
2015,Male,All age groups,E-cigarettes,3.6
2017,Both sexes,All age groups,E-cigarettes,2.9
2017,Female,All age groups,E-cigarettes,2.2
2017,Male,All age groups,E-cigarettes,3.6
2015,Both sexes,All age groups,Little cigars or cigarillos,1.8
2015,Female,All age groups,Little cigars or cigarillos,0.9
2015,Male,All age groups,Little cigars or cigarillos,2.7
2017,Both sexes,All age groups,Little cigars or cigarillos,1.4
2017,Male,All age groups,Little cigars or cigarillos,2.1
2019,Both sexes,All age groups,Little cigars or cigarillos,1.9
2019,Male,All age groups,Little cigars or cigarillos,2.8
2019,Female,All age groups,Little cigars or cigarillos,1.0
2020,Both sexes,All age groups,Little cigars or cigarillos,1.7
2020,Male,All age groups,Little cigars or cigarillos,2.7
2020,Female,All age groups,Little cigars or cigarillos,0.8
2015,Both sexes,All age groups,Pipe,0.5
2015,Female,All age groups,Pipe,0.3
2015,Male,All age groups,Pipe,0.8
2017,Both sexes,All age groups,Pipe,0.3
2015,Both sexes,All age groups,Smokeless tobacco,0.4
2015,Male,All age groups,Smokeless tobacco,0.8
2017,Both sexes,All age groups,Smokeless tobacco,0.7
2017,Male,All age groups,Smokeless tobacco,1.5
2019,Both sexes,All age groups,Vaping,4.7
2019,Male,All age groups,Vaping,5.8
2019,Female,All age groups,Vaping,3.6
2020,Both sexes,All age groups,Vaping,4.7
2020,Male,All age groups,Vaping,5.7
2020,Female,All age groups,Vaping,3.6
2015,Both sexes,All age groups,Water pipe with tobacco,0.5
2015,Female,All age groups,Water pipe with tobacco,0.4
2015,Male,All age groups,Water pipe with tobacco,0.7
2017,Both sexes,All age groups,Water pipe with tobacco,0.7
2017,Female,All age groups,Water pipe with tobacco,0.5
2017,Male,All age groups,Water pipe with tobacco,0.9
2019,Both sexes,All age groups,Water pipe with tobacco,0.4
2019,Male,All age groups,Water pipe with tobacco,0.5
2020,Both sexes,All age groups,Water pipe with tobacco,0.5
2015,,,,15.5
2017,,,,17.8
2019,,,,14.0
2020,,,,12.1
