Year,Geography,Status,Sex,Age group,GeoCode,Value
2015,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,11,6
2015,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,11,5
2015,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,11,8
2015,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,11,8
2015,Prince Edward Island,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,11,9
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,12,9
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,12,12
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,12,6
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,12,11
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,12,13
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,12,10
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,12,14
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,12,15
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,12,13
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,12,13
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,12,13
2015,Nova Scotia,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,12,14
2015,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,12,5
2015,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,12,7
2015,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,12,6
2015,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,12,9
2015,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,12,4
2015,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,12,8
2015,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,12,11
2015,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,12,6
2015,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,12,8
2015,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,12,10
2015,Nova Scotia,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,12,6
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,12,5
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,12,5
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,12,4
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,12,5
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,12,4
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,12,6
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,12,6
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,12,5
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,12,8
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,12,5
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,12,3
2015,Nova Scotia,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,12,8
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,13,8
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,13,10
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,13,5
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,13,14
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,13,17
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,13,11
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,13,19
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,13,22
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,13,15
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,13,20
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,13,24
2015,New Brunswick,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,13,16
2015,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,13,4
2015,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,13,5
2015,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,13,8
2015,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,13,12
2015,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,13,5
2015,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,13,11
2015,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,13,16
2015,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,13,7
2015,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,13,13
2015,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,13,18
2015,New Brunswick,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,13,7
2015,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,13,4
2015,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,13,5
2015,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,13,6
2015,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,13,6
2015,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,13,6
2015,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,13,7
2015,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,13,6
2015,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,13,8
2015,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,13,7
2015,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,13,6
2015,New Brunswick,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,13,9
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,24,7
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,24,9
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,24,5
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,24,11
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,24,13
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,24,9
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,24,13
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,24,16
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,24,10
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,24,14
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,24,17
2015,Quebec,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,24,11
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,24,3
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,24,4
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 19 years,24,2
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,24,5
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,24,7
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,24,3
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,24,6
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,24,9
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,24,3
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,24,6
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,24,9
2015,Quebec,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,24,3
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,24,4
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,24,5
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,24,3
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,24,6
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,24,7
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,24,6
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,24,8
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,24,8
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,24,7
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,24,8
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,24,8
2015,Quebec,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,24,8
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,35,6
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,35,7
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,35,5
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,35,10
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,35,11
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,35,9
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,35,12
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,35,14
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,35,10
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,35,14
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,35,16
2015,Ontario,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,35,12
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,35,2
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,35,2
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 19 years,35,1
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,35,5
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,35,6
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,35,3
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,35,6
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,35,8
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,35,4
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,35,7
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,35,9
2015,Ontario,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,35,5
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,35,4
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,35,4
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,35,4
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,35,6
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,35,5
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,35,6
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,35,6
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,35,6
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,35,6
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,35,7
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,35,6
2015,Ontario,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,35,7
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,46,6
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,46,6
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,46,6
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,46,10
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,46,9
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,46,11
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,46,13
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,46,12
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,46,15
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,46,14
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,46,12
2015,Manitoba,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,46,16
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,46,2
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,46,3
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 19 years,46,2
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,46,4
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,46,5
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,46,3
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,46,5
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,46,6
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,46,4
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,46,5
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,46,6
2015,Manitoba,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,46,3
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,46,4
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,46,3
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,46,4
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,46,7
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,46,5
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,46,9
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,46,9
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,46,6
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,46,11
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,46,9
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,46,6
2015,Manitoba,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,46,13
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,47,6
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,47,5
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,47,8
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,47,11
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,47,10
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,47,12
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,47,14
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,47,13
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,47,14
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,47,15
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Males,20 to 24 years,47,15
2015,Saskatchewan,"Sub-total, not in employment, education or training (NEET)",Females,20 to 24 years,47,16
2015,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,47,2
2015,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,47,4
2015,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,47,5
2015,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,47,3
2015,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,47,5
2015,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,47,7
2015,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,47,4
2015,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,47,6
2015,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,47,8
2015,Saskatchewan,"Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,47,4
2015,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,47,5
2015,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,47,5
2015,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,47,7
2015,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,47,5
2015,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,47,9
2015,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,47,8
2015,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,47,6
2015,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,47,10
2015,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,47,9
2015,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,47,7
2015,Saskatchewan,"Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,47,12
2015,Alberta,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,48,5
2015,Alberta,"Sub-total, not in employment, education or training (NEET)",Males,15 to 19 years,48,5
2015,Alberta,"Sub-total, not in employment, education or training (NEET)",Females,15 to 19 years,48,6
2015,Alberta,"Sub-total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,48,9
2015,Alberta,"Sub-total, not in employment, education or training (NEET)",Males,15 to 24 years,48,8
2015,Alberta,"Sub-total, not in employment, education or training (NEET)",Females,15 to 24 years,48,11
2015,Alberta,"Sub-total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,48,12
2015,Alberta,"Sub-total, not in employment, education or training (NEET)",Males,18 to 24 years,48,10
2015,Alberta,"Sub-total, not in employment, education or training (NEET)",Females,18 to 24 years,48,14
2015,Alberta,"Sub-total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,48,13
