Year,Geography,Science type,GeoCode,Value
2016,Manitoba,"Social sciences, humanities and the arts",,0.18
2016,Saskatchewan,Total sciences,47,0.93
2016,Saskatchewan,Natural sciences and engineering,,0.83
2016,Saskatchewan,"Social sciences, humanities and the arts",,0.1
2016,Alberta,Total sciences,48,1.07
2016,Alberta,Natural sciences and engineering,,0.98
2016,Alberta,"Social sciences, humanities and the arts",,0.09
2016,British Columbia,Total sciences,59,1.59
2016,British Columbia,Natural sciences and engineering,,1.43
2016,British Columbia,"Social sciences, humanities and the arts",,0.16
2016,"Yukon, Northwest Territories and Nunavut",Total sciences,,
2016,"Yukon, Northwest Territories and Nunavut",Natural sciences and engineering,,
2016,"National Capital Region, Ontario/Quebec",Total sciences,,
2016,"National Capital Region, Ontario/Quebec",Natural sciences and engineering,,
2016,"National Capital Region, Ontario/Quebec","Social sciences, humanities and the arts",,
2016,"National Capital Region, Quebec",Total sciences,,
2016,"National Capital Region, Quebec",Natural sciences and engineering,,
2016,"National Capital Region, Quebec","Social sciences, humanities and the arts",,
2016,"National Capital Region, Ontario",Total sciences,,
2016,"National Capital Region, Ontario",Natural sciences and engineering,,
2016,"National Capital Region, Ontario","Social sciences, humanities and the arts",,
2017,Canada,Natural sciences and engineering,,1.51
2017,Canada,"Social sciences, humanities and the arts",,0.18
2017,Newfoundland and Labrador,Total sciences,10,1.24
2017,Newfoundland and Labrador,Natural sciences and engineering,,1.04
2017,Newfoundland and Labrador,"Social sciences, humanities and the arts",,0.21
2017,Prince Edward Island,Total sciences,11,1.25
2017,Prince Edward Island,Natural sciences and engineering,,1.08
2017,Prince Edward Island,"Social sciences, humanities and the arts",,0.19
2017,Nova Scotia,Total sciences,12,1.55
2017,Nova Scotia,Natural sciences and engineering,,1.26
2017,Nova Scotia,"Social sciences, humanities and the arts",,0.29
2017,New Brunswick,Total sciences,13,0.91
2017,New Brunswick,Natural sciences and engineering,,0.72
2017,New Brunswick,"Social sciences, humanities and the arts",,0.2
2017,Quebec,Total sciences,24,2.26
2017,Quebec,Natural sciences and engineering,,2.04
2017,Quebec,"Social sciences, humanities and the arts",,0.22
2017,Ontario,Total sciences,35,1.93
2017,Ontario,Natural sciences and engineering,,1.73
2017,Ontario,"Social sciences, humanities and the arts",,0.2
2017,Manitoba,Total sciences,46,1.21
2017,Manitoba,Natural sciences and engineering,,1.04
2017,Manitoba,"Social sciences, humanities and the arts",,0.17
2017,Saskatchewan,Total sciences,47,0.83
2017,Saskatchewan,Natural sciences and engineering,,0.74
2017,Saskatchewan,"Social sciences, humanities and the arts",,0.09
2017,Alberta,Total sciences,48,1.0
2017,Alberta,Natural sciences and engineering,,0.91
2017,Alberta,"Social sciences, humanities and the arts",,0.09
2017,British Columbia,Total sciences,59,1.49
2017,British Columbia,Natural sciences and engineering,,1.34
2017,British Columbia,"Social sciences, humanities and the arts",,0.16
2017,"Yukon, Northwest Territories and Nunavut",Total sciences,,
2017,"Yukon, Northwest Territories and Nunavut",Natural sciences and engineering,,
2017,"National Capital Region, Ontario/Quebec",Total sciences,,
2017,"National Capital Region, Ontario/Quebec",Natural sciences and engineering,,
2017,"National Capital Region, Ontario/Quebec","Social sciences, humanities and the arts",,
2017,"National Capital Region, Quebec",Total sciences,,
2017,"National Capital Region, Quebec",Natural sciences and engineering,,
2017,"National Capital Region, Quebec","Social sciences, humanities and the arts",,
2017,"National Capital Region, Ontario",Total sciences,,
2017,"National Capital Region, Ontario",Natural sciences and engineering,,
2017,"National Capital Region, Ontario","Social sciences, humanities and the arts",,
2018,Canada,Natural sciences and engineering,,1.56
2018,Canada,"Social sciences, humanities and the arts",,0.18
2018,Newfoundland and Labrador,Total sciences,10,1.53
2018,Newfoundland and Labrador,Natural sciences and engineering,,1.3
2018,Newfoundland and Labrador,"Social sciences, humanities and the arts",,0.23
2018,Prince Edward Island,Total sciences,11,1.22
2018,Prince Edward Island,Natural sciences and engineering,,1.03
2018,Prince Edward Island,"Social sciences, humanities and the arts",,0.19
2018,Nova Scotia,Total sciences,12,1.46
2018,Nova Scotia,Natural sciences and engineering,,1.19
2018,Nova Scotia,"Social sciences, humanities and the arts",,0.28
2018,New Brunswick,Total sciences,13,0.98
2018,New Brunswick,Natural sciences and engineering,,0.78
2018,New Brunswick,"Social sciences, humanities and the arts",,0.2
2018,Quebec,Total sciences,24,2.26
2018,Quebec,Natural sciences and engineering,,2.04
2018,Quebec,"Social sciences, humanities and the arts",,0.22
2018,Ontario,Total sciences,35,1.99
2018,Ontario,Natural sciences and engineering,,1.79
2018,Ontario,"Social sciences, humanities and the arts",,0.19
2018,Manitoba,Total sciences,46,1.12
2018,Manitoba,Natural sciences and engineering,,0.96
2018,Manitoba,"Social sciences, humanities and the arts",,0.17
2018,Saskatchewan,Total sciences,47,0.89
2018,Saskatchewan,Natural sciences and engineering,,0.79
2018,Saskatchewan,"Social sciences, humanities and the arts",,0.1
2018,Alberta,Total sciences,48,1.05
2018,Alberta,Natural sciences and engineering,,0.97
2018,Alberta,"Social sciences, humanities and the arts",,0.09
2018,British Columbia,Total sciences,59,1.6
2018,British Columbia,Natural sciences and engineering,,1.44
2018,British Columbia,"Social sciences, humanities and the arts",,0.16
2018,"Yukon, Northwest Territories and Nunavut",Total sciences,,
2018,"Yukon, Northwest Territories and Nunavut",Natural sciences and engineering,,
2018,"National Capital Region, Ontario/Quebec",Total sciences,,
2018,"National Capital Region, Ontario/Quebec",Natural sciences and engineering,,
2018,"National Capital Region, Ontario/Quebec","Social sciences, humanities and the arts",,
2018,"National Capital Region, Quebec",Total sciences,,
2018,"National Capital Region, Quebec",Natural sciences and engineering,,
2018,"National Capital Region, Quebec","Social sciences, humanities and the arts",,
2018,"National Capital Region, Ontario",Total sciences,,
2018,"National Capital Region, Ontario",Natural sciences and engineering,,
2018,"National Capital Region, Ontario","Social sciences, humanities and the arts",,
2019,Canada,Natural sciences and engineering,,1.57
2019,Canada,"Social sciences, humanities and the arts",,0.18
2019,Newfoundland and Labrador,Total sciences,10,1.61
2019,Newfoundland and Labrador,Natural sciences and engineering,,1.42
2019,Newfoundland and Labrador,"Social sciences, humanities and the arts",,0.19
2019,Prince Edward Island,Total sciences,11,1.13
2019,Prince Edward Island,Natural sciences and engineering,,0.95
2019,Prince Edward Island,"Social sciences, humanities and the arts",,0.17
2019,Nova Scotia,Total sciences,12,1.55
2019,Nova Scotia,Natural sciences and engineering,,1.27
2019,Nova Scotia,"Social sciences, humanities and the arts",,0.28
2019,New Brunswick,Total sciences,13,0.98
2019,New Brunswick,Natural sciences and engineering,,0.78
2019,New Brunswick,"Social sciences, humanities and the arts",,0.2
2019,Quebec,Total sciences,24,2.2
2019,Quebec,Natural sciences and engineering,,1.98
2019,Quebec,"Social sciences, humanities and the arts",,0.22
2019,Ontario,Total sciences,35,2.05
2019,Ontario,Natural sciences and engineering,,1.84
2019,Ontario,"Social sciences, humanities and the arts",,0.2
2019,Manitoba,Total sciences,46,1.18
2019,Manitoba,Natural sciences and engineering,,0.99
2019,Manitoba,"Social sciences, humanities and the arts",,0.18
2019,Saskatchewan,Total sciences,47,0.94
2019,Saskatchewan,Natural sciences and engineering,,0.84
2019,Saskatchewan,"Social sciences, humanities and the arts",,0.11
2019,Alberta,Total sciences,48,1.09
2019,Alberta,Natural sciences and engineering,,1.0
2019,Alberta,"Social sciences, humanities and the arts",,0.09
2019,British Columbia,Total sciences,59,1.61
2019,British Columbia,Natural sciences and engineering,,1.44
2019,British Columbia,"Social sciences, humanities and the arts",,0.17
2019,"Yukon, Northwest Territories and Nunavut",Total sciences,,
2019,"Yukon, Northwest Territories and Nunavut",Natural sciences and engineering,,
2019,"Yukon, Northwest Territories and Nunavut","Social sciences, humanities and the arts",,
2019,"National Capital Region, Ontario/Quebec",Total sciences,,
2019,"National Capital Region, Ontario/Quebec",Natural sciences and engineering,,
2019,"National Capital Region, Ontario/Quebec","Social sciences, humanities and the arts",,
2019,"National Capital Region, Quebec",Total sciences,,
2019,"National Capital Region, Quebec",Natural sciences and engineering,,
2019,"National Capital Region, Quebec","Social sciences, humanities and the arts",,
2019,"National Capital Region, Ontario",Total sciences,,
2019,"National Capital Region, Ontario",Natural sciences and engineering,,
2019,"National Capital Region, Ontario","Social sciences, humanities and the arts",,
2020,Canada,Natural sciences and engineering,,1.7
2020,Canada,"Social sciences, humanities and the arts",,0.2
2020,Newfoundland and Labrador,Total sciences,10,1.71
2020,Newfoundland and Labrador,Natural sciences and engineering,,1.52
2020,Newfoundland and Labrador,"Social sciences, humanities and the arts",,0.19
2020,Prince Edward Island,Total sciences,11,1.09
2020,Prince Edward Island,Natural sciences and engineering,,0.9
2020,Prince Edward Island,"Social sciences, humanities and the arts",,0.19
2020,Nova Scotia,Total sciences,12,1.49
2020,Nova Scotia,Natural sciences and engineering,,1.18
2020,Nova Scotia,"Social sciences, humanities and the arts",,0.3
2020,New Brunswick,Total sciences,13,0.96
2020,New Brunswick,Natural sciences and engineering,,0.76
2020,New Brunswick,"Social sciences, humanities and the arts",,0.21
2020,Quebec,Total sciences,24,2.32
2020,Quebec,Natural sciences and engineering,,2.09
2020,Quebec,"Social sciences, humanities and the arts",,0.23
2020,Ontario,Total sciences,35,2.22
2020,Ontario,Natural sciences and engineering,,2.01
2020,Ontario,"Social sciences, humanities and the arts",,0.22
2020,Manitoba,Total sciences,46,1.13
2020,Manitoba,Natural sciences and engineering,,0.94
2020,Manitoba,"Social sciences, humanities and the arts",,0.19
2020,Saskatchewan,Total sciences,47,1.03
2020,Saskatchewan,Natural sciences and engineering,,0.9
2020,Saskatchewan,"Social sciences, humanities and the arts",,0.12
2020,Alberta,Total sciences,48,1.22
2020,Alberta,Natural sciences and engineering,,1.1
2020,Alberta,"Social sciences, humanities and the arts",,0.11
2020,British Columbia,Total sciences,59,1.69
2020,British Columbia,Natural sciences and engineering,,1.51
2020,British Columbia,"Social sciences, humanities and the arts",,0.18
2020,"Yukon, Northwest Territories and Nunavut",Total sciences,,
2020,"Yukon, Northwest Territories and Nunavut",Natural sciences and engineering,,
2020,"Yukon, Northwest Territories and Nunavut","Social sciences, humanities and the arts",,
2020,"National Capital Region, Ontario/Quebec",Total sciences,,
2020,"National Capital Region, Ontario/Quebec",Natural sciences and engineering,,
2020,"National Capital Region, Ontario/Quebec","Social sciences, humanities and the arts",,
2020,"National Capital Region, Quebec",Total sciences,,
2020,"National Capital Region, Quebec",Natural sciences and engineering,,
2020,"National Capital Region, Quebec","Social sciences, humanities and the arts",,
2020,"National Capital Region, Ontario",Total sciences,,
2020,"National Capital Region, Ontario",Natural sciences and engineering,,
2020,"National Capital Region, Ontario","Social sciences, humanities and the arts",,
2021,Canada,Natural sciences and engineering,,1.52
2021,Canada,"Social sciences, humanities and the arts",,0.18
2022,Canada,Natural sciences and engineering,,
2022,Canada,"Social sciences, humanities and the arts",,
