Year,Géographie,Type of provider,Value
2019,Alberta,Chiropraticiens,27.0
2019,Alberta,Assistants dentaires,138.5
2019,Alberta,Hygiénistes dentaires,75.2
2019,Alberta,Dentistes,61.4
2019,Alberta,Diététistes,30.8
2019,Alberta,Professionnels de la santé publique environnementale,8.8
2019,Alberta,Médecins de famille,128.3
2019,Alberta,Conseillers en génétique,0.6
2019,Alberta,Professionnels de la gestion de l’information sur la santé,17.8
2019,Alberta,Infirmières auxiliaires autorisées,355.6
2019,Alberta,Technologistes de laboratoire médical,59.1
2019,Alberta,Physiciens médicaux,1.1
2019,Alberta,Technologues en radiation médicale,55.2
2019,Alberta,Sages-femmes,3.2
2019,Alberta,Infirmières praticiennes,13.1
2019,Alberta,Ergothérapeutes,51.8
2019,Alberta,Opticiens,7.1
2019,Alberta,Optométristes,19.0
2019,Alberta,Ambulanciers paramédicaux,204.1
2019,Alberta,Pharmaciens,127.5
2019,Alberta,Techniciens en pharmacie,37.0
2019,Alberta,Adjoints au médecin,1.0
2019,Alberta,Médecins,256.8
2019,Alberta,Physiothérapeutes,70.7
2019,Alberta,Psychologues,90.0
2019,Alberta,Psychotherapists/counselling therapists,
2019,Alberta,Psychotherapists/counselling therapists,0.0
2019,Alberta,Infirmières autorisées,823.1
2019,Alberta,Infirmières psychiatriques autorisées,30.9
2019,Alberta,Personnel infirmier réglementé,1222.7
2019,Alberta,Inhalothérapeutes,43.4
2019,Alberta,Travailleurs sociaux,174.6
2019,Alberta,Spécialistes,128.5
2019,Alberta,Orthophonistes,34.5
2019,Alberta,Orthophonistes,34.5
2020,Alberta,Audiologistes,4.5
2020,Alberta,Chiropraticiens,26.2
2020,Alberta,Assistants dentaires,145.2
2020,Alberta,Hygiénistes dentaires,75.3
2020,Alberta,Dentistes,
2020,Alberta,Dentistes,0.0
2020,Alberta,Diététistes,30.6
2020,Alberta,Professionnels de la santé publique environnementale,8.2
2020,Alberta,Médecins de famille,124.3
2020,Alberta,Conseillers en génétique,0.7
2020,Alberta,Professionnels de la gestion de l’information sur la santé,16.9
2020,Alberta,Infirmières auxiliaires autorisées,359.8
2020,Alberta,Technologistes de laboratoire médical,56.1
2020,Alberta,Physiciens médicaux,1.1
2020,Alberta,Technologues en radiation médicale,54.2
2020,Alberta,Sages-femmes,3.3
2020,Alberta,Infirmières praticiennes,13.6
2020,Alberta,Ergothérapeutes,51.9
2020,Alberta,Opticiens,
2020,Alberta,Opticiens,0.0
2020,Alberta,Optométristes,19.1
2020,Alberta,Ambulanciers paramédicaux,201.0
2020,Alberta,Pharmaciens,126.1
2020,Alberta,Techniciens en pharmacie,38.5
2020,Alberta,Adjoints au médecin,1.0
2020,Alberta,Médecins,253.3
2020,Alberta,Physiothérapeutes,72.4
2020,Alberta,Psychologues,93.7
2020,Alberta,Psychotherapists/counselling therapists,
2020,Alberta,Psychotherapists/counselling therapists,0.0
2020,Alberta,Infirmières autorisées,823.4
2020,Alberta,Infirmières psychiatriques autorisées,31.0
2020,Alberta,Personnel infirmier réglementé,1227.7
2020,Alberta,Inhalothérapeutes,43.2
2020,Alberta,Travailleurs sociaux,174.3
2020,Alberta,Spécialistes,129.0
2020,Alberta,Orthophonistes,34.0
2021,Alberta,Audiologistes,4.6
2021,Alberta,Chiropraticiens,26.4
2021,Alberta,Assistants dentaires,147.0
2021,Alberta,Hygiénistes dentaires,76.6
2021,Alberta,Dentistes,65.2
2021,Alberta,Diététistes,31.4
2021,Alberta,Diététistes,31.4
2021,Alberta,Professionnels de la santé publique environnementale,8.6
2021,Alberta,Médecins de famille,122.1
2021,Alberta,Conseillers en génétique,0.6
2021,Alberta,Professionnels de la gestion de l’information sur la santé,13.4
2021,Alberta,Infirmières auxiliaires autorisées,371.3
2021,Alberta,Technologistes de laboratoire médical,56.4
2021,Alberta,Physiciens médicaux,1.0
2021,Alberta,Technologues en radiation médicale,54.3
2021,Alberta,Sages-femmes,3.3
2021,Alberta,Infirmières praticiennes,14.2
2021,Alberta,Ergothérapeutes,51.8
2021,Alberta,Opticiens,5.8
2021,Alberta,Optométristes,19.4
2021,Alberta,Ambulanciers paramédicaux,197.9
2021,Alberta,Pharmaciens,130.9
2021,Alberta,Techniciens en pharmacie,40.0
2021,Alberta,Adjoints au médecin,1.2
2021,Alberta,Médecins,249.5
2021,Alberta,Physiothérapeutes,74.1
2021,Alberta,Psychologues,97.9
2021,Alberta,Psychotherapists/counselling therapists,
2021,Alberta,Psychotherapists/counselling therapists,0.0
2021,Alberta,Infirmières autorisées,816.8
2021,Alberta,Infirmières psychiatriques autorisées,30.7
2021,Alberta,Personnel infirmier réglementé,1233.1
2021,Alberta,Inhalothérapeutes,43.5
2021,Alberta,Travailleurs sociaux,180.7
2021,Alberta,Spécialistes,127.4
2021,Alberta,Orthophonistes,33.6
2015,Colombie-Britannique,Audiologistes,5.8
2015,Colombie-Britannique,Chiropraticiens,23.5
2015,Colombie-Britannique,Assistants dentaires,124.3
2015,Colombie-Britannique,Hygiénistes dentaires,77.3
2015,Colombie-Britannique,Dentistes,68.3
2015,Colombie-Britannique,Diététistes,25.7
2015,Colombie-Britannique,Professionnels de la santé publique environnementale,3.9
2015,Colombie-Britannique,Médecins de famille,122.5
2015,Colombie-Britannique,Conseillers en génétique,1.1
2015,Colombie-Britannique,Professionnels de la gestion de l’information sur la santé,
2015,Colombie-Britannique,Professionnels de la gestion de l’information sur la santé,0.0
2015,Colombie-Britannique,Infirmières auxiliaires autorisées,243.3
2015,Colombie-Britannique,Technologistes de laboratoire médical,45.8
2015,Colombie-Britannique,Physiciens médicaux,1.2
2015,Colombie-Britannique,Technologues en radiation médicale,40.4
2015,Colombie-Britannique,Sages-femmes,5.2
2015,Colombie-Britannique,Infirmières praticiennes,6.6
2015,Colombie-Britannique,Ergothérapeutes,44.2
2015,Colombie-Britannique,Opticiens,
2015,Colombie-Britannique,Opticiens,0.0
2015,Colombie-Britannique,Optométristes,15.1
2015,Colombie-Britannique,Ambulanciers paramédicaux,
2015,Colombie-Britannique,Ambulanciers paramédicaux,0.0
2015,Colombie-Britannique,Pharmaciens,108.8
2015,Colombie-Britannique,Techniciens en pharmacie,27.4
2015,Colombie-Britannique,Adjoints au médecin,0.4
2015,Colombie-Britannique,Médecins,228.6
2015,Colombie-Britannique,Physiothérapeutes,71.3
2015,Colombie-Britannique,Psychologues,25.0
2015,Colombie-Britannique,Infirmières autorisées,741.1
2015,Colombie-Britannique,Infirmières psychiatriques autorisées,54.1
2015,Colombie-Britannique,Personnel infirmier réglementé,1045.0
2015,Colombie-Britannique,Inhalothérapeutes,19.9
2015,Colombie-Britannique,Travailleurs sociaux,87.3
2015,Colombie-Britannique,Spécialistes,106.0
2015,Colombie-Britannique,Orthophonistes,23.2
2015,Colombie-Britannique,Orthophonistes,23.2
2016,Colombie-Britannique,Audiologistes,5.6
2016,Colombie-Britannique,Chiropraticiens,23.2
2016,Colombie-Britannique,Chiropraticiens,23.2
2016,Colombie-Britannique,Assistants dentaires,123.8
2016,Colombie-Britannique,Hygiénistes dentaires,78.4
2016,Colombie-Britannique,Dentistes,69.5
2016,Colombie-Britannique,Diététistes,27.0
2016,Colombie-Britannique,Professionnels de la santé publique environnementale,3.9
2016,Colombie-Britannique,Médecins de famille,127.4
2016,Colombie-Britannique,Conseillers en génétique,1.1
2016,Colombie-Britannique,Professionnels de la gestion de l’information sur la santé,9.5
2016,Colombie-Britannique,Infirmières auxiliaires autorisées,242.3
2016,Colombie-Britannique,Technologistes de laboratoire médical,43.5
2016,Colombie-Britannique,Physiciens médicaux,1.3
2016,Colombie-Britannique,Technologues en radiation médicale,39.0
2016,Colombie-Britannique,Sages-femmes,5.6
2016,Colombie-Britannique,Infirmières praticiennes,7.9
2016,Colombie-Britannique,Ergothérapeutes,45.5
2016,Colombie-Britannique,Opticiens,25.4
2016,Colombie-Britannique,Optométristes,15.3
2016,Colombie-Britannique,Ambulanciers paramédicaux,96.5
2016,Colombie-Britannique,Pharmaciens,106.8
2016,Colombie-Britannique,Techniciens en pharmacie,28.8
2016,Colombie-Britannique,Techniciens en pharmacie,28.8
2016,Colombie-Britannique,Adjoints au médecin,0.4
2016,Colombie-Britannique,Médecins,237.6
2016,Colombie-Britannique,Physiothérapeutes,72.8
2016,Colombie-Britannique,Psychologues,25.3
2016,Colombie-Britannique,Infirmières autorisées,751.3
2016,Colombie-Britannique,Infirmières psychiatriques autorisées,55.0
2016,Colombie-Britannique,Personnel infirmier réglementé,1056.5
2016,Colombie-Britannique,Inhalothérapeutes,20.6
2016,Colombie-Britannique,Travailleurs sociaux,84.3
2016,Colombie-Britannique,Spécialistes,110.3
2016,Colombie-Britannique,Orthophonistes,23.9
2017,Colombie-Britannique,Audiologistes,5.6
2017,Colombie-Britannique,Chiropraticiens,24.2
2017,Colombie-Britannique,Assistants dentaires,123.8
2017,Colombie-Britannique,Hygiénistes dentaires,76.0
2017,Colombie-Britannique,Dentistes,68.4
2017,Colombie-Britannique,Diététistes,27.3
2017,Colombie-Britannique,Professionnels de la santé publique environnementale,4.6
2017,Colombie-Britannique,Médecins de famille,129.3
2017,Colombie-Britannique,Conseillers en génétique,1.1
2017,Colombie-Britannique,Professionnels de la gestion de l’information sur la santé,9.5
2017,Colombie-Britannique,Infirmières auxiliaires autorisées,243.1
2017,Colombie-Britannique,Technologistes de laboratoire médical,38.7
2017,Colombie-Britannique,Physiciens médicaux,1.4
2017,Colombie-Britannique,Technologues en radiation médicale,42.7
2017,Colombie-Britannique,Sages-femmes,6.0
2017,Colombie-Britannique,Infirmières praticiennes,8.5
2017,Colombie-Britannique,Ergothérapeutes,46.8
2017,Colombie-Britannique,Opticiens,8.5
2017,Colombie-Britannique,Optométristes,15.9
2017,Colombie-Britannique,Ambulanciers paramédicaux,95.4
2017,Colombie-Britannique,Pharmaciens,112.2
2017,Colombie-Britannique,Techniciens en pharmacie,30.3
2017,Colombie-Britannique,Adjoints au médecin,0.5
2017,Colombie-Britannique,Médecins,239.4
2017,Colombie-Britannique,Physiothérapeutes,74.9
2017,Colombie-Britannique,Psychologues,25.0
2017,Colombie-Britannique,Psychotherapists/counselling therapists,
2017,Colombie-Britannique,Psychotherapists/counselling therapists,0.0
2017,Colombie-Britannique,Infirmières autorisées,757.8
2017,Colombie-Britannique,Infirmières psychiatriques autorisées,55.2
2017,Colombie-Britannique,Personnel infirmier réglementé,1064.5
2017,Colombie-Britannique,Inhalothérapeutes,
2017,Colombie-Britannique,Inhalothérapeutes,0.0
2017,Colombie-Britannique,Travailleurs sociaux,85.7
2017,Colombie-Britannique,Spécialistes,110.2
2017,Colombie-Britannique,Orthophonistes,24.5
2017,Colombie-Britannique,Orthophonistes,24.5
2018,Colombie-Britannique,Audiologistes,6.0
2018,Colombie-Britannique,Chiropraticiens,24.8
2018,Colombie-Britannique,Assistants dentaires,122.5
2018,Colombie-Britannique,Hygiénistes dentaires,69.6
2018,Colombie-Britannique,Dentistes,71.7
2018,Colombie-Britannique,Diététistes,25.7
2018,Colombie-Britannique,Professionnels de la santé publique environnementale,4.2
2018,Colombie-Britannique,Médecins de famille,134.1
2018,Colombie-Britannique,Conseillers en génétique,1.2
2018,Colombie-Britannique,Professionnels de la gestion de l’information sur la santé,
2018,Colombie-Britannique,Professionnels de la gestion de l’information sur la santé,0.0
2018,Colombie-Britannique,Infirmières auxiliaires autorisées,242.5
2018,Colombie-Britannique,Technologistes de laboratoire médical,37.3
2018,Colombie-Britannique,Physiciens médicaux,1.4
2018,Colombie-Britannique,Technologues en radiation médicale,42.5
2018,Colombie-Britannique,Sages-femmes,5.7
2018,Colombie-Britannique,Infirmières praticiennes,9.3
2018,Colombie-Britannique,Ergothérapeutes,47.6
2018,Colombie-Britannique,Opticiens,
2018,Colombie-Britannique,Opticiens,0.0
2018,Colombie-Britannique,Optométristes,16.1
2018,Colombie-Britannique,Ambulanciers paramédicaux,97.6
2018,Colombie-Britannique,Pharmaciens,113.3
2018,Colombie-Britannique,Techniciens en pharmacie,31.3
2018,Colombie-Britannique,Techniciens en pharmacie,31.3
2018,Colombie-Britannique,Adjoints au médecin,0.4
2018,Colombie-Britannique,Médecins,250.5
2018,Colombie-Britannique,Physiothérapeutes,76.3
2018,Colombie-Britannique,Psychologues,24.9
2018,Colombie-Britannique,Psychotherapists/counselling therapists,
2018,Colombie-Britannique,Psychotherapists/counselling therapists,0.0
2018,Colombie-Britannique,Infirmières autorisées,750.3
2018,Colombie-Britannique,Infirmières psychiatriques autorisées,55.6
2018,Colombie-Britannique,Personnel infirmier réglementé,1057.7
2018,Colombie-Britannique,Inhalothérapeutes,
2018,Colombie-Britannique,Inhalothérapeutes,0.0
2018,Colombie-Britannique,Travailleurs sociaux,87.0
2018,Colombie-Britannique,Spécialistes,116.4
2018,Colombie-Britannique,Orthophonistes,26.0
2018,Colombie-Britannique,Orthophonistes,26.0
2019,Colombie-Britannique,Audiologistes,6.1
2019,Colombie-Britannique,Chiropraticiens,26.0
2019,Colombie-Britannique,Assistants dentaires,120.7
2019,Colombie-Britannique,Hygiénistes dentaires,81.9
2019,Colombie-Britannique,Dentistes,70.7
2019,Colombie-Britannique,Diététistes,27.5
2019,Colombie-Britannique,Professionnels de la santé publique environnementale,3.7
2019,Colombie-Britannique,Médecins de famille,131.3
2019,Colombie-Britannique,Conseillers en génétique,1.3
2019,Colombie-Britannique,Professionnels de la gestion de l’information sur la santé,9.7
2019,Colombie-Britannique,Infirmières auxiliaires autorisées,242.4
2019,Colombie-Britannique,Technologistes de laboratoire médical,33.9
2019,Colombie-Britannique,Technologistes de laboratoire médical,33.9
2019,Colombie-Britannique,Physiciens médicaux,1.4
2019,Colombie-Britannique,Technologues en radiation médicale,40.6
2019,Colombie-Britannique,Sages-femmes,6.0
2019,Colombie-Britannique,Infirmières praticiennes,10.1
2019,Colombie-Britannique,Ergothérapeutes,48.9
2019,Colombie-Britannique,Opticiens,11.8
2019,Colombie-Britannique,Optométristes,16.7
2019,Colombie-Britannique,Ambulanciers paramédicaux,96.5
2019,Colombie-Britannique,Pharmaciens,112.6
2019,Colombie-Britannique,Techniciens en pharmacie,32.3
2019,Colombie-Britannique,Adjoints au médecin,0.4
2019,Colombie-Britannique,Médecins,250.4
2019,Colombie-Britannique,Physiothérapeutes,76.8
2019,Colombie-Britannique,Psychologues,24.6
2019,Colombie-Britannique,Psychologues,24.6
2019,Colombie-Britannique,Psychotherapists/counselling therapists,
2019,Colombie-Britannique,Psychotherapists/counselling therapists,0.0
2019,Colombie-Britannique,Infirmières autorisées,746.7
2019,Colombie-Britannique,Infirmières psychiatriques autorisées,55.5
2019,Colombie-Britannique,Personnel infirmier réglementé,1054.7
2019,Colombie-Britannique,Inhalothérapeutes,19.2
2019,Colombie-Britannique,Travailleurs sociaux,
2019,Colombie-Britannique,Travailleurs sociaux,0.0
2019,Colombie-Britannique,Spécialistes,119.1
2019,Colombie-Britannique,Orthophonistes,26.9
2019,Colombie-Britannique,Orthophonistes,26.9
2020,Colombie-Britannique,Audiologistes,6.1
2020,Colombie-Britannique,Chiropraticiens,26.3
2020,Colombie-Britannique,Assistants dentaires,119.3
2020,Colombie-Britannique,Hygiénistes dentaires,76.5
2020,Colombie-Britannique,Dentistes,
2020,Colombie-Britannique,Dentistes,0.0
2020,Colombie-Britannique,Diététistes,28.5
2020,Colombie-Britannique,Diététistes,28.5
2020,Colombie-Britannique,Professionnels de la santé publique environnementale,4.3
2020,Colombie-Britannique,Médecins de famille,133.4
2020,Colombie-Britannique,Conseillers en génétique,1.4
2020,Colombie-Britannique,Professionnels de la gestion de l’information sur la santé,9.4
2020,Colombie-Britannique,Infirmières auxiliaires autorisées,247.5
2020,Colombie-Britannique,Technologistes de laboratoire médical,33.1
2020,Colombie-Britannique,Physiciens médicaux,1.5
2020,Colombie-Britannique,Technologues en radiation médicale,40.5
2020,Colombie-Britannique,Technologues en radiation médicale,40.5
2020,Colombie-Britannique,Sages-femmes,6.2
2020,Colombie-Britannique,Infirmières praticiennes,10.5
2020,Colombie-Britannique,Ergothérapeutes,49.1
2020,Colombie-Britannique,Opticiens,
2020,Colombie-Britannique,Opticiens,0.0
2020,Colombie-Britannique,Optométristes,17.0
2020,Colombie-Britannique,Ambulanciers paramédicaux,100.5
2020,Colombie-Britannique,Pharmaciens,114.5
2020,Colombie-Britannique,Techniciens en pharmacie,32.7
2020,Colombie-Britannique,Adjoints au médecin,0.4
2020,Colombie-Britannique,Médecins,253.4
2020,Colombie-Britannique,Physiothérapeutes,79.5
2020,Colombie-Britannique,Psychologues,24.4
2020,Colombie-Britannique,Psychologues,24.4
2020,Colombie-Britannique,Psychotherapists/counselling therapists,
2020,Colombie-Britannique,Psychotherapists/counselling therapists,0.0
2020,Colombie-Britannique,Infirmières autorisées,753.3
2020,Colombie-Britannique,Infirmières psychiatriques autorisées,56.3
2020,Colombie-Britannique,Personnel infirmier réglementé,1067.7
2020,Colombie-Britannique,Inhalothérapeutes,19.0
2020,Colombie-Britannique,Travailleurs sociaux,99.6
2020,Colombie-Britannique,Spécialistes,120.0
2020,Colombie-Britannique,Orthophonistes,27.6
2021,Colombie-Britannique,Audiologistes,6.0
2021,Colombie-Britannique,Chiropraticiens,26.7
2021,Colombie-Britannique,Chiropraticiens,26.7
2021,Colombie-Britannique,Assistants dentaires,118.7
2021,Colombie-Britannique,Hygiénistes dentaires,79.0
2021,Colombie-Britannique,Dentistes,
2021,Colombie-Britannique,Dentistes,0.0
2021,Colombie-Britannique,Diététistes,28.9
2021,Colombie-Britannique,Professionnels de la santé publique environnementale,4.7
2021,Colombie-Britannique,Médecins de famille,136.5
2021,Colombie-Britannique,Conseillers en génétique,1.1
2021,Colombie-Britannique,Professionnels de la gestion de l’information sur la santé,7.7
2021,Colombie-Britannique,Professionnels de la gestion de l’information sur la santé,7.7
2021,Colombie-Britannique,Infirmières auxiliaires autorisées,257.1
2021,Colombie-Britannique,Technologistes de laboratoire médical,32.1
2021,Colombie-Britannique,Physiciens médicaux,1.2
2021,Colombie-Britannique,Technologues en radiation médicale,35.2
2021,Colombie-Britannique,Sages-femmes,6.7
2021,Colombie-Britannique,Infirmières praticiennes,12.4
2021,Colombie-Britannique,Ergothérapeutes,52.5
2021,Colombie-Britannique,Opticiens,9.1
2021,Colombie-Britannique,Optométristes,18.1
2021,Colombie-Britannique,Ambulanciers paramédicaux,99.1
2021,Colombie-Britannique,Pharmaciens,123.1
2021,Colombie-Britannique,Techniciens en pharmacie,33.0
2021,Colombie-Britannique,Adjoints au médecin,0.6
2021,Colombie-Britannique,Médecins,259.6
2021,Colombie-Britannique,Physiothérapeutes,84.1
2021,Colombie-Britannique,Psychologues,25.0
2021,Colombie-Britannique,Psychotherapists/counselling therapists,
2021,Colombie-Britannique,Psychotherapists/counselling therapists,0.0
2021,Colombie-Britannique,Infirmières autorisées,773.6
2021,Colombie-Britannique,Infirmières psychiatriques autorisées,59.1
2021,Colombie-Britannique,Personnel infirmier réglementé,1102.3
2021,Colombie-Britannique,Inhalothérapeutes,17.3
2021,Colombie-Britannique,Travailleurs sociaux,
2021,Colombie-Britannique,Travailleurs sociaux,0.0
2021,Colombie-Britannique,Spécialistes,123.1
2021,Colombie-Britannique,Orthophonistes,28.0
2021,Colombie-Britannique,Orthophonistes,28.0
2015,Canada,Audiologistes,5.06
2015,Canada,Chiropraticiens,23.66
2015,Canada,Assistants dentaires,53.46
2015,Canada,Hygiénistes dentaires,80.0
2015,Canada,Dentistes,63.05
2015,Canada,Diététistes,31.58
2015,Canada,Professionnels de la santé publique environnementale,4.55
2015,Canada,Médecins de famille,116.38
2015,Canada,Conseillers en génétique,0.88
2015,Canada,Professionnels de la gestion de l’information sur la santé,0.0
2015,Canada,Infirmières auxiliaires autorisées,317.81
2015,Canada,Technologistes de laboratoire médical,58.12
2015,Canada,Physiciens médicaux,1.31
2015,Canada,Technologues en radiation médicale,54.31
2015,Canada,Sages-femmes,3.49
2015,Canada,Infirmières praticiennes,12.07
2015,Canada,Ergothérapeutes,46.36
2015,Canada,Opticiens,5.46
2015,Canada,Optométristes,16.58
2015,Canada,Ambulanciers paramédicaux,77.77
2015,Canada,Pharmaciens,109.97
2015,Canada,Techniciens en pharmacie,18.49
2015,Canada,Adjoints au médecin,1.21
2015,Canada,Médecins,230.23
2015,Canada,Physiothérapeutes,60.99
2015,Canada,Psychologues,37.93
2015,Canada,Infirmières autorisées,815.93
2015,Canada,Infirmières psychiatriques autorisées,16.16
2015,Canada,Personnel infirmier réglementé,1161.4
2015,Canada,Inhalothérapeutes,30.73
2015,Canada,Travailleurs sociaux,135.82
2015,Canada,Spécialistes,113.85
2015,Canada,Orthophonistes,25.06
2016,Canada,Audiologistes,5.19
2016,Canada,Chiropraticiens,23.99
2016,Canada,Assistants dentaires,57.52
2016,Canada,Hygiénistes dentaires,80.86
2016,Canada,Dentistes,64.01
2016,Canada,Diététistes,32.27
2016,Canada,Professionnels de la santé publique environnementale,4.68
2016,Canada,Médecins de famille,117.76
2016,Canada,Conseillers en génétique,0.88
2016,Canada,Professionnels de la gestion de l’information sur la santé,12.68
2016,Canada,Infirmières auxiliaires autorisées,322.87
2016,Canada,Technologistes de laboratoire médical,53.4
2016,Canada,Physiciens médicaux,1.28
