Year,Géographie,Type de famille économique,Niveau de sécurité alimentaire du ménage,GeoCode,Value
2018,Canada,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire marginale,,4.2
2018,Canada,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire modérée ou grave,,8.3
2018,Canada,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire modérée,,5.1
2018,Canada,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire grave,,3.2
2018,Canada,Personnes dans les familles non âgées,Sécurité alimentaire,,82.4
2018,Canada,Personnes dans les familles non âgées,Insécurité alimentaire,,17.6
2018,Canada,Personnes dans les familles non âgées,Insécurité alimentaire marginale,,5.7
2018,Canada,Personnes dans les familles non âgées,Insécurité alimentaire modérée ou grave,,12.0
2018,Canada,Personnes dans les familles non âgées,Insécurité alimentaire modérée,,8.8
2018,Canada,Personnes dans les familles non âgées,Insécurité alimentaire grave,,3.2
2018,Canada,Personnes dans les couples,Sécurité alimentaire,,88.5
2018,Canada,Personnes dans les couples,Insécurité alimentaire,,11.5
2018,Canada,Personnes dans les couples,Insécurité alimentaire marginale,,3.9
2018,Canada,Personnes dans les couples,Insécurité alimentaire modérée ou grave,,7.6
2018,Canada,Personnes dans les couples,Insécurité alimentaire modérée,,4.7
2018,Canada,Personnes dans les couples,Insécurité alimentaire grave,,2.9
2018,Canada,Personnes dans les familles comptant un couple avec des enfants,Sécurité alimentaire,,82.1
2018,Canada,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire,,17.9
2018,Canada,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire marginale,,6.6
2018,Canada,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée ou grave,,11.2
2018,Canada,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée,,8.9
2018,Canada,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire grave,,2.3
2018,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Sécurité alimentaire,,89.1
2018,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire,,10.9
2018,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire marginale,,2.7
2018,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire modérée ou grave,,8.2
2018,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire modérée,,6.5
2018,Canada,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire grave,,1.6
2018,Canada,Personnes dans les familles monoparentales,Sécurité alimentaire,,57.8
2018,Canada,Personnes dans les familles monoparentales,Insécurité alimentaire,,42.2
2018,Canada,Personnes dans les familles monoparentales,Insécurité alimentaire marginale,,9.8
2018,Canada,Personnes dans les familles monoparentales,Insécurité alimentaire modérée ou grave,,32.3
2018,Canada,Personnes dans les familles monoparentales,Insécurité alimentaire modérée,,21.4
2018,Canada,Personnes dans les familles monoparentales,Insécurité alimentaire grave,,11.0
2018,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Sécurité alimentaire,,69.1
2018,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire,,30.9
2018,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire marginale,,7.7
2018,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire modérée ou grave,,23.2
2018,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire modérée,,17.1
2018,Canada,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire grave,,6.1
2018,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Sécurité alimentaire,,55.6
2018,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire,,44.4
2018,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire marginale,,10.3
2018,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire modérée ou grave,,34.1
2018,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire modérée,,22.2
2018,Canada,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire grave,,11.9
2018,Canada,Personnes dans les autres familles de personnes non âgées,Sécurité alimentaire,,78.5
2018,Canada,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire,,21.5
2018,Canada,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire marginale,,5.7
2018,Canada,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire modérée ou grave,,15.8
2018,Canada,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire modérée,,10.4
2018,Canada,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire grave,,5.4
2018,Canada,Personnes hors famille économique,Sécurité alimentaire,,79.8
2018,Canada,Personnes hors famille économique,Insécurité alimentaire,,20.2
2018,Canada,Personnes hors famille économique,Insécurité alimentaire marginale,,4.9
2018,Canada,Personnes hors famille économique,Insécurité alimentaire modérée ou grave,,15.3
2018,Canada,Personnes hors famille économique,Insécurité alimentaire modérée,,8.4
2018,Canada,Personnes hors famille économique,Insécurité alimentaire grave,,6.9
2018,Canada,Personnes âgées hors famille économique,Sécurité alimentaire,,89.6
2018,Canada,Personnes âgées hors famille économique,Insécurité alimentaire,,10.4
2018,Canada,Personnes âgées hors famille économique,Insécurité alimentaire marginale,,3.5
2018,Canada,Personnes âgées hors famille économique,Insécurité alimentaire modérée ou grave,,6.9
2018,Canada,Personnes âgées hors famille économique,Insécurité alimentaire modérée,,4.8
2018,Canada,Personnes âgées hors famille économique,Insécurité alimentaire grave,,2.1
2018,Canada,Hommes âgés hors famille économique,Sécurité alimentaire,,87.3
2018,Canada,Hommes âgés hors famille économique,Insécurité alimentaire,,12.7
2018,Canada,Hommes âgés hors famille économique,Insécurité alimentaire marginale,,3.3
2018,Canada,Hommes âgés hors famille économique,Insécurité alimentaire modérée ou grave,,9.4
2018,Canada,Hommes âgés hors famille économique,Insécurité alimentaire modérée,,6.1
2018,Canada,Hommes âgés hors famille économique,Insécurité alimentaire grave,,3.2
2018,Canada,Femmes âgées hors famille économique,Sécurité alimentaire,,90.7
2018,Canada,Femmes âgées hors famille économique,Insécurité alimentaire,,9.3
2018,Canada,Femmes âgées hors famille économique,Insécurité alimentaire marginale,,3.7
2018,Canada,Femmes âgées hors famille économique,Insécurité alimentaire modérée ou grave,,5.6
2018,Canada,Femmes âgées hors famille économique,Insécurité alimentaire modérée,,4.1
2018,Canada,Femmes âgées hors famille économique,Insécurité alimentaire grave,,1.6
2018,Canada,Personnes non âgées hors famille économique,Sécurité alimentaire,,75.5
2018,Canada,Personnes non âgées hors famille économique,Insécurité alimentaire,,24.5
2018,Canada,Personnes non âgées hors famille économique,Insécurité alimentaire marginale,,5.5
2018,Canada,Personnes non âgées hors famille économique,Insécurité alimentaire modérée ou grave,,18.9
2018,Canada,Personnes non âgées hors famille économique,Insécurité alimentaire modérée,,9.9
2018,Canada,Personnes non âgées hors famille économique,Insécurité alimentaire grave,,9.0
2018,Canada,Hommes non âgés hors famille économique,Sécurité alimentaire,,75.5
2018,Canada,Hommes non âgés hors famille économique,Insécurité alimentaire,,24.5
2018,Canada,Hommes non âgés hors famille économique,Insécurité alimentaire marginale,,5.8
2018,Canada,Hommes non âgés hors famille économique,Insécurité alimentaire modérée ou grave,,18.7
2018,Canada,Hommes non âgés hors famille économique,Insécurité alimentaire modérée,,9.0
2018,Canada,Hommes non âgés hors famille économique,Insécurité alimentaire grave,,9.7
2018,Canada,Femmes non âgées hors famille économique,Sécurité alimentaire,,75.6
2018,Canada,Femmes non âgées hors famille économique,Insécurité alimentaire,,24.4
2018,Canada,Femmes non âgées hors famille économique,Insécurité alimentaire marginale,,5.2
2018,Canada,Femmes non âgées hors famille économique,Insécurité alimentaire modérée ou grave,,19.2
2018,Canada,Femmes non âgées hors famille économique,Insécurité alimentaire modérée,,11.1
2018,Canada,Femmes non âgées hors famille économique,Insécurité alimentaire grave,,8.1
2018,Provinces de l'Atlantique,Toutes les personnes,Sécurité alimentaire,,80.8
2018,Provinces de l'Atlantique,Toutes les personnes,Insécurité alimentaire,,19.2
2018,Provinces de l'Atlantique,Toutes les personnes,Insécurité alimentaire marginale,,5.6
2018,Provinces de l'Atlantique,Toutes les personnes,Insécurité alimentaire modérée ou grave,,13.6
2018,Provinces de l'Atlantique,Toutes les personnes,Insécurité alimentaire modérée,,8.6
2018,Provinces de l'Atlantique,Toutes les personnes,Insécurité alimentaire grave,,5.0
2018,Provinces de l'Atlantique,Personnes dans les familles économiques,Sécurité alimentaire,,81.6
2018,Provinces de l'Atlantique,Personnes dans les familles économiques,Insécurité alimentaire,,18.4
2018,Provinces de l'Atlantique,Personnes dans les familles économiques,Insécurité alimentaire marginale,,5.6
2018,Provinces de l'Atlantique,Personnes dans les familles économiques,Insécurité alimentaire modérée ou grave,,12.8
2018,Provinces de l'Atlantique,Personnes dans les familles économiques,Insécurité alimentaire modérée,,8.5
2018,Provinces de l'Atlantique,Personnes dans les familles économiques,Insécurité alimentaire grave,,4.3
2018,Provinces de l'Atlantique,Personnes dans les familles de personnes âgées,Sécurité alimentaire,,90.8
2018,Provinces de l'Atlantique,Personnes dans les familles de personnes âgées,Insécurité alimentaire,,9.2
2018,Provinces de l'Atlantique,Personnes dans les familles de personnes âgées,Insécurité alimentaire marginale,,3.6
2018,Provinces de l'Atlantique,Personnes dans les familles de personnes âgées,Insécurité alimentaire modérée ou grave,,5.6
2018,Provinces de l'Atlantique,Personnes dans les familles de personnes âgées,Insécurité alimentaire modérée,,3.7
2018,Provinces de l'Atlantique,Personnes dans les familles de personnes âgées,Insécurité alimentaire grave,,1.9
2018,Provinces de l'Atlantique,Personnes dans les couples de personnes âgées,Sécurité alimentaire,,92.7
2018,Provinces de l'Atlantique,Personnes dans les couples de personnes âgées,Insécurité alimentaire,,7.3
2018,Provinces de l'Atlantique,Personnes dans les couples de personnes âgées,Insécurité alimentaire marginale,,2.9
2018,Provinces de l'Atlantique,Personnes dans les couples de personnes âgées,Insécurité alimentaire modérée ou grave,,4.5
2018,Provinces de l'Atlantique,Personnes dans les couples de personnes âgées,Insécurité alimentaire modérée,,3.0
2018,Provinces de l'Atlantique,Personnes dans les couples de personnes âgées,Insécurité alimentaire grave,,1.5
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes âgées,Sécurité alimentaire,,84.9
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire,,15.1
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire marginale,,6.0
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire modérée ou grave,,9.1
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire modérée,,5.9
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire grave,,
2018,Provinces de l'Atlantique,Personnes dans les familles non âgées,Sécurité alimentaire,,79.6
2018,Provinces de l'Atlantique,Personnes dans les familles non âgées,Insécurité alimentaire,,20.4
2018,Provinces de l'Atlantique,Personnes dans les familles non âgées,Insécurité alimentaire marginale,,6.0
2018,Provinces de l'Atlantique,Personnes dans les familles non âgées,Insécurité alimentaire modérée ou grave,,14.4
2018,Provinces de l'Atlantique,Personnes dans les familles non âgées,Insécurité alimentaire modérée,,9.5
2018,Provinces de l'Atlantique,Personnes dans les familles non âgées,Insécurité alimentaire grave,,4.8
2018,Provinces de l'Atlantique,Personnes dans les couples,Sécurité alimentaire,,85.9
2018,Provinces de l'Atlantique,Personnes dans les couples,Insécurité alimentaire,,14.1
2018,Provinces de l'Atlantique,Personnes dans les couples,Insécurité alimentaire marginale,,3.9
2018,Provinces de l'Atlantique,Personnes dans les couples,Insécurité alimentaire modérée ou grave,,10.2
2018,Provinces de l'Atlantique,Personnes dans les couples,Insécurité alimentaire modérée,,5.7
2018,Provinces de l'Atlantique,Personnes dans les couples,Insécurité alimentaire grave,,4.5
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec des enfants,Sécurité alimentaire,,79.2
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire,,20.8
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire marginale,,7.8
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée ou grave,,13.0
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée,,9.5
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire grave,,3.5
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Sécurité alimentaire,,88.4
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire,,11.6
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire marginale,,
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire modérée ou grave,,9.9
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire modérée,,8.3
2018,Provinces de l'Atlantique,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Insécurité alimentaire grave,,
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales,Sécurité alimentaire,,56.3
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales,Insécurité alimentaire,,43.7
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales,Insécurité alimentaire marginale,,7.3
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales,Insécurité alimentaire modérée ou grave,,36.4
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales,Insécurité alimentaire modérée,,21.7
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales,Insécurité alimentaire grave,,14.7
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant un homme à leur tête,Sécurité alimentaire,,65.7
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire,,34.3
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire marginale,,
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire modérée ou grave,,26.4
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire modérée,,
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant un homme à leur tête,Insécurité alimentaire grave,,
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant une femme à leur tête,Sécurité alimentaire,,54.3
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire,,45.7
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire marginale,,7.3
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire modérée ou grave,,38.4
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire modérée,,22.5
2018,Provinces de l'Atlantique,Personnes dans les familles monoparentales ayant une femme à leur tête,Insécurité alimentaire grave,,16.0
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes non âgées,Sécurité alimentaire,,73.8
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire,,26.2
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire marginale,,8.7
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire modérée ou grave,,17.4
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire modérée,,9.8
2018,Provinces de l'Atlantique,Personnes dans les autres familles de personnes non âgées,Insécurité alimentaire grave,,7.6
2018,Provinces de l'Atlantique,Personnes hors famille économique,Sécurité alimentaire,,76.6
2018,Provinces de l'Atlantique,Personnes hors famille économique,Insécurité alimentaire,,23.4
2018,Provinces de l'Atlantique,Personnes hors famille économique,Insécurité alimentaire marginale,,5.7
2018,Provinces de l'Atlantique,Personnes hors famille économique,Insécurité alimentaire modérée ou grave,,17.6
2018,Provinces de l'Atlantique,Personnes hors famille économique,Insécurité alimentaire modérée,,9.0
2018,Provinces de l'Atlantique,Personnes hors famille économique,Insécurité alimentaire grave,,8.6
2018,Provinces de l'Atlantique,Personnes âgées hors famille économique,Sécurité alimentaire,,84.2
2018,Provinces de l'Atlantique,Personnes âgées hors famille économique,Insécurité alimentaire,,15.8
2018,Provinces de l'Atlantique,Personnes âgées hors famille économique,Insécurité alimentaire marginale,,4.9
2018,Provinces de l'Atlantique,Personnes âgées hors famille économique,Insécurité alimentaire modérée ou grave,,10.9
2018,Provinces de l'Atlantique,Personnes âgées hors famille économique,Insécurité alimentaire modérée,,6.6
2018,Provinces de l'Atlantique,Personnes âgées hors famille économique,Insécurité alimentaire grave,,4.3
2018,Provinces de l'Atlantique,Hommes âgés hors famille économique,Sécurité alimentaire,,78.9
2018,Provinces de l'Atlantique,Hommes âgés hors famille économique,Insécurité alimentaire,,21.1
2018,Provinces de l'Atlantique,Hommes âgés hors famille économique,Insécurité alimentaire marginale,,6.8
2018,Provinces de l'Atlantique,Hommes âgés hors famille économique,Insécurité alimentaire modérée ou grave,,14.3
2018,Provinces de l'Atlantique,Hommes âgés hors famille économique,Insécurité alimentaire modérée,,8.2
2018,Provinces de l'Atlantique,Hommes âgés hors famille économique,Insécurité alimentaire grave,,6.1
2018,Provinces de l'Atlantique,Femmes âgées hors famille économique,Sécurité alimentaire,,87.2
2018,Provinces de l'Atlantique,Femmes âgées hors famille économique,Insécurité alimentaire,,12.8
2018,Provinces de l'Atlantique,Femmes âgées hors famille économique,Insécurité alimentaire marginale,,3.9
2018,Provinces de l'Atlantique,Femmes âgées hors famille économique,Insécurité alimentaire modérée ou grave,,9.0
2018,Provinces de l'Atlantique,Femmes âgées hors famille économique,Insécurité alimentaire modérée,,5.7
2018,Provinces de l'Atlantique,Femmes âgées hors famille économique,Insécurité alimentaire grave,,3.3
2018,Provinces de l'Atlantique,Personnes non âgées hors famille économique,Sécurité alimentaire,,72.7
2018,Provinces de l'Atlantique,Personnes non âgées hors famille économique,Insécurité alimentaire,,27.3
2018,Provinces de l'Atlantique,Personnes non âgées hors famille économique,Insécurité alimentaire marginale,,6.2
2018,Provinces de l'Atlantique,Personnes non âgées hors famille économique,Insécurité alimentaire modérée ou grave,,21.1
2018,Provinces de l'Atlantique,Personnes non âgées hors famille économique,Insécurité alimentaire modérée,,10.3
2018,Provinces de l'Atlantique,Personnes non âgées hors famille économique,Insécurité alimentaire grave,,10.8
2018,Provinces de l'Atlantique,Hommes non âgés hors famille économique,Sécurité alimentaire,,73.2
2018,Provinces de l'Atlantique,Hommes non âgés hors famille économique,Insécurité alimentaire,,26.8
2018,Provinces de l'Atlantique,Hommes non âgés hors famille économique,Insécurité alimentaire marginale,,6.2
2018,Provinces de l'Atlantique,Hommes non âgés hors famille économique,Insécurité alimentaire modérée ou grave,,20.6
2018,Provinces de l'Atlantique,Hommes non âgés hors famille économique,Insécurité alimentaire modérée,,10.2
2018,Provinces de l'Atlantique,Hommes non âgés hors famille économique,Insécurité alimentaire grave,,10.4
2018,Provinces de l'Atlantique,Femmes non âgées hors famille économique,Sécurité alimentaire,,72.1
2018,Provinces de l'Atlantique,Femmes non âgées hors famille économique,Insécurité alimentaire,,27.9
2018,Provinces de l'Atlantique,Femmes non âgées hors famille économique,Insécurité alimentaire marginale,,6.1
2018,Provinces de l'Atlantique,Femmes non âgées hors famille économique,Insécurité alimentaire modérée ou grave,,21.8
2018,Provinces de l'Atlantique,Femmes non âgées hors famille économique,Insécurité alimentaire modérée,,10.5
2018,Provinces de l'Atlantique,Femmes non âgées hors famille économique,Insécurité alimentaire grave,,11.3
2018,Terre-Neuve-et-Labrador,Toutes les personnes,Sécurité alimentaire,10,81.1
2018,Terre-Neuve-et-Labrador,Toutes les personnes,Insécurité alimentaire,10,18.9
2018,Terre-Neuve-et-Labrador,Toutes les personnes,Insécurité alimentaire marginale,10,6.9
2018,Terre-Neuve-et-Labrador,Toutes les personnes,Insécurité alimentaire modérée ou grave,10,12.0
2018,Terre-Neuve-et-Labrador,Toutes les personnes,Insécurité alimentaire modérée,10,8.0
2018,Terre-Neuve-et-Labrador,Toutes les personnes,Insécurité alimentaire grave,10,4.0
2018,Terre-Neuve-et-Labrador,Personnes dans les familles économiques,Sécurité alimentaire,10,81.8
2018,Terre-Neuve-et-Labrador,Personnes dans les familles économiques,Insécurité alimentaire,10,18.2
2018,Terre-Neuve-et-Labrador,Personnes dans les familles économiques,Insécurité alimentaire marginale,10,7.4
2018,Terre-Neuve-et-Labrador,Personnes dans les familles économiques,Insécurité alimentaire modérée ou grave,10,10.9
2018,Terre-Neuve-et-Labrador,Personnes dans les familles économiques,Insécurité alimentaire modérée,10,7.3
2018,Terre-Neuve-et-Labrador,Personnes dans les familles économiques,Insécurité alimentaire grave,10,3.6
2018,Terre-Neuve-et-Labrador,Personnes dans les familles de personnes âgées,Sécurité alimentaire,10,90.3
2018,Terre-Neuve-et-Labrador,Personnes dans les familles de personnes âgées,Insécurité alimentaire,10,9.7
2018,Terre-Neuve-et-Labrador,Personnes dans les familles de personnes âgées,Insécurité alimentaire marginale,10,3.3
2018,Terre-Neuve-et-Labrador,Personnes dans les familles de personnes âgées,Insécurité alimentaire modérée ou grave,10,6.4
2018,Terre-Neuve-et-Labrador,Personnes dans les familles de personnes âgées,Insécurité alimentaire modérée,10,4.5
2018,Terre-Neuve-et-Labrador,Personnes dans les familles de personnes âgées,Insécurité alimentaire grave,10,
2018,Terre-Neuve-et-Labrador,Personnes dans les couples de personnes âgées,Sécurité alimentaire,10,89.4
2018,Terre-Neuve-et-Labrador,Personnes dans les couples de personnes âgées,Insécurité alimentaire,10,10.6
2018,Terre-Neuve-et-Labrador,Personnes dans les couples de personnes âgées,Insécurité alimentaire marginale,10,4.2
2018,Terre-Neuve-et-Labrador,Personnes dans les couples de personnes âgées,Insécurité alimentaire modérée ou grave,10,6.4
2018,Terre-Neuve-et-Labrador,Personnes dans les couples de personnes âgées,Insécurité alimentaire modérée,10,4.0
2018,Terre-Neuve-et-Labrador,Personnes dans les couples de personnes âgées,Insécurité alimentaire grave,10,
2018,Terre-Neuve-et-Labrador,Personnes dans les autres familles de personnes âgées,Sécurité alimentaire,10,93.7
2018,Terre-Neuve-et-Labrador,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire,10,
2018,Terre-Neuve-et-Labrador,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire marginale,10,
2018,Terre-Neuve-et-Labrador,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire modérée ou grave,10,
2018,Terre-Neuve-et-Labrador,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire modérée,10,
2018,Terre-Neuve-et-Labrador,Personnes dans les autres familles de personnes âgées,Insécurité alimentaire grave,10,
2018,Terre-Neuve-et-Labrador,Personnes dans les familles non âgées,Sécurité alimentaire,10,79.9
2018,Terre-Neuve-et-Labrador,Personnes dans les familles non âgées,Insécurité alimentaire,10,20.1
2018,Terre-Neuve-et-Labrador,Personnes dans les familles non âgées,Insécurité alimentaire marginale,10,8.3
2018,Terre-Neuve-et-Labrador,Personnes dans les familles non âgées,Insécurité alimentaire modérée ou grave,10,11.9
2018,Terre-Neuve-et-Labrador,Personnes dans les familles non âgées,Insécurité alimentaire modérée,10,7.9
2018,Terre-Neuve-et-Labrador,Personnes dans les familles non âgées,Insécurité alimentaire grave,10,3.9
2018,Terre-Neuve-et-Labrador,Personnes dans les couples,Sécurité alimentaire,10,88.9
2018,Terre-Neuve-et-Labrador,Personnes dans les couples,Insécurité alimentaire,10,11.1
2018,Terre-Neuve-et-Labrador,Personnes dans les couples,Insécurité alimentaire marginale,10,
2018,Terre-Neuve-et-Labrador,Personnes dans les couples,Insécurité alimentaire modérée ou grave,10,8.1
2018,Terre-Neuve-et-Labrador,Personnes dans les couples,Insécurité alimentaire modérée,10,5.0
2018,Terre-Neuve-et-Labrador,Personnes dans les couples,Insécurité alimentaire grave,10,
2018,Terre-Neuve-et-Labrador,Personnes dans les familles comptant un couple avec des enfants,Sécurité alimentaire,10,80.2
2018,Terre-Neuve-et-Labrador,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire,10,19.8
2018,Terre-Neuve-et-Labrador,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire marginale,10,10.9
2018,Terre-Neuve-et-Labrador,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée ou grave,10,8.8
2018,Terre-Neuve-et-Labrador,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire modérée,10,5.8
2018,Terre-Neuve-et-Labrador,Personnes dans les familles comptant un couple avec des enfants,Insécurité alimentaire grave,10,
2018,Terre-Neuve-et-Labrador,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,Sécurité alimentaire,10,89.1
