Year,Géographie,Groupe d'âge,"Type d'institution fréquentée
",GeoCode,Value
2014/2015,Nouvelle-Écosse,25 à 29 ans,Primaire/Secondaire,12,
2014/2015,Nouvelle-Écosse,25 à 29 ans,Collège,12,3.0
2014/2015,Nouvelle-Écosse,25 à 29 ans,Université,12,9.0
2014/2015,Nouveau-Brunswick,15 à 19 ans,Total taux de participation,13,84.0
2014/2015,Nouveau-Brunswick,15 à 19 ans,Primaire/Secondaire,13,64.0
2014/2015,Nouveau-Brunswick,15 à 19 ans,Collège,13,7.0
2014/2015,Nouveau-Brunswick,15 à 19 ans,Université,13,13.0
2014/2015,Nouveau-Brunswick,20 à 24 ans,Total taux de participation,13,29.0
2014/2015,Nouveau-Brunswick,20 à 24 ans,Primaire/Secondaire,13,
2014/2015,Nouveau-Brunswick,20 à 24 ans,Collège,13,6.0
2014/2015,Nouveau-Brunswick,20 à 24 ans,Université,13,22.0
2014/2015,Nouveau-Brunswick,25 à 29 ans,Total taux de participation,13,9.0
2014/2015,Nouveau-Brunswick,25 à 29 ans,Primaire/Secondaire,13,
2014/2015,Nouveau-Brunswick,25 à 29 ans,Collège,13,3.0
2014/2015,Nouveau-Brunswick,25 à 29 ans,Université,13,6.0
2014/2015,Québec,15 à 19 ans,Total taux de participation,24,83.0
2014/2015,Québec,15 à 19 ans,Primaire/Secondaire,24,49.0
2014/2015,Québec,15 à 19 ans,Collège,24,31.0
2014/2015,Québec,15 à 19 ans,Université,24,3.0
2014/2015,Québec,20 à 24 ans,Total taux de participation,24,47.0
2014/2015,Québec,20 à 24 ans,Primaire/Secondaire,24,4.0
2014/2015,Québec,20 à 24 ans,Collège,24,14.0
2014/2015,Québec,20 à 24 ans,Université,24,30.0
2014/2015,Québec,25 à 29 ans,Total taux de participation,24,18.0
2014/2015,Québec,25 à 29 ans,Primaire/Secondaire,24,1.0
2014/2015,Québec,25 à 29 ans,Collège,24,3.0
2014/2015,Québec,25 à 29 ans,Université,24,13.0
2014/2015,Ontario,15 à 19 ans,Total taux de participation,35,87.0
2014/2015,Ontario,15 à 19 ans,Primaire/Secondaire,35,62.0
2014/2015,Ontario,15 à 19 ans,Collège,35,8.0
2014/2015,Ontario,15 à 19 ans,Université,35,17.0
2014/2015,Ontario,20 à 24 ans,Total taux de participation,35,43.0
2014/2015,Ontario,20 à 24 ans,Primaire/Secondaire,35,1.0
2014/2015,Ontario,20 à 24 ans,Collège,35,15.0
2014/2015,Ontario,20 à 24 ans,Université,35,27.0
2014/2015,Ontario,25 à 29 ans,Total taux de participation,35,11.0
2014/2015,Ontario,25 à 29 ans,Primaire/Secondaire,35,1.0
2014/2015,Ontario,25 à 29 ans,Collège,35,5.0
2014/2015,Ontario,25 à 29 ans,Université,35,6.0
2014/2015,Manitoba,15 à 19 ans,Total taux de participation,46,78.0
2014/2015,Manitoba,15 à 19 ans,Primaire/Secondaire,46,61.0
2014/2015,Manitoba,15 à 19 ans,Collège,46,3.0
2014/2015,Manitoba,15 à 19 ans,Université,46,13.0
2014/2015,Manitoba,20 à 24 ans,Total taux de participation,46,31.0
2014/2015,Manitoba,20 à 24 ans,Primaire/Secondaire,46,1.0
2014/2015,Manitoba,20 à 24 ans,Collège,46,6.0
2014/2015,Manitoba,20 à 24 ans,Université,46,24.0
2014/2015,Manitoba,25 à 29 ans,Total taux de participation,46,12.0
2014/2015,Manitoba,25 à 29 ans,Primaire/Secondaire,46,1.0
2014/2015,Manitoba,25 à 29 ans,Collège,46,3.0
2014/2015,Manitoba,25 à 29 ans,Université,46,8.0
2014/2015,Saskatchewan,15 à 19 ans,Total taux de participation,47,78.0
2014/2015,Saskatchewan,15 à 19 ans,Primaire/Secondaire,47,63.0
2014/2015,Saskatchewan,15 à 19 ans,Collège,47,5.0
2014/2015,Saskatchewan,15 à 19 ans,Université,47,10.0
2014/2015,Saskatchewan,20 à 24 ans,Total taux de participation,47,31.0
2014/2015,Saskatchewan,20 à 24 ans,Primaire/Secondaire,47,1.0
2014/2015,Saskatchewan,20 à 24 ans,Collège,47,6.0
2014/2015,Saskatchewan,20 à 24 ans,Université,47,24.0
2014/2015,Saskatchewan,25 à 29 ans,Total taux de participation,47,10.0
2014/2015,Saskatchewan,25 à 29 ans,Primaire/Secondaire,47,
2014/2015,Saskatchewan,25 à 29 ans,Collège,47,2.0
2014/2015,Saskatchewan,25 à 29 ans,Université,47,8.0
2014/2015,Alberta,15 à 19 ans,Total taux de participation,48,78.0
2014/2015,Alberta,15 à 19 ans,Primaire/Secondaire,48,61.0
2014/2015,Alberta,15 à 19 ans,Collège,48,5.0
2014/2015,Alberta,15 à 19 ans,Université,48,12.0
2014/2015,Alberta,20 à 24 ans,Total taux de participation,48,28.0
2014/2015,Alberta,20 à 24 ans,Primaire/Secondaire,48,1.0
2014/2015,Alberta,20 à 24 ans,Collège,48,7.0
2014/2015,Alberta,20 à 24 ans,Université,48,20.0
2014/2015,Alberta,25 à 29 ans,Total taux de participation,48,9.0
2014/2015,Alberta,25 à 29 ans,Primaire/Secondaire,48,
2014/2015,Alberta,25 à 29 ans,Collège,48,3.0
2014/2015,Alberta,25 à 29 ans,Université,48,6.0
2014/2015,Colombie-Britannique,15 à 19 ans,Total taux de participation,59,76.0
2014/2015,Colombie-Britannique,15 à 19 ans,Primaire/Secondaire,59,55.0
2014/2015,Colombie-Britannique,15 à 19 ans,Collège,59,8.0
2014/2015,Colombie-Britannique,15 à 19 ans,Université,59,13.0
2014/2015,Colombie-Britannique,20 à 24 ans,Total taux de participation,59,39.0
2014/2015,Colombie-Britannique,20 à 24 ans,Primaire/Secondaire,59,1.0
2014/2015,Colombie-Britannique,20 à 24 ans,Collège,59,11.0
2014/2015,Colombie-Britannique,20 à 24 ans,Université,59,27.0
2014/2015,Colombie-Britannique,25 à 29 ans,Total taux de participation,59,12.0
2014/2015,Colombie-Britannique,25 à 29 ans,Primaire/Secondaire,59,
2014/2015,Colombie-Britannique,25 à 29 ans,Collège,59,4.0
2014/2015,Colombie-Britannique,25 à 29 ans,Université,59,7.0
2014/2015,Yukon,15 à 19 ans,Total taux de participation,60,78.0
2014/2015,Yukon,15 à 19 ans,Primaire/Secondaire,60,64.0
2014/2015,Yukon,15 à 19 ans,Collège,60,
2014/2015,Yukon,15 à 19 ans,Université,60,
2014/2015,Yukon,20 à 24 ans,Total taux de participation,60,28.0
2014/2015,Yukon,20 à 24 ans,Primaire/Secondaire,60,
2014/2015,Yukon,20 à 24 ans,Collège,60,13.0
2014/2015,Yukon,20 à 24 ans,Université,60,15.0
2014/2015,Yukon,25 à 29 ans,Total taux de participation,60,
2014/2015,Yukon,25 à 29 ans,Primaire/Secondaire,60,
2014/2015,Yukon,25 à 29 ans,Collège,60,
2014/2015,Yukon,25 à 29 ans,Université,60,
2014/2015,Territoires du Nord-Ouest,15 à 19 ans,Total taux de participation,61,74.0
2014/2015,Territoires du Nord-Ouest,15 à 19 ans,Primaire/Secondaire,61,62.0
2014/2015,Territoires du Nord-Ouest,15 à 19 ans,Collège,61,
2014/2015,Territoires du Nord-Ouest,15 à 19 ans,Université,61,8.0
2014/2015,Territoires du Nord-Ouest,20 à 24 ans,Total taux de participation,61,32.0
2014/2015,Territoires du Nord-Ouest,20 à 24 ans,Primaire/Secondaire,61,
2014/2015,Territoires du Nord-Ouest,20 à 24 ans,Collège,61,13.0
2014/2015,Territoires du Nord-Ouest,20 à 24 ans,Université,61,15.0
2014/2015,Territoires du Nord-Ouest,25 à 29 ans,Total taux de participation,61,8.0
2014/2015,Territoires du Nord-Ouest,25 à 29 ans,Primaire/Secondaire,61,
2014/2015,Territoires du Nord-Ouest,25 à 29 ans,Collège,61,
2014/2015,Territoires du Nord-Ouest,25 à 29 ans,Université,61,
2014/2015,Nunavut,15 à 19 ans,Total taux de participation,62,63.0
2014/2015,Nunavut,15 à 19 ans,Primaire/Secondaire,62,61.0
2014/2015,Nunavut,15 à 19 ans,Collège,62,
2014/2015,Nunavut,15 à 19 ans,Université,62,
2014/2015,Nunavut,20 à 24 ans,Total taux de participation,62,12.0
2014/2015,Nunavut,20 à 24 ans,Primaire/Secondaire,62,
2014/2015,Nunavut,20 à 24 ans,Collège,62,
2014/2015,Nunavut,20 à 24 ans,Université,62,
2014/2015,Nunavut,25 à 29 ans,Total taux de participation,62,
2014/2015,Nunavut,25 à 29 ans,Primaire/Secondaire,62,
2014/2015,Nunavut,25 à 29 ans,Collège,62,
2014/2015,Nunavut,25 à 29 ans,Université,62,
2015/2016,Canada,15 à 19 ans,Total taux de participation,,83.0
2015/2016,Canada,15 à 19 ans,Primaire/Secondaire,,60.0
2015/2016,Canada,15 à 19 ans,Collège,,12.0
2015/2016,Canada,15 à 19 ans,Université,,12.0
2015/2016,Canada,20 à 24 ans,Total taux de participation,,40.0
2015/2016,Canada,20 à 24 ans,Primaire/Secondaire,,2.0
2015/2016,Canada,20 à 24 ans,Collège,,12.0
2015/2016,Canada,20 à 24 ans,Université,,27.0
2015/2016,Canada,25 à 29 ans,Total taux de participation,,12.0
2015/2016,Canada,25 à 29 ans,Primaire/Secondaire,,1.0
2015/2016,Canada,25 à 29 ans,Collège,,4.0
2015/2016,Canada,25 à 29 ans,Université,,8.0
2015/2016,Terre-Neuve-et-Labrador,15 à 19 ans,Total taux de participation,10,84.0
2015/2016,Terre-Neuve-et-Labrador,15 à 19 ans,Primaire/Secondaire,10,60.0
2015/2016,Terre-Neuve-et-Labrador,15 à 19 ans,Collège,10,9.0
2015/2016,Terre-Neuve-et-Labrador,15 à 19 ans,Université,10,16.0
2015/2016,Terre-Neuve-et-Labrador,20 à 24 ans,Total taux de participation,10,35.0
2015/2016,Terre-Neuve-et-Labrador,20 à 24 ans,Primaire/Secondaire,10,
2015/2016,Terre-Neuve-et-Labrador,20 à 24 ans,Collège,10,11.0
2015/2016,Terre-Neuve-et-Labrador,20 à 24 ans,Université,10,23.0
2015/2016,Terre-Neuve-et-Labrador,25 à 29 ans,Total taux de participation,10,12.0
2015/2016,Terre-Neuve-et-Labrador,25 à 29 ans,Primaire/Secondaire,10,
2015/2016,Terre-Neuve-et-Labrador,25 à 29 ans,Collège,10,3.0
2015/2016,Terre-Neuve-et-Labrador,25 à 29 ans,Université,10,8.0
2015/2016,Île-du-Prince-Édouard,15 à 19 ans,Total taux de participation,11,83.0
2015/2016,Île-du-Prince-Édouard,15 à 19 ans,Primaire/Secondaire,11,61.0
2015/2016,Île-du-Prince-Édouard,15 à 19 ans,Collège,11,7.0
2015/2016,Île-du-Prince-Édouard,15 à 19 ans,Université,11,15.0
2015/2016,Île-du-Prince-Édouard,20 à 24 ans,Total taux de participation,11,30.0
2015/2016,Île-du-Prince-Édouard,20 à 24 ans,Primaire/Secondaire,11,
2015/2016,Île-du-Prince-Édouard,20 à 24 ans,Collège,11,7.0
2015/2016,Île-du-Prince-Édouard,20 à 24 ans,Université,11,23.0
2015/2016,Île-du-Prince-Édouard,25 à 29 ans,Total taux de participation,11,10.0
2015/2016,Île-du-Prince-Édouard,25 à 29 ans,Primaire/Secondaire,11,
2015/2016,Île-du-Prince-Édouard,25 à 29 ans,Collège,11,4.0
2015/2016,Île-du-Prince-Édouard,25 à 29 ans,Université,11,6.0
2015/2016,Nouvelle-Écosse,15 à 19 ans,Total taux de participation,12,82.0
2015/2016,Nouvelle-Écosse,15 à 19 ans,Primaire/Secondaire,12,62.0
2015/2016,Nouvelle-Écosse,15 à 19 ans,Collège,12,6.0
2015/2016,Nouvelle-Écosse,15 à 19 ans,Université,12,14.0
2015/2016,Nouvelle-Écosse,20 à 24 ans,Total taux de participation,12,34.0
2015/2016,Nouvelle-Écosse,20 à 24 ans,Primaire/Secondaire,12,
2015/2016,Nouvelle-Écosse,20 à 24 ans,Collège,12,9.0
2015/2016,Nouvelle-Écosse,20 à 24 ans,Université,12,25.0
2015/2016,Nouvelle-Écosse,25 à 29 ans,Total taux de participation,12,11.0
2015/2016,Nouvelle-Écosse,25 à 29 ans,Primaire/Secondaire,12,
2015/2016,Nouvelle-Écosse,25 à 29 ans,Collège,12,3.0
2015/2016,Nouvelle-Écosse,25 à 29 ans,Université,12,9.0
2015/2016,Nouveau-Brunswick,15 à 19 ans,Total taux de participation,13,82.0
2015/2016,Nouveau-Brunswick,15 à 19 ans,Primaire/Secondaire,13,62.0
2015/2016,Nouveau-Brunswick,15 à 19 ans,Collège,13,7.0
2015/2016,Nouveau-Brunswick,15 à 19 ans,Université,13,13.0
2015/2016,Nouveau-Brunswick,20 à 24 ans,Total taux de participation,13,35.0
2015/2016,Nouveau-Brunswick,20 à 24 ans,Primaire/Secondaire,13,
2015/2016,Nouveau-Brunswick,20 à 24 ans,Collège,13,8.0
2015/2016,Nouveau-Brunswick,20 à 24 ans,Université,13,26.0
2015/2016,Nouveau-Brunswick,25 à 29 ans,Total taux de participation,13,7.0
2015/2016,Nouveau-Brunswick,25 à 29 ans,Primaire/Secondaire,13,
2015/2016,Nouveau-Brunswick,25 à 29 ans,Collège,13,2.0
2015/2016,Nouveau-Brunswick,25 à 29 ans,Université,13,5.0
2015/2016,Québec,15 à 19 ans,Total taux de participation,24,81.0
2015/2016,Québec,15 à 19 ans,Primaire/Secondaire,24,51.0
2015/2016,Québec,15 à 19 ans,Collège,24,27.0
2015/2016,Québec,15 à 19 ans,Université,24,3.0
2015/2016,Québec,20 à 24 ans,Total taux de participation,24,46.0
2015/2016,Québec,20 à 24 ans,Primaire/Secondaire,24,4.0
2015/2016,Québec,20 à 24 ans,Collège,24,12.0
2015/2016,Québec,20 à 24 ans,Université,24,30.0
2015/2016,Québec,25 à 29 ans,Total taux de participation,24,16.0
2015/2016,Québec,25 à 29 ans,Primaire/Secondaire,24,2.0
2015/2016,Québec,25 à 29 ans,Collège,24,3.0
2015/2016,Québec,25 à 29 ans,Université,24,12.0
2015/2016,Ontario,15 à 19 ans,Total taux de participation,35,87.0
2015/2016,Ontario,15 à 19 ans,Primaire/Secondaire,35,62.0
2015/2016,Ontario,15 à 19 ans,Collège,35,9.0
2015/2016,Ontario,15 à 19 ans,Université,35,16.0
2015/2016,Ontario,20 à 24 ans,Total taux de participation,35,43.0
2015/2016,Ontario,20 à 24 ans,Primaire/Secondaire,35,1.0
2015/2016,Ontario,20 à 24 ans,Collège,35,14.0
2015/2016,Ontario,20 à 24 ans,Université,35,28.0
2015/2016,Ontario,25 à 29 ans,Total taux de participation,35,12.0
2015/2016,Ontario,25 à 29 ans,Primaire/Secondaire,35,0.0
2015/2016,Ontario,25 à 29 ans,Collège,35,5.0
2015/2016,Ontario,25 à 29 ans,Université,35,6.0
2015/2016,Manitoba,15 à 19 ans,Total taux de participation,46,78.0
2015/2016,Manitoba,15 à 19 ans,Primaire/Secondaire,46,62.0
2015/2016,Manitoba,15 à 19 ans,Collège,46,4.0
2015/2016,Manitoba,15 à 19 ans,Université,46,12.0
2015/2016,Manitoba,20 à 24 ans,Total taux de participation,46,34.0
2015/2016,Manitoba,20 à 24 ans,Primaire/Secondaire,46,2.0
2015/2016,Manitoba,20 à 24 ans,Collège,46,7.0
2015/2016,Manitoba,20 à 24 ans,Université,46,25.0
2015/2016,Manitoba,25 à 29 ans,Total taux de participation,46,12.0
2015/2016,Manitoba,25 à 29 ans,Primaire/Secondaire,46,
2015/2016,Manitoba,25 à 29 ans,Collège,46,3.0
2015/2016,Manitoba,25 à 29 ans,Université,46,8.0
2015/2016,Saskatchewan,15 à 19 ans,Total taux de participation,47,78.0
2015/2016,Saskatchewan,15 à 19 ans,Primaire/Secondaire,47,62.0
2015/2016,Saskatchewan,15 à 19 ans,Collège,47,5.0
2015/2016,Saskatchewan,15 à 19 ans,Université,47,11.0
2015/2016,Saskatchewan,20 à 24 ans,Total taux de participation,47,30.0
2015/2016,Saskatchewan,20 à 24 ans,Primaire/Secondaire,47,2.0
2015/2016,Saskatchewan,20 à 24 ans,Collège,47,7.0
2015/2016,Saskatchewan,20 à 24 ans,Université,47,22.0
2015/2016,Saskatchewan,25 à 29 ans,Total taux de participation,47,10.0
2015/2016,Saskatchewan,25 à 29 ans,Primaire/Secondaire,47,
2015/2016,Saskatchewan,25 à 29 ans,Collège,47,2.0
2015/2016,Saskatchewan,25 à 29 ans,Université,47,7.0
2015/2016,Alberta,15 à 19 ans,Total taux de participation,48,80.0
2015/2016,Alberta,15 à 19 ans,Primaire/Secondaire,48,65.0
2015/2016,Alberta,15 à 19 ans,Collège,48,5.0
2015/2016,Alberta,15 à 19 ans,Université,48,10.0
2015/2016,Alberta,20 à 24 ans,Total taux de participation,48,30.0
2015/2016,Alberta,20 à 24 ans,Primaire/Secondaire,48,1.0
2015/2016,Alberta,20 à 24 ans,Collège,48,8.0
2015/2016,Alberta,20 à 24 ans,Université,48,21.0
2015/2016,Alberta,25 à 29 ans,Total taux de participation,48,8.0
2015/2016,Alberta,25 à 29 ans,Primaire/Secondaire,48,
2015/2016,Alberta,25 à 29 ans,Collège,48,3.0
2015/2016,Alberta,25 à 29 ans,Université,48,6.0
2015/2016,Colombie-Britannique,15 à 19 ans,Total taux de participation,59,80.0
2015/2016,Colombie-Britannique,15 à 19 ans,Primaire/Secondaire,59,60.0
2015/2016,Colombie-Britannique,15 à 19 ans,Collège,59,7.0
2015/2016,Colombie-Britannique,15 à 19 ans,Université,59,14.0
2015/2016,Colombie-Britannique,20 à 24 ans,Total taux de participation,59,37.0
2015/2016,Colombie-Britannique,20 à 24 ans,Primaire/Secondaire,59,1.0
2015/2016,Colombie-Britannique,20 à 24 ans,Collège,59,11.0
2015/2016,Colombie-Britannique,20 à 24 ans,Université,59,26.0
2015/2016,Colombie-Britannique,25 à 29 ans,Total taux de participation,59,11.0
2015/2016,Colombie-Britannique,25 à 29 ans,Primaire/Secondaire,59,
2015/2016,Colombie-Britannique,25 à 29 ans,Collège,59,3.0
2015/2016,Colombie-Britannique,25 à 29 ans,Université,59,7.0
2015/2016,Yukon,15 à 19 ans,Total taux de participation,60,82.0
2015/2016,Yukon,15 à 19 ans,Primaire/Secondaire,60,59.0
2015/2016,Yukon,15 à 19 ans,Collège,60,12.0
2015/2016,Yukon,15 à 19 ans,Université,60,11.0
2015/2016,Yukon,20 à 24 ans,Total taux de participation,60,26.0
2015/2016,Yukon,20 à 24 ans,Primaire/Secondaire,60,
2015/2016,Yukon,20 à 24 ans,Collège,60,12.0
2015/2016,Yukon,20 à 24 ans,Université,60,13.0
2015/2016,Yukon,25 à 29 ans,Total taux de participation,60,
2015/2016,Yukon,25 à 29 ans,Primaire/Secondaire,60,
2015/2016,Yukon,25 à 29 ans,Collège,60,
2015/2016,Yukon,25 à 29 ans,Université,60,
2015/2016,Territoires du Nord-Ouest,15 à 19 ans,Total taux de participation,61,77.0
2015/2016,Territoires du Nord-Ouest,15 à 19 ans,Primaire/Secondaire,61,65.0
2015/2016,Territoires du Nord-Ouest,15 à 19 ans,Collège,61,
2015/2016,Territoires du Nord-Ouest,15 à 19 ans,Université,61,
2015/2016,Territoires du Nord-Ouest,20 à 24 ans,Total taux de participation,61,19.0
2015/2016,Territoires du Nord-Ouest,20 à 24 ans,Primaire/Secondaire,61,
2015/2016,Territoires du Nord-Ouest,20 à 24 ans,Collège,61,
2015/2016,Territoires du Nord-Ouest,20 à 24 ans,Université,61,14.0
2015/2016,Territoires du Nord-Ouest,25 à 29 ans,Total taux de participation,61,
2015/2016,Territoires du Nord-Ouest,25 à 29 ans,Primaire/Secondaire,61,
2015/2016,Territoires du Nord-Ouest,25 à 29 ans,Collège,61,
2015/2016,Territoires du Nord-Ouest,25 à 29 ans,Université,61,
2015/2016,Nunavut,15 à 19 ans,Total taux de participation,62,68.0
2015/2016,Nunavut,15 à 19 ans,Primaire/Secondaire,62,65.0
2015/2016,Nunavut,15 à 19 ans,Collège,62,
2015/2016,Nunavut,15 à 19 ans,Université,62,
2015/2016,Nunavut,20 à 24 ans,Total taux de participation,62,10.0
2015/2016,Nunavut,20 à 24 ans,Primaire/Secondaire,62,
2015/2016,Nunavut,20 à 24 ans,Collège,62,
2015/2016,Nunavut,20 à 24 ans,Université,62,
2015/2016,Nunavut,25 à 29 ans,Total taux de participation,62,
2015/2016,Nunavut,25 à 29 ans,Primaire/Secondaire,62,
2015/2016,Nunavut,25 à 29 ans,Collège,62,
2015/2016,Nunavut,25 à 29 ans,Université,62,
2016/2017,Canada,15 à 19 ans,Total taux de participation,,85.0
2016/2017,Canada,15 à 19 ans,Primaire/Secondaire,,59.0
2016/2017,Canada,15 à 19 ans,Collège,,13.0
2016/2017,Canada,15 à 19 ans,Université,,13.0
2016/2017,Canada,20 à 24 ans,Total taux de participation,,41.0
2016/2017,Canada,20 à 24 ans,Primaire/Secondaire,,2.0
2016/2017,Canada,20 à 24 ans,Collège,,12.0
2016/2017,Canada,20 à 24 ans,Université,,28.0
2016/2017,Canada,25 à 29 ans,Total taux de participation,,12.0
2016/2017,Canada,25 à 29 ans,Primaire/Secondaire,,0.0
2016/2017,Canada,25 à 29 ans,Collège,,4.0
2016/2017,Canada,25 à 29 ans,Université,,8.0
2016/2017,Terre-Neuve-et-Labrador,15 à 19 ans,Total taux de participation,10,84.0
2016/2017,Terre-Neuve-et-Labrador,15 à 19 ans,Primaire/Secondaire,10,61.0
2016/2017,Terre-Neuve-et-Labrador,15 à 19 ans,Collège,10,8.0
2016/2017,Terre-Neuve-et-Labrador,15 à 19 ans,Université,10,15.0
2016/2017,Terre-Neuve-et-Labrador,20 à 24 ans,Total taux de participation,10,35.0
2016/2017,Terre-Neuve-et-Labrador,20 à 24 ans,Primaire/Secondaire,10,
2016/2017,Terre-Neuve-et-Labrador,20 à 24 ans,Collège,10,12.0
2016/2017,Terre-Neuve-et-Labrador,20 à 24 ans,Université,10,23.0
2016/2017,Terre-Neuve-et-Labrador,25 à 29 ans,Total taux de participation,10,11.0
2016/2017,Terre-Neuve-et-Labrador,25 à 29 ans,Primaire/Secondaire,10,
2016/2017,Terre-Neuve-et-Labrador,25 à 29 ans,Collège,10,4.0
2016/2017,Terre-Neuve-et-Labrador,25 à 29 ans,Université,10,7.0
2016/2017,Île-du-Prince-Édouard,15 à 19 ans,Total taux de participation,11,83.0
2016/2017,Île-du-Prince-Édouard,15 à 19 ans,Primaire/Secondaire,11,62.0
2016/2017,Île-du-Prince-Édouard,15 à 19 ans,Collège,11,7.0
2016/2017,Île-du-Prince-Édouard,15 à 19 ans,Université,11,14.0
2016/2017,Île-du-Prince-Édouard,20 à 24 ans,Total taux de participation,11,37.0
2016/2017,Île-du-Prince-Édouard,20 à 24 ans,Primaire/Secondaire,11,
2016/2017,Île-du-Prince-Édouard,20 à 24 ans,Collège,11,9.0
2016/2017,Île-du-Prince-Édouard,20 à 24 ans,Université,11,28.0
2016/2017,Île-du-Prince-Édouard,25 à 29 ans,Total taux de participation,11,9.0
2016/2017,Île-du-Prince-Édouard,25 à 29 ans,Primaire/Secondaire,11,
2016/2017,Île-du-Prince-Édouard,25 à 29 ans,Collège,11,4.0
2016/2017,Île-du-Prince-Édouard,25 à 29 ans,Université,11,5.0
2016/2017,Nouvelle-Écosse,15 à 19 ans,Total taux de participation,12,85.0
2016/2017,Nouvelle-Écosse,15 à 19 ans,Primaire/Secondaire,12,62.0
2016/2017,Nouvelle-Écosse,15 à 19 ans,Collège,12,6.0
2016/2017,Nouvelle-Écosse,15 à 19 ans,Université,12,17.0
2016/2017,Nouvelle-Écosse,20 à 24 ans,Total taux de participation,12,37.0
2016/2017,Nouvelle-Écosse,20 à 24 ans,Primaire/Secondaire,12,1.0
2016/2017,Nouvelle-Écosse,20 à 24 ans,Collège,12,8.0
2016/2017,Nouvelle-Écosse,20 à 24 ans,Université,12,28.0
2016/2017,Nouvelle-Écosse,25 à 29 ans,Total taux de participation,12,11.0
2016/2017,Nouvelle-Écosse,25 à 29 ans,Primaire/Secondaire,12,
2016/2017,Nouvelle-Écosse,25 à 29 ans,Collège,12,3.0
2016/2017,Nouvelle-Écosse,25 à 29 ans,Université,12,8.0
2016/2017,Nouveau-Brunswick,15 à 19 ans,Total taux de participation,13,83.0
2016/2017,Nouveau-Brunswick,15 à 19 ans,Primaire/Secondaire,13,62.0
2016/2017,Nouveau-Brunswick,15 à 19 ans,Collège,13,7.0
