Year,Âge au décès,Sexe,Causes of death,Value
2015,15 à 19 ans,Hommes,Diseases of heart,0.3
2015,15 à 19 ans,Hommes,Influenza and pneumonia,0.6
2015,15 à 19 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 19 ans,Hommes,Chronic lower respiratory diseases,0.0
2015,15 à 19 ans,Femmes,Malignant neoplasms,2.4
2015,15 à 19 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,15 à 19 ans,Femmes,Diabetes mellitus,0.1
2015,15 à 19 ans,Femmes,Diseases of heart,0.5
2015,15 à 19 ans,Femmes,Influenza and pneumonia,0.1
2015,15 à 19 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,15 à 19 ans,Femmes,Chronic lower respiratory diseases,0.3
2015,20 à 24 ans,Les deux sexes,Malignant neoplasms,3.7
2015,20 à 24 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,20 à 24 ans,Les deux sexes,Diabetes mellitus,0.3
2015,20 à 24 ans,Les deux sexes,Diseases of heart,1.4
2015,20 à 24 ans,Les deux sexes,Influenza and pneumonia,0.3
2015,20 à 24 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,20 à 24 ans,Les deux sexes,Chronic lower respiratory diseases,0.1
2015,20 à 24 ans,Hommes,Malignant neoplasms,4.8
2015,20 à 24 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,20 à 24 ans,Hommes,Diabetes mellitus,0.4
2015,20 à 24 ans,Hommes,Diseases of heart,1.7
2015,20 à 24 ans,Hommes,Influenza and pneumonia,0.4
2015,20 à 24 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,20 à 24 ans,Hommes,Chronic lower respiratory diseases,0.2
2015,20 à 24 ans,Femmes,Malignant neoplasms,2.6
2015,20 à 24 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.0
2015,20 à 24 ans,Femmes,Diabetes mellitus,0.2
2015,20 à 24 ans,Femmes,Diseases of heart,1.1
2015,20 à 24 ans,Femmes,Influenza and pneumonia,0.2
2015,20 à 24 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,20 à 24 ans,Femmes,Chronic lower respiratory diseases,0.1
2015,25 à 34 ans,Les deux sexes,Malignant neoplasms,8.2
2015,25 à 34 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,25 à 34 ans,Les deux sexes,Diabetes mellitus,1.0
2015,25 à 34 ans,Les deux sexes,Diseases of heart,3.0
2015,25 à 34 ans,Les deux sexes,Influenza and pneumonia,0.4
2015,25 à 34 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 34 ans,Les deux sexes,Chronic lower respiratory diseases,0.2
2015,25 à 34 ans,Hommes,Malignant neoplasms,7.4
2015,25 à 34 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,25 à 34 ans,Hommes,Diabetes mellitus,1.4
2015,25 à 34 ans,Hommes,Diseases of heart,3.9
2015,25 à 34 ans,Hommes,Influenza and pneumonia,0.4
2015,25 à 34 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 34 ans,Hommes,Chronic lower respiratory diseases,0.2
2015,25 à 34 ans,Femmes,Malignant neoplasms,9.0
2015,25 à 34 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,25 à 34 ans,Femmes,Diabetes mellitus,0.7
2015,25 à 34 ans,Femmes,Diseases of heart,2.1
2015,25 à 34 ans,Femmes,Influenza and pneumonia,0.3
2015,25 à 34 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 34 ans,Femmes,Chronic lower respiratory diseases,0.2
2015,25 à 29 ans,Les deux sexes,Malignant neoplasms,5.4
2015,25 à 29 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,25 à 29 ans,Les deux sexes,Diabetes mellitus,1.3
2015,25 à 29 ans,Les deux sexes,Diseases of heart,2.5
2015,25 à 29 ans,Les deux sexes,Influenza and pneumonia,0.2
2015,25 à 29 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 29 ans,Les deux sexes,Chronic lower respiratory diseases,0.3
2015,25 à 29 ans,Hommes,Malignant neoplasms,4.7
2015,25 à 29 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2015,25 à 29 ans,Hommes,Diabetes mellitus,1.8
2015,25 à 29 ans,Hommes,Diseases of heart,3.2
2015,25 à 29 ans,Hommes,Influenza and pneumonia,0.3
2015,25 à 29 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 29 ans,Hommes,Chronic lower respiratory diseases,0.4
2015,25 à 29 ans,Femmes,Malignant neoplasms,6.2
2015,25 à 29 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,25 à 29 ans,Femmes,Diabetes mellitus,0.8
2015,25 à 29 ans,Femmes,Diseases of heart,1.9
2015,25 à 29 ans,Femmes,Influenza and pneumonia,0.1
2015,25 à 29 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,25 à 29 ans,Femmes,Chronic lower respiratory diseases,0.2
2015,30 à 34 ans,Les deux sexes,Malignant neoplasms,11.0
2015,30 à 34 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,30 à 34 ans,Les deux sexes,Diabetes mellitus,0.8
2015,30 à 34 ans,Les deux sexes,Diseases of heart,3.5
2015,30 à 34 ans,Les deux sexes,Influenza and pneumonia,0.6
2015,30 à 34 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,30 à 34 ans,Les deux sexes,Chronic lower respiratory diseases,0.1
2015,30 à 34 ans,Hommes,Malignant neoplasms,10.1
2015,30 à 34 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,30 à 34 ans,Hommes,Diabetes mellitus,1.0
2015,30 à 34 ans,Hommes,Diseases of heart,4.7
2015,30 à 34 ans,Hommes,Influenza and pneumonia,0.6
2015,30 à 34 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,30 à 34 ans,Hommes,Chronic lower respiratory diseases,0.0
2015,30 à 34 ans,Femmes,Malignant neoplasms,11.8
2015,30 à 34 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,30 à 34 ans,Femmes,Diabetes mellitus,0.6
2015,30 à 34 ans,Femmes,Diseases of heart,2.2
2015,30 à 34 ans,Femmes,Influenza and pneumonia,0.6
2015,30 à 34 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,30 à 34 ans,Femmes,Chronic lower respiratory diseases,0.2
2015,35 à 44 ans,Les deux sexes,Malignant neoplasms,23.6
2015,35 à 44 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,35 à 44 ans,Les deux sexes,Diabetes mellitus,2.2
2015,35 à 44 ans,Les deux sexes,Diseases of heart,9.7
2015,35 à 44 ans,Les deux sexes,Influenza and pneumonia,1.2
2015,35 à 44 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 44 ans,Les deux sexes,Chronic lower respiratory diseases,0.6
2015,35 à 44 ans,Hommes,Malignant neoplasms,19.7
2015,35 à 44 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,35 à 44 ans,Hommes,Diabetes mellitus,3.1
2015,35 à 44 ans,Hommes,Diseases of heart,14.1
2015,35 à 44 ans,Hommes,Influenza and pneumonia,1.4
2015,35 à 44 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 44 ans,Hommes,Chronic lower respiratory diseases,0.4
2015,35 à 44 ans,Femmes,Malignant neoplasms,27.4
2015,35 à 44 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2015,35 à 44 ans,Femmes,Diabetes mellitus,1.3
2015,35 à 44 ans,Femmes,Diseases of heart,5.3
2015,35 à 44 ans,Femmes,Influenza and pneumonia,1.0
2015,35 à 44 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 44 ans,Femmes,Chronic lower respiratory diseases,0.8
2015,35 à 39 ans,Les deux sexes,Malignant neoplasms,17.0
2015,35 à 39 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2015,35 à 39 ans,Les deux sexes,Diabetes mellitus,1.6
2015,35 à 39 ans,Les deux sexes,Diseases of heart,6.2
2015,35 à 39 ans,Les deux sexes,Influenza and pneumonia,0.9
2015,35 à 39 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 39 ans,Les deux sexes,Chronic lower respiratory diseases,0.7
2015,35 à 39 ans,Hommes,Malignant neoplasms,14.7
2015,35 à 39 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,35 à 39 ans,Hommes,Diabetes mellitus,2.1
2015,35 à 39 ans,Hommes,Diseases of heart,9.2
2015,35 à 39 ans,Hommes,Influenza and pneumonia,1.2
2015,35 à 39 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 39 ans,Hommes,Chronic lower respiratory diseases,0.4
2015,35 à 39 ans,Femmes,Malignant neoplasms,19.3
2015,35 à 39 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,35 à 39 ans,Femmes,Diabetes mellitus,1.1
2015,35 à 39 ans,Femmes,Diseases of heart,3.2
2015,35 à 39 ans,Femmes,Influenza and pneumonia,0.7
2015,35 à 39 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,35 à 39 ans,Femmes,Chronic lower respiratory diseases,0.9
2015,40 à 44 ans,Les deux sexes,Malignant neoplasms,30.3
2015,40 à 44 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,40 à 44 ans,Les deux sexes,Diabetes mellitus,2.8
2015,40 à 44 ans,Les deux sexes,Diseases of heart,13.3
2015,40 à 44 ans,Les deux sexes,Influenza and pneumonia,1.4
2015,40 à 44 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,40 à 44 ans,Les deux sexes,Chronic lower respiratory diseases,0.6
2015,40 à 44 ans,Hommes,Malignant neoplasms,24.8
2015,40 à 44 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,40 à 44 ans,Hommes,Diabetes mellitus,4.1
2015,40 à 44 ans,Hommes,Diseases of heart,19.2
2015,40 à 44 ans,Hommes,Influenza and pneumonia,1.5
2015,40 à 44 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,40 à 44 ans,Hommes,Chronic lower respiratory diseases,0.4
2015,40 à 44 ans,Femmes,Malignant neoplasms,35.8
2015,40 à 44 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,40 à 44 ans,Femmes,Diabetes mellitus,1.5
2015,40 à 44 ans,Femmes,Diseases of heart,7.5
2015,40 à 44 ans,Femmes,Influenza and pneumonia,1.3
2015,40 à 44 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,40 à 44 ans,Femmes,Chronic lower respiratory diseases,0.7
2015,45 à 54 ans,Les deux sexes,Malignant neoplasms,86.9
2015,45 à 54 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.9
2015,45 à 54 ans,Les deux sexes,Diabetes mellitus,6.3
2015,45 à 54 ans,Les deux sexes,Diseases of heart,35.9
2015,45 à 54 ans,Les deux sexes,Influenza and pneumonia,2.9
2015,45 à 54 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,45 à 54 ans,Les deux sexes,Chronic lower respiratory diseases,3.9
2015,45 à 54 ans,Hommes,Malignant neoplasms,80.2
2015,45 à 54 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2015,45 à 54 ans,Hommes,Diabetes mellitus,8.4
2015,45 à 54 ans,Hommes,Diseases of heart,55.0
2015,45 à 54 ans,Hommes,Influenza and pneumonia,3.0
2015,45 à 54 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,45 à 54 ans,Hommes,Chronic lower respiratory diseases,4.0
2015,45 à 54 ans,Femmes,Malignant neoplasms,93.6
2015,45 à 54 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.9
2015,45 à 54 ans,Femmes,Diabetes mellitus,4.1
2015,45 à 54 ans,Femmes,Diseases of heart,16.8
2015,45 à 54 ans,Femmes,Influenza and pneumonia,2.8
2015,45 à 54 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,45 à 54 ans,Femmes,Chronic lower respiratory diseases,3.9
2015,45 à 49 ans,Les deux sexes,Malignant neoplasms,56.8
2015,45 à 49 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,45 à 49 ans,Les deux sexes,Diabetes mellitus,4.6
2015,45 à 49 ans,Les deux sexes,Diseases of heart,23.8
2015,45 à 49 ans,Les deux sexes,Influenza and pneumonia,2.3
2015,45 à 49 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,45 à 49 ans,Les deux sexes,Chronic lower respiratory diseases,2.1
2015,45 à 49 ans,Hommes,Malignant neoplasms,50.7
2015,45 à 49 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,45 à 49 ans,Hommes,Diabetes mellitus,5.9
2015,45 à 49 ans,Hommes,Diseases of heart,37.3
2015,45 à 49 ans,Hommes,Influenza and pneumonia,2.8
2015,45 à 49 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,45 à 49 ans,Hommes,Chronic lower respiratory diseases,1.8
2015,45 à 49 ans,Femmes,Malignant neoplasms,62.9
2015,45 à 49 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2015,45 à 49 ans,Femmes,Diabetes mellitus,3.2
2015,45 à 49 ans,Femmes,Diseases of heart,10.4
2015,45 à 49 ans,Femmes,Influenza and pneumonia,1.9
2015,45 à 49 ans,Femmes,Acute bronchitis and bronchiolitis,0.1
2015,45 à 49 ans,Femmes,Chronic lower respiratory diseases,2.5
2015,50 à 54 ans,Les deux sexes,Malignant neoplasms,113.3
2015,50 à 54 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.1
2015,50 à 54 ans,Les deux sexes,Diabetes mellitus,7.7
2015,50 à 54 ans,Les deux sexes,Diseases of heart,46.6
2015,50 à 54 ans,Les deux sexes,Influenza and pneumonia,3.4
2015,50 à 54 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,50 à 54 ans,Les deux sexes,Chronic lower respiratory diseases,5.5
2015,50 à 54 ans,Hommes,Malignant neoplasms,106.1
2015,50 à 54 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.1
2015,50 à 54 ans,Hommes,Diabetes mellitus,10.5
2015,50 à 54 ans,Hommes,Diseases of heart,70.5
2015,50 à 54 ans,Hommes,Influenza and pneumonia,3.2
2015,50 à 54 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,50 à 54 ans,Hommes,Chronic lower respiratory diseases,5.8
2015,50 à 54 ans,Femmes,Malignant neoplasms,120.6
2015,50 à 54 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.1
2015,50 à 54 ans,Femmes,Diabetes mellitus,4.9
2015,50 à 54 ans,Femmes,Diseases of heart,22.5
2015,50 à 54 ans,Femmes,Influenza and pneumonia,3.6
2015,50 à 54 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,50 à 54 ans,Femmes,Chronic lower respiratory diseases,5.1
2015,55 à 64 ans,Les deux sexes,Malignant neoplasms,273.4
2015,55 à 64 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",2.6
2015,55 à 64 ans,Les deux sexes,Diabetes mellitus,16.9
2015,55 à 64 ans,Les deux sexes,Diseases of heart,101.1
2015,55 à 64 ans,Les deux sexes,Influenza and pneumonia,7.0
2015,55 à 64 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,55 à 64 ans,Les deux sexes,Chronic lower respiratory diseases,19.8
2015,55 à 64 ans,Hommes,Malignant neoplasms,287.7
2015,55 à 64 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",3.0
2015,55 à 64 ans,Hommes,Diabetes mellitus,22.3
2015,55 à 64 ans,Hommes,Diseases of heart,150.1
2015,55 à 64 ans,Hommes,Influenza and pneumonia,7.6
2015,55 à 64 ans,Hommes,Acute bronchitis and bronchiolitis,0.1
2015,55 à 64 ans,Hommes,Chronic lower respiratory diseases,22.3
2015,55 à 64 ans,Femmes,Malignant neoplasms,259.4
2015,55 à 64 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",2.2
2015,55 à 64 ans,Femmes,Diabetes mellitus,11.6
2015,55 à 64 ans,Femmes,Diseases of heart,52.7
