Year,Géographie,Sexe,Value
2017,Île-du-Prince-Édouard,Les deux sexes,11.3
2017,Île-du-Prince-Édouard,Hommes,16.3
2017,Île-du-Prince-Édouard,Femmes,6.5
2017,Nouvelle-Écosse,Les deux sexes,14.5
2017,Nouvelle-Écosse,Hommes,22.2
2017,Nouvelle-Écosse,Femmes,7.2
2017,Nouveau-Brunswick,Les deux sexes,13.0
2017,Nouveau-Brunswick,Hommes,21.4
2017,Nouveau-Brunswick,Femmes,4.9
2017,Québec,Les deux sexes,12.8
2017,Québec,Hommes,19.0
2017,Québec,Femmes,6.6
2017,Ontario,Les deux sexes,10.5
2017,Ontario,Hommes,15.6
2017,Ontario,Femmes,5.6
2017,Manitoba,Les deux sexes,15.5
2017,Manitoba,Hommes,20.6
2017,Manitoba,Femmes,10.5
2017,Saskatchewan,Les deux sexes,16.3
2017,Saskatchewan,Hommes,24.2
2017,Saskatchewan,Femmes,8.2
2017,Alberta,Les deux sexes,15.2
2017,Alberta,Hommes,23.6
2017,Alberta,Femmes,6.6
2017,Colombie-Britannique,Les deux sexes,10.4
2017,Colombie-Britannique,Hommes,15.9
2017,Colombie-Britannique,Femmes,5.0
2017,Yukon,Les deux sexes,
2017,Yukon,Hommes,
2017,Yukon,Femmes,
2017,Territoires du Nord-Ouest,Les deux sexes,15.6
2017,Territoires du Nord-Ouest,Hommes,30.3
2017,Territoires du Nord-Ouest,Femmes,0.0
2017,Nunavut,Les deux sexes,53.3
2017,Nunavut,Hommes,88.0
2017,Nunavut,Femmes,16.5
2018,Canada,Hommes,18.7
2018,Canada,Femmes,6.0
2018,Terre-Neuve-et-Labrador,Les deux sexes,13.7
2018,Terre-Neuve-et-Labrador,Hommes,23.1
2018,Terre-Neuve-et-Labrador,Femmes,4.5
2018,Île-du-Prince-Édouard,Les deux sexes,4.6
2018,Île-du-Prince-Édouard,Hommes,8.0
2018,Île-du-Prince-Édouard,Femmes,1.3
2018,Nouvelle-Écosse,Les deux sexes,12.8
2018,Nouvelle-Écosse,Hommes,20.9
2018,Nouvelle-Écosse,Femmes,5.1
2018,Nouveau-Brunswick,Les deux sexes,14.8
2018,Nouveau-Brunswick,Hommes,24.4
2018,Nouveau-Brunswick,Femmes,5.4
2018,Québec,Les deux sexes,13.0
2018,Québec,Hommes,19.7
2018,Québec,Femmes,6.4
2018,Ontario,Les deux sexes,10.8
2018,Ontario,Hommes,16.4
2018,Ontario,Femmes,5.3
2018,Manitoba,Les deux sexes,14.2
2018,Manitoba,Hommes,20.7
2018,Manitoba,Femmes,7.7
2018,Saskatchewan,Les deux sexes,19.9
2018,Saskatchewan,Hommes,29.9
2018,Saskatchewan,Femmes,9.7
2018,Alberta,Les deux sexes,14.4
2018,Alberta,Hommes,21.3
2018,Alberta,Femmes,7.5
2018,Colombie-Britannique,Les deux sexes,10.4
2018,Colombie-Britannique,Hommes,15.5
2018,Colombie-Britannique,Femmes,5.5
2018,Yukon,Les deux sexes,
2018,Yukon,Hommes,
2018,Yukon,Femmes,
2018,Territoires du Nord-Ouest,Les deux sexes,26.7
2018,Territoires du Nord-Ouest,Hommes,38.8
2018,Territoires du Nord-Ouest,Femmes,13.8
2018,Nunavut,Les deux sexes,62.9
2018,Nunavut,Hommes,112.3
2018,Nunavut,Femmes,10.8
2019,Canada,Hommes,18.4
2019,Canada,Femmes,5.8
2019,Terre-Neuve-et-Labrador,Les deux sexes,11.5
2019,Terre-Neuve-et-Labrador,Hommes,17.0
2019,Terre-Neuve-et-Labrador,Femmes,6.0
2019,Île-du-Prince-Édouard,Les deux sexes,11.4
2019,Île-du-Prince-Édouard,Hommes,19.3
2019,Île-du-Prince-Édouard,Femmes,3.8
2019,Nouvelle-Écosse,Les deux sexes,12.9
2019,Nouvelle-Écosse,Hommes,21.3
2019,Nouvelle-Écosse,Femmes,4.8
2019,Nouveau-Brunswick,Les deux sexes,10.2
2019,Nouveau-Brunswick,Hommes,15.1
2019,Nouveau-Brunswick,Femmes,5.3
2019,Québec,Les deux sexes,13.3
2019,Québec,Hommes,20.6
2019,Québec,Femmes,6.0
2019,Ontario,Les deux sexes,10.5
2019,Ontario,Hommes,15.9
2019,Ontario,Femmes,5.2
2019,Manitoba,Les deux sexes,15.7
2019,Manitoba,Hommes,23.1
2019,Manitoba,Femmes,8.3
2019,Saskatchewan,Les deux sexes,16.0
2019,Saskatchewan,Hommes,25.4
2019,Saskatchewan,Femmes,6.5
2019,Alberta,Les deux sexes,13.7
2019,Alberta,Hommes,20.7
2019,Alberta,Femmes,6.6
2019,Colombie-Britannique,Les deux sexes,10.8
2019,Colombie-Britannique,Hommes,16.4
2019,Colombie-Britannique,Femmes,5.2
2019,Yukon,Les deux sexes,
2019,Yukon,Hommes,
2019,Yukon,Femmes,
2019,Territoires du Nord-Ouest,Les deux sexes,17.8
2019,Territoires du Nord-Ouest,Hommes,17.3
2019,Territoires du Nord-Ouest,Femmes,18.3
2019,Nunavut,Les deux sexes,88.1
2019,Nunavut,Hommes,126.2
2019,Nunavut,Femmes,47.9
2020,Canada,Hommes,15.2
2020,Canada,Femmes,5.0
2020,Terre-Neuve-et-Labrador,Les deux sexes,11.1
2020,Terre-Neuve-et-Labrador,Hommes,17.9
2020,Terre-Neuve-et-Labrador,Femmes,4.6
2020,Île-du-Prince-Édouard,Les deux sexes,3.7
2020,Île-du-Prince-Édouard,Hommes,6.3
2020,Île-du-Prince-Édouard,Femmes,1.2
2020,Nouvelle-Écosse,Les deux sexes,11.0
2020,Nouvelle-Écosse,Hommes,18.3
2020,Nouvelle-Écosse,Femmes,4.0
2020,Nouveau-Brunswick,Les deux sexes,11.7
2020,Nouveau-Brunswick,Hommes,19.9
2020,Nouveau-Brunswick,Femmes,3.8
2020,Québec,Les deux sexes,10.6
2020,Québec,Hommes,16.1
2020,Québec,Femmes,5.2
2020,Ontario,Les deux sexes,8.9
2020,Ontario,Hommes,13.2
2020,Ontario,Femmes,4.7
2020,Manitoba,Les deux sexes,12.9
2020,Manitoba,Hommes,18.7
2020,Manitoba,Femmes,7.1
2020,Saskatchewan,Les deux sexes,15.6
2020,Saskatchewan,Hommes,23.4
2020,Saskatchewan,Femmes,7.7
2020,Alberta,Les deux sexes,13.3
2020,Alberta,Hommes,20.2
2020,Alberta,Femmes,6.4
2020,Colombie-Britannique,Les deux sexes,7.0
2020,Colombie-Britannique,Hommes,10.3
2020,Colombie-Britannique,Femmes,3.8
2020,Yukon,Les deux sexes,
2020,Yukon,Hommes,
2020,Yukon,Femmes,
2020,Territoires du Nord-Ouest,Les deux sexes,8.8
2020,Territoires du Nord-Ouest,Hommes,17.2
2020,Territoires du Nord-Ouest,Femmes,0.0
2020,Nunavut,Les deux sexes,76.6
2020,Nunavut,Hommes,110.0
2020,Nunavut,Femmes,41.7
