Year,Series,Units,Géographie,GeoCode,Value
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Ontario,35,76.48
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Manitoba,46,78.81
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Saskatchewan,47,75.77
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Alberta,48,82.62
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Colombie-Britannique,59,97.15
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Territoires du Nord-Ouest et Nunavut,,97.03
2017,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Yukon,60,96.35
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),,,84.67
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Terre-Neuve-et-Labrador,10,97.44
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Île-du-Prince-Édouard,11,97.79
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouvelle-Écosse,12,74.14
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouveau-Brunswick,13,91.39
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Québec,24,92.6
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Ontario,35,77.21
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Manitoba,46,79.23
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Saskatchewan,47,73.72
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Alberta,48,82.01
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Colombie-Britannique,59,98.21
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Territoires du Nord-Ouest et Nunavut,,96.85
2018,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Yukon,60,99.13
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),,,84.52
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Terre-Neuve-et-Labrador,10,97.42
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Île-du-Prince-Édouard,11,97.61
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouvelle-Écosse,12,72.9
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouveau-Brunswick,13,91.45
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Québec,24,92.7
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Ontario,35,76.98
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Manitoba,46,78.19
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Saskatchewan,47,76.1
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Alberta,48,81.64
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Colombie-Britannique,59,98.02
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Territoires du Nord-Ouest et Nunavut,,96.86
2019,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Yukon,60,99.84
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),,,83.33
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Terre-Neuve-et-Labrador,10,97.41
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Île-du-Prince-Édouard,11,98.04
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouvelle-Écosse,12,74.03
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouveau-Brunswick,13,91.67
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Québec,24,92.8
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Ontario,35,75.32
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Manitoba,46,76.51
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Saskatchewan,47,74.93
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Alberta,48,81.71
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Colombie-Britannique,59,93.54
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Territoires du Nord-Ouest et Nunavut,,96.76
2020,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Yukon,60,97.92
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),,,83.62
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Terre-Neuve-et-Labrador,10,97.4
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Île-du-Prince-Édouard,11,97.79
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouvelle-Écosse,12,73.51
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Nouveau-Brunswick,13,91.59
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Québec,24,92.9
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Ontario,35,75.89
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Manitoba,46,76.57
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Saskatchewan,47,76.96
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Alberta,48,81.76
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Colombie-Britannique,59,93.6
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Territoires du Nord-Ouest et Nunavut,,96.98
2021,"Proportion de la population active occupée admissible à l'indemnité d'accident du travail
",Pourcentage (%),Yukon,60,94.51
2015,"Portion de familles économiques qui reçoivent des prestations pour enfants
",Pourcentage (%),,,90.0
2018,"Portion de familles économiques qui reçoivent des prestations pour enfants
",Pourcentage (%),,,90.0
2017,"Ratio de chômeurs recevant des prestations
",Ratio,,,42.1
2018,"Ratio de chômeurs recevant des prestations
",Ratio,,,39.3
2017,"Proportion de chômeurs admissibles aux prestations d'assurance-emploi
",Pourcentage (%),,,84.3
2018,"Proportion de chômeurs admissibles aux prestations d'assurance-emploi
",Pourcentage (%),,,87.4
2017,"Proportion de personnes plus âgées recevant une pension
",Pourcentage (%),,,93.4
2018,"Proportion de personnes plus âgées recevant une pension
",Pourcentage (%),,,93.7
2017,"Pourcentage de mères d'enfants de 12 mois ou moins qui ont reçu des prestations de maternité ou parentales
",Pourcentage (%),,,70.6
2018,"Pourcentage de mères d'enfants de 12 mois ou moins qui ont reçu des prestations de maternité ou parentales
",Pourcentage (%),,,66.6
