Year,État matrimonial,Groupe d'âge,Géographie,Value
2006,Vivant en union libre,15 à 19 ans,Alberta,3.38
2006,Vivant en union libre,20 à 24 ans,Alberta,17.61
2006,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,2.79
2006,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,22.26
2006,Marié,15 à 19 ans,Colombie-Britannique,0.71
2006,Marié,20 à 24 ans,Colombie-Britannique,9.15
2006,Vivant en union libre,15 à 19 ans,Colombie-Britannique,2.08
2006,Vivant en union libre,20 à 24 ans,Colombie-Britannique,13.1
2006,Marié ou vivant en union libre,15 à 19 ans,Canada,2.91
2006,Marié ou vivant en union libre,20 à 24 ans,Canada,23.56
2006,Marié,15 à 19 ans,Canada,0.71
2006,Marié,20 à 24 ans,Canada,8.24
2006,Vivant en union libre,15 à 19 ans,Canada,2.2
2006,Vivant en union libre,20 à 24 ans,Canada,15.32
2006,Marié ou vivant en union libre,15 à 19 ans,Manitoba,3.37
2006,Marié ou vivant en union libre,20 à 24 ans,Manitoba,25.18
2006,Marié,15 à 19 ans,Manitoba,0.86
2006,Marié,20 à 24 ans,Manitoba,11.65
2006,Vivant en union libre,15 à 19 ans,Manitoba,2.52
2006,Vivant en union libre,20 à 24 ans,Manitoba,13.55
2006,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,3.12
2006,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,26.55
2006,Marié,15 à 19 ans,Nouveau-Brunswick,0.49
2006,Marié,20 à 24 ans,Nouveau-Brunswick,7.21
2006,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,2.6
2006,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,19.33
2006,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,1.94
2006,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,16.87
2006,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,0.42
2006,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,4.63
2006,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,1.49
2006,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,12.24
2006,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,5.68
2006,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,33.55
2006,Marié,15 à 19 ans,Territoires du Nord-Ouest,0.85
2006,Marié,20 à 24 ans,Territoires du Nord-Ouest,4.61
2006,Vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,4.55
2006,Vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,28.95
2006,Marié ou vivant en union libre,15 à 19 ans,Nouvelle-Écosse,2.45
2006,Marié ou vivant en union libre,20 à 24 ans,Nouvelle-Écosse,21.33
2006,Marié,15 à 19 ans,Nouvelle-Écosse,0.45
2006,Marié,20 à 24 ans,Nouvelle-Écosse,5.36
2006,Vivant en union libre,15 à 19 ans,Nouvelle-Écosse,1.98
2006,Vivant en union libre,20 à 24 ans,Nouvelle-Écosse,15.98
2006,Marié ou vivant en union libre,15 à 19 ans,Nunavut,11.55
2006,Marié ou vivant en union libre,20 à 24 ans,Nunavut,42.8
2006,Marié,15 à 19 ans,Nunavut,0.33
2006,Marié,20 à 24 ans,Nunavut,5.76
2006,Vivant en union libre,15 à 19 ans,Nunavut,10.89
2006,Vivant en union libre,20 à 24 ans,Nunavut,37.04
2006,Marié ou vivant en union libre,15 à 19 ans,Ontario,2.1
2006,Marié ou vivant en union libre,20 à 24 ans,Ontario,18.79
2006,Marié,15 à 19 ans,Ontario,0.76
2006,Marié,20 à 24 ans,Ontario,8.72
2006,Vivant en union libre,15 à 19 ans,Ontario,1.35
2006,Vivant en union libre,20 à 24 ans,Ontario,10.07
2006,Marié ou vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,2.13
2006,Marié ou vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,20.57
2006,Marié,15 à 19 ans,Île-du-Prince-Édouard,0.51
2006,Marié,20 à 24 ans,Île-du-Prince-Édouard,7.16
2006,Vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,1.62
2006,Vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,13.41
2006,Marié ou vivant en union libre,15 à 19 ans,Québec,3.49
2006,Marié ou vivant en union libre,20 à 24 ans,Québec,28.45
2006,Marié,15 à 19 ans,Québec,0.6
2006,Marié,20 à 24 ans,Québec,4.62
2006,Vivant en union libre,15 à 19 ans,Québec,2.89
2006,Vivant en union libre,20 à 24 ans,Québec,23.83
2006,Marié ou vivant en union libre,15 à 19 ans,Saskatchewan,3.96
2006,Marié ou vivant en union libre,20 à 24 ans,Saskatchewan,28.17
2006,Marié,15 à 19 ans,Saskatchewan,0.52
2006,Marié,20 à 24 ans,Saskatchewan,10.75
2006,Vivant en union libre,15 à 19 ans,Saskatchewan,3.44
2006,Vivant en union libre,20 à 24 ans,Saskatchewan,17.42
2006,Marié ou vivant en union libre,15 à 19 ans,Yukon,5.24
2006,Marié ou vivant en union libre,20 à 24 ans,Yukon,25.41
2006,Marié,15 à 19 ans,Yukon,0.48
2006,Marié,20 à 24 ans,Yukon,4.86
2006,Vivant en union libre,15 à 19 ans,Yukon,4.76
2006,Vivant en union libre,20 à 24 ans,Yukon,21.08
2011,Marié ou vivant en union libre,15 à 19 ans,Alberta,3.09
2011,Marié ou vivant en union libre,20 à 24 ans,Alberta,27.99
2011,Marié,15 à 19 ans,Alberta,0.49
2011,Marié,20 à 24 ans,Alberta,10.6
2011,Vivant en union libre,15 à 19 ans,Alberta,2.6
2011,Vivant en union libre,20 à 24 ans,Alberta,17.39
2011,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,2.08
2011,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,19.96
2011,Marié,15 à 19 ans,Colombie-Britannique,0.31
2011,Marié,20 à 24 ans,Colombie-Britannique,7.19
2011,Vivant en union libre,15 à 19 ans,Colombie-Britannique,1.77
2011,Vivant en union libre,20 à 24 ans,Colombie-Britannique,12.77
2011,Marié ou vivant en union libre,15 à 19 ans,Canada,2.22
2011,Marié ou vivant en union libre,20 à 24 ans,Canada,21.44
2011,Marié,15 à 19 ans,Canada,0.32
2011,Marié,20 à 24 ans,Canada,6.66
2011,Vivant en union libre,15 à 19 ans,Canada,1.9
2011,Vivant en union libre,20 à 24 ans,Canada,14.78
2011,Marié ou vivant en union libre,15 à 19 ans,Manitoba,2.75
2011,Marié ou vivant en union libre,20 à 24 ans,Manitoba,24.04
2011,Marié,15 à 19 ans,Manitoba,0.57
2011,Marié,20 à 24 ans,Manitoba,9.89
2011,Vivant en union libre,15 à 19 ans,Manitoba,2.18
2011,Vivant en union libre,20 à 24 ans,Manitoba,14.15
2011,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,3.03
2011,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,25.97
2011,Marié,15 à 19 ans,Nouveau-Brunswick,0.22
2011,Marié,20 à 24 ans,Nouveau-Brunswick,6.2
2011,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,2.81
2011,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,19.79
2011,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,2.05
2011,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,19.0
2011,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,0.1
2011,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,3.61
2011,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,1.94
2011,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,15.39
2011,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,4.0
2011,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,30.91
2011,Marié,15 à 19 ans,Territoires du Nord-Ouest,0.31
2011,Marié,20 à 24 ans,Territoires du Nord-Ouest,5.15
2011,Vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,3.69
2011,Vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,26.06
2011,Marié ou vivant en union libre,15 à 19 ans,Nouvelle-Écosse,2.15
2011,Marié ou vivant en union libre,20 à 24 ans,Nouvelle-Écosse,20.59
2011,Marié,15 à 19 ans,Nouvelle-Écosse,0.21
2011,Marié,20 à 24 ans,Nouvelle-Écosse,4.57
2011,Vivant en union libre,15 à 19 ans,Nouvelle-Écosse,1.93
2011,Vivant en union libre,20 à 24 ans,Nouvelle-Écosse,16.04
2011,Marié ou vivant en union libre,15 à 19 ans,Nunavut,9.52
2011,Marié ou vivant en union libre,20 à 24 ans,Nunavut,43.42
2011,Marié,15 à 19 ans,Nunavut,0.68
2011,Marié,20 à 24 ans,Nunavut,5.69
2011,Vivant en union libre,15 à 19 ans,Nunavut,9.18
2011,Vivant en union libre,20 à 24 ans,Nunavut,38.08
2011,Marié ou vivant en union libre,15 à 19 ans,Ontario,1.41
2011,Marié ou vivant en union libre,20 à 24 ans,Ontario,16.14
2011,Marié,15 à 19 ans,Ontario,0.29
2011,Marié,20 à 24 ans,Ontario,6.52
2011,Vivant en union libre,15 à 19 ans,Ontario,1.11
2011,Vivant en union libre,20 à 24 ans,Ontario,9.62
2011,Marié ou vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,2.01
2011,Marié ou vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,19.14
2011,Marié,15 à 19 ans,Île-du-Prince-Édouard,0.11
2011,Marié,20 à 24 ans,Île-du-Prince-Édouard,5.41
2011,Vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,1.91
2011,Vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,13.74
2011,Marié ou vivant en union libre,15 à 19 ans,Québec,2.93
2011,Marié ou vivant en union libre,20 à 24 ans,Québec,26.39
2011,Marié,15 à 19 ans,Québec,0.28
2011,Marié,20 à 24 ans,Québec,4.1
2011,Vivant en union libre,15 à 19 ans,Québec,2.65
2011,Vivant en union libre,20 à 24 ans,Québec,22.28
2011,Marié ou vivant en union libre,15 à 19 ans,Saskatchewan,3.28
2011,Marié ou vivant en union libre,20 à 24 ans,Saskatchewan,27.4
2011,Marié,15 à 19 ans,Saskatchewan,0.33
2011,Marié,20 à 24 ans,Saskatchewan,9.44
2011,Vivant en union libre,15 à 19 ans,Saskatchewan,2.97
2011,Vivant en union libre,20 à 24 ans,Saskatchewan,17.97
2011,Marié ou vivant en union libre,15 à 19 ans,Yukon,3.74
2011,Marié ou vivant en union libre,20 à 24 ans,Yukon,27.23
2011,Marié,15 à 19 ans,Yukon,0.47
2011,Marié,20 à 24 ans,Yukon,5.16
2011,Vivant en union libre,15 à 19 ans,Yukon,3.27
2011,Vivant en union libre,20 à 24 ans,Yukon,22.07
2016,Marié ou vivant en union libre,15 à 19 ans,Alberta,2.11
2016,Marié ou vivant en union libre,20 à 24 ans,Alberta,25.09
2016,Marié,15 à 19 ans,Alberta,0.33
2016,Marié,20 à 24 ans,Alberta,8.72
2016,Vivant en union libre,15 à 19 ans,Alberta,1.78
2016,Vivant en union libre,20 à 24 ans,Alberta,16.36
2016,Marié ou vivant en union libre,15 à 19 ans,Colombie-Britannique,1.57
2016,Marié ou vivant en union libre,20 à 24 ans,Colombie-Britannique,17.72
2016,Marié,15 à 19 ans,Colombie-Britannique,0.18
2016,Marié,20 à 24 ans,Colombie-Britannique,5.09
2016,Vivant en union libre,15 à 19 ans,Colombie-Britannique,1.39
2016,Vivant en union libre,20 à 24 ans,Colombie-Britannique,12.63
2016,Marié ou vivant en union libre,15 à 19 ans,Canada,1.66
2016,Marié ou vivant en union libre,20 à 24 ans,Canada,18.78
2016,Marié,15 à 19 ans,Canada,0.19
2016,Marié,20 à 24 ans,Canada,5.03
2016,Vivant en union libre,15 à 19 ans,Canada,1.47
2016,Vivant en union libre,20 à 24 ans,Canada,13.75
2016,Marié ou vivant en union libre,15 à 19 ans,Manitoba,2.06
2016,Marié ou vivant en union libre,20 à 24 ans,Manitoba,21.96
2016,Marié,15 à 19 ans,Manitoba,0.29
2016,Marié,20 à 24 ans,Manitoba,8.23
2016,Vivant en union libre,15 à 19 ans,Manitoba,1.75
2016,Vivant en union libre,20 à 24 ans,Manitoba,13.74
2016,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,2.59
2016,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,24.85
2016,Marié,15 à 19 ans,Nouveau-Brunswick,0.13
2016,Marié,20 à 24 ans,Nouveau-Brunswick,4.51
2016,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,2.46
2016,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,20.36
2016,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,1.85
2016,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,19.77
2016,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,0.08
2016,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,2.9
2016,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,1.73
2016,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,16.87
2016,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,2.68
2016,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,26.92
2016,Marié,15 à 19 ans,Territoires du Nord-Ouest,0.0
2016,Marié,20 à 24 ans,Territoires du Nord-Ouest,3.5
2016,Vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,2.68
2016,Vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,23.43
2016,Marié ou vivant en union libre,15 à 19 ans,Nouvelle-Écosse,1.92
2016,Marié ou vivant en union libre,20 à 24 ans,Nouvelle-Écosse,19.42
2016,Marié,15 à 19 ans,Nouvelle-Écosse,0.1
2016,Marié,20 à 24 ans,Nouvelle-Écosse,3.34
2016,Vivant en union libre,15 à 19 ans,Nouvelle-Écosse,1.78
2016,Vivant en union libre,20 à 24 ans,Nouvelle-Écosse,16.08
2016,Marié ou vivant en union libre,15 à 19 ans,Nunavut,11.04
2016,Marié ou vivant en union libre,20 à 24 ans,Nunavut,41.72
2016,Marié,15 à 19 ans,Nunavut,0.0
2016,Marié,20 à 24 ans,Nunavut,3.31
2016,Vivant en union libre,15 à 19 ans,Nunavut,11.04
2016,Vivant en union libre,20 à 24 ans,Nunavut,38.74
2016,Marié ou vivant en union libre,15 à 19 ans,Ontario,1.07
2016,Marié ou vivant en union libre,20 à 24 ans,Ontario,13.76
2016,Marié,15 à 19 ans,Ontario,0.18
2016,Marié,20 à 24 ans,Ontario,4.66
2016,Vivant en union libre,15 à 19 ans,Ontario,0.89
2016,Vivant en union libre,20 à 24 ans,Ontario,9.1
2016,Marié ou vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,1.78
2016,Marié ou vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,19.03
2016,Marié,15 à 19 ans,Île-du-Prince-Édouard,0.36
2016,Marié,20 à 24 ans,Île-du-Prince-Édouard,4.02
2016,Vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,1.43
2016,Vivant en union libre,20 à 24 ans,Île-du-Prince-Édouard,14.89
2016,Marié ou vivant en union libre,15 à 19 ans,Québec,2.14
2016,Marié ou vivant en union libre,20 à 24 ans,Québec,22.62
2016,Marié,15 à 19 ans,Québec,0.14
2016,Marié,20 à 24 ans,Québec,3.24
2016,Vivant en union libre,15 à 19 ans,Québec,2.0
2016,Vivant en union libre,20 à 24 ans,Québec,19.38
2016,Marié ou vivant en union libre,15 à 19 ans,Saskatchewan,2.73
2016,Marié ou vivant en union libre,20 à 24 ans,Saskatchewan,25.7
2016,Marié,15 à 19 ans,Saskatchewan,0.21
2016,Marié,20 à 24 ans,Saskatchewan,7.56
2016,Vivant en union libre,15 à 19 ans,Saskatchewan,2.5
2016,Vivant en union libre,20 à 24 ans,Saskatchewan,18.14
2016,Marié ou vivant en union libre,15 à 19 ans,Yukon,2.15
2016,Marié ou vivant en union libre,20 à 24 ans,Yukon,25.27
2016,Marié,15 à 19 ans,Yukon,0.54
2016,Marié,20 à 24 ans,Yukon,4.84
2016,Vivant en union libre,15 à 19 ans,Yukon,1.61
2016,Vivant en union libre,20 à 24 ans,Yukon,20.43
2021,Marié ou vivant en union libre,15 à 19 ans,Alberta,1.51
2021,Marié ou vivant en union libre,20 à 24 ans,Alberta,20.31
2021,Marié,15 à 19 ans,Alberta,0.25
2021,Marié,20 à 24 ans,Alberta,6.8
