Year,Units,Géographie,GeoCode,Value
2021,Par habitant,Nouveau-Brunswick,13,7.06
2021,Par habitant,Québec,24,8.78
2021,Par habitant,Ontario,35,8.5
2021,Par habitant,Manitoba,46,6.31
2021,Par habitant,Saskatchewan,47,6.2
2021,Par habitant,Alberta,48,7.86
2021,Par habitant,Colombie-Britannique,59,5.67
2021,Par habitant,Yukon,60,0.75
2021,Par habitant,Territoires du Nord-Ouest,61,0.44
2021,Par habitant,Nunavut,62,0.59
