Year,Industrie,Taille,Value
2020,Boissons,50-249 employés,0.9046377579397978
2020,Boissons,250 employés et plus,2.8229960541034065
2020,Boissons,All enterprises,4.171732540951028
2020,Textiles,1-9 employés,0.059233787976054
2020,Textiles,20-49 employés,0.2277371113457661
2020,Textiles,50-249 employés,0.6294599438001478
2020,Textiles,All enterprises,1.23357188836621
2020,"Produits du bois, à l’exclusion des meubles",1-9 employés,0.0492370393376424
2020,"Produits du bois, à l’exclusion des meubles",10-19 employés,0.0733906129485642
2020,"Produits du bois, à l’exclusion des meubles",20-49 employés,0.5193090001003191
2020,"Produits du bois, à l’exclusion des meubles",50-249 employés,4.925414104540464
2020,"Produits du bois, à l’exclusion des meubles",250 employés et plus,1.0342965292590929
2020,"Produits du bois, à l’exclusion des meubles",All enterprises,6.601647286186083
2020,Papier et produits du papier,1-9 employés,0.0083135001796045
2020,Papier et produits du papier,20-49 employés,0.1622995991630798
2020,Papier et produits du papier,50-249 employés,1.9611450048932515
2020,Papier et produits du papier,All enterprises,4.336986942540979
2020,Impression et reproduction de supports enregistrés,1-9 employés,0.0570941180156372
2020,Impression et reproduction de supports enregistrés,20-49 employés,0.1982122146056011
2020,Impression et reproduction de supports enregistrés,50-249 employés,0.985891696827218
2020,Impression et reproduction de supports enregistrés,All enterprises,1.82894977812642
2020,Coke et produits pétroliers raffinés,1-9 employés,0.3090725305550785
2020,Coke et produits pétroliers raffinés,10-19 employés,0.3791953279808997
2020,Coke et produits pétroliers raffinés,20-49 employés,1.283708659901508
2020,Coke et produits pétroliers raffinés,50-249 employés,5.53607633166718
2020,Coke et produits pétroliers raffinés,250 employés et plus,5.817639070126289
2020,Coke et produits pétroliers raffinés,All enterprises,13.325691920230955
2020,Produits en caoutchouc et en plastique,1-9 employés,0.0726715236756032
2020,Produits en caoutchouc et en plastique,10-19 employés,0.1522497234806161
2020,Produits en caoutchouc et en plastique,20-49 employés,0.5991717204263303
2020,Produits en caoutchouc et en plastique,50-249 employés,2.8548497861744115
2020,Produits en caoutchouc et en plastique,250 employés et plus,1.4739132410634852
2020,Produits en caoutchouc et en plastique,All enterprises,5.152855994820447
2020,Autres produits minéraux non métalliques,1-9 employés,0.1011513718651382
2020,Autres produits minéraux non métalliques,20-49 employés,0.5234821028175374
2020,Autres produits minéraux non métalliques,50-249 employés,1.9357578885197069
2020,Autres produits minéraux non métalliques,All enterprises,3.438114165365992
2020,Métaux de base,1-9 employés,0.0460804208371037
2020,Métaux de base,10-19 employés,0.0263188742253575
2020,Métaux de base,20-49 employés,0.1820528217218408
2020,Métaux de base,50-249 employés,1.1291824556687404
2020,Métaux de base,250 employés et plus,3.833309032332808
2020,Métaux de base,All enterprises,5.21694360478585
2020,"Ouvrages en métaux, à l’exception des machines",1-9 employés,0.1100102705812779
2020,"Ouvrages en métaux, à l’exception des machines",10-19 employés,0.1686381460128887
2020,"Ouvrages en métaux, à l’exception des machines",20-49 employés,0.8823715198250955
2020,"Ouvrages en métaux, à l’exception des machines",50-249 employés,4.723556250205938
2020,"Ouvrages en métaux, à l’exception des machines",250 employés et plus,2.2884180308679354
2020,"Ouvrages en métaux, à l’exception des machines",All enterprises,8.172994217493136
2020,"Produits informatiques, électroniques et optiques",1-9 employés,0.0254131775820285
2020,"Produits informatiques, électroniques et optiques",10-19 employés,0.05103381487811
2020,"Produits informatiques, électroniques et optiques",20-49 employés,0.199515794227823
2020,"Produits informatiques, électroniques et optiques",50-249 employés,1.464214541642734
2020,"Produits informatiques, électroniques et optiques",250 employés et plus,1.7149572459838618
2020,"Produits informatiques, électroniques et optiques",All enterprises,3.455134574314558
2020,Matériel électrique,1-9 employés,0.0193171721929049
2020,Matériel électrique,20-49 employés,0.2243127470638655
2020,Matériel électrique,50-249 employés,1.0081239042547163
2020,Matériel électrique,All enterprises,1.8793782587538288
2020,Machines et équipements n.c.a.,1-9 employés,0.1073023447075945
2020,Machines et équipements n.c.a.,10-19 employés,0.1249403164978855
2020,Machines et équipements n.c.a.,20-49 employés,0.6161133927824365
2020,Machines et équipements n.c.a.,50-249 employés,3.748867783165309
2020,Machines et équipements n.c.a.,250 employés et plus,2.622263622707385
2020,Machines et équipements n.c.a.,All enterprises,7.219487455639488
2020,"Véhicules automobiles, remorques et semi-remorques",1-9 employés,0.0345392817758882
2020,"Véhicules automobiles, remorques et semi-remorques",10-19 employés,0.0510013713328547
2020,"Véhicules automobiles, remorques et semi-remorques",20-49 employés,0.2759385405620254
2020,"Véhicules automobiles, remorques et semi-remorques",50-249 employés,1.99898259557868
2020,"Véhicules automobiles, remorques et semi-remorques",250 employés et plus,9.374934159991152
2020,"Véhicules automobiles, remorques et semi-remorques",All enterprises,11.7353959492406
2020,Mobilier,1-9 employés,0.0342207981056414
2020,Mobilier,10-19 employés,0.0532048393342537
2020,Mobilier,20-49 employés,0.25971794984856
2020,Mobilier,50-249 employés,1.460697945840689
2020,Mobilier,250 employés et plus,0.809242835951497
2020,Mobilier,All enterprises,2.617084369080641
2020,Autres industries manufacturières,1-9 employés,0.1351742162239287
2020,Autres industries manufacturières,10-19 employés,0.1075091374843393
2020,Autres industries manufacturières,20-49 employés,0.3976105898770921
2020,Autres industries manufacturières,50-249 employés,1.3216811703159237
2020,Autres industries manufacturières,250 employés et plus,0.8290173836196296
2020,Autres industries manufacturières,All enterprises,2.790992493299792
2020,Total de l’industrie manufacturière,1-9 employés,1.3469403655810943
2020,Total de l’industrie manufacturière,10-19 employés,2.173250055488762
2020,Total de l’industrie manufacturière,20-49 employés,8.103385459887
2020,Total de l’industrie manufacturière,50-249 employés,43.12264095304227
2020,Total de l’industrie manufacturière,250 employés et plus,45.25378316177975
