Year,Géographie,Gouvernement,Elected officials,Value
2019,Ontario,National,Parlement national,33.9
2020,Ontario,National,Parlement national,31.4
2021,Ontario,National,Parlement national,32.5
2022,Ontario,National,Parlement national,36.7
2015,Ontario,National,Cabinet fédéral,20.0
2016,Ontario,National,Cabinet fédéral,72.7
2017,Ontario,National,Cabinet fédéral,75.0
2018,Ontario,National,Cabinet fédéral,75.0
2019,Ontario,National,Cabinet fédéral,71.4
2020,Ontario,National,Cabinet fédéral,70.6
2021,Ontario,National,Cabinet fédéral,75.0
2022,Ontario,National,Cabinet fédéral,68.8
2015,Manitoba,National,Parlement national,35.7
2016,Manitoba,National,Parlement national,21.4
2017,Manitoba,National,Parlement national,21.4
2018,Manitoba,National,Parlement national,21.4
2019,Manitoba,National,Parlement national,21.4
2020,Manitoba,National,Parlement national,28.6
2021,Manitoba,National,Parlement national,28.6
2022,Manitoba,National,Parlement national,28.6
2015,Manitoba,National,Cabinet fédéral,100.0
2016,Manitoba,National,Cabinet fédéral,50.0
2017,Manitoba,National,Cabinet fédéral,0.0
2018,Manitoba,National,Cabinet fédéral,0.0
2019,Manitoba,National,Cabinet fédéral,0.0
2020,Manitoba,National,Cabinet fédéral,0.0
2021,Manitoba,National,Cabinet fédéral,0.0
2022,Manitoba,National,Cabinet fédéral,0.0
2015,Saskatchewan,National,Parlement national,14.3
2016,Saskatchewan,National,Parlement national,28.6
2017,Saskatchewan,National,Parlement national,28.6
2018,Saskatchewan,National,Parlement national,35.7
2019,Saskatchewan,National,Parlement national,35.7
2020,Saskatchewan,National,Parlement national,21.4
2021,Saskatchewan,National,Parlement national,21.4
2022,Saskatchewan,National,Parlement national,21.4
2015,Saskatchewan,National,Cabinet fédéral,50.0
2016,Saskatchewan,National,Cabinet fédéral,0.0
2017,Saskatchewan,National,Cabinet fédéral,0.0
2018,Saskatchewan,National,Cabinet fédéral,0.0
2019,Saskatchewan,National,Cabinet fédéral,0.0
2020,Saskatchewan,National,Cabinet fédéral,0.0
2021,Saskatchewan,National,Cabinet fédéral,0.0
2022,Saskatchewan,National,Cabinet fédéral,0.0
2015,Alberta,National,Parlement national,17.9
2016,Alberta,National,Parlement national,15.2
2017,Alberta,National,Parlement national,17.6
2018,Alberta,National,Parlement national,14.7
2019,Alberta,National,Parlement national,14.7
2020,Alberta,National,Parlement national,17.6
2021,Alberta,National,Parlement national,17.6
2022,Alberta,National,Parlement national,17.6
2015,Alberta,National,Cabinet fédéral,33.3
2016,Alberta,National,Cabinet fédéral,0.0
2017,Alberta,National,Cabinet fédéral,0.0
2018,Alberta,National,Cabinet fédéral,0.0
2019,Alberta,National,Cabinet fédéral,0.0
2020,Alberta,National,Cabinet fédéral,0.0
2021,Alberta,National,Cabinet fédéral,0.0
2022,Alberta,National,Cabinet fédéral,0.0
2015,Colombie-Britannique,National,Parlement national,30.6
2016,Colombie-Britannique,National,Parlement national,28.6
2017,Colombie-Britannique,National,Parlement national,28.6
2018,Colombie-Britannique,National,Parlement national,26.2
2019,Colombie-Britannique,National,Parlement national,24.4
2020,Colombie-Britannique,National,Parlement national,33.3
2021,Colombie-Britannique,National,Parlement national,33.3
2022,Colombie-Britannique,National,Parlement national,26.2
2015,Colombie-Britannique,National,Cabinet fédéral,40.0
2016,Colombie-Britannique,National,Cabinet fédéral,66.7
2017,Colombie-Britannique,National,Cabinet fédéral,66.7
2018,Colombie-Britannique,National,Cabinet fédéral,66.7
2019,Colombie-Britannique,National,Cabinet fédéral,50.0
2020,Colombie-Britannique,National,Cabinet fédéral,50.0
2021,Colombie-Britannique,National,Cabinet fédéral,50.0
2022,Colombie-Britannique,National,Cabinet fédéral,50.0
2015,Yukon,National,Parlement national,0.0
2016,Yukon,National,Parlement national,0.0
2017,Yukon,National,Parlement national,0.0
2018,Yukon,National,Parlement national,0.0
2019,Yukon,National,Parlement national,0.0
2020,Yukon,National,Parlement national,0.0
2021,Yukon,National,Parlement national,0.0
2022,Yukon,National,Parlement national,0.0
2015,Yukon,National,Cabinet fédéral,0.0
2016,Yukon,National,Cabinet fédéral,0.0
2017,Yukon,National,Cabinet fédéral,0.0
2018,Yukon,National,Cabinet fédéral,0.0
2019,Yukon,National,Cabinet fédéral,0.0
2020,Yukon,National,Cabinet fédéral,0.0
2021,Yukon,National,Cabinet fédéral,0.0
2022,Yukon,National,Cabinet fédéral,0.0
2015,Territoires du Nord-Ouest,National,Parlement national,0.0
2016,Territoires du Nord-Ouest,National,Parlement national,0.0
2017,Territoires du Nord-Ouest,National,Parlement national,0.0
2018,Territoires du Nord-Ouest,National,Parlement national,0.0
2019,Territoires du Nord-Ouest,National,Parlement national,0.0
2020,Territoires du Nord-Ouest,National,Parlement national,0.0
2021,Territoires du Nord-Ouest,National,Parlement national,0.0
2022,Territoires du Nord-Ouest,National,Parlement national,0.0
2015,Territoires du Nord-Ouest,National,Cabinet fédéral,0.0
2016,Territoires du Nord-Ouest,National,Cabinet fédéral,0.0
2017,Territoires du Nord-Ouest,National,Cabinet fédéral,0.0
2018,Territoires du Nord-Ouest,National,Cabinet fédéral,0.0
2019,Territoires du Nord-Ouest,National,Cabinet fédéral,0.0
2020,Territoires du Nord-Ouest,National,Cabinet fédéral,0.0
2021,Territoires du Nord-Ouest,National,Cabinet fédéral,0.0
2022,Territoires du Nord-Ouest,National,Cabinet fédéral,0.0
2015,Nunavut,National,Parlement national,100.0
2016,Nunavut,National,Parlement national,0.0
2017,Nunavut,National,Parlement national,0.0
2018,Nunavut,National,Parlement national,0.0
2019,Nunavut,National,Parlement national,0.0
2020,Nunavut,National,Parlement national,100.0
2021,Nunavut,National,Parlement national,100.0
2022,Nunavut,National,Parlement national,100.0
2015,Nunavut,National,Cabinet fédéral,100.0
2016,Nunavut,National,Cabinet fédéral,0.0
2017,Nunavut,National,Cabinet fédéral,0.0
2018,Nunavut,National,Cabinet fédéral,0.0
2019,Nunavut,National,Cabinet fédéral,0.0
2020,Nunavut,National,Cabinet fédéral,0.0
2021,Nunavut,National,Cabinet fédéral,0.0
2022,Nunavut,National,Cabinet fédéral,0.0
2015,Canada,Local,Chefs dans les communautés des Premières Nations,19.5
2015,Canada,Local,Membres de conseil des Premières Nations,30.5
2016,Canada,Local,Chefs dans les communautés des Premières Nations,19.7
2016,Canada,Local,Membres de conseil des Premières Nations,30.7
2017,Canada,Local,Chefs dans les communautés des Premières Nations,18.8
2017,Canada,Local,Membres de conseil des Premières Nations,28.6
2018,Canada,Local,Chefs dans les communautés des Premières Nations,20.4
2018,Canada,Local,Membres de conseil des Premières Nations,28.2
2019,Canada,Local,Chefs dans les communautés des Premières Nations,18.5
2019,Canada,Local,Membres de conseil des Premières Nations,27.4
