Year,Geography,Source,GeoCode,Value
2000,Ontario,Agriculture,35,11.0
2001,Ontario,Agriculture,35,10.8
2002,Ontario,Agriculture,35,11.0
2003,Ontario,Agriculture,35,11.4
2004,Ontario,Agriculture,35,11.2
2005,Ontario,Agriculture,35,10.9
2006,Ontario,Agriculture,35,10.9
2007,Ontario,Agriculture,35,10.7
2008,Ontario,Agriculture,35,10.3
2009,Ontario,Agriculture,35,10.3
2010,Ontario,Agriculture,35,10.6
2011,Ontario,Agriculture,35,11.0
2012,Ontario,Agriculture,35,11.0
2013,Ontario,Agriculture,35,11.4
2014,Ontario,Agriculture,35,10.7
2015,Ontario,Agriculture,35,11.0
2016,Ontario,Agriculture,35,11.5
2017,Ontario,Agriculture,35,11.4
2018,Ontario,Agriculture,35,11.5
2019,Ontario,Agriculture,35,11.9
2020,Ontario,Agriculture,35,12.3
2021,Ontario,Agriculture,35,12.1
1990,Ontario,Waste,35,6.6
1991,Ontario,Waste,35,6.8
1992,Ontario,Waste,35,6.7
1993,Ontario,Waste,35,6.9
1994,Ontario,Waste,35,6.9
1995,Ontario,Waste,35,7.0
1996,Ontario,Waste,35,6.6
1997,Ontario,Waste,35,6.4
1998,Ontario,Waste,35,6.3
1999,Ontario,Waste,35,6.4
2000,Ontario,Waste,35,6.6
2001,Ontario,Waste,35,6.5
2002,Ontario,Waste,35,6.8
2003,Ontario,Waste,35,6.8
2004,Ontario,Waste,35,6.8
2005,Ontario,Waste,35,7.0
2006,Ontario,Waste,35,6.9
2007,Ontario,Waste,35,6.8
2008,Ontario,Waste,35,6.9
2009,Ontario,Waste,35,6.6
2010,Ontario,Waste,35,6.1
2011,Ontario,Waste,35,6.3
2012,Ontario,Waste,35,6.6
2013,Ontario,Waste,35,6.8
2014,Ontario,Waste,35,6.6
2015,Ontario,Waste,35,6.5
2016,Ontario,Waste,35,5.7
2017,Ontario,Waste,35,6.0
2018,Ontario,Waste,35,6.1
2019,Ontario,Waste,35,6.1
2020,Ontario,Waste,35,6.0
2021,Ontario,Waste,35,6.1
1990,Ontario,Coal Production,35,0.0
1991,Ontario,Coal Production,35,0.0
1992,Ontario,Coal Production,35,0.0
1993,Ontario,Coal Production,35,0.0
1994,Ontario,Coal Production,35,0.0
1995,Ontario,Coal Production,35,0.0
1996,Ontario,Coal Production,35,0.0
1997,Ontario,Coal Production,35,0.0
1998,Ontario,Coal Production,35,0.0
1999,Ontario,Coal Production,35,0.0
2000,Ontario,Coal Production,35,0.0
2001,Ontario,Coal Production,35,0.0
2002,Ontario,Coal Production,35,0.0
2003,Ontario,Coal Production,35,0.0
2004,Ontario,Coal Production,35,0.0
2005,Ontario,Coal Production,35,0.0
2006,Ontario,Coal Production,35,0.0
2007,Ontario,Coal Production,35,0.0
2008,Ontario,Coal Production,35,0.0
2009,Ontario,Coal Production,35,0.0
2010,Ontario,Coal Production,35,0.0
2011,Ontario,Coal Production,35,0.0
2012,Ontario,Coal Production,35,0.0
2013,Ontario,Coal Production,35,0.0
2014,Ontario,Coal Production,35,0.0
2015,Ontario,Coal Production,35,0.0
2016,Ontario,Coal Production,35,0.0
2017,Ontario,Coal Production,35,0.0
2018,Ontario,Coal Production,35,0.0
2019,Ontario,Coal Production,35,0.0
2020,Ontario,Coal Production,35,0.0
2021,Ontario,Coal Production,35,0.0
1990,Ontario,"Light Manufacturing, Construction and Forest Resources",35,12.9
1991,Ontario,"Light Manufacturing, Construction and Forest Resources",35,12.5
1992,Ontario,"Light Manufacturing, Construction and Forest Resources",35,11.4
1993,Ontario,"Light Manufacturing, Construction and Forest Resources",35,11.0
1994,Ontario,"Light Manufacturing, Construction and Forest Resources",35,11.2
1995,Ontario,"Light Manufacturing, Construction and Forest Resources",35,11.6
1996,Ontario,"Light Manufacturing, Construction and Forest Resources",35,10.6
1997,Ontario,"Light Manufacturing, Construction and Forest Resources",35,11.0
1998,Ontario,"Light Manufacturing, Construction and Forest Resources",35,10.9
1999,Ontario,"Light Manufacturing, Construction and Forest Resources",35,10.6
2000,Ontario,"Light Manufacturing, Construction and Forest Resources",35,10.9
2001,Ontario,"Light Manufacturing, Construction and Forest Resources",35,10.2
2002,Ontario,"Light Manufacturing, Construction and Forest Resources",35,10.9
2003,Ontario,"Light Manufacturing, Construction and Forest Resources",35,11.5
2004,Ontario,"Light Manufacturing, Construction and Forest Resources",35,11.5
2005,Ontario,"Light Manufacturing, Construction and Forest Resources",35,11.5
2006,Ontario,"Light Manufacturing, Construction and Forest Resources",35,10.6
2007,Ontario,"Light Manufacturing, Construction and Forest Resources",35,10.7
2008,Ontario,"Light Manufacturing, Construction and Forest Resources",35,10.2
2009,Ontario,"Light Manufacturing, Construction and Forest Resources",35,8.6
2010,Ontario,"Light Manufacturing, Construction and Forest Resources",35,8.8
2011,Ontario,"Light Manufacturing, Construction and Forest Resources",35,9.2
2012,Ontario,"Light Manufacturing, Construction and Forest Resources",35,9.0
2013,Ontario,"Light Manufacturing, Construction and Forest Resources",35,8.9
2014,Ontario,"Light Manufacturing, Construction and Forest Resources",35,8.3
2015,Ontario,"Light Manufacturing, Construction and Forest Resources",35,9.1
2016,Ontario,"Light Manufacturing, Construction and Forest Resources",35,9.0
2017,Ontario,"Light Manufacturing, Construction and Forest Resources",35,9.6
2018,Ontario,"Light Manufacturing, Construction and Forest Resources",35,10.0
2019,Ontario,"Light Manufacturing, Construction and Forest Resources",35,9.8
2020,Ontario,"Light Manufacturing, Construction and Forest Resources",35,8.6
2021,Ontario,"Light Manufacturing, Construction and Forest Resources",35,8.8
1990,Manitoba,Provincial Inventory Total,46,18.0
1991,Manitoba,Provincial Inventory Total,46,17.7
1992,Manitoba,Provincial Inventory Total,46,18.0
1993,Manitoba,Provincial Inventory Total,46,18.1
1994,Manitoba,Provincial Inventory Total,46,18.6
1995,Manitoba,Provincial Inventory Total,46,19.3
1996,Manitoba,Provincial Inventory Total,46,20.0
1997,Manitoba,Provincial Inventory Total,46,19.8
1998,Manitoba,Provincial Inventory Total,46,20.4
1999,Manitoba,Provincial Inventory Total,46,20.2
2000,Manitoba,Provincial Inventory Total,46,20.7
2001,Manitoba,Provincial Inventory Total,46,19.4
2002,Manitoba,Provincial Inventory Total,46,20.1
2003,Manitoba,Provincial Inventory Total,46,20.5
2004,Manitoba,Provincial Inventory Total,46,20.7
2005,Manitoba,Provincial Inventory Total,46,20.3
2006,Manitoba,Provincial Inventory Total,46,20.7
2007,Manitoba,Provincial Inventory Total,46,21.0
2008,Manitoba,Provincial Inventory Total,46,21.0
2009,Manitoba,Provincial Inventory Total,46,19.4
2010,Manitoba,Provincial Inventory Total,46,19.0
2011,Manitoba,Provincial Inventory Total,46,19.0
2012,Manitoba,Provincial Inventory Total,46,20.5
2013,Manitoba,Provincial Inventory Total,46,21.0
2014,Manitoba,Provincial Inventory Total,46,21.0
2015,Manitoba,Provincial Inventory Total,46,20.7
2016,Manitoba,Provincial Inventory Total,46,20.9
2017,Manitoba,Provincial Inventory Total,46,21.4
2018,Manitoba,Provincial Inventory Total,46,22.2
2019,Manitoba,Provincial Inventory Total,46,21.9
2020,Manitoba,Provincial Inventory Total,46,21.2
2021,Manitoba,Provincial Inventory Total,46,20.7
1990,Manitoba,Oil and Gas,46,1.4
1991,Manitoba,Oil and Gas,46,1.6
1992,Manitoba,Oil and Gas,46,1.8
1993,Manitoba,Oil and Gas,46,1.9
1994,Manitoba,Oil and Gas,46,1.9
1995,Manitoba,Oil and Gas,46,1.9
1996,Manitoba,Oil and Gas,46,2.0
1997,Manitoba,Oil and Gas,46,1.9
1998,Manitoba,Oil and Gas,46,1.7
1999,Manitoba,Oil and Gas,46,1.7
2000,Manitoba,Oil and Gas,46,1.4
2001,Manitoba,Oil and Gas,46,1.0
2002,Manitoba,Oil and Gas,46,1.0
2003,Manitoba,Oil and Gas,46,0.8
2004,Manitoba,Oil and Gas,46,0.7
2005,Manitoba,Oil and Gas,46,0.9
2006,Manitoba,Oil and Gas,46,0.9
2007,Manitoba,Oil and Gas,46,0.8
2008,Manitoba,Oil and Gas,46,0.7
2009,Manitoba,Oil and Gas,46,0.6
2010,Manitoba,Oil and Gas,46,0.5
2011,Manitoba,Oil and Gas,46,0.7
2012,Manitoba,Oil and Gas,46,0.7
2013,Manitoba,Oil and Gas,46,0.9
2014,Manitoba,Oil and Gas,46,1.0
2015,Manitoba,Oil and Gas,46,1.0
2016,Manitoba,Oil and Gas,46,0.9
2017,Manitoba,Oil and Gas,46,0.8
2018,Manitoba,Oil and Gas,46,1.0
2019,Manitoba,Oil and Gas,46,0.9
2020,Manitoba,Oil and Gas,46,0.8
2021,Manitoba,Oil and Gas,46,0.9
1990,Manitoba,Electricity,46,0.5
1991,Manitoba,Electricity,46,0.4
1992,Manitoba,Electricity,46,0.4
1993,Manitoba,Electricity,46,0.3
1994,Manitoba,Electricity,46,0.3
1995,Manitoba,Electricity,46,0.2
1996,Manitoba,Electricity,46,0.3
1997,Manitoba,Electricity,46,0.3
1998,Manitoba,Electricity,46,1.0
1999,Manitoba,Electricity,46,0.6
2000,Manitoba,Electricity,46,1.1
2001,Manitoba,Electricity,46,0.6
2002,Manitoba,Electricity,46,0.5
2003,Manitoba,Electricity,46,0.8
2004,Manitoba,Electricity,46,0.6
2005,Manitoba,Electricity,46,0.4
2006,Manitoba,Electricity,46,0.4
2007,Manitoba,Electricity,46,0.5
2008,Manitoba,Electricity,46,0.4
2009,Manitoba,Electricity,46,0.2
2010,Manitoba,Electricity,46,0.1
2011,Manitoba,Electricity,46,0.1
2012,Manitoba,Electricity,46,0.1
2013,Manitoba,Electricity,46,0.1
2014,Manitoba,Electricity,46,0.1
2015,Manitoba,Electricity,46,0.1
2016,Manitoba,Electricity,46,0.1
2017,Manitoba,Electricity,46,0.1
2018,Manitoba,Electricity,46,0.0
2019,Manitoba,Electricity,46,0.0
2020,Manitoba,Electricity,46,0.0
2021,Manitoba,Electricity,46,0.1
1990,Manitoba,Transport,46,5.0
1991,Manitoba,Transport,46,4.9
1992,Manitoba,Transport,46,4.9
1993,Manitoba,Transport,46,4.9
1994,Manitoba,Transport,46,5.2
1995,Manitoba,Transport,46,5.3
1996,Manitoba,Transport,46,5.3
1997,Manitoba,Transport,46,5.3
1998,Manitoba,Transport,46,5.3
1999,Manitoba,Transport,46,5.4
2000,Manitoba,Transport,46,5.4
2001,Manitoba,Transport,46,5.4
2002,Manitoba,Transport,46,5.5
2003,Manitoba,Transport,46,5.7
2004,Manitoba,Transport,46,5.8
2005,Manitoba,Transport,46,5.7
2006,Manitoba,Transport,46,5.9
2007,Manitoba,Transport,46,6.3
2008,Manitoba,Transport,46,5.9
2009,Manitoba,Transport,46,5.8
2010,Manitoba,Transport,46,6.0
2011,Manitoba,Transport,46,6.0
2012,Manitoba,Transport,46,6.9
2013,Manitoba,Transport,46,6.7
2014,Manitoba,Transport,46,6.7
2015,Manitoba,Transport,46,6.3
2016,Manitoba,Transport,46,6.4
2017,Manitoba,Transport,46,6.5
2018,Manitoba,Transport,46,6.9
2019,Manitoba,Transport,46,6.8
2020,Manitoba,Transport,46,5.9
2021,Manitoba,Transport,46,6.1
1990,Manitoba,Heavy Industry,46,1.4
1991,Manitoba,Heavy Industry,46,1.3
1992,Manitoba,Heavy Industry,46,1.2
1993,Manitoba,Heavy Industry,46,1.2
1994,Manitoba,Heavy Industry,46,1.0
1995,Manitoba,Heavy Industry,46,1.1
1996,Manitoba,Heavy Industry,46,1.3
1997,Manitoba,Heavy Industry,46,1.2
1998,Manitoba,Heavy Industry,46,1.4
1999,Manitoba,Heavy Industry,46,1.5
2000,Manitoba,Heavy Industry,46,1.4
2001,Manitoba,Heavy Industry,46,1.4
2002,Manitoba,Heavy Industry,46,1.4
2003,Manitoba,Heavy Industry,46,1.4
2004,Manitoba,Heavy Industry,46,1.4
2005,Manitoba,Heavy Industry,46,1.6
2006,Manitoba,Heavy Industry,46,1.6
2007,Manitoba,Heavy Industry,46,1.7
2008,Manitoba,Heavy Industry,46,1.7
2009,Manitoba,Heavy Industry,46,1.6
2010,Manitoba,Heavy Industry,46,1.3
2011,Manitoba,Heavy Industry,46,1.3
2012,Manitoba,Heavy Industry,46,1.2
2013,Manitoba,Heavy Industry,46,1.4
2014,Manitoba,Heavy Industry,46,1.3
2015,Manitoba,Heavy Industry,46,1.3
2016,Manitoba,Heavy Industry,46,1.4
2017,Manitoba,Heavy Industry,46,1.3
2018,Manitoba,Heavy Industry,46,1.4
2019,Manitoba,Heavy Industry,46,1.3
2020,Manitoba,Heavy Industry,46,1.3
2021,Manitoba,Heavy Industry,46,1.3
1990,Manitoba,Buildings,46,3.1
1991,Manitoba,Buildings,46,3.0
1992,Manitoba,Buildings,46,3.0
1993,Manitoba,Buildings,46,3.1
1994,Manitoba,Buildings,46,2.9
1995,Manitoba,Buildings,46,3.1
1996,Manitoba,Buildings,46,3.4
1997,Manitoba,Buildings,46,3.2
1998,Manitoba,Buildings,46,2.9
1999,Manitoba,Buildings,46,2.9
2000,Manitoba,Buildings,46,3.2
2001,Manitoba,Buildings,46,2.9
2002,Manitoba,Buildings,46,3.1
2003,Manitoba,Buildings,46,2.9
2004,Manitoba,Buildings,46,3.0
2005,Manitoba,Buildings,46,2.7
2006,Manitoba,Buildings,46,2.4
2007,Manitoba,Buildings,46,2.6
2008,Manitoba,Buildings,46,2.8
2009,Manitoba,Buildings,46,2.6
2010,Manitoba,Buildings,46,2.6
2011,Manitoba,Buildings,46,2.6
2012,Manitoba,Buildings,46,2.5
2013,Manitoba,Buildings,46,2.9
2014,Manitoba,Buildings,46,3.0
2015,Manitoba,Buildings,46,2.7
2016,Manitoba,Buildings,46,2.7
2017,Manitoba,Buildings,46,2.9
2018,Manitoba,Buildings,46,3.2
2019,Manitoba,Buildings,46,3.2
2020,Manitoba,Buildings,46,3.0
2021,Manitoba,Buildings,46,2.9
1990,Manitoba,Agriculture,46,4.9
1991,Manitoba,Agriculture,46,5.0
1992,Manitoba,Agriculture,46,5.3
1993,Manitoba,Agriculture,46,5.4
1994,Manitoba,Agriculture,46,5.8
1995,Manitoba,Agriculture,46,5.9
1996,Manitoba,Agriculture,46,6.2
1997,Manitoba,Agriculture,46,6.3
1998,Manitoba,Agriculture,46,6.4
1999,Manitoba,Agriculture,46,6.2
2000,Manitoba,Agriculture,46,6.4
2001,Manitoba,Agriculture,46,6.3
2002,Manitoba,Agriculture,46,6.6
2003,Manitoba,Agriculture,46,6.9
2004,Manitoba,Agriculture,46,7.0
2005,Manitoba,Agriculture,46,6.8
2006,Manitoba,Agriculture,46,7.2
2007,Manitoba,Agriculture,46,6.8
2008,Manitoba,Agriculture,46,7.1
2009,Manitoba,Agriculture,46,6.4
2010,Manitoba,Agriculture,46,6.3
2011,Manitoba,Agriculture,46,6.0
2012,Manitoba,Agriculture,46,6.7
2013,Manitoba,Agriculture,46,6.9
2014,Manitoba,Agriculture,46,6.6
2015,Manitoba,Agriculture,46,6.8
2016,Manitoba,Agriculture,46,7.0
2017,Manitoba,Agriculture,46,7.3
2018,Manitoba,Agriculture,46,7.5
2019,Manitoba,Agriculture,46,7.4
2020,Manitoba,Agriculture,46,7.8
2021,Manitoba,Agriculture,46,7.3
1990,Manitoba,Waste,46,0.8
1991,Manitoba,Waste,46,0.8
1992,Manitoba,Waste,46,0.9
1993,Manitoba,Waste,46,0.9
1994,Manitoba,Waste,46,0.9
1995,Manitoba,Waste,46,0.9
1996,Manitoba,Waste,46,1.0
1997,Manitoba,Waste,46,1.0
1998,Manitoba,Waste,46,1.0
1999,Manitoba,Waste,46,1.1
2000,Manitoba,Waste,46,1.1
2001,Manitoba,Waste,46,1.1
2002,Manitoba,Waste,46,1.1
2003,Manitoba,Waste,46,1.1
2004,Manitoba,Waste,46,1.1
2005,Manitoba,Waste,46,1.2
2006,Manitoba,Waste,46,1.2
2007,Manitoba,Waste,46,1.2
2008,Manitoba,Waste,46,1.2
2009,Manitoba,Waste,46,1.2
2010,Manitoba,Waste,46,1.2
2011,Manitoba,Waste,46,1.3
2012,Manitoba,Waste,46,1.3
2013,Manitoba,Waste,46,1.2
2014,Manitoba,Waste,46,1.2
2015,Manitoba,Waste,46,1.2
2016,Manitoba,Waste,46,1.2
2017,Manitoba,Waste,46,1.2
2018,Manitoba,Waste,46,1.2
2019,Manitoba,Waste,46,1.1
2020,Manitoba,Waste,46,1.2
2021,Manitoba,Waste,46,1.2
1990,Manitoba,Coal Production,46,0.0
1991,Manitoba,Coal Production,46,0.0
1992,Manitoba,Coal Production,46,0.0
1993,Manitoba,Coal Production,46,0.0
1994,Manitoba,Coal Production,46,0.0
1995,Manitoba,Coal Production,46,0.0
1996,Manitoba,Coal Production,46,0.0
1997,Manitoba,Coal Production,46,0.0
1998,Manitoba,Coal Production,46,0.0
1999,Manitoba,Coal Production,46,0.0
2000,Manitoba,Coal Production,46,0.0
2001,Manitoba,Coal Production,46,0.0
2002,Manitoba,Coal Production,46,0.0
2003,Manitoba,Coal Production,46,0.0
2004,Manitoba,Coal Production,46,0.0
2005,Manitoba,Coal Production,46,0.0
2006,Manitoba,Coal Production,46,0.0
2007,Manitoba,Coal Production,46,0.0
2008,Manitoba,Coal Production,46,0.0
2009,Manitoba,Coal Production,46,0.0
2010,Manitoba,Coal Production,46,0.0
2011,Manitoba,Coal Production,46,0.0
2012,Manitoba,Coal Production,46,0.0
2013,Manitoba,Coal Production,46,0.0
2014,Manitoba,Coal Production,46,0.0
2015,Manitoba,Coal Production,46,0.0
2016,Manitoba,Coal Production,46,0.0
2017,Manitoba,Coal Production,46,0.0
2018,Manitoba,Coal Production,46,0.0
2019,Manitoba,Coal Production,46,0.0
2020,Manitoba,Coal Production,46,0.0
2021,Manitoba,Coal Production,46,0.0
1990,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.8
1991,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.7
1992,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.6
1993,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.5
1994,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.7
1995,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.7
1996,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.6
1997,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.7
1998,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.7
1999,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.8
2000,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.8
2001,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.8
2002,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.0
2003,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.8
2004,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.0
2005,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.0
2006,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.0
2007,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.1
2008,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.1
2009,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.9
2010,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.9
2011,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,0.9
2012,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.1
2013,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.0
2014,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.0
2015,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.2
2016,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.2
2017,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.4
2018,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.1
2019,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.1
2020,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.1
2021,Manitoba,"Light Manufacturing, Construction and Forest Resources",46,1.0
1990,Saskatchewan,Provincial Inventory Total,47,42.5
1991,Saskatchewan,Provincial Inventory Total,47,44.0
1992,Saskatchewan,Provincial Inventory Total,47,49.4
1993,Saskatchewan,Provincial Inventory Total,47,52.5
1994,Saskatchewan,Provincial Inventory Total,47,55.8
1995,Saskatchewan,Provincial Inventory Total,47,58.0
1996,Saskatchewan,Provincial Inventory Total,47,60.7
1997,Saskatchewan,Provincial Inventory Total,47,63.2
1998,Saskatchewan,Provincial Inventory Total,47,63.0
1999,Saskatchewan,Provincial Inventory Total,47,63.5
2000,Saskatchewan,Provincial Inventory Total,47,65.3
2001,Saskatchewan,Provincial Inventory Total,47,64.5
2002,Saskatchewan,Provincial Inventory Total,47,65.5
2003,Saskatchewan,Provincial Inventory Total,47,67.2
2004,Saskatchewan,Provincial Inventory Total,47,68.8
2005,Saskatchewan,Provincial Inventory Total,47,67.8
2006,Saskatchewan,Provincial Inventory Total,47,67.2
2007,Saskatchewan,Provincial Inventory Total,47,69.6
2008,Saskatchewan,Provincial Inventory Total,47,69.9
2009,Saskatchewan,Provincial Inventory Total,47,68.7
2010,Saskatchewan,Provincial Inventory Total,47,68.3
2011,Saskatchewan,Provincial Inventory Total,47,68.0
2012,Saskatchewan,Provincial Inventory Total,47,71.3
2013,Saskatchewan,Provincial Inventory Total,47,72.9
2014,Saskatchewan,Provincial Inventory Total,47,75.0
2015,Saskatchewan,Provincial Inventory Total,47,76.9
2016,Saskatchewan,Provincial Inventory Total,47,73.5
2017,Saskatchewan,Provincial Inventory Total,47,76.0
2018,Saskatchewan,Provincial Inventory Total,47,77.1
2019,Saskatchewan,Provincial Inventory Total,47,74.8
2020,Saskatchewan,Provincial Inventory Total,47,65.1
2021,Saskatchewan,Provincial Inventory Total,47,67.1
1990,Saskatchewan,Oil and Gas,47,11.1
1991,Saskatchewan,Oil and Gas,47,11.5
1992,Saskatchewan,Oil and Gas,47,14.3
1993,Saskatchewan,Oil and Gas,47,16.7
1994,Saskatchewan,Oil and Gas,47,17.7
1995,Saskatchewan,Oil and Gas,47,19.2
1996,Saskatchewan,Oil and Gas,47,20.1
1997,Saskatchewan,Oil and Gas,47,22.5
1998,Saskatchewan,Oil and Gas,47,22.7
1999,Saskatchewan,Oil and Gas,47,23.1
2000,Saskatchewan,Oil and Gas,47,25.5
2001,Saskatchewan,Oil and Gas,47,24.9
2002,Saskatchewan,Oil and Gas,47,25.2
2003,Saskatchewan,Oil and Gas,47,25.3
2004,Saskatchewan,Oil and Gas,47,25.8
2005,Saskatchewan,Oil and Gas,47,25.5
2006,Saskatchewan,Oil and Gas,47,25.1
2007,Saskatchewan,Oil and Gas,47,25.7
2008,Saskatchewan,Oil and Gas,47,24.6
2009,Saskatchewan,Oil and Gas,47,23.5
2010,Saskatchewan,Oil and Gas,47,23.0
2011,Saskatchewan,Oil and Gas,47,22.9
2012,Saskatchewan,Oil and Gas,47,24.1
2013,Saskatchewan,Oil and Gas,47,25.1
2014,Saskatchewan,Oil and Gas,47,27.5
2015,Saskatchewan,Oil and Gas,47,27.8
2016,Saskatchewan,Oil and Gas,47,24.6
2017,Saskatchewan,Oil and Gas,47,25.0
2018,Saskatchewan,Oil and Gas,47,24.5
2019,Saskatchewan,Oil and Gas,47,23.4
2020,Saskatchewan,Oil and Gas,47,16.7
2021,Saskatchewan,Oil and Gas,47,16.6
1990,Saskatchewan,Electricity,47,11.1
1991,Saskatchewan,Electricity,47,11.3
1992,Saskatchewan,Electricity,47,12.8
1993,Saskatchewan,Electricity,47,13.0
1994,Saskatchewan,Electricity,47,13.8
1995,Saskatchewan,Electricity,47,14.3
1996,Saskatchewan,Electricity,47,14.3
1997,Saskatchewan,Electricity,47,15.0
1998,Saskatchewan,Electricity,47,15.2
1999,Saskatchewan,Electricity,47,14.8
2000,Saskatchewan,Electricity,47,13.8
2001,Saskatchewan,Electricity,47,14.3
2002,Saskatchewan,Electricity,47,14.1
2003,Saskatchewan,Electricity,47,15.0
2004,Saskatchewan,Electricity,47,15.6
2005,Saskatchewan,Electricity,47,14.3
2006,Saskatchewan,Electricity,47,13.9
2007,Saskatchewan,Electricity,47,14.4
2008,Saskatchewan,Electricity,47,14.1
2009,Saskatchewan,Electricity,47,15.0
2010,Saskatchewan,Electricity,47,14.9
2011,Saskatchewan,Electricity,47,14.2
2012,Saskatchewan,Electricity,47,14.7
2013,Saskatchewan,Electricity,47,13.6
2014,Saskatchewan,Electricity,47,13.8
2015,Saskatchewan,Electricity,47,14.8
2016,Saskatchewan,Electricity,47,14.7
2017,Saskatchewan,Electricity,47,15.3
2018,Saskatchewan,Electricity,47,14.9
2019,Saskatchewan,Electricity,47,14.8
2020,Saskatchewan,Electricity,47,12.6
2021,Saskatchewan,Electricity,47,15.2
1990,Saskatchewan,Transport,47,4.9
1991,Saskatchewan,Transport,47,5.3
1992,Saskatchewan,Transport,47,5.4
1993,Saskatchewan,Transport,47,5.5
1994,Saskatchewan,Transport,47,5.8
1995,Saskatchewan,Transport,47,5.7
1996,Saskatchewan,Transport,47,5.8
1997,Saskatchewan,Transport,47,5.8
1998,Saskatchewan,Transport,47,5.7
1999,Saskatchewan,Transport,47,5.9
2000,Saskatchewan,Transport,47,6.1
2001,Saskatchewan,Transport,47,6.1
2002,Saskatchewan,Transport,47,6.6
2003,Saskatchewan,Transport,47,6.9
2004,Saskatchewan,Transport,47,6.9
2005,Saskatchewan,Transport,47,7.0
2006,Saskatchewan,Transport,47,7.6
2007,Saskatchewan,Transport,47,8.1
2008,Saskatchewan,Transport,47,8.7
2009,Saskatchewan,Transport,47,9.3
2010,Saskatchewan,Transport,47,9.5
2011,Saskatchewan,Transport,47,8.8
2012,Saskatchewan,Transport,47,9.7
2013,Saskatchewan,Transport,47,10.5
2014,Saskatchewan,Transport,47,9.9
2015,Saskatchewan,Transport,47,10.2
2016,Saskatchewan,Transport,47,9.8
2017,Saskatchewan,Transport,47,10.0
2018,Saskatchewan,Transport,47,10.1
2019,Saskatchewan,Transport,47,9.8
2020,Saskatchewan,Transport,47,8.8
2021,Saskatchewan,Transport,47,9.1
1990,Saskatchewan,Heavy Industry,47,1.7
1991,Saskatchewan,Heavy Industry,47,1.7
1992,Saskatchewan,Heavy Industry,47,1.5
1993,Saskatchewan,Heavy Industry,47,2.3
1994,Saskatchewan,Heavy Industry,47,2.8
1995,Saskatchewan,Heavy Industry,47,2.8
1996,Saskatchewan,Heavy Industry,47,2.8
1997,Saskatchewan,Heavy Industry,47,2.7
1998,Saskatchewan,Heavy Industry,47,2.6
1999,Saskatchewan,Heavy Industry,47,2.6
2000,Saskatchewan,Heavy Industry,47,2.5
2001,Saskatchewan,Heavy Industry,47,2.5
2002,Saskatchewan,Heavy Industry,47,2.5
2003,Saskatchewan,Heavy Industry,47,2.5
2004,Saskatchewan,Heavy Industry,47,2.5
2005,Saskatchewan,Heavy Industry,47,2.3
2006,Saskatchewan,Heavy Industry,47,2.4
2007,Saskatchewan,Heavy Industry,47,3.0
2008,Saskatchewan,Heavy Industry,47,3.5
2009,Saskatchewan,Heavy Industry,47,2.5
2010,Saskatchewan,Heavy Industry,47,3.0
2011,Saskatchewan,Heavy Industry,47,4.0
2012,Saskatchewan,Heavy Industry,47,4.0
2013,Saskatchewan,Heavy Industry,47,3.8
2014,Saskatchewan,Heavy Industry,47,3.5
2015,Saskatchewan,Heavy Industry,47,3.5
2016,Saskatchewan,Heavy Industry,47,3.4
2017,Saskatchewan,Heavy Industry,47,3.8
2018,Saskatchewan,Heavy Industry,47,4.7
2019,Saskatchewan,Heavy Industry,47,3.8
2020,Saskatchewan,Heavy Industry,47,4.3
2021,Saskatchewan,Heavy Industry,47,4.1
1990,Saskatchewan,Buildings,47,3.2
