Year,Geography,Graduation rate,Gender,GeoCode,Value
2016/2017,Alberta,Extended-time,Male,48,82.0
2016/2017,Alberta,Extended-time,Female,48,86.0
2016/2017,British Columbia,On-time,Total,59,81.0
2016/2017,British Columbia,On-time,Male,59,79.0
2016/2017,British Columbia,On-time,Female,59,83.0
2016/2017,British Columbia,Extended-time,Total,59,88.0
2016/2017,British Columbia,Extended-time,Male,59,86.0
2016/2017,British Columbia,Extended-time,Female,59,90.0
2016/2017,Northwest Territories,On-time,Total,61,54.0
2016/2017,Northwest Territories,On-time,Male,61,52.0
2016/2017,Northwest Territories,On-time,Female,61,54.0
2016/2017,Northwest Territories,Extended-time,Total,61,
2016/2017,Northwest Territories,Extended-time,Male,61,
2016/2017,Northwest Territories,Extended-time,Female,61,
2016/2017,Nunavut,On-time,Total,62,47.0
2016/2017,Nunavut,On-time,Male,62,44.0
2016/2017,Nunavut,On-time,Female,62,50.0
2016/2017,Nunavut,Extended-time,Total,62,
2016/2017,Nunavut,Extended-time,Male,62,
2016/2017,Nunavut,Extended-time,Female,62,
2017/2018,Newfoundland and Labrador,On-time,Total,10,88.0
2017/2018,Newfoundland and Labrador,On-time,Male,10,86.0
2017/2018,Newfoundland and Labrador,On-time,Female,10,89.0
2017/2018,Newfoundland and Labrador,Extended-time,Total,10,92.0
2017/2018,Newfoundland and Labrador,Extended-time,Male,10,92.0
2017/2018,Newfoundland and Labrador,Extended-time,Female,10,93.0
2017/2018,Prince Edward Island,On-time,Total,11,87.0
2017/2018,Prince Edward Island,On-time,Male,11,84.0
2017/2018,Prince Edward Island,On-time,Female,11,91.0
2017/2018,Prince Edward Island,Extended-time,Total,11,89.0
2017/2018,Prince Edward Island,Extended-time,Male,11,86.0
2017/2018,Prince Edward Island,Extended-time,Female,11,92.0
2017/2018,Nova Scotia,On-time,Total,12,87.0
2017/2018,Nova Scotia,On-time,Male,12,86.0
2017/2018,Nova Scotia,On-time,Female,12,88.0
2017/2018,Nova Scotia,Extended-time,Total,12,90.0
2017/2018,Nova Scotia,Extended-time,Male,12,88.0
2017/2018,Nova Scotia,Extended-time,Female,12,92.0
2017/2018,New Brunswick,On-time,Total,13,86.0
2017/2018,New Brunswick,On-time,Male,13,83.0
2017/2018,New Brunswick,On-time,Female,13,89.0
2017/2018,New Brunswick,Extended-time,Total,13,90.0
2017/2018,New Brunswick,Extended-time,Male,13,88.0
2017/2018,New Brunswick,Extended-time,Female,13,92.0
2017/2018,Quebec,On-time,Total,24,75.0
2017/2018,Quebec,On-time,Male,24,70.0
2017/2018,Quebec,On-time,Female,24,81.0
2017/2018,Quebec,Extended-time,Total,24,84.0
2017/2018,Quebec,Extended-time,Male,24,80.0
2017/2018,Quebec,Extended-time,Female,24,88.0
2017/2018,Ontario,On-time,Total,35,82.0
2017/2018,Ontario,On-time,Male,35,79.0
2017/2018,Ontario,On-time,Female,35,86.0
2017/2018,Ontario,Extended-time,Total,35,91.0
2017/2018,Ontario,Extended-time,Male,35,89.0
2017/2018,Ontario,Extended-time,Female,35,94.0
2017/2018,Manitoba,On-time,Total,46,83.0
2017/2018,Manitoba,On-time,Male,46,80.0
2017/2018,Manitoba,On-time,Female,46,85.0
2017/2018,Manitoba,Extended-time,Total,46,87.0
2017/2018,Manitoba,Extended-time,Male,46,85.0
2017/2018,Manitoba,Extended-time,Female,46,89.0
2017/2018,Saskatchewan,On-time,Total,47,79.0
2017/2018,Saskatchewan,On-time,Male,47,76.0
2017/2018,Saskatchewan,On-time,Female,47,82.0
2017/2018,Saskatchewan,Extended-time,Total,47,84.0
2017/2018,Saskatchewan,Extended-time,Male,47,82.0
2017/2018,Saskatchewan,Extended-time,Female,47,86.0
2017/2018,Alberta,On-time,Total,48,80.0
2017/2018,Alberta,On-time,Male,48,78.0
2017/2018,Alberta,On-time,Female,48,82.0
2017/2018,Alberta,Extended-time,Total,48,86.0
2017/2018,Alberta,Extended-time,Male,48,84.0
2017/2018,Alberta,Extended-time,Female,48,88.0
2017/2018,British Columbia,On-time,Total,59,81.0
2017/2018,British Columbia,On-time,Male,59,78.0
2017/2018,British Columbia,On-time,Female,59,83.0
2017/2018,British Columbia,Extended-time,Total,59,88.0
2017/2018,British Columbia,Extended-time,Male,59,86.0
2017/2018,British Columbia,Extended-time,Female,59,90.0
2017/2018,Northwest Territories,On-time,Total,61,51.0
2017/2018,Northwest Territories,On-time,Male,61,45.0
2017/2018,Northwest Territories,On-time,Female,61,58.0
2017/2018,Northwest Territories,Extended-time,Total,61,
2017/2018,Northwest Territories,Extended-time,Male,61,
2017/2018,Northwest Territories,Extended-time,Female,61,
2017/2018,Nunavut,On-time,Total,62,
2017/2018,Nunavut,On-time,Male,62,
2017/2018,Nunavut,On-time,Female,62,
2017/2018,Nunavut,Extended-time,Total,62,
2017/2018,Nunavut,Extended-time,Male,62,
2017/2018,Nunavut,Extended-time,Female,62,
2018/2019,Newfoundland and Labrador,On-time,Total,10,89.0
2018/2019,Newfoundland and Labrador,On-time,Male,10,87.0
2018/2019,Newfoundland and Labrador,On-time,Female,10,91.0
2018/2019,Newfoundland and Labrador,Extended-time,Total,10,92.0
2018/2019,Newfoundland and Labrador,Extended-time,Male,10,90.0
2018/2019,Newfoundland and Labrador,Extended-time,Female,10,93.0
2018/2019,Prince Edward Island,On-time,Total,11,89.0
2018/2019,Prince Edward Island,On-time,Male,11,88.0
2018/2019,Prince Edward Island,On-time,Female,11,90.0
2018/2019,Prince Edward Island,Extended-time,Total,11,91.0
2018/2019,Prince Edward Island,Extended-time,Male,11,89.0
2018/2019,Prince Edward Island,Extended-time,Female,11,92.0
2018/2019,Nova Scotia,On-time,Total,12,86.0
2018/2019,Nova Scotia,On-time,Male,12,86.0
2018/2019,Nova Scotia,On-time,Female,12,87.0
2018/2019,Nova Scotia,Extended-time,Total,12,90.0
2018/2019,Nova Scotia,Extended-time,Male,12,89.0
2018/2019,Nova Scotia,Extended-time,Female,12,92.0
2018/2019,New Brunswick,On-time,Total,13,85.0
2018/2019,New Brunswick,On-time,Male,13,83.0
2018/2019,New Brunswick,On-time,Female,13,88.0
2018/2019,New Brunswick,Extended-time,Total,13,89.0
2018/2019,New Brunswick,Extended-time,Male,13,88.0
2018/2019,New Brunswick,Extended-time,Female,13,90.0
2018/2019,Quebec,On-time,Total,24,75.0
2018/2019,Quebec,On-time,Male,24,69.0
2018/2019,Quebec,On-time,Female,24,81.0
2018/2019,Quebec,Extended-time,Total,24,84.0
2018/2019,Quebec,Extended-time,Male,24,79.0
2018/2019,Quebec,Extended-time,Female,24,88.0
2018/2019,Ontario,On-time,Total,35,83.0
2018/2019,Ontario,On-time,Male,35,80.0
2018/2019,Ontario,On-time,Female,35,87.0
2018/2019,Ontario,Extended-time,Total,35,92.0
2018/2019,Ontario,Extended-time,Male,35,90.0
2018/2019,Ontario,Extended-time,Female,35,94.0
2018/2019,Manitoba,On-time,Total,46,82.0
2018/2019,Manitoba,On-time,Male,46,79.0
2018/2019,Manitoba,On-time,Female,46,86.0
2018/2019,Manitoba,Extended-time,Total,46,88.0
2018/2019,Manitoba,Extended-time,Male,46,86.0
2018/2019,Manitoba,Extended-time,Female,46,90.0
2018/2019,Saskatchewan,On-time,Total,47,80.0
2018/2019,Saskatchewan,On-time,Male,47,77.0
2018/2019,Saskatchewan,On-time,Female,47,82.0
2018/2019,Saskatchewan,Extended-time,Total,47,86.0
2018/2019,Saskatchewan,Extended-time,Male,47,84.0
2018/2019,Saskatchewan,Extended-time,Female,47,88.0
2018/2019,Alberta,On-time,Total,48,80.0
2018/2019,Alberta,On-time,Male,48,78.0
2018/2019,Alberta,On-time,Female,48,83.0
2018/2019,Alberta,Extended-time,Total,48,86.0
2018/2019,Alberta,Extended-time,Male,48,84.0
2018/2019,Alberta,Extended-time,Female,48,88.0
2018/2019,British Columbia,On-time,Total,59,81.0
2018/2019,British Columbia,On-time,Male,59,79.0
2018/2019,British Columbia,On-time,Female,59,84.0
2018/2019,British Columbia,Extended-time,Total,59,89.0
2018/2019,British Columbia,Extended-time,Male,59,87.0
2018/2019,British Columbia,Extended-time,Female,59,90.0
2018/2019,Northwest Territories,On-time,Total,61,49.0
2018/2019,Northwest Territories,On-time,Male,61,42.0
2018/2019,Northwest Territories,On-time,Female,61,56.0
2018/2019,Northwest Territories,Extended-time,Total,61,
2018/2019,Northwest Territories,Extended-time,Male,61,
2018/2019,Northwest Territories,Extended-time,Female,61,
2018/2019,Nunavut,On-time,Total,62,
2018/2019,Nunavut,On-time,Male,62,
2018/2019,Nunavut,On-time,Female,62,
2018/2019,Nunavut,Extended-time,Total,62,
2018/2019,Nunavut,Extended-time,Male,62,
2018/2019,Nunavut,Extended-time,Female,62,
2019/2020,Newfoundland and Labrador,On-time,Total,10,94.0
2019/2020,Newfoundland and Labrador,On-time,Male,10,94.0
2019/2020,Newfoundland and Labrador,On-time,Female,10,95.0
2019/2020,Newfoundland and Labrador,Extended-time,Total,10,92.0
2019/2020,Newfoundland and Labrador,Extended-time,Male,10,90.0
2019/2020,Newfoundland and Labrador,Extended-time,Female,10,94.0
2019/2020,Prince Edward Island,On-time,Total,11,92.0
2019/2020,Prince Edward Island,On-time,Male,11,90.0
2019/2020,Prince Edward Island,On-time,Female,11,94.0
2019/2020,Prince Edward Island,Extended-time,Total,11,91.0
2019/2020,Prince Edward Island,Extended-time,Male,11,89.0
2019/2020,Prince Edward Island,Extended-time,Female,11,94.0
2019/2020,Nova Scotia,On-time,Total,12,92.0
2019/2020,Nova Scotia,On-time,Male,12,91.0
2019/2020,Nova Scotia,On-time,Female,12,93.0
2019/2020,Nova Scotia,Extended-time,Total,12,91.0
2019/2020,Nova Scotia,Extended-time,Male,12,90.0
2019/2020,Nova Scotia,Extended-time,Female,12,92.0
2019/2020,New Brunswick,On-time,Total,13,87.0
2019/2020,New Brunswick,On-time,Male,13,86.0
2019/2020,New Brunswick,On-time,Female,13,89.0
2019/2020,New Brunswick,Extended-time,Total,13,89.0
2019/2020,New Brunswick,Extended-time,Male,13,88.0
2019/2020,New Brunswick,Extended-time,Female,13,91.0
2019/2020,Quebec,On-time,Total,24,79.0
2019/2020,Quebec,On-time,Male,24,74.0
2019/2020,Quebec,On-time,Female,24,84.0
2019/2020,Quebec,Extended-time,Total,24,83.0
2019/2020,Quebec,Extended-time,Male,24,80.0
2019/2020,Quebec,Extended-time,Female,24,87.0
2019/2020,Ontario,On-time,Total,35,86.0
2019/2020,Ontario,On-time,Male,35,83.0
2019/2020,Ontario,On-time,Female,35,89.0
2019/2020,Ontario,Extended-time,Total,35,92.0
2019/2020,Ontario,Extended-time,Male,35,90.0
2019/2020,Ontario,Extended-time,Female,35,94.0
2019/2020,Manitoba,On-time,Total,46,82.0
2019/2020,Manitoba,On-time,Male,46,80.0
2019/2020,Manitoba,On-time,Female,46,84.0
2019/2020,Manitoba,Extended-time,Total,46,87.0
2019/2020,Manitoba,Extended-time,Male,46,86.0
2019/2020,Manitoba,Extended-time,Female,46,89.0
2019/2020,Saskatchewan,On-time,Total,47,85.0
2019/2020,Saskatchewan,On-time,Male,47,83.0
2019/2020,Saskatchewan,On-time,Female,47,87.0
2019/2020,Saskatchewan,Extended-time,Total,47,88.0
2019/2020,Saskatchewan,Extended-time,Male,47,85.0
2019/2020,Saskatchewan,Extended-time,Female,47,90.0
2019/2020,Alberta,On-time,Total,48,84.0
2019/2020,Alberta,On-time,Male,48,82.0
2019/2020,Alberta,On-time,Female,48,87.0
2019/2020,Alberta,Extended-time,Total,48,87.0
2019/2020,Alberta,Extended-time,Male,48,85.0
2019/2020,Alberta,Extended-time,Female,48,89.0
2019/2020,British Columbia,On-time,Total,59,84.0
2019/2020,British Columbia,On-time,Male,59,82.0
2019/2020,British Columbia,On-time,Female,59,85.0
2019/2020,British Columbia,Extended-time,Total,59,89.0
2019/2020,British Columbia,Extended-time,Male,59,87.0
2019/2020,British Columbia,Extended-time,Female,59,91.0
2019/2020,Northwest Territories,On-time,Total,61,46.0
2019/2020,Northwest Territories,On-time,Male,61,40.0
2019/2020,Northwest Territories,On-time,Female,61,46.0
2019/2020,Northwest Territories,Extended-time,Total,61,
2019/2020,Northwest Territories,Extended-time,Male,61,
2019/2020,Northwest Territories,Extended-time,Female,61,
2019/2020,Nunavut,On-time,Total,62,
2019/2020,Nunavut,On-time,Male,62,
2019/2020,Nunavut,On-time,Female,62,
2019/2020,Nunavut,Extended-time,Total,62,
2019/2020,Nunavut,Extended-time,Male,62,
2019/2020,Nunavut,Extended-time,Female,62,
2020/2021,Newfoundland and Labrador,On-time,Total,10,89.0
2020/2021,Newfoundland and Labrador,On-time,Male,10,87.0
2020/2021,Newfoundland and Labrador,On-time,Female,10,91.0
2020/2021,Newfoundland and Labrador,Extended-time,Total,10,94.0
2020/2021,Newfoundland and Labrador,Extended-time,Male,10,93.0
2020/2021,Newfoundland and Labrador,Extended-time,Female,10,96.0
2020/2021,Prince Edward Island,On-time,Total,11,92.0
2020/2021,Prince Edward Island,On-time,Male,11,93.0
2020/2021,Prince Edward Island,On-time,Female,11,92.0
2020/2021,Prince Edward Island,Extended-time,Total,11,93.0
2020/2021,Prince Edward Island,Extended-time,Male,11,93.0
2020/2021,Prince Edward Island,Extended-time,Female,11,93.0
2020/2021,Nova Scotia,On-time,Total,12,87.0
2020/2021,Nova Scotia,On-time,Male,12,86.0
2020/2021,Nova Scotia,On-time,Female,12,88.0
2020/2021,Nova Scotia,Extended-time,Total,12,92.0
2020/2021,Nova Scotia,Extended-time,Male,12,92.0
2020/2021,Nova Scotia,Extended-time,Female,12,92.0
2020/2021,New Brunswick,On-time,Total,13,87.0
2020/2021,New Brunswick,On-time,Male,13,87.0
2020/2021,New Brunswick,On-time,Female,13,87.0
2020/2021,New Brunswick,Extended-time,Total,13,87.0
2020/2021,New Brunswick,Extended-time,Male,13,84.0
2020/2021,New Brunswick,Extended-time,Female,13,89.0
2020/2021,Quebec,On-time,Total,24,80.0
2020/2021,Quebec,On-time,Male,24,75.0
2020/2021,Quebec,On-time,Female,24,86.0
2020/2021,Quebec,Extended-time,Total,24,83.0
2020/2021,Quebec,Extended-time,Male,24,79.0
2020/2021,Quebec,Extended-time,Female,24,88.0
2020/2021,Ontario,On-time,Total,35,85.0
2020/2021,Ontario,On-time,Male,35,82.0
2020/2021,Ontario,On-time,Female,35,88.0
2020/2021,Ontario,Extended-time,Total,35,93.0
2020/2021,Ontario,Extended-time,Male,35,91.0
2020/2021,Ontario,Extended-time,Female,35,94.0
2020/2021,Manitoba,On-time,Total,46,85.0
2020/2021,Manitoba,On-time,Male,46,83.0
2020/2021,Manitoba,On-time,Female,46,87.0
2020/2021,Manitoba,Extended-time,Total,46,89.0
2020/2021,Manitoba,Extended-time,Male,46,87.0
2020/2021,Manitoba,Extended-time,Female,46,91.0
2020/2021,Saskatchewan,On-time,Total,47,83.0
2020/2021,Saskatchewan,On-time,Male,47,82.0
2020/2021,Saskatchewan,On-time,Female,47,84.0
2020/2021,Saskatchewan,Extended-time,Total,47,89.0
2020/2021,Saskatchewan,Extended-time,Male,47,87.0
2020/2021,Saskatchewan,Extended-time,Female,47,92.0
2020/2021,Alberta,On-time,Total,48,84.0
2020/2021,Alberta,On-time,Male,48,82.0
2020/2021,Alberta,On-time,Female,48,86.0
2020/2021,Alberta,Extended-time,Total,48,88.0
2020/2021,Alberta,Extended-time,Male,48,86.0
2020/2021,Alberta,Extended-time,Female,48,90.0
2020/2021,British Columbia,On-time,Total,59,83.0
2020/2021,British Columbia,On-time,Male,59,82.0
2020/2021,British Columbia,On-time,Female,59,84.0
2020/2021,British Columbia,Extended-time,Total,59,89.0
2020/2021,British Columbia,Extended-time,Male,59,88.0
2020/2021,British Columbia,Extended-time,Female,59,91.0
2020/2021,Northwest Territories,On-time,Total,61,
2020/2021,Northwest Territories,On-time,Male,61,
2020/2021,Northwest Territories,On-time,Female,61,
2020/2021,Northwest Territories,Extended-time,Total,61,51.0
2020/2021,Northwest Territories,Extended-time,Male,61,44.0
2020/2021,Northwest Territories,Extended-time,Female,61,57.0
2020/2021,Nunavut,On-time,Total,62,
2020/2021,Nunavut,On-time,Male,62,
2020/2021,Nunavut,On-time,Female,62,
2020/2021,Nunavut,Extended-time,Total,62,
2020/2021,Nunavut,Extended-time,Male,62,
2020/2021,Nunavut,Extended-time,Female,62,
