Year,data.Geography,GeoCode,data.Economic family type,data.Household food security status,Value
2019,data.Canada,,data.Persons in couples,"data.Food insecure, moderate",5.0
2020,data.Canada,,data.Persons in couples,"data.Food insecure, moderate",4.6
2018,data.Canada,,data.Persons in couples,"data.Food insecure, severe",2.9
2019,data.Canada,,data.Persons in couples,"data.Food insecure, severe",2.1
2020,data.Canada,,data.Persons in couples,"data.Food insecure, severe",3.0
2018,data.Canada,,data.Persons in couple families with children,"data.Food insecure, marginal",6.6
2019,data.Canada,,data.Persons in couple families with children,"data.Food insecure, marginal",6.4
2020,data.Canada,,data.Persons in couple families with children,"data.Food insecure, marginal",5.8
2018,data.Canada,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",11.2
2019,data.Canada,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",10.0
2020,data.Canada,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",10.6
2018,data.Canada,,data.Persons in couple families with children,"data.Food insecure, moderate",8.9
2019,data.Canada,,data.Persons in couple families with children,"data.Food insecure, moderate",8.0
2020,data.Canada,,data.Persons in couple families with children,"data.Food insecure, moderate",8.1
2018,data.Canada,,data.Persons in couple families with children,"data.Food insecure, severe",2.3
2019,data.Canada,,data.Persons in couple families with children,"data.Food insecure, severe",2.0
2020,data.Canada,,data.Persons in couple families with children,"data.Food insecure, severe",2.5
2018,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",2.7
2019,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",3.7
2020,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",3.5
2018,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",8.2
2019,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",7.9
2020,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",8.5
2018,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",6.5
2019,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",5.4
2020,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, moderate",5.7
2018,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, severe",1.6
2019,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, severe",2.5
2020,data.Canada,,data.Persons in couple families with other relatives,"data.Food insecure, severe",2.8
2018,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, marginal",9.8
2019,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, marginal",8.0
2020,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, marginal",6.4
2018,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",32.3
2019,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",30.7
2020,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, moderate or severe",27.3
2018,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, moderate",21.4
2019,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, moderate",20.6
2020,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, moderate",16.8
2018,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, severe",11.0
2019,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, severe",10.1
2020,data.Canada,,data.Persons in lone-parent families,"data.Food insecure, severe",10.5
2018,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, marginal",7.7
2019,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, marginal",
2020,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, marginal",5.4
2018,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, moderate or severe",23.2
2019,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, moderate or severe",22.7
2020,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, moderate or severe",15.7
2018,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, moderate",17.1
2019,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, moderate",11.0
2020,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, moderate",12.2
2018,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, severe",6.1
2019,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, severe",
2020,data.Canada,,data.Persons in male lone-parent families,"data.Food insecure, severe",3.5
2018,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, marginal",10.3
2019,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, marginal",7.6
2020,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, marginal",6.6
2018,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, moderate or severe",34.1
2019,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, moderate or severe",32.9
2020,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, moderate or severe",30.1
2018,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, moderate",22.2
2019,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, moderate",23.2
2020,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, moderate",18.0
2018,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, severe",11.9
2019,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, severe",9.6
2020,data.Canada,,data.Persons in female lone-parent families,"data.Food insecure, severe",12.1
2018,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, marginal",5.7
2019,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, marginal",4.5
2020,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, marginal",4.4
2018,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",15.8
2019,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",13.7
2020,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, moderate or severe",16.3
2018,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, moderate",10.4
2019,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, moderate",9.4
2020,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, moderate",10.5
2018,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, severe",5.4
2019,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, severe",4.3
2020,data.Canada,,data.Persons in other non-elderly families,"data.Food insecure, severe",5.8
2018,data.Canada,,data.Persons not in an economic family,"data.Food insecure, marginal",4.9
2019,data.Canada,,data.Persons not in an economic family,"data.Food insecure, marginal",5.3
2020,data.Canada,,data.Persons not in an economic family,"data.Food insecure, marginal",4.4
2018,data.Canada,,data.Persons not in an economic family,"data.Food insecure, moderate or severe",15.3
2019,data.Canada,,data.Persons not in an economic family,"data.Food insecure, moderate or severe",14.5
2020,data.Canada,,data.Persons not in an economic family,"data.Food insecure, moderate or severe",14.4
2018,data.Canada,,data.Persons not in an economic family,"data.Food insecure, moderate",8.4
2019,data.Canada,,data.Persons not in an economic family,"data.Food insecure, moderate",8.5
2020,data.Canada,,data.Persons not in an economic family,"data.Food insecure, moderate",8.6
2018,data.Canada,,data.Persons not in an economic family,"data.Food insecure, severe",6.9
2019,data.Canada,,data.Persons not in an economic family,"data.Food insecure, severe",6.0
2020,data.Canada,,data.Persons not in an economic family,"data.Food insecure, severe",5.8
2018,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, marginal",3.5
2019,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, marginal",3.2
2020,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, marginal",3.5
2018,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, moderate or severe",6.9
2019,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, moderate or severe",6.8
2020,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, moderate or severe",7.8
2018,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, moderate",4.8
2019,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, moderate",5.1
2020,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, moderate",5.5
2018,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, severe",2.1
2019,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, severe",1.7
2020,data.Canada,,data.Elderly persons not in an economic family,"data.Food insecure, severe",2.3
2018,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, marginal",3.3
2019,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, marginal",2.8
2020,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, marginal",4.1
2018,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, moderate or severe",9.4
2019,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, moderate or severe",7.1
2020,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, moderate or severe",8.2
2018,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, moderate",6.1
2019,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, moderate",5.2
2020,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, moderate",6.0
2018,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, severe",3.2
2019,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, severe",1.8
2020,data.Canada,,data.Elderly males not in an economic family,"data.Food insecure, severe",2.1
2018,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, marginal",3.7
2019,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, marginal",3.4
2020,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, marginal",3.1
2018,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, moderate or severe",5.6
2019,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, moderate or severe",6.7
2020,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, moderate or severe",7.6
2018,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, moderate",4.1
2019,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, moderate",5.1
2020,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, moderate",5.1
2018,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, severe",1.6
2019,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, severe",1.6
2020,data.Canada,,data.Elderly females not in an economic family,"data.Food insecure, severe",2.4
2018,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, marginal",5.5
2019,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, marginal",6.2
2020,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, marginal",4.9
2018,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate or severe",18.9
2019,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate or severe",18.1
2020,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate or severe",17.6
2018,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate",9.9
2019,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate",10.1
2020,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, moderate",10.1
2018,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, severe",9.0
2019,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, severe",8.0
2020,data.Canada,,data.Non-elderly persons not in an economic family,"data.Food insecure, severe",7.4
2018,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, marginal",5.8
2019,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, marginal",5.9
2020,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, marginal",4.8
2018,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate or severe",18.7
2019,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate or severe",17.1
2020,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate or severe",16.3
2018,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate",9.0
2019,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate",10.2
2020,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, moderate",9.4
2018,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, severe",9.7
2019,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, severe",6.8
2020,data.Canada,,data.Non-elderly males not in an economic family,"data.Food insecure, severe",6.8
2018,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, marginal",5.2
2019,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, marginal",6.6
2020,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, marginal",5.0
2018,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate or severe",19.2
2019,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate or severe",19.3
2020,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate or severe",19.3
2018,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate",11.1
2019,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate",9.9
2020,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, moderate",11.1
2018,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, severe",8.1
2019,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, severe",9.4
2020,data.Canada,,data.Non-elderly females not in an economic family,"data.Food insecure, severe",8.2
2018,data.Atlantic provinces,,data.All persons,"data.Food insecure, marginal",5.6
2019,data.Atlantic provinces,,data.All persons,"data.Food insecure, marginal",5.3
2020,data.Atlantic provinces,,data.All persons,"data.Food insecure, marginal",5.2
2018,data.Atlantic provinces,,data.All persons,"data.Food insecure, moderate or severe",13.6
2019,data.Atlantic provinces,,data.All persons,"data.Food insecure, moderate or severe",11.9
2020,data.Atlantic provinces,,data.All persons,"data.Food insecure, moderate or severe",12.6
2018,data.Atlantic provinces,,data.All persons,"data.Food insecure, moderate",8.6
2019,data.Atlantic provinces,,data.All persons,"data.Food insecure, moderate",8.1
2020,data.Atlantic provinces,,data.All persons,"data.Food insecure, moderate",7.9
2018,data.Atlantic provinces,,data.All persons,"data.Food insecure, severe",5.0
2019,data.Atlantic provinces,,data.All persons,"data.Food insecure, severe",3.8
2020,data.Atlantic provinces,,data.All persons,"data.Food insecure, severe",4.7
2018,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, marginal",5.6
2019,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, marginal",5.0
2020,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, marginal",5.3
2018,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, moderate or severe",12.8
2019,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, moderate or severe",11.0
2020,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, moderate or severe",11.7
2018,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, moderate",8.5
2019,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, moderate",8.0
2020,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, moderate",7.6
2018,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, severe",4.3
2019,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, severe",3.0
2020,data.Atlantic provinces,,data.Persons in economic families,"data.Food insecure, severe",4.1
2018,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, marginal",3.6
2019,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, marginal",2.7
2020,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, marginal",3.7
2018,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, moderate or severe",5.6
2019,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, moderate or severe",4.5
2020,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, moderate or severe",5.3
2018,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, moderate",3.7
2019,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, moderate",3.5
2020,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, moderate",4.4
2018,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, severe",1.9
2019,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, severe",
2020,data.Atlantic provinces,,data.Persons in elderly families,"data.Food insecure, severe",0.9
2018,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, marginal",2.9
2019,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, marginal",3.0
2020,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, marginal",3.1
2018,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",4.5
2019,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",3.6
2020,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, moderate or severe",4.2
2018,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, moderate",3.0
2019,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, moderate",3.1
2020,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, moderate",3.3
2018,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, severe",1.5
2019,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, severe",
2020,data.Atlantic provinces,,data.Persons in elderly couples,"data.Food insecure, severe",1.0
2018,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, marginal",6.0
2019,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, marginal",
2020,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, marginal",5.4
2018,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",9.1
2019,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",7.1
2020,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, moderate or severe",8.5
2018,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, moderate",5.9
2019,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, moderate",
2020,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, moderate",7.8
2018,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, severe",
2019,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, severe",
2020,data.Atlantic provinces,,data.Persons in other elderly families,"data.Food insecure, severe",
2018,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, marginal",6.0
2019,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, marginal",5.5
2020,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, marginal",5.7
2018,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",14.4
2019,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",12.4
2020,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, moderate or severe",13.2
2018,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, moderate",9.5
2019,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, moderate",9.0
2020,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, moderate",8.3
2018,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, severe",4.8
2019,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, severe",3.4
2020,data.Atlantic provinces,,data.Persons in non-elderly families,"data.Food insecure, severe",4.8
2018,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, marginal",3.9
2019,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, marginal",3.5
2020,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, marginal",4.1
2018,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, moderate or severe",10.2
2019,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, moderate or severe",7.2
2020,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, moderate or severe",8.2
2018,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, moderate",5.7
2019,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, moderate",4.6
2020,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, moderate",5.3
2018,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, severe",4.5
2019,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, severe",2.6
2020,data.Atlantic provinces,,data.Persons in couples,"data.Food insecure, severe",2.9
2018,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, marginal",7.8
2019,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, marginal",6.6
2020,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, marginal",6.4
2018,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",13.0
2019,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",12.7
2020,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, moderate or severe",13.6
2018,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, moderate",9.5
2019,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, moderate",10.5
2020,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, moderate",9.7
2018,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, severe",3.5
2019,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, severe",2.1
2020,data.Atlantic provinces,,data.Persons in couple families with children,"data.Food insecure, severe",3.9
2018,data.Atlantic provinces,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",
2019,data.Atlantic provinces,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",
2020,data.Atlantic provinces,,data.Persons in couple families with other relatives,"data.Food insecure, marginal",3.6
2018,data.Atlantic provinces,,data.Persons in couple families with other relatives,"data.Food insecure, moderate or severe",9.9
