Year,Geography,Persons in low income,GeoCode,Value
2019,"Edmonton, Alberta",Persons 65 years and over,,
2019,"Edmonton, Alberta",Males,,7.5
2019,"Edmonton, Alberta","Males, under 18 years",,
2019,"Edmonton, Alberta","Males, 18 to 64 years",,8.2
2019,"Edmonton, Alberta","Males, 65 years and over",,
2019,"Edmonton, Alberta",Females,,7.1
2019,"Edmonton, Alberta","Females, under 18 years",,
2019,"Edmonton, Alberta","Females, 18 to 64 years",,7.8
2019,"Edmonton, Alberta","Females, 65 years and over",,
2019,"Vancouver, British Columbia",All persons,,10.3
2019,"Vancouver, British Columbia",Persons under 18 years,,
2019,"Vancouver, British Columbia",Persons 18 to 64 years,,12.2
2019,"Vancouver, British Columbia",Persons 65 years and over,,9.2
2019,"Vancouver, British Columbia",Males,,9.8
2019,"Vancouver, British Columbia","Males, under 18 years",,
2019,"Vancouver, British Columbia","Males, 18 to 64 years",,12.0
2019,"Vancouver, British Columbia","Males, 65 years and over",,7.1
2019,"Vancouver, British Columbia",Females,,10.9
2019,"Vancouver, British Columbia","Females, under 18 years",,
2019,"Vancouver, British Columbia","Females, 18 to 64 years",,12.5
2019,"Vancouver, British Columbia","Females, 65 years and over",,11.0
2020,Canada,Persons under 18 years,,7.5
2020,Canada,Persons 18 to 64 years,,8.3
2020,Canada,Persons 65 years and over,,14.5
2020,Canada,Males,,8.5
2020,Canada,"Males, under 18 years",,7.5
2020,Canada,"Males, 18 to 64 years",,8.0
2020,Canada,"Males, 65 years and over",,11.7
2020,Canada,Females,,10.0
2020,Canada,"Females, under 18 years",,7.5
2020,Canada,"Females, 18 to 64 years",,8.5
2020,Canada,"Females, 65 years and over",,17.0
2020,Atlantic provinces,All persons,,12.4
2020,Atlantic provinces,Persons under 18 years,,9.8
2020,Atlantic provinces,Persons 18 to 64 years,,10.2
2020,Atlantic provinces,Persons 65 years and over,,20.6
2020,Atlantic provinces,Males,,10.7
2020,Atlantic provinces,"Males, under 18 years",,9.2
2020,Atlantic provinces,"Males, 18 to 64 years",,9.0
2020,Atlantic provinces,"Males, 65 years and over",,16.9
2020,Atlantic provinces,Females,,14.1
2020,Atlantic provinces,"Females, under 18 years",,10.5
2020,Atlantic provinces,"Females, 18 to 64 years",,11.4
2020,Atlantic provinces,"Females, 65 years and over",,23.8
2020,Newfoundland and Labrador,All persons,10,11.9
2020,Newfoundland and Labrador,Persons under 18 years,,8.0
2020,Newfoundland and Labrador,Persons 18 to 64 years,,8.8
2020,Newfoundland and Labrador,Persons 65 years and over,,23.1
2020,Newfoundland and Labrador,Males,,10.5
2020,Newfoundland and Labrador,"Males, under 18 years",,7.0
2020,Newfoundland and Labrador,"Males, 18 to 64 years",,8.3
2020,Newfoundland and Labrador,"Males, 65 years and over",,19.4
2020,Newfoundland and Labrador,Females,,13.3
2020,Newfoundland and Labrador,"Females, under 18 years",,9.0
2020,Newfoundland and Labrador,"Females, 18 to 64 years",,9.4
2020,Newfoundland and Labrador,"Females, 65 years and over",,26.6
2020,Prince Edward Island,All persons,11,13.0
2020,Prince Edward Island,Persons under 18 years,,14.6
2020,Prince Edward Island,Persons 18 to 64 years,,10.6
2020,Prince Edward Island,Persons 65 years and over,,18.8
2020,Prince Edward Island,Males,,11.8
2020,Prince Edward Island,"Males, under 18 years",,12.1
2020,Prince Edward Island,"Males, 18 to 64 years",,10.0
2020,Prince Edward Island,"Males, 65 years and over",,17.2
2020,Prince Edward Island,Females,,14.1
2020,Prince Edward Island,"Females, under 18 years",,17.2
2020,Prince Edward Island,"Females, 18 to 64 years",,11.1
2020,Prince Edward Island,"Females, 65 years and over",,20.2
2020,Nova Scotia,All persons,12,12.0
2020,Nova Scotia,Persons under 18 years,,9.9
2020,Nova Scotia,Persons 18 to 64 years,,10.1
2020,Nova Scotia,Persons 65 years and over,,19.4
2020,Nova Scotia,Males,,10.0
2020,Nova Scotia,"Males, under 18 years",,8.6
2020,Nova Scotia,"Males, 18 to 64 years",,8.3
2020,Nova Scotia,"Males, 65 years and over",,16.1
2020,Nova Scotia,Females,,14.0
2020,Nova Scotia,"Females, under 18 years",,11.3
2020,Nova Scotia,"Females, 18 to 64 years",,11.7
2020,Nova Scotia,"Females, 65 years and over",,22.3
2020,New Brunswick,All persons,13,13.1
2020,New Brunswick,Persons under 18 years,,9.9
2020,New Brunswick,Persons 18 to 64 years,,11.3
2020,New Brunswick,Persons 65 years and over,,20.5
2020,New Brunswick,Males,,11.4
2020,New Brunswick,"Males, under 18 years",,10.7
2020,New Brunswick,"Males, 18 to 64 years",,10.0
2020,New Brunswick,"Males, 65 years and over",,16.1
2020,New Brunswick,Females,,14.7
2020,New Brunswick,"Females, under 18 years",,9.0
2020,New Brunswick,"Females, 18 to 64 years",,12.5
2020,New Brunswick,"Females, 65 years and over",,24.5
2020,Quebec,All persons,24,10.1
2020,Quebec,Persons under 18 years,,6.6
2020,Quebec,Persons 18 to 64 years,,8.1
2020,Quebec,Persons 65 years and over,,19.7
2020,Quebec,Males,,8.9
2020,Quebec,"Males, under 18 years",,6.0
2020,Quebec,"Males, 18 to 64 years",,8.0
2020,Quebec,"Males, 65 years and over",,15.2
2020,Quebec,Females,,11.2
2020,Quebec,"Females, under 18 years",,7.3
2020,Quebec,"Females, 18 to 64 years",,8.2
2020,Quebec,"Females, 65 years and over",,23.7
2020,Ontario,All persons,35,9.0
2020,Ontario,Persons under 18 years,,7.9
2020,Ontario,Persons 18 to 64 years,,8.3
2020,Ontario,Persons 65 years and over,,12.9
2020,Ontario,Males,,8.4
2020,Ontario,"Males, under 18 years",,7.9
2020,Ontario,"Males, 18 to 64 years",,7.9
2020,Ontario,"Males, 65 years and over",,11.1
2020,Ontario,Females,,9.6
2020,Ontario,"Females, under 18 years",,8.0
2020,Ontario,"Females, 18 to 64 years",,8.7
2020,Ontario,"Females, 65 years and over",,14.4
2020,Prairie provinces,All persons,,7.9
2020,Prairie provinces,Persons under 18 years,,7.6
2020,Prairie provinces,Persons 18 to 64 years,,7.4
2020,Prairie provinces,Persons 65 years and over,,10.6
2020,Prairie provinces,Males,,7.7
2020,Prairie provinces,"Males, under 18 years",,7.9
2020,Prairie provinces,"Males, 18 to 64 years",,7.4
2020,Prairie provinces,"Males, 65 years and over",,8.5
2020,Prairie provinces,Females,,8.2
2020,Prairie provinces,"Females, under 18 years",,7.3
2020,Prairie provinces,"Females, 18 to 64 years",,7.4
2020,Prairie provinces,"Females, 65 years and over",,12.5
2020,Manitoba,All persons,46,11.4
2020,Manitoba,Persons under 18 years,,12.4
2020,Manitoba,Persons 18 to 64 years,,10.7
2020,Manitoba,Persons 65 years and over,,12.6
2020,Manitoba,Males,,10.9
2020,Manitoba,"Males, under 18 years",,13.8
2020,Manitoba,"Males, 18 to 64 years",,10.4
2020,Manitoba,"Males, 65 years and over",,8.3
2020,Manitoba,Females,,11.9
2020,Manitoba,"Females, under 18 years",,11.0
2020,Manitoba,"Females, 18 to 64 years",,11.0
2020,Manitoba,"Females, 65 years and over",,16.4
2020,Saskatchewan,All persons,47,9.6
2020,Saskatchewan,Persons under 18 years,,8.9
2020,Saskatchewan,Persons 18 to 64 years,,8.3
2020,Saskatchewan,Persons 65 years and over,,15.5
2020,Saskatchewan,Males,,10.0
2020,Saskatchewan,"Males, under 18 years",,11.0
2020,Saskatchewan,"Males, 18 to 64 years",,8.5
2020,Saskatchewan,"Males, 65 years and over",,14.5
2020,Saskatchewan,Females,,9.2
2020,Saskatchewan,"Females, under 18 years",,6.8
2020,Saskatchewan,"Females, 18 to 64 years",,8.1
2020,Saskatchewan,"Females, 65 years and over",,16.3
2020,Alberta,All persons,48,6.4
2020,Alberta,Persons under 18 years,,5.8
2020,Alberta,Persons 18 to 64 years,,6.2
2020,Alberta,Persons 65 years and over,,8.4
2020,Alberta,Males,,6.1
2020,Alberta,"Males, under 18 years",,5.3
2020,Alberta,"Males, 18 to 64 years",,6.2
2020,Alberta,"Males, 65 years and over",,6.7
2020,Alberta,Females,,6.8
2020,Alberta,"Females, under 18 years",,6.4
2020,Alberta,"Females, 18 to 64 years",,6.2
2020,Alberta,"Females, 65 years and over",,10.0
2020,British Columbia,All persons,59,8.9
2020,British Columbia,Persons under 18 years,,6.7
2020,British Columbia,Persons 18 to 64 years,,8.9
2020,British Columbia,Persons 65 years and over,,10.8
2020,British Columbia,Males,,8.5
2020,British Columbia,"Males, under 18 years",,7.7
2020,British Columbia,"Males, 18 to 64 years",,9.0
2020,British Columbia,"Males, 65 years and over",,7.7
2020,British Columbia,Females,,9.2
2020,British Columbia,"Females, under 18 years",,5.6
2020,British Columbia,"Females, 18 to 64 years",,8.8
2020,British Columbia,"Females, 65 years and over",,13.6
2020,"Quebec, Québec",All persons,,6.6
2020,"Quebec, Québec",Persons under 18 years,,
2020,"Quebec, Québec",Persons 18 to 64 years,,5.3
2020,"Quebec, Québec",Persons 65 years and over,,14.5
2020,"Quebec, Québec",Males,,5.7
2020,"Quebec, Québec","Males, under 18 years",,
2020,"Quebec, Québec","Males, 18 to 64 years",,4.8
2020,"Quebec, Québec","Males, 65 years and over",,12.0
2020,"Quebec, Québec",Females,,7.4
2020,"Quebec, Québec","Females, under 18 years",,
2020,"Quebec, Québec","Females, 18 to 64 years",,5.9
2020,"Quebec, Québec","Females, 65 years and over",,16.8
2020,"Quebec, Montréal",All persons,,9.5
2020,"Quebec, Montréal",Persons under 18 years,,7.4
2020,"Quebec, Montréal",Persons 18 to 64 years,,8.1
2020,"Quebec, Montréal",Persons 65 years and over,,17.9
2020,"Quebec, Montréal",Males,,8.1
2020,"Quebec, Montréal","Males, under 18 years",,6.6
2020,"Quebec, Montréal","Males, 18 to 64 years",,7.4
2020,"Quebec, Montréal","Males, 65 years and over",,13.6
2020,"Quebec, Montréal",Females,,10.9
2020,"Quebec, Montréal","Females, under 18 years",,8.3
2020,"Quebec, Montréal","Females, 18 to 64 years",,8.7
2020,"Quebec, Montréal","Females, 65 years and over",,21.3
2020,"Ontario/Quebec, Ottawa-Gatineau",All persons,,6.9
2020,"Ontario/Quebec, Ottawa-Gatineau",Persons under 18 years,,3.8
2020,"Ontario/Quebec, Ottawa-Gatineau",Persons 18 to 64 years,,6.3
2020,"Ontario/Quebec, Ottawa-Gatineau",Persons 65 years and over,,13.1
2020,"Ontario/Quebec, Ottawa-Gatineau",Males,,7.0
2020,"Ontario/Quebec, Ottawa-Gatineau","Males, under 18 years",,
2020,"Ontario/Quebec, Ottawa-Gatineau","Males, 18 to 64 years",,7.0
2020,"Ontario/Quebec, Ottawa-Gatineau","Males, 65 years and over",,10.7
2020,"Ontario/Quebec, Ottawa-Gatineau",Females,,6.9
2020,"Ontario/Quebec, Ottawa-Gatineau","Females, under 18 years",,3.7
2020,"Ontario/Quebec, Ottawa-Gatineau","Females, 18 to 64 years",,5.6
2020,"Ontario/Quebec, Ottawa-Gatineau","Females, 65 years and over",,15.3
2020,"Toronto, Ontario",All persons,,9.9
2020,"Toronto, Ontario",Persons under 18 years,,10.6
2020,"Toronto, Ontario",Persons 18 to 64 years,,9.0
2020,"Toronto, Ontario",Persons 65 years and over,,13.2
2020,"Toronto, Ontario",Males,,9.1
2020,"Toronto, Ontario","Males, under 18 years",,10.0
2020,"Toronto, Ontario","Males, 18 to 64 years",,8.2
2020,"Toronto, Ontario","Males, 65 years and over",,12.4
2020,"Toronto, Ontario",Females,,10.8
2020,"Toronto, Ontario","Females, under 18 years",,11.3
2020,"Toronto, Ontario","Females, 18 to 64 years",,9.8
2020,"Toronto, Ontario","Females, 65 years and over",,13.9
2020,"Winnipeg, Manitoba",All persons,,10.4
2020,"Winnipeg, Manitoba",Persons under 18 years,,11.0
2020,"Winnipeg, Manitoba",Persons 18 to 64 years,,9.9
2020,"Winnipeg, Manitoba",Persons 65 years and over,,11.3
2020,"Winnipeg, Manitoba",Males,,10.4
2020,"Winnipeg, Manitoba","Males, under 18 years",,12.6
2020,"Winnipeg, Manitoba","Males, 18 to 64 years",,10.4
2020,"Winnipeg, Manitoba","Males, 65 years and over",,7.3
2020,"Winnipeg, Manitoba",Females,,10.4
2020,"Winnipeg, Manitoba","Females, under 18 years",,9.3
2020,"Winnipeg, Manitoba","Females, 18 to 64 years",,9.5
2020,"Winnipeg, Manitoba","Females, 65 years and over",,14.9
2020,"Calgary, Alberta",All persons,,6.5
2020,"Calgary, Alberta",Persons under 18 years,,7.3
2020,"Calgary, Alberta",Persons 18 to 64 years,,6.3
2020,"Calgary, Alberta",Persons 65 years and over,,6.4
2020,"Calgary, Alberta",Males,,5.9
2020,"Calgary, Alberta","Males, under 18 years",,
2020,"Calgary, Alberta","Males, 18 to 64 years",,6.3
2020,"Calgary, Alberta","Males, 65 years and over",,
2020,"Calgary, Alberta",Females,,7.1
2020,"Calgary, Alberta","Females, under 18 years",,8.8
2020,"Calgary, Alberta","Females, 18 to 64 years",,6.2
2020,"Calgary, Alberta","Females, 65 years and over",,9.0
2020,"Edmonton, Alberta",All persons,,6.1
2020,"Edmonton, Alberta",Persons under 18 years,,5.6
2020,"Edmonton, Alberta",Persons 18 to 64 years,,6.1
2020,"Edmonton, Alberta",Persons 65 years and over,,6.9
2020,"Edmonton, Alberta",Males,,6.0
2020,"Edmonton, Alberta","Males, under 18 years",,5.8
2020,"Edmonton, Alberta","Males, 18 to 64 years",,5.9
2020,"Edmonton, Alberta","Males, 65 years and over",,
2020,"Edmonton, Alberta",Females,,6.3
2020,"Edmonton, Alberta","Females, under 18 years",,
2020,"Edmonton, Alberta","Females, 18 to 64 years",,6.4
2020,"Edmonton, Alberta","Females, 65 years and over",,7.2
2020,"Vancouver, British Columbia",All persons,,9.1
2020,"Vancouver, British Columbia",Persons under 18 years,,5.8
2020,"Vancouver, British Columbia",Persons 18 to 64 years,,9.6
2020,"Vancouver, British Columbia",Persons 65 years and over,,10.0
2020,"Vancouver, British Columbia",Males,,8.6
2020,"Vancouver, British Columbia","Males, under 18 years",,6.1
2020,"Vancouver, British Columbia","Males, 18 to 64 years",,9.8
2020,"Vancouver, British Columbia","Males, 65 years and over",,5.9
2020,"Vancouver, British Columbia",Females,,9.5
2020,"Vancouver, British Columbia","Females, under 18 years",,5.5
2020,"Vancouver, British Columbia","Females, 18 to 64 years",,9.4
2020,"Vancouver, British Columbia","Females, 65 years and over",,13.7
