Year,Géographie,Personnes à faible revenu,GeoCode,Value
2015,"Toronto, Ontario","Hommes, 65 ans et plus",,13.1
2015,"Toronto, Ontario",Femmes,,16.6
2015,"Toronto, Ontario","Femmes, moins de 18 ans",,16.9
2015,"Toronto, Ontario","Femmes, 18 à 64 ans",,16.1
2015,"Toronto, Ontario","Femmes, 65 ans et plus",,18.4
2015,"Winnipeg, Manitoba",Toutes les personnes,,16.4
2015,"Winnipeg, Manitoba",Personnes de moins de 18 ans,,23.9
2015,"Winnipeg, Manitoba",Personnes de 18 à 64 ans,,15.2
2015,"Winnipeg, Manitoba",Personnes de 65 ans et plus,,10.9
2015,"Winnipeg, Manitoba",Hommes,,16.3
2015,"Winnipeg, Manitoba","Hommes, moins de 18 ans",,28.4
2015,"Winnipeg, Manitoba","Hommes, 18 à 64 ans",,14.6
2015,"Winnipeg, Manitoba","Hommes, 65 ans et plus",,4.9
2015,"Winnipeg, Manitoba",Femmes,,16.6
2015,"Winnipeg, Manitoba","Femmes, moins de 18 ans",,19.6
2015,"Winnipeg, Manitoba","Femmes, 18 à 64 ans",,15.7
2015,"Winnipeg, Manitoba","Femmes, 65 ans et plus",,15.7
2015,"Calgary, Alberta",Toutes les personnes,,7.5
2015,"Calgary, Alberta",Personnes de moins de 18 ans,,
2015,"Calgary, Alberta",Personnes de 18 à 64 ans,,6.4
2015,"Calgary, Alberta",Personnes de 65 ans et plus,,5.6
2015,"Calgary, Alberta",Hommes,,7.3
2015,"Calgary, Alberta","Hommes, moins de 18 ans",,
2015,"Calgary, Alberta","Hommes, 18 à 64 ans",,6.9
2015,"Calgary, Alberta","Hommes, 65 ans et plus",,
2015,"Calgary, Alberta",Femmes,,7.7
2015,"Calgary, Alberta","Femmes, moins de 18 ans",,
2015,"Calgary, Alberta","Femmes, 18 à 64 ans",,5.8
2015,"Calgary, Alberta","Femmes, 65 ans et plus",,
2015,"Edmonton, Alberta",Toutes les personnes,,6.7
2015,"Edmonton, Alberta",Personnes de moins de 18 ans,,11.1
2015,"Edmonton, Alberta",Personnes de 18 à 64 ans,,6.0
2015,"Edmonton, Alberta",Personnes de 65 ans et plus,,
2015,"Edmonton, Alberta",Hommes,,6.5
2015,"Edmonton, Alberta","Hommes, moins de 18 ans",,
2015,"Edmonton, Alberta","Hommes, 18 à 64 ans",,6.5
2015,"Edmonton, Alberta","Hommes, 65 ans et plus",,
2015,"Edmonton, Alberta",Femmes,,6.9
2015,"Edmonton, Alberta","Femmes, moins de 18 ans",,
2015,"Edmonton, Alberta","Femmes, 18 à 64 ans",,5.5
2015,"Edmonton, Alberta","Femmes, 65 ans et plus",,
2015,"Vancouver, Colombie-Britannique",Toutes les personnes,,17.0
2015,"Vancouver, Colombie-Britannique",Personnes de moins de 18 ans,,15.3
2015,"Vancouver, Colombie-Britannique",Personnes de 18 à 64 ans,,17.6
2015,"Vancouver, Colombie-Britannique",Personnes de 65 ans et plus,,16.7
2015,"Vancouver, Colombie-Britannique",Hommes,,17.1
2015,"Vancouver, Colombie-Britannique","Hommes, moins de 18 ans",,14.9
2015,"Vancouver, Colombie-Britannique","Hommes, 18 à 64 ans",,17.8
2015,"Vancouver, Colombie-Britannique","Hommes, 65 ans et plus",,16.8
2015,"Vancouver, Colombie-Britannique",Femmes,,17.0
2015,"Vancouver, Colombie-Britannique","Femmes, moins de 18 ans",,15.7
2015,"Vancouver, Colombie-Britannique","Femmes, 18 à 64 ans",,17.5
2015,"Vancouver, Colombie-Britannique","Femmes, 65 ans et plus",,16.6
2016,Canada,Personnes de moins de 18 ans,,13.8
2016,Canada,Personnes de 18 à 64 ans,,12.3
2016,Canada,Personnes de 65 ans et plus,,14.6
2016,Canada,Hommes,,12.2
2016,Canada,"Hommes, moins de 18 ans",,13.5
2016,Canada,"Hommes, 18 à 64 ans",,11.7
2016,Canada,"Hommes, 65 ans et plus",,12.3
2016,Canada,Femmes,,13.8
2016,Canada,"Femmes, moins de 18 ans",,14.2
2016,Canada,"Femmes, 18 à 64 ans",,13.0
2016,Canada,"Femmes, 65 ans et plus",,16.6
2016,Provinces de l'Atlantique,Toutes les personnes,,15.7
2016,Provinces de l'Atlantique,Personnes de moins de 18 ans,,18.1
2016,Provinces de l'Atlantique,Personnes de 18 à 64 ans,,13.6
2016,Provinces de l'Atlantique,Personnes de 65 ans et plus,,20.3
2016,Provinces de l'Atlantique,Hommes,,14.6
2016,Provinces de l'Atlantique,"Hommes, moins de 18 ans",,19.3
2016,Provinces de l'Atlantique,"Hommes, 18 à 64 ans",,12.2
2016,Provinces de l'Atlantique,"Hommes, 65 ans et plus",,18.3
2016,Provinces de l'Atlantique,Femmes,,16.8
2016,Provinces de l'Atlantique,"Femmes, moins de 18 ans",,17.0
2016,Provinces de l'Atlantique,"Femmes, 18 à 64 ans",,15.0
2016,Provinces de l'Atlantique,"Femmes, 65 ans et plus",,22.2
2016,Terre-Neuve-et-Labrador,Toutes les personnes,10,15.8
2016,Terre-Neuve-et-Labrador,Personnes de moins de 18 ans,,16.2
2016,Terre-Neuve-et-Labrador,Personnes de 18 à 64 ans,,12.8
2016,Terre-Neuve-et-Labrador,Personnes de 65 ans et plus,,25.6
2016,Terre-Neuve-et-Labrador,Hommes,,14.0
2016,Terre-Neuve-et-Labrador,"Hommes, moins de 18 ans",,16.7
2016,Terre-Neuve-et-Labrador,"Hommes, 18 à 64 ans",,9.9
2016,Terre-Neuve-et-Labrador,"Hommes, 65 ans et plus",,25.3
2016,Terre-Neuve-et-Labrador,Femmes,,17.6
2016,Terre-Neuve-et-Labrador,"Femmes, moins de 18 ans",,15.6
2016,Terre-Neuve-et-Labrador,"Femmes, 18 à 64 ans",,15.6
2016,Terre-Neuve-et-Labrador,"Femmes, 65 ans et plus",,25.9
2016,Île-du-Prince-Édouard,Toutes les personnes,11,16.3
2016,Île-du-Prince-Édouard,Personnes de moins de 18 ans,,22.6
2016,Île-du-Prince-Édouard,Personnes de 18 à 64 ans,,13.3
2016,Île-du-Prince-Édouard,Personnes de 65 ans et plus,,19.7
2016,Île-du-Prince-Édouard,Hommes,,13.5
2016,Île-du-Prince-Édouard,"Hommes, moins de 18 ans",,19.4
2016,Île-du-Prince-Édouard,"Hommes, 18 à 64 ans",,11.6
2016,Île-du-Prince-Édouard,"Hommes, 65 ans et plus",,13.7
2016,Île-du-Prince-Édouard,Femmes,,18.9
2016,Île-du-Prince-Édouard,"Femmes, moins de 18 ans",,25.9
2016,Île-du-Prince-Édouard,"Femmes, 18 à 64 ans",,14.9
2016,Île-du-Prince-Édouard,"Femmes, 65 ans et plus",,25.0
2016,Nouvelle-Écosse,Toutes les personnes,12,16.2
2016,Nouvelle-Écosse,Personnes de moins de 18 ans,,19.1
2016,Nouvelle-Écosse,Personnes de 18 à 64 ans,,15.5
2016,Nouvelle-Écosse,Personnes de 65 ans et plus,,15.9
2016,Nouvelle-Écosse,Hommes,,16.1
2016,Nouvelle-Écosse,"Hommes, moins de 18 ans",,20.4
2016,Nouvelle-Écosse,"Hommes, 18 à 64 ans",,15.3
2016,Nouvelle-Écosse,"Hommes, 65 ans et plus",,14.3
2016,Nouvelle-Écosse,Femmes,,16.3
2016,Nouvelle-Écosse,"Femmes, moins de 18 ans",,17.7
2016,Nouvelle-Écosse,"Femmes, 18 à 64 ans",,15.7
2016,Nouvelle-Écosse,"Femmes, 65 ans et plus",,17.3
2016,Nouveau-Brunswick,Toutes les personnes,13,15.0
2016,Nouveau-Brunswick,Personnes de moins de 18 ans,,17.4
2016,Nouveau-Brunswick,Personnes de 18 à 64 ans,,12.0
2016,Nouveau-Brunswick,Personnes de 65 ans et plus,,22.3
2016,Nouveau-Brunswick,Hommes,,13.5
2016,Nouveau-Brunswick,"Hommes, moins de 18 ans",,19.6
2016,Nouveau-Brunswick,"Hommes, 18 à 64 ans",,10.1
2016,Nouveau-Brunswick,"Hommes, 65 ans et plus",,19.1
2016,Nouveau-Brunswick,Femmes,,16.4
2016,Nouveau-Brunswick,"Femmes, moins de 18 ans",,15.1
2016,Nouveau-Brunswick,"Femmes, 18 à 64 ans",,13.8
2016,Nouveau-Brunswick,"Femmes, 65 ans et plus",,25.1
2016,Québec,Toutes les personnes,24,13.8
2016,Québec,Personnes de moins de 18 ans,,12.9
2016,Québec,Personnes de 18 à 64 ans,,12.6
2016,Québec,Personnes de 65 ans et plus,,19.1
2016,Québec,Hommes,,13.2
2016,Québec,"Hommes, moins de 18 ans",,13.3
2016,Québec,"Hommes, 18 à 64 ans",,12.4
2016,Québec,"Hommes, 65 ans et plus",,16.2
2016,Québec,Femmes,,14.4
2016,Québec,"Femmes, moins de 18 ans",,12.5
2016,Québec,"Femmes, 18 à 64 ans",,12.8
2016,Québec,"Femmes, 65 ans et plus",,21.5
2016,Ontario,Toutes les personnes,35,13.7
2016,Ontario,Personnes de moins de 18 ans,,16.0
2016,Ontario,Personnes de 18 à 64 ans,,13.2
2016,Ontario,Personnes de 65 ans et plus,,13.0
2016,Ontario,Hommes,,12.2
2016,Ontario,"Hommes, moins de 18 ans",,14.8
2016,Ontario,"Hommes, 18 à 64 ans",,11.7
2016,Ontario,"Hommes, 65 ans et plus",,10.8
2016,Ontario,Femmes,,15.1
2016,Ontario,"Femmes, moins de 18 ans",,17.3
2016,Ontario,"Femmes, 18 à 64 ans",,14.6
2016,Ontario,"Femmes, 65 ans et plus",,14.9
2016,Provinces des Prairies,Toutes les personnes,,9.2
2016,Provinces des Prairies,Personnes de moins de 18 ans,,10.1
2016,Provinces des Prairies,Personnes de 18 à 64 ans,,8.9
2016,Provinces des Prairies,Personnes de 65 ans et plus,,9.5
2016,Provinces des Prairies,Hommes,,9.1
2016,Provinces des Prairies,"Hommes, moins de 18 ans",,10.4
2016,Provinces des Prairies,"Hommes, 18 à 64 ans",,8.6
2016,Provinces des Prairies,"Hommes, 65 ans et plus",,9.0
2016,Provinces des Prairies,Femmes,,9.4
2016,Provinces des Prairies,"Femmes, moins de 18 ans",,9.7
2016,Provinces des Prairies,"Femmes, 18 à 64 ans",,9.2
2016,Provinces des Prairies,"Femmes, 65 ans et plus",,9.9
2016,Manitoba,Toutes les personnes,46,13.3
2016,Manitoba,Personnes de moins de 18 ans,,17.3
2016,Manitoba,Personnes de 18 à 64 ans,,11.8
2016,Manitoba,Personnes de 65 ans et plus,,14.1
2016,Manitoba,Hommes,,13.0
2016,Manitoba,"Hommes, moins de 18 ans",,18.6
2016,Manitoba,"Hommes, 18 à 64 ans",,11.3
2016,Manitoba,"Hommes, 65 ans et plus",,11.5
2016,Manitoba,Femmes,,13.7
2016,Manitoba,"Femmes, moins de 18 ans",,15.8
2016,Manitoba,"Femmes, 18 à 64 ans",,12.3
2016,Manitoba,"Femmes, 65 ans et plus",,16.3
2016,Saskatchewan,Toutes les personnes,47,11.4
2016,Saskatchewan,Personnes de moins de 18 ans,,12.9
2016,Saskatchewan,Personnes de 18 à 64 ans,,9.8
2016,Saskatchewan,Personnes de 65 ans et plus,,15.8
2016,Saskatchewan,Hommes,,10.4
2016,Saskatchewan,"Hommes, moins de 18 ans",,12.0
2016,Saskatchewan,"Hommes, 18 à 64 ans",,8.9
2016,Saskatchewan,"Hommes, 65 ans et plus",,14.5
2016,Saskatchewan,Femmes,,12.5
2016,Saskatchewan,"Femmes, moins de 18 ans",,13.8
2016,Saskatchewan,"Femmes, 18 à 64 ans",,10.8
2016,Saskatchewan,"Femmes, 65 ans et plus",,17.0
2016,Alberta,Toutes les personnes,48,7.4
2016,Alberta,Personnes de moins de 18 ans,,7.2
2016,Alberta,Personnes de 18 à 64 ans,,7.9
2016,Alberta,Personnes de 65 ans et plus,,5.6
2016,Alberta,Hommes,,7.5
2016,Alberta,"Hommes, moins de 18 ans",,7.4
2016,Alberta,"Hommes, 18 à 64 ans",,7.8
2016,Alberta,"Hommes, 65 ans et plus",,6.2
2016,Alberta,Femmes,,7.4
2016,Alberta,"Femmes, moins de 18 ans",,7.0
2016,Alberta,"Femmes, 18 à 64 ans",,8.0
2016,Alberta,"Femmes, 65 ans et plus",,5.1
2016,Colombie-Britannique,Toutes les personnes,59,13.4
2016,Colombie-Britannique,Personnes de moins de 18 ans,,13.0
2016,Colombie-Britannique,Personnes de 18 à 64 ans,,13.5
2016,Colombie-Britannique,Personnes de 65 ans et plus,,13.2
2016,Colombie-Britannique,Hommes,,13.3
2016,Colombie-Britannique,"Hommes, moins de 18 ans",,12.2
2016,Colombie-Britannique,"Hommes, 18 à 64 ans",,14.5
2016,Colombie-Britannique,"Hommes, 65 ans et plus",,9.9
2016,Colombie-Britannique,Femmes,,13.4
2016,Colombie-Britannique,"Femmes, moins de 18 ans",,13.9
2016,Colombie-Britannique,"Femmes, 18 à 64 ans",,12.6
2016,Colombie-Britannique,"Femmes, 65 ans et plus",,16.1
2016,"Québec, Québec",Toutes les personnes,,10.9
2016,"Québec, Québec",Personnes de moins de 18 ans,,7.7
2016,"Québec, Québec",Personnes de 18 à 64 ans,,9.0
2016,"Québec, Québec",Personnes de 65 ans et plus,,20.0
2016,"Québec, Québec",Hommes,,8.6
2016,"Québec, Québec","Hommes, moins de 18 ans",,
2016,"Québec, Québec","Hommes, 18 à 64 ans",,8.1
2016,"Québec, Québec","Hommes, 65 ans et plus",,13.6
2016,"Québec, Québec",Femmes,,12.9
2016,"Québec, Québec","Femmes, moins de 18 ans",,
2016,"Québec, Québec","Femmes, 18 à 64 ans",,9.9
2016,"Québec, Québec","Femmes, 65 ans et plus",,25.1
2016,"Montréal, Québec",Toutes les personnes,,14.6
2016,"Montréal, Québec",Personnes de moins de 18 ans,,15.6
2016,"Montréal, Québec",Personnes de 18 à 64 ans,,13.6
2016,"Montréal, Québec",Personnes de 65 ans et plus,,17.2
2016,"Montréal, Québec",Hommes,,14.4
2016,"Montréal, Québec","Hommes, moins de 18 ans",,15.7
2016,"Montréal, Québec","Hommes, 18 à 64 ans",,13.4
2016,"Montréal, Québec","Hommes, 65 ans et plus",,17.1
2016,"Montréal, Québec",Femmes,,14.7
2016,"Montréal, Québec","Femmes, moins de 18 ans",,15.4
2016,"Montréal, Québec","Femmes, 18 à 64 ans",,13.8
2016,"Montréal, Québec","Femmes, 65 ans et plus",,17.4
2016,"Ottawa-Gatineau, Ontario/Québec",Toutes les personnes,,9.1
2016,"Ottawa-Gatineau, Ontario/Québec",Personnes de moins de 18 ans,,10.6
2016,"Ottawa-Gatineau, Ontario/Québec",Personnes de 18 à 64 ans,,9.1
2016,"Ottawa-Gatineau, Ontario/Québec",Personnes de 65 ans et plus,,7.2
2016,"Ottawa-Gatineau, Ontario/Québec",Hommes,,8.1
2016,"Ottawa-Gatineau, Ontario/Québec","Hommes, moins de 18 ans",,9.1
2016,"Ottawa-Gatineau, Ontario/Québec","Hommes, 18 à 64 ans",,8.7
2016,"Ottawa-Gatineau, Ontario/Québec","Hommes, 65 ans et plus",,
2016,"Ottawa-Gatineau, Ontario/Québec",Femmes,,10.1
2016,"Ottawa-Gatineau, Ontario/Québec","Femmes, moins de 18 ans",,12.0
2016,"Ottawa-Gatineau, Ontario/Québec","Femmes, 18 à 64 ans",,9.6
2016,"Ottawa-Gatineau, Ontario/Québec","Femmes, 65 ans et plus",,9.8
2016,"Toronto, Ontario",Toutes les personnes,,15.7
2016,"Toronto, Ontario",Personnes de moins de 18 ans,,19.2
2016,"Toronto, Ontario",Personnes de 18 à 64 ans,,14.6
2016,"Toronto, Ontario",Personnes de 65 ans et plus,,15.3
