Year,Units,Géographie,GeoCode,Value
2021,Pourcentage (%),Ontario,35,12.99
2021,Pourcentage (%),Manitoba,46,11.09
2021,Pourcentage (%),Saskatchewan,47,8.19
2021,Pourcentage (%),Alberta,48,9.21
2021,Pourcentage (%),Colombie-Britannique,59,8.27
2021,Pourcentage (%),Yukon,60,0.88
2021,Pourcentage (%),Territoires du Nord-Ouest,61,
2021,Pourcentage (%),Nunavut,62,
2022,Pourcentage (%),,,11.51
2022,Pourcentage (%),Terre-Neuve-et-Labrador,10,5.68
2022,Pourcentage (%),Île-du-Prince-Édouard,11,12.95
2022,Pourcentage (%),Nouvelle-Écosse,12,6.59
2022,Pourcentage (%),Nouveau-Brunswick,13,12.4
2022,Pourcentage (%),Québec,24,16.2
2022,Pourcentage (%),Ontario,35,13.16
2022,Pourcentage (%),Manitoba,46,11.64
2022,Pourcentage (%),Saskatchewan,47,7.25
2022,Pourcentage (%),Alberta,48,8.31
2022,Pourcentage (%),Colombie-Britannique,59,7.16
2022,Pourcentage (%),Yukon,60,0.89
2022,Pourcentage (%),Territoires du Nord-Ouest,61,
2022,Pourcentage (%),Nunavut,62,
2015,Dollar,,,6405.71
2015,Dollar,Terre-Neuve-et-Labrador,10,5180.26
2015,Dollar,Île-du-Prince-Édouard,11,4911.67
2015,Dollar,Nouvelle-Écosse,12,3199.0
2015,Dollar,Nouveau-Brunswick,13,3701.27
2015,Dollar,Québec,24,7116.4
2015,Dollar,Ontario,35,7467.42
2015,Dollar,Manitoba,46,5871.64
2015,Dollar,Saskatchewan,47,3960.49
2015,Dollar,Alberta,48,6754.82
2015,Dollar,Colombie-Britannique,59,3943.16
2015,Dollar,Yukon,60,468.13
2015,Dollar,Territoires du Nord-Ouest,61,
2015,Dollar,Nunavut,62,
2016,Dollar,,,6284.03
2016,Dollar,Terre-Neuve-et-Labrador,10,3151.36
2016,Dollar,Île-du-Prince-Édouard,11,4778.75
2016,Dollar,Nouvelle-Écosse,12,3683.19
2016,Dollar,Nouveau-Brunswick,13,4551.3
2016,Dollar,Québec,24,7213.02
2016,Dollar,Ontario,35,7385.9
2016,Dollar,Manitoba,46,5266.12
2016,Dollar,Saskatchewan,47,4132.87
2016,Dollar,Alberta,48,5900.72
2016,Dollar,Colombie-Britannique,59,3985.97
2016,Dollar,Yukon,60,485.23
2016,Dollar,Territoires du Nord-Ouest,61,
2016,Dollar,Nunavut,62,
2017,Dollar,,,6611.11
2017,Dollar,Terre-Neuve-et-Labrador,10,3429.02
2017,Dollar,Île-du-Prince-Édouard,11,4999.57
2017,Dollar,Nouvelle-Écosse,12,3376.13
2017,Dollar,Nouveau-Brunswick,13,5221.14
2017,Dollar,Québec,24,7627.07
2017,Dollar,Ontario,35,7647.68
2017,Dollar,Manitoba,46,5472.89
2017,Dollar,Saskatchewan,47,4139.51
2017,Dollar,Alberta,48,6378.55
2017,Dollar,Colombie-Britannique,59,4413.28
2017,Dollar,Yukon,60,479.78
2017,Dollar,Territoires du Nord-Ouest,61,337.18
2017,Dollar,Nunavut,62,284.82
2018,Dollar,,,6958.42
2018,Dollar,Terre-Neuve-et-Labrador,10,3380.73
2018,Dollar,Île-du-Prince-Édouard,11,5362.13
2018,Dollar,Nouvelle-Écosse,12,3001.95
2018,Dollar,Nouveau-Brunswick,13,5781.68
2018,Dollar,Québec,24,7869.84
2018,Dollar,Ontario,35,7954.37
2018,Dollar,Manitoba,46,5801.19
2018,Dollar,Saskatchewan,47,4605.65
2018,Dollar,Alberta,48,7363.23
2018,Dollar,Colombie-Britannique,59,4627.0
2018,Dollar,Yukon,60,494.07
2018,Dollar,Territoires du Nord-Ouest,61,275.57
2018,Dollar,Nunavut,62,343.09
2019,Dollar,,,6833.93
2019,Dollar,Terre-Neuve-et-Labrador,10,3524.36
2019,Dollar,Île-du-Prince-Édouard,11,5441.1
2019,Dollar,Nouvelle-Écosse,12,2978.5
2019,Dollar,Nouveau-Brunswick,13,5292.76
2019,Dollar,Québec,24,8240.52
2019,Dollar,Ontario,35,7740.4
2019,Dollar,Manitoba,46,5904.96
2019,Dollar,Saskatchewan,47,4750.18
2019,Dollar,Alberta,48,6809.77
2019,Dollar,Colombie-Britannique,59,4170.24
2019,Dollar,Yukon,60,485.03
2019,Dollar,Territoires du Nord-Ouest,61,317.2
2019,Dollar,Nunavut,62,393.16
2020,Dollar,,,6206.95
2020,Dollar,Terre-Neuve-et-Labrador,10,2901.7
2020,Dollar,Île-du-Prince-Édouard,11,5912.75
2020,Dollar,Nouvelle-Écosse,12,2918.85
2020,Dollar,Nouveau-Brunswick,13,5409.24
2020,Dollar,Québec,24,7278.76
2020,Dollar,Ontario,35,6993.57
2020,Dollar,Manitoba,46,5744.92
2020,Dollar,Saskatchewan,47,4309.31
2020,Dollar,Alberta,48,5871.43
2020,Dollar,Colombie-Britannique,59,4265.87
2020,Dollar,Yukon,60,534.92
2020,Dollar,Territoires du Nord-Ouest,61,
2020,Dollar,Nunavut,62,
2021,Dollar,,,7648.24
2021,Dollar,Terre-Neuve-et-Labrador,10,3456.16
2021,Dollar,Île-du-Prince-Édouard,11,5880.65
2021,Dollar,Nouvelle-Écosse,12,3256.85
2021,Dollar,Nouveau-Brunswick,13,7029.75
2021,Dollar,Québec,24,8849.95
2021,Dollar,Ontario,35,8404.0
2021,Dollar,Manitoba,46,6350.31
2021,Dollar,Saskatchewan,47,6212.43
2021,Dollar,Alberta,48,7823.63
2021,Dollar,Colombie-Britannique,59,5633.24
2021,Dollar,Yukon,60,737.86
2021,Dollar,Territoires du Nord-Ouest,61,
2021,Dollar,Nunavut,62,
2022,Dollar,,,8317.37
2022,Dollar,Terre-Neuve-et-Labrador,10,4353.22
2022,Dollar,Île-du-Prince-Édouard,11,7261.74
2022,Dollar,Nouvelle-Écosse,12,3494.79
2022,Dollar,Nouveau-Brunswick,13,6816.11
2022,Dollar,Québec,24,10191.46
2022,Dollar,Ontario,35,9107.27
2022,Dollar,Manitoba,46,7124.2
2022,Dollar,Saskatchewan,47,7040.53
2022,Dollar,Alberta,48,8463.84
2022,Dollar,Colombie-Britannique,59,5284.68
2022,Dollar,Yukon,60,793.94
2022,Dollar,Territoires du Nord-Ouest,61,
2022,Dollar,Nunavut,62,
