Year,Geography,Sources of waste for disposal,GeoCode,Value
2012,Saskatchewan,Residential sources of waste for disposal,,315987.0
2012,Saskatchewan,Non-residential sources of waste for disposal,,641682.0
2012,Alberta,All sources of waste for disposal,48,3913924.0
2012,Alberta,Residential sources of waste for disposal,,1176226.0
2012,Alberta,Non-residential sources of waste for disposal,,2737698.0
2012,British Columbia,All sources of waste for disposal,59,2604147.0
2012,British Columbia,Residential sources of waste for disposal,,947542.0
2012,British Columbia,Non-residential sources of waste for disposal,,1656605.0
2012,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2012,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2012,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2014,Canada,Residential sources of waste for disposal,,9803644.0
2014,Canada,Non-residential sources of waste for disposal,,14963007.0
2014,Newfoundland and Labrador,All sources of waste for disposal,10,415158.0
2014,Newfoundland and Labrador,Residential sources of waste for disposal,,
2014,Newfoundland and Labrador,Non-residential sources of waste for disposal,,
2014,Prince Edward Island,All sources of waste for disposal,11,
2014,Prince Edward Island,Residential sources of waste for disposal,,
2014,Prince Edward Island,Non-residential sources of waste for disposal,,
2014,Nova Scotia,All sources of waste for disposal,12,364193.0
2014,Nova Scotia,Residential sources of waste for disposal,,160805.0
2014,Nova Scotia,Non-residential sources of waste for disposal,,203388.0
2014,New Brunswick,All sources of waste for disposal,13,508115.0
2014,New Brunswick,Residential sources of waste for disposal,,234534.0
2014,New Brunswick,Non-residential sources of waste for disposal,,273581.0
2014,Quebec,All sources of waste for disposal,24,5414539.0
2014,Quebec,Residential sources of waste for disposal,,2831404.0
2014,Quebec,Non-residential sources of waste for disposal,,2583135.0
2014,Ontario,All sources of waste for disposal,35,9165299.0
2014,Ontario,Residential sources of waste for disposal,,3490792.0
2014,Ontario,Non-residential sources of waste for disposal,,5674507.0
2014,Manitoba,All sources of waste for disposal,46,990230.0
2014,Manitoba,Residential sources of waste for disposal,,333008.0
2014,Manitoba,Non-residential sources of waste for disposal,,657222.0
2014,Saskatchewan,All sources of waste for disposal,47,940595.0
2014,Saskatchewan,Residential sources of waste for disposal,,331430.0
2014,Saskatchewan,Non-residential sources of waste for disposal,,609166.0
2014,Alberta,All sources of waste for disposal,48,4097584.0
2014,Alberta,Residential sources of waste for disposal,,1230635.0
2014,Alberta,Non-residential sources of waste for disposal,,2866949.0
2014,British Columbia,All sources of waste for disposal,59,2721309.0
2014,British Columbia,Residential sources of waste for disposal,,941345.0
2014,British Columbia,Non-residential sources of waste for disposal,,1779963.0
2014,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2014,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2014,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2016,Canada,Residential sources of waste for disposal,,10225943.0
2016,Canada,Non-residential sources of waste for disposal,,14714804.0
2016,Newfoundland and Labrador,All sources of waste for disposal,10,395324.0
2016,Newfoundland and Labrador,Residential sources of waste for disposal,,
2016,Newfoundland and Labrador,Non-residential sources of waste for disposal,,
2016,Prince Edward Island,All sources of waste for disposal,11,
2016,Prince Edward Island,Residential sources of waste for disposal,,
2016,Prince Edward Island,Non-residential sources of waste for disposal,,
2016,Nova Scotia,All sources of waste for disposal,12,375258.0
2016,Nova Scotia,Residential sources of waste for disposal,,169786.0
2016,Nova Scotia,Non-residential sources of waste for disposal,,205472.0
2016,New Brunswick,All sources of waste for disposal,13,503123.0
2016,New Brunswick,Residential sources of waste for disposal,,225893.0
2016,New Brunswick,Non-residential sources of waste for disposal,,277230.0
2016,Quebec,All sources of waste for disposal,24,5356134.0
2016,Quebec,Residential sources of waste for disposal,,3010083.0
2016,Quebec,Non-residential sources of waste for disposal,,2346051.0
2016,Ontario,All sources of waste for disposal,35,9475472.0
2016,Ontario,Residential sources of waste for disposal,,3703850.0
2016,Ontario,Non-residential sources of waste for disposal,,5771622.0
2016,Manitoba,All sources of waste for disposal,46,969289.0
2016,Manitoba,Residential sources of waste for disposal,,308517.0
2016,Manitoba,Non-residential sources of waste for disposal,,660772.0
2016,Saskatchewan,All sources of waste for disposal,47,898404.0
2016,Saskatchewan,Residential sources of waste for disposal,,343497.0
2016,Saskatchewan,Non-residential sources of waste for disposal,,554908.0
2016,Alberta,All sources of waste for disposal,48,4206668.0
2016,Alberta,Residential sources of waste for disposal,,1299856.0
2016,Alberta,Non-residential sources of waste for disposal,,2906811.0
2016,British Columbia,All sources of waste for disposal,59,2614087.0
2016,British Columbia,Residential sources of waste for disposal,,929476.0
2016,British Columbia,Non-residential sources of waste for disposal,,1684611.0
2016,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,
2016,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,
2016,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,
2018,Canada,Residential sources of waste for disposal,,10848238.0
2018,Canada,Non-residential sources of waste for disposal,,14884782.0
2018,Newfoundland and Labrador,All sources of waste for disposal,10,373668.0
2018,Newfoundland and Labrador,Residential sources of waste for disposal,,158588.0
2018,Newfoundland and Labrador,Non-residential sources of waste for disposal,,215080.0
2018,Prince Edward Island,All sources of waste for disposal,11,53972.0
2018,Prince Edward Island,Residential sources of waste for disposal,,20540.0
2018,Prince Edward Island,Non-residential sources of waste for disposal,,33432.0
2018,Nova Scotia,All sources of waste for disposal,12,392328.0
2018,Nova Scotia,Residential sources of waste for disposal,,157078.0
2018,Nova Scotia,Non-residential sources of waste for disposal,,235250.0
2018,New Brunswick,All sources of waste for disposal,13,507848.0
2018,New Brunswick,Residential sources of waste for disposal,,222110.0
2018,New Brunswick,Non-residential sources of waste for disposal,,285738.0
2018,Quebec,All sources of waste for disposal,24,5563136.0
2018,Quebec,Residential sources of waste for disposal,,3231578.0
2018,Quebec,Non-residential sources of waste for disposal,,2331557.0
2018,Ontario,All sources of waste for disposal,35,10085613.0
2018,Ontario,Residential sources of waste for disposal,,3980665.0
2018,Ontario,Non-residential sources of waste for disposal,,6104948.0
2018,Manitoba,All sources of waste for disposal,46,963256.0
2018,Manitoba,Residential sources of waste for disposal,,333742.0
2018,Manitoba,Non-residential sources of waste for disposal,,629514.0
2018,Saskatchewan,All sources of waste for disposal,47,864753.0
2018,Saskatchewan,Residential sources of waste for disposal,,381180.0
2018,Saskatchewan,Non-residential sources of waste for disposal,,483573.0
2018,Alberta,All sources of waste for disposal,48,4118081.0
2018,Alberta,Residential sources of waste for disposal,,1336765.0
2018,Alberta,Non-residential sources of waste for disposal,,2781316.0
2018,British Columbia,All sources of waste for disposal,59,2719877.0
2018,British Columbia,Residential sources of waste for disposal,,993371.0
2018,British Columbia,Non-residential sources of waste for disposal,,1726506.0
2018,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,90489.0
2018,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,32621.0
2018,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,57868.0
2020,Canada,Residential sources of waste for disposal,,10862118.0
2020,Canada,Non-residential sources of waste for disposal,,15245602.0
2020,Newfoundland and Labrador,All sources of waste for disposal,10,365210.0
2020,Newfoundland and Labrador,Residential sources of waste for disposal,,161147.0
2020,Newfoundland and Labrador,Non-residential sources of waste for disposal,,204063.0
2020,Prince Edward Island,All sources of waste for disposal,11,55803.0
2020,Prince Edward Island,Residential sources of waste for disposal,,20174.0
2020,Prince Edward Island,Non-residential sources of waste for disposal,,35629.0
2020,Nova Scotia,All sources of waste for disposal,12,399735.0
2020,Nova Scotia,Residential sources of waste for disposal,,157740.0
2020,Nova Scotia,Non-residential sources of waste for disposal,,241995.0
2020,New Brunswick,All sources of waste for disposal,13,498839.0
2020,New Brunswick,Residential sources of waste for disposal,,215093.0
2020,New Brunswick,Non-residential sources of waste for disposal,,283746.0
2020,Quebec,All sources of waste for disposal,24,5756149.0
2020,Quebec,Residential sources of waste for disposal,,3417649.0
2020,Quebec,Non-residential sources of waste for disposal,,2338499.0
2020,Ontario,All sources of waste for disposal,35,10300560.0
2020,Ontario,Residential sources of waste for disposal,,3814211.0
2020,Ontario,Non-residential sources of waste for disposal,,6486350.0
2020,Manitoba,All sources of waste for disposal,46,934437.0
2020,Manitoba,Residential sources of waste for disposal,,325486.0
2020,Manitoba,Non-residential sources of waste for disposal,,608951.0
2020,Saskatchewan,All sources of waste for disposal,47,852445.0
2020,Saskatchewan,Residential sources of waste for disposal,,406635.0
2020,Saskatchewan,Non-residential sources of waste for disposal,,445810.0
2020,Alberta,All sources of waste for disposal,48,4044817.0
2020,Alberta,Residential sources of waste for disposal,,1238331.0
2020,Alberta,Non-residential sources of waste for disposal,,2806486.0
2020,British Columbia,All sources of waste for disposal,59,2803431.0
2020,British Columbia,Residential sources of waste for disposal,,1068244.0
2020,British Columbia,Non-residential sources of waste for disposal,,1735187.0
2020,"Yukon, Northwest Territories and Nunavut",All sources of waste for disposal,,96294.0
2020,"Yukon, Northwest Territories and Nunavut",Residential sources of waste for disposal,,37409.0
2020,"Yukon, Northwest Territories and Nunavut",Non-residential sources of waste for disposal,,58886.0
